Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,65.92,67.52,65.62,66.77,2134700,66.77
2014-01-28,65.61,66.27,65.46,66.16,1704200,66.16
2014-01-27,65.32,65.83,64.84,65.47,1484800,65.47
2014-01-24,67.09,67.17,65.35,65.36,1994800,65.36
2014-01-23,68.20,68.20,66.78,67.33,1461600,67.33
2014-01-22,68.09,68.52,67.36,68.03,1548600,68.03
2014-01-21,67.34,68.15,66.83,68.12,2543100,68.12
2014-01-17,66.37,67.69,66.19,67.13,3090400,67.13
2014-01-16,65.17,66.61,64.50,66.57,2405300,66.57
2014-01-15,64.38,64.99,64.05,64.86,1260100,64.86
2014-01-14,63.43,64.56,63.00,64.48,1059800,64.48
2014-01-13,64.23,64.32,63.03,63.31,946600,63.31
2014-01-10,63.50,65.00,63.48,64.36,1431500,64.36
2014-01-09,63.26,63.64,63.01,63.39,1253100,63.39
2014-01-08,62.32,63.18,61.82,63.06,1259700,63.06
2014-01-07,61.80,62.66,61.52,62.48,1193300,62.48
2014-01-06,61.55,62.15,61.51,61.80,1406000,61.80
2014-01-03,61.18,61.56,61.00,61.32,710000,61.32
2014-01-02,62.15,62.15,61.07,61.18,1096100,61.18
2013-12-31,61.35,62.23,61.35,62.18,799200,62.18
2013-12-30,60.75,61.49,60.46,61.29,784300,61.29
2013-12-27,60.05,61.24,59.93,60.88,1093600,60.88
2013-12-26,60.00,60.27,59.78,60.10,946400,60.10
2013-12-24,59.80,60.28,59.39,60.01,754100,60.01
2013-12-23,60.00,60.37,59.52,59.62,1120700,59.62
2013-12-20,59.29,59.83,58.53,59.75,1694000,59.75
2013-12-19,59.26,59.48,58.66,59.10,1209200,59.10
2013-12-18,59.16,59.52,58.21,59.48,1709300,59.48
2013-12-17,58.59,59.05,58.59,58.99,1517700,58.99
2013-12-16,58.99,59.11,58.52,58.69,911800,58.69
2013-12-13,58.73,58.75,58.05,58.65,866600,58.65
2013-12-12,58.44,58.93,58.02,58.64,871400,58.64
2013-12-11,58.63,58.66,58.19,58.31,780900,58.31
2013-12-10,58.80,59.06,58.39,58.72,790200,58.72
2013-12-09,59.88,59.98,58.81,58.96,1094300,58.96
2013-12-06,59.72,59.95,59.05,59.68,1128400,59.68
2013-12-05,59.27,59.63,58.95,59.31,1876700,59.31
2013-12-04,59.50,60.20,58.92,60.12,2023200,60.12
2013-12-03,58.01,60.28,57.50,59.51,2588500,59.51
2013-12-02,58.16,58.36,57.03,57.27,1933000,57.27
2013-11-29,58.79,58.98,57.95,58.07,748600,58.07
2013-11-27,58.70,59.13,58.11,58.58,1071400,58.58
2013-11-26,59.49,59.49,58.72,58.79,1304500,58.79
2013-11-25,58.96,59.51,58.90,59.27,1744300,59.27
2013-11-22,57.55,59.03,57.26,58.95,1348000,58.95
2013-11-21,57.25,57.75,57.25,57.53,1087900,57.53
2013-11-20,57.15,58.25,56.82,57.14,1102600,57.14
2013-11-19,57.65,57.89,56.81,57.08,840900,57.08
2013-11-18,57.79,57.79,57.13,57.57,1156300,57.57
2013-11-15,57.33,57.80,57.26,57.80,777300,57.80
2013-11-14,57.50,58.17,57.07,57.35,995200,57.35
2013-11-13,56.64,57.31,56.06,57.26,1095500,57.26
2013-11-12,57.79,58.11,56.83,57.04,981300,57.04
2013-11-11,57.95,58.16,57.55,57.82,1042500,57.82
2013-11-08,56.83,57.91,56.08,57.90,1133700,57.90
2013-11-07,57.83,58.18,56.81,57.01,1430600,57.01
2013-11-06,55.96,57.87,55.65,57.82,1613500,57.82
2013-11-05,56.77,56.98,55.99,56.06,1544400,56.06
2013-11-04,56.43,57.18,56.12,57.11,1430900,57.11
2013-11-01,56.50,57.02,56.05,56.40,1143500,56.40
2013-10-31,56.22,56.97,56.01,56.50,1132400,56.50
2013-10-30,57.41,57.56,56.61,56.83,1183200,56.45
2013-10-29,56.76,57.39,56.55,57.38,1075300,57.00
2013-10-28,56.41,56.80,56.02,56.79,993200,56.41
2013-10-25,56.34,56.53,55.85,56.39,981500,56.01
2013-10-24,56.26,56.39,55.64,56.34,712100,55.96
2013-10-23,55.83,57.03,55.71,56.05,1035900,55.68
2013-10-22,55.00,56.02,54.93,55.77,1015800,55.40
2013-10-21,54.88,55.10,54.48,54.92,810200,54.55
2013-10-18,55.02,55.21,54.57,54.96,1094500,54.59
2013-10-17,54.11,55.00,53.61,54.87,916400,54.50
