Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,30.24,30.46,30.00,30.11,29218800,30.11
2014-01-28,30.44,30.75,30.13,30.42,34077000,30.42
2014-01-27,30.04,30.25,29.66,29.66,33093200,29.66
2014-01-24,30.86,30.96,30.06,30.09,36109600,30.09
2014-01-23,31.02,31.23,30.91,31.01,25016500,31.01
2014-01-22,31.31,31.34,31.09,31.27,22347500,31.27
2014-01-21,31.32,31.41,30.95,31.23,24056600,31.23
2014-01-17,31.25,31.29,30.95,31.09,21623200,31.09
2014-01-16,31.18,31.42,31.09,31.17,18573100,31.17
2014-01-15,31.05,31.31,30.85,31.18,28816800,31.18
2014-01-14,30.58,31.05,30.55,31.00,32976600,31.00
2014-01-13,30.86,31.03,30.44,30.54,23981400,30.54
2014-01-10,30.84,30.95,30.50,30.69,21718100,30.69
2014-01-09,31.08,31.12,30.61,30.93,20581500,30.93
2014-01-08,30.78,30.99,30.65,30.95,22923200,30.95
2014-01-07,30.86,31.02,30.74,30.74,22223000,30.74
2014-01-06,30.77,30.95,30.53,30.55,23961500,30.55
2014-01-03,30.39,30.83,30.38,30.52,15035400,30.52
2014-01-02,30.47,30.60,30.33,30.46,17425300,30.46
2013-12-31,30.62,30.81,30.49,30.63,15164900,30.63
2013-12-30,30.54,30.70,30.39,30.69,14799400,30.69
2013-12-27,30.76,30.85,30.53,30.64,11956300,30.64
2013-12-26,30.37,30.56,30.32,30.55,12056900,30.55
2013-12-24,30.44,30.45,30.22,30.29,10992500,30.29
2013-12-23,30.46,30.50,30.17,30.35,22988600,30.35
2013-12-20,30.72,30.96,30.25,30.25,62303500,30.25
2013-12-19,30.78,31.01,30.61,30.71,32703000,30.71
2013-12-18,30.30,30.78,30.01,30.77,34869100,30.77
2013-12-17,30.18,30.31,30.01,30.14,28636100,30.14
2013-12-16,30.30,30.63,30.14,30.25,28214700,30.25
2013-12-13,30.44,30.48,29.95,30.25,26081000,30.25
2013-12-12,30.55,30.77,30.21,30.25,29083900,30.25
2013-12-11,31.31,31.34,30.52,30.65,34768800,30.65
2013-12-10,31.41,31.49,31.20,31.34,22701200,31.34
