Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,36.85,37.21,36.53,37.01,3230200,37.01
2014-01-28,36.57,37.33,36.49,37.23,2752900,37.23
2014-01-27,36.65,36.90,36.33,36.51,3319400,36.51
2014-01-24,37.13,37.21,36.51,36.74,2849400,36.74
2014-01-23,37.49,37.62,37.21,37.42,2216800,37.42
2014-01-22,37.50,37.91,37.43,37.75,1995700,37.75
2014-01-21,37.20,37.53,36.86,37.34,1522300,37.34
2014-01-17,37.37,37.48,36.81,36.98,2432500,36.98
2014-01-16,37.48,37.58,37.14,37.29,2250400,37.29
2014-01-15,37.27,37.66,37.19,37.51,1909400,37.51
2014-01-14,36.91,37.37,36.82,37.22,1597000,37.22
2014-01-13,37.31,37.54,36.59,36.75,2397400,36.75
2014-01-10,37.39,37.73,37.29,37.60,1721500,37.60
2014-01-09,37.72,37.74,36.77,37.20,2916900,37.20
2014-01-08,37.68,37.84,37.28,37.68,2382900,37.68
2014-01-07,37.49,37.92,37.40,37.73,2850100,37.73
2014-01-06,37.62,37.74,37.15,37.40,3030600,37.40
2014-01-03,36.84,37.36,36.83,37.24,1840100,37.24
2014-01-02,36.99,37.01,36.55,36.91,1985500,36.91
2013-12-31,37.18,37.36,36.79,36.95,2593200,36.95
2013-12-30,37.23,37.49,37.16,37.19,1117800,37.19
2013-12-27,37.15,37.25,36.94,37.19,2480800,37.19
2013-12-26,37.12,37.45,36.99,37.13,2132100,37.13
2013-12-24,36.91,37.12,36.64,36.97,929500,36.97
2013-12-23,37.42,37.42,36.91,36.99,2199000,36.99
2013-12-20,36.58,36.94,36.58,36.83,2602400,36.83
2013-12-19,37.08,37.08,36.19,36.73,3082700,36.73
2013-12-18,36.30,37.21,35.99,37.16,5075400,37.16
2013-12-17,36.17,36.50,36.00,36.33,3772000,36.33
2013-12-16,36.02,36.21,35.71,36.14,2800500,36.14
2013-12-13,36.69,37.14,36.12,36.29,2339100,36.01
2013-12-12,36.40,36.73,36.01,36.57,3216400,36.29
2013-12-11,37.69,37.80,36.42,36.49,2093400,36.21
2013-12-10,37.88,38.08,37.76,37.77,1888400,37.48
2013-12-09,37.90,38.08,37.48,37.93,2007300,37.64
2013-12-06,37.68,37.91,37.53,37.84,1560800,37.55
2013-12-05,37.16,37.47,36.81,37.22,2066300,36.93
2013-12-04,37.14,37.81,37.00,37.29,2118800,37.00
2013-12-03,37.53,37.65,37.32,37.45,1968800,37.16
2013-12-02,37.92,37.99,37.39,37.60,2114100,37.31
2013-11-29,38.61,38.76,37.91,37.93,1239800,37.64
