Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,19.00,19.24,18.93,19.05,2060500,19.05
2014-01-28,18.93,19.11,18.93,19.09,2086000,19.09
2014-01-27,18.71,19.01,18.70,18.91,3090300,18.91
2014-01-24,18.90,19.01,18.68,18.68,1849400,18.68
2014-01-23,19.02,19.10,18.83,18.95,1499800,18.95
2014-01-22,19.02,19.15,19.01,19.08,1402700,19.08
2014-01-21,18.76,19.06,18.76,19.02,1934500,19.02
2014-01-17,18.74,18.75,18.60,18.66,1749700,18.66
2014-01-16,18.66,18.71,18.57,18.70,1470900,18.70
2014-01-15,18.71,18.79,18.60,18.64,1391100,18.64
2014-01-14,18.80,18.86,18.68,18.73,1718200,18.73
2014-01-13,18.98,19.00,18.71,18.79,2176500,18.79
2014-01-10,19.04,19.24,18.97,19.03,2936100,19.03
2014-01-09,18.79,18.92,18.73,18.91,1930000,18.91
2014-01-08,18.82,18.86,18.69,18.78,2640500,18.78
2014-01-07,18.61,18.92,18.59,18.87,2330100,18.87
2014-01-06,18.67,18.70,18.53,18.58,2163700,18.58
2014-01-03,18.82,18.88,18.57,18.68,1539500,18.68
2014-01-02,19.07,19.13,18.68,18.82,2199300,18.82
2013-12-31,19.14,19.18,19.06,19.13,2104900,19.13
2013-12-30,18.90,19.16,18.90,19.08,1775900,19.08
2013-12-27,18.90,19.00,18.84,18.93,1188000,18.93
2013-12-26,19.04,19.07,18.80,18.95,1374700,18.95
2013-12-24,18.87,19.07,18.79,19.00,1041400,19.00
2013-12-23,18.97,19.05,18.88,18.93,2472900,18.93
2013-12-20,18.65,18.93,18.65,18.91,2426700,18.91
2013-12-19,18.82,18.84,18.51,18.62,1553600,18.62
2013-12-18,18.64,18.90,18.55,18.86,3238800,18.86
2013-12-17,18.69,18.70,18.50,18.61,1690600,18.61
2013-12-16,18.64,18.82,18.59,18.73,2392100,18.73
2013-12-13,18.64,18.74,18.50,18.58,1268200,18.58
2013-12-12,18.59,18.81,18.58,18.64,2236200,18.64
2013-12-11,18.75,18.78,18.60,18.63,2369300,18.63
2013-12-10,19.00,19.03,18.70,18.75,2804100,18.75
2013-12-09,19.07,19.13,18.94,19.00,1834500,19.00
2013-12-06,18.91,19.20,18.86,19.08,2308900,19.08
2013-12-05,19.08,19.25,18.98,19.13,2455700,18.86
2013-12-04,18.98,19.11,18.85,19.09,2539900,18.82
2013-12-03,18.90,19.07,18.85,19.07,1907300,18.80
