Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,30.05,30.26,29.87,30.07,5098200,30.07
2014-01-28,29.80,30.10,29.72,30.06,4429000,30.06
2014-01-27,29.88,29.93,29.71,29.75,3256300,29.75
2014-01-24,30.05,30.37,29.86,29.87,3577700,29.87
2014-01-23,30.12,30.21,29.88,30.16,3415200,30.16
2014-01-22,29.91,30.20,29.84,30.15,4289900,30.15
2014-01-21,29.89,29.90,29.54,29.87,3750200,29.87
2014-01-17,29.94,29.98,29.59,29.59,4622600,29.59
2014-01-16,29.74,29.91,29.67,29.86,3883100,29.86
2014-01-15,30.01,30.07,29.68,29.69,6258500,29.69
2014-01-14,30.14,30.25,30.00,30.04,3381600,30.04
2014-01-13,30.15,30.31,29.98,30.14,3993300,30.14
2014-01-10,29.90,30.34,29.89,30.29,4977100,30.29
2014-01-09,29.70,29.77,29.58,29.70,5216700,29.70
2014-01-08,29.81,29.85,29.52,29.65,4464100,29.65
2014-01-07,29.78,29.94,29.65,29.92,4239000,29.92
2014-01-06,29.80,29.88,29.64,29.75,4406000,29.75
2014-01-03,30.02,30.06,29.40,29.62,4209500,29.62
2014-01-02,30.13,30.13,29.64,29.65,4664000,29.65
2013-12-31,29.95,30.18,29.85,30.09,2458800,30.09
2013-12-30,29.78,29.97,29.78,29.95,2155500,29.95
2013-12-27,29.84,29.90,29.67,29.85,1648500,29.85
2013-12-26,29.83,29.87,29.65,29.75,1758600,29.75
2013-12-24,29.78,29.93,29.63,29.86,1204500,29.86
2013-12-23,29.79,29.96,29.68,29.76,3308200,29.76
2013-12-20,29.42,29.74,29.41,29.68,5819600,29.68
2013-12-19,29.58,29.63,29.13,29.33,2959300,29.33
2013-12-18,29.35,29.69,28.95,29.68,4393900,29.68
2013-12-17,29.30,29.37,29.13,29.29,3680300,29.29
2013-12-16,29.39,29.61,29.31,29.41,2734500,29.41
2013-12-13,29.36,29.39,29.06,29.25,3880800,29.25
2013-12-12,29.35,29.54,29.25,29.27,3925400,29.27
2013-12-11,29.60,29.64,29.25,29.31,4398300,29.31
2013-12-10,30.09,30.14,29.60,29.64,4033500,29.64
2013-12-09,29.94,30.11,29.77,30.06,4170900,30.06
2013-12-06,30.05,30.25,29.75,29.98,7010000,29.98
2013-12-05,30.81,30.84,30.22,30.29,5291900,29.92
2013-12-04,30.65,30.86,30.52,30.85,3048000,30.48
2013-12-03,30.38,30.76,30.35,30.74,4586200,30.37
2013-12-02,30.71,30.74,30.32,30.42,4050800,30.05
2013-11-29,30.56,30.92,30.46,30.71,2672000,30.34
2013-11-27,30.33,30.54,30.20,30.50,3704700,30.13
2013-11-26,30.80,30.82,30.38,30.38,4797200,30.01
2013-11-25,30.71,30.86,30.62,30.72,3788300,30.35
2013-11-22,30.68,31.05,30.63,30.70,5171800,30.33
2013-11-21,30.40,30.66,30.27,30.57,4062300,30.20
2013-11-20,30.61,30.87,30.39,30.39,4321500,30.02
2013-11-19,30.89,30.92,30.53,30.68,3353000,30.31
2013-11-18,31.10,31.15,30.77,30.90,3570700,30.53
2013-11-15,30.85,31.08,30.74,31.08,4282400,30.70
2013-11-14,30.49,30.89,30.45,30.84,4468900,30.47
2013-11-13,30.02,30.34,29.91,30.33,3495000,29.96
2013-11-12,30.36,30.44,30.06,30.20,2841400,29.83
2013-11-11,30.56,30.61,30.30,30.48,2906900,30.11
2013-11-08,30.50,30.61,30.10,30.51,4551000,30.14
2013-11-07,30.82,31.20,30.57,30.66,6007400,30.29
2013-11-06,30.48,30.75,30.43,30.68,4945200,30.31
2013-11-05,30.78,30.82,30.40,30.40,5398700,30.03
2013-11-04,30.88,30.95,30.59,30.83,3110900,30.46
2013-11-01,30.68,30.89,30.52,30.73,3481400,30.36
2013-10-31,30.75,30.85,30.20,30.63,5554200,30.26
2013-10-30,30.96,31.06,30.70,30.77,3698900,30.40
2013-10-29,30.87,31.00,30.74,30.91,3397700,30.54
2013-10-28,30.80,30.93,30.65,30.78,3781300,30.41
2013-10-25,30.55,30.81,30.44,30.79,3269800,30.42
2013-10-24,30.60,30.75,30.55,30.60,3908200,30.23
2013-10-23,30.56,30.93,30.53,30.65,4691400,30.28
2013-10-22,30.40,30.76,30.28,30.57,4155300,30.20
2013-10-21,30.31,30.40,30.11,30.29,3862600,29.92
2013-10-18,30.43,30.54,30.28,30.30,5794300,29.93
2013-10-17,29.68,30.55,29.58,30.47,5513500,30.10
2013-10-16,29.75,29.84,29.55,29.79,5188400,29.43
2013-10-15,30.06,31.79,29.57,29.57,7152900,29.21
2013-10-14,30.35,30.40,29.87,30.16,6053000,29.79
2013-10-11,30.56,30.68,30.42,30.50,3615000,30.13
2013-10-10,30.13,30.56,29.91,30.53,5563800,30.16
2013-10-09,30.14,30.50,29.97,30.00,5609700,29.64
2013-10-08,29.98,30.32,29.93,30.03,6655600,29.67
2013-10-07,30.03,30.20,29.97,29.98,4009800,29.62
2013-10-04,30.21,30.31,30.05,30.13,3102600,29.76
2013-10-03,30.57,30.59,30.17,30.24,3645100,29.87
2013-10-02,30.61,30.76,30.48,30.69,6681500,30.32
2013-10-01,30.49,30.65,30.34,30.65,6442100,30.28
2013-09-30,30.20,30.52,30.18,30.38,5251700,30.01
2013-09-27,30.67,30.82,30.20,30.34,7052900,29.97
2013-09-26,30.49,30.74,30.36,30.47,3138100,30.10
2013-09-25,30.79,30.80,30.31,30.49,5870000,30.12
2013-09-24,30.67,30.90,30.64,30.76,4895300,30.39
2013-09-23,30.12,30.68,30.02,30.63,5297000,30.26
2013-09-20,30.61,30.70,30.11,30.11,9766500,29.75
2013-09-19,31.02,31.13,30.58,30.68,5924800,30.31
2013-09-18,30.23,31.13,30.06,30.94,5589600,30.57
2013-09-17,29.87,30.31,29.81,30.21,3141900,29.84
2013-09-16,30.23,30.42,29.86,29.92,4309300,29.56
2013-09-13,30.06,30.20,29.92,30.00,2585900,29.64
2013-09-12,30.22,30.35,29.91,29.94,2508200,29.58
2013-09-11,30.42,30.43,29.87,30.16,4962600,29.79
2013-09-10,30.34,30.40,30.11,30.34,3229700,29.97
2013-09-09,30.10,30.31,30.02,30.27,4663500,29.90
2013-09-06,30.09,30.41,30.04,30.07,4494300,29.71
2013-09-05,30.70,30.75,30.40,30.48,3315800,29.75
2013-09-04,30.54,30.83,30.41,30.72,3123300,29.98
2013-09-03,30.97,31.02,30.48,30.61,4371100,29.87
2013-08-30,30.85,31.03,30.59,30.70,5306000,29.96
2013-08-29,30.95,31.02,30.69,30.81,3060100,30.07
2013-08-28,30.81,31.14,30.67,31.04,4105800,30.29
2013-08-27,30.48,31.02,30.43,30.75,4858700,30.01
2013-08-26,30.92,30.99,30.58,30.63,3017900,29.89
2013-08-23,30.61,30.94,30.45,30.88,9605500,30.14
2013-08-22,30.39,30.75,30.29,30.56,15873100,29.83
2013-08-21,30.67,30.74,30.28,30.38,3520600,29.65
2013-08-20,30.48,30.93,30.48,30.75,3277300,30.01
2013-08-19,30.51,30.79,30.43,30.55,2894200,29.82
2013-08-16,30.84,30.97,30.45,30.55,4037600,29.82
2013-08-15,31.06,31.22,30.88,30.88,4239400,30.14
2013-08-14,31.43,31.43,31.12,31.29,3615100,30.54
2013-08-13,31.77,31.83,31.44,31.46,2317800,30.70
2013-08-12,31.81,31.85,31.58,31.73,2386500,30.97
2013-08-09,31.88,32.05,31.82,31.90,2855200,31.13
2013-08-08,32.02,32.09,31.70,31.85,3368900,31.08
2013-08-07,31.61,31.88,31.45,31.87,3008800,31.10
2013-08-06,31.96,31.96,31.57,31.66,3392000,30.90
2013-08-05,31.88,32.06,31.70,32.01,3543700,31.24
2013-08-02,32.00,32.03,31.77,31.93,2041700,31.16
2013-08-01,31.90,32.05,31.57,31.98,4387900,31.21
2013-07-31,31.68,31.78,31.30,31.77,5157100,31.01
2013-07-30,31.80,31.96,31.59,31.73,4101600,30.97
2013-07-29,31.25,31.72,31.23,31.69,3647000,30.93
2013-07-26,31.20,31.41,31.07,31.33,3291700,30.58
2013-07-25,31.00,31.29,30.98,31.26,3082200,30.51
2013-07-24,31.62,31.64,31.02,31.16,2514000,30.41
2013-07-23,31.54,31.68,31.36,31.61,2132700,30.85
2013-07-22,31.60,31.68,31.48,31.54,2467300,30.78
2013-07-19,31.59,31.68,31.38,31.55,3262200,30.79
2013-07-18,31.16,31.56,31.16,31.56,3846300,30.80
2013-07-17,30.99,31.18,30.92,31.08,3250600,30.33
2013-07-16,30.84,30.95,30.67,30.86,3467400,30.12
2013-07-15,30.37,30.97,30.31,30.89,3521200,30.15
2013-07-12,30.40,30.48,30.14,30.45,3389900,29.72
2013-07-11,30.25,30.41,30.11,30.41,3639500,29.68
2013-07-10,29.88,30.11,29.72,30.00,3911000,29.28
2013-07-09,29.94,30.08,29.79,29.90,4696400,29.18
2013-07-08,29.45,29.85,29.38,29.85,5418900,29.13
2013-07-05,29.56,29.61,29.03,29.35,13290400,28.64
2013-07-03,29.60,29.71,29.54,29.59,4404800,28.88
2013-07-02,29.88,30.22,29.68,29.75,9858100,29.03
2013-07-01,30.68,30.69,29.77,29.90,9934100,29.18
2013-06-28,30.30,30.43,29.75,30.26,10932200,29.53
2013-06-27,29.83,30.17,29.61,29.69,4537300,28.98
2013-06-26,29.74,29.90,29.55,29.71,4809700,29.00
2013-06-25,29.18,29.53,29.04,29.50,4994400,28.79
2013-06-24,28.76,29.28,28.50,29.08,4905000,28.38
2013-06-21,28.67,29.04,28.48,28.98,7589700,28.28
2013-06-20,28.88,28.93,28.44,28.52,6498600,27.83
2013-06-19,29.44,29.77,29.05,29.05,6960300,28.35
2013-06-18,29.18,29.61,29.10,29.46,8428800,28.75
2013-06-17,29.20,29.46,29.05,29.13,5287500,28.43
2013-06-14,28.87,29.26,28.87,29.13,5730300,28.43
2013-06-13,28.46,29.01,28.45,28.99,6441700,28.29
2013-06-12,29.12,29.12,28.45,28.45,6964000,27.77
2013-06-11,29.01,29.36,28.85,28.98,7847300,28.28
2013-06-10,29.38,29.47,29.12,29.13,6111400,28.43
2013-06-07,29.49,29.73,29.25,29.29,5672600,28.59
2013-06-06,29.12,29.42,29.02,29.40,5191100,28.69
2013-06-05,29.60,29.68,29.42,29.45,4462000,28.38
2013-06-04,29.66,29.79,29.50,29.70,5599300,28.62
2013-06-03,29.69,30.03,29.42,29.66,6511800,28.59
2013-05-31,29.82,30.22,29.70,29.70,6344000,28.62
2013-05-30,30.17,30.49,29.87,29.90,5239700,28.82
2013-05-29,29.89,30.17,29.52,30.04,8255800,28.95
2013-05-28,30.66,30.68,29.81,30.06,18021000,28.97
2013-05-24,30.88,30.98,30.53,30.59,12386900,29.48
2013-05-23,31.17,31.24,30.45,31.00,14222800,29.88
2013-05-22,31.77,31.97,31.17,31.27,5041200,30.14
