Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,154.94,155.55,152.96,153.68,1159500,153.68
2014-01-28,153.91,157.16,153.91,157.05,803800,157.05
2014-01-27,152.89,154.56,151.13,153.32,1043000,153.32
2014-01-24,154.80,155.88,152.76,152.79,750800,152.79
2014-01-23,155.28,156.02,154.14,155.16,753400,155.16
2014-01-22,155.82,157.47,155.76,157.07,807000,157.07
2014-01-21,155.68,157.12,153.59,155.21,1436400,155.21
2014-01-17,157.34,158.84,155.83,156.03,1178000,156.03
2014-01-16,157.54,158.09,156.43,157.16,532300,157.16
2014-01-15,157.39,158.83,157.12,157.70,1035200,157.70
2014-01-14,160.07,160.64,155.77,158.01,2052100,158.01
2014-01-13,161.68,162.35,159.20,160.88,2046800,160.88
2014-01-10,158.83,161.76,158.00,161.70,1278900,161.70
2014-01-09,158.20,158.99,157.05,158.95,949200,158.95
2014-01-08,154.61,158.16,154.60,158.03,1720200,158.03
2014-01-07,154.73,155.33,153.71,154.58,1384600,154.58
2014-01-06,154.89,155.27,152.43,152.93,1029700,152.93
2014-01-03,152.99,154.38,152.61,154.23,712300,154.23
2014-01-02,152.45,154.52,152.11,153.10,1209500,153.10
2013-12-31,153.59,154.13,152.52,153.46,758300,153.46
2013-12-30,152.71,153.50,151.81,153.11,910800,153.11
2013-12-27,152.50,152.50,150.81,152.12,508800,152.12
2013-12-26,151.58,152.98,151.51,152.17,503200,152.17
2013-12-24,151.57,152.12,150.53,151.60,285500,151.60
2013-12-23,153.06,153.34,151.00,151.80,1024300,151.80
2013-12-20,151.61,152.26,148.15,152.26,3168800,152.26
2013-12-19,155.55,155.55,148.86,151.14,2484700,151.14
2013-12-18,153.45,156.47,153.02,155.67,9790200,155.66
2013-12-17,149.70,153.25,149.12,153.25,6028700,153.24
2013-12-16,152.23,152.51,149.49,151.04,2064000,151.03
2013-12-13,153.30,153.43,151.50,151.82,1709600,151.81
2013-12-12,150.72,154.39,149.32,153.68,1761100,153.67
2013-12-11,154.14,154.52,150.98,151.11,1192400,151.10
2013-12-10,153.57,155.57,153.42,154.40,969800,154.39
2013-12-09,156.37,156.75,154.18,154.51,1047200,154.50
2013-12-06,156.15,156.82,155.25,155.63,1246900,155.62
2013-12-05,155.19,156.43,155.13,155.62,808300,155.61
2013-12-04,155.03,155.31,153.04,154.89,704400,154.88
2013-12-03,156.83,157.07,154.58,155.23,551600,155.22
2013-12-02,156.88,157.47,156.14,156.88,821100,156.87
2013-11-29,155.82,156.37,155.36,155.89,257300,155.88
2013-11-27,156.60,156.73,155.38,155.80,451400,155.79
2013-11-26,156.69,157.02,155.36,156.45,584800,156.44
2013-11-25,156.47,156.60,155.06,156.44,943900,156.34
2013-11-22,155.37,156.10,154.58,155.28,567100,155.18
2013-11-21,153.11,155.09,153.07,155.00,596100,154.90
2013-11-20,151.59,153.80,151.59,152.81,721600,152.71
2013-11-19,152.76,152.85,151.28,152.21,820900,152.11
2013-11-18,153.64,153.80,151.84,152.29,804600,152.19
2013-11-15,152.19,153.19,151.38,153.13,916500,153.03
2013-11-14,151.06,153.38,150.76,152.51,966700,152.41
2013-11-13,149.82,150.76,149.13,150.71,948300,150.61
2013-11-12,149.38,150.48,148.90,150.03,1020600,149.93
2013-11-11,148.98,149.76,147.92,149.61,863200,149.51
2013-11-08,145.44,148.85,144.38,148.75,1294500,148.65
2013-11-07,145.54,145.85,142.67,145.19,1227800,145.10
2013-11-06,143.13,145.34,142.69,145.28,943600,145.19
2013-11-05,143.58,144.03,141.84,142.50,1273800,142.41
2013-11-04,142.83,143.74,141.53,143.73,1327100,143.64
2013-11-01,138.22,142.58,137.03,142.38,2537600,142.29
2013-10-31,133.50,139.32,133.39,137.89,4064000,137.80
2013-10-30,131.02,131.49,128.05,128.62,1252100,128.54
2013-10-29,130.79,131.19,130.15,130.60,474700,130.52
2013-10-28,130.64,131.24,130.07,130.81,488800,130.73
2013-10-25,129.16,130.63,128.88,130.61,707600,130.53
2013-10-24,129.83,130.22,128.39,129.20,1360600,129.12
2013-10-23,131.12,131.19,128.30,129.35,1592500,129.27
2013-10-22,131.32,132.34,130.56,131.02,781200,130.94
2013-10-21,133.02,133.06,130.82,131.25,485400,131.17
2013-10-18,132.64,132.69,131.48,132.65,714100,132.57
2013-10-17,131.54,132.28,131.16,132.19,528400,132.11
2013-10-16,131.32,132.12,130.78,131.94,1262500,131.86
2013-10-15,130.39,131.06,129.46,130.63,1396500,130.55
2013-10-14,128.87,130.95,128.69,130.95,1122000,130.87
2013-10-11,129.86,129.86,128.42,129.59,1166100,129.51
2013-10-10,129.24,129.84,128.68,129.84,880600,129.76
2013-10-09,128.86,128.92,127.48,128.43,863100,128.35
2013-10-08,129.34,129.99,127.69,128.18,1289800,128.10
2013-10-07,129.04,129.91,128.32,129.20,1422700,129.12
2013-10-04,125.56,129.14,125.32,129.05,1428200,128.97
