Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,83.63,84.55,83.25,83.82,2438400,83.82
2014-01-28,83.83,85.00,83.80,84.46,1945100,84.46
2014-01-27,84.43,84.81,82.31,83.39,3138800,83.39
2014-01-24,86.82,87.33,84.35,84.36,3546000,84.36
2014-01-23,88.63,88.80,87.02,87.51,3179700,87.51
2014-01-22,90.05,90.53,89.06,89.51,1710300,89.51
2014-01-21,90.58,91.09,89.70,90.13,1676300,90.13
2014-01-17,90.28,90.79,89.90,90.23,2348000,90.23
2014-01-16,90.52,90.99,89.94,90.36,1715800,90.36
2014-01-15,90.03,91.05,89.71,91.03,1959600,91.03
2014-01-14,89.21,89.86,88.72,89.67,1574000,89.67
2014-01-13,90.43,90.87,88.32,88.53,2074200,88.53
2014-01-10,90.97,91.19,89.84,90.73,1804600,90.73
2014-01-09,91.19,91.91,90.80,91.23,1676000,91.23
2014-01-08,90.91,91.57,90.62,90.93,2005900,90.93
2014-01-07,91.14,91.93,90.57,90.84,1701900,90.84
2014-01-06,90.42,90.98,90.05,90.50,2166500,90.50
2014-01-03,90.06,91.05,90.00,90.21,1660200,90.21
2014-01-02,91.50,91.64,90.09,90.76,1694900,90.76
2013-12-31,91.62,92.31,91.59,92.22,993300,92.22
2013-12-30,91.65,91.99,91.18,91.50,980300,91.50
2013-12-27,92.50,92.68,91.74,91.83,913800,91.83
2013-12-26,91.96,92.60,91.72,92.43,867400,92.43
2013-12-24,91.50,91.99,91.23,91.91,477900,91.91
2013-12-23,91.69,92.18,91.08,91.50,1624300,91.50
2013-12-20,90.19,91.68,90.01,91.33,2995500,91.33
2013-12-19,90.01,90.72,89.78,90.17,2667100,90.17
2013-12-18,88.45,90.64,87.39,90.59,2735200,90.59
2013-12-17,88.68,88.78,87.64,87.95,1666000,87.95
2013-12-16,88.67,89.20,88.46,88.68,1516000,88.68
2013-12-13,88.46,88.96,87.87,88.19,1533300,88.19
2013-12-12,88.26,89.12,87.88,88.33,2507800,88.33
2013-12-11,88.94,89.31,87.88,88.06,2508500,88.06
2013-12-10,88.75,89.29,87.91,89.03,1513200,89.03
2013-12-09,88.94,89.82,88.65,88.98,2083900,88.98
2013-12-06,88.98,89.70,88.83,88.91,2202700,88.91
2013-12-05,87.56,88.39,87.03,87.70,2429000,87.70
2013-12-04,87.73,88.89,86.95,87.76,2052400,87.76
2013-12-03,89.22,89.67,87.51,87.76,3360300,87.76
2013-12-02,88.93,90.53,88.70,89.46,2238600,89.46
2013-11-29,89.43,89.87,88.73,88.76,1249400,88.76
2013-11-27,90.38,90.39,88.94,89.28,1529400,89.28
2013-11-26,89.31,90.24,89.19,89.74,1959800,89.74
2013-11-25,90.14,90.20,89.11,89.23,1697400,89.23
2013-11-22,89.50,90.12,89.40,90.07,1868600,90.07
2013-11-21,89.35,90.64,89.24,90.20,2740400,89.67
2013-11-20,89.23,89.53,88.53,88.89,1844200,88.37
2013-11-19,88.60,89.53,88.43,88.98,1883100,88.46
2013-11-18,88.69,89.96,88.43,88.65,3126800,88.13
2013-11-15,88.41,89.00,87.60,88.62,2501400,88.10
2013-11-14,88.33,89.31,88.02,89.05,2947300,88.53
2013-11-13,86.29,87.87,86.12,87.83,2439100,87.31
2013-11-12,86.13,87.42,86.00,86.64,2619400,86.13
2013-11-11,86.88,86.88,85.94,86.49,1984400,85.98
2013-11-08,84.03,87.85,83.95,86.90,4144200,86.39
2013-11-07,82.23,85.89,81.75,83.76,5859000,83.27
2013-11-06,81.66,82.64,81.21,81.79,2199300,81.31
2013-11-05,81.43,81.87,80.70,81.47,1561300,80.99
2013-11-04,81.27,81.65,80.70,81.57,1235400,81.09
2013-11-01,81.60,81.67,80.60,81.19,1557800,80.71
2013-10-31,81.97,82.35,81.25,81.39,2028300,80.91
2013-10-30,82.53,83.14,81.58,82.20,1667300,81.72
2013-10-29,81.31,82.72,81.22,82.66,1542000,82.17
2013-10-28,81.24,81.67,80.95,81.05,1537200,80.57
2013-10-25,81.50,82.03,81.23,81.41,1761200,80.93
2013-10-24,80.66,81.58,80.04,81.37,1738700,80.89
2013-10-23,81.23,81.46,79.76,80.52,1577200,80.05
2013-10-22,81.53,82.38,81.32,81.72,2011600,81.24
2013-10-21,82.38,82.45,81.34,81.42,2281700,80.94
2013-10-18,82.63,82.65,81.76,82.53,1704300,82.05
2013-10-17,80.75,82.63,80.74,82.26,1789600,81.78
2013-10-16,80.43,82.26,80.36,81.53,1973000,81.05
2013-10-15,79.91,80.90,79.66,79.74,1707900,79.27
2013-10-14,79.07,80.56,78.70,80.26,1679200,79.79
2013-10-11,79.00,79.88,78.81,79.87,1407000,79.40
2013-10-10,77.28,79.10,77.18,79.07,2146000,78.61
2013-10-09,76.20,76.50,75.21,75.99,1916200,75.54
