Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,126.50,129.48,125.00,127.33,2654800,127.33
2014-01-28,125.95,126.59,125.45,125.70,1915200,125.70
2014-01-27,127.18,127.51,125.64,125.74,2671600,125.74
2014-01-24,130.48,130.48,126.95,126.97,2067100,126.97
2014-01-23,131.89,133.19,131.04,131.28,1602000,131.28
2014-01-22,133.51,133.59,132.72,133.21,717800,133.21
2014-01-21,133.41,134.23,132.22,133.21,771600,133.21
2014-01-17,132.25,133.36,132.25,132.44,1230000,132.44
2014-01-16,132.32,132.91,132.13,132.57,865600,132.57
2014-01-15,131.97,133.32,131.62,132.92,924700,132.92
2014-01-14,131.01,132.10,130.45,131.86,709600,131.86
2014-01-13,131.62,132.85,130.66,130.80,1246000,130.80
2014-01-10,131.00,132.55,130.97,132.49,1311500,132.49
2014-01-09,131.00,131.22,130.53,131.00,1665000,131.00
2014-01-08,130.04,131.00,129.38,130.93,1262500,130.93
2014-01-07,129.57,130.57,129.22,130.24,1183600,130.24
2014-01-06,130.00,130.15,129.22,129.49,1160100,129.49
2014-01-03,129.50,130.00,129.36,129.68,737600,129.68
2014-01-02,129.14,129.92,128.74,129.50,777700,129.50
2013-12-31,130.44,130.58,129.47,130.03,597600,130.03
2013-12-30,129.68,130.39,129.52,130.01,453100,130.01
2013-12-27,130.00,130.40,129.67,130.01,486500,130.01
2013-12-26,128.92,129.62,128.26,129.57,326800,129.57
2013-12-24,127.91,129.12,127.72,128.97,316900,128.97
2013-12-23,128.14,128.14,127.38,127.96,794200,127.96
2013-12-20,126.96,127.88,126.82,127.54,1055800,127.54
2013-12-19,126.23,127.17,125.69,127.15,1108700,127.15
2013-12-18,125.37,126.73,123.76,126.66,1133900,126.66
2013-12-17,125.00,125.75,124.80,125.24,930600,125.24
2013-12-16,124.60,125.73,124.50,125.02,1017400,125.02
2013-12-13,124.81,125.10,124.06,124.25,727200,124.25
2013-12-12,123.65,125.06,122.86,124.68,1218500,124.68
2013-12-11,125.68,126.11,123.95,124.12,1307700,124.12
2013-12-10,128.20,128.62,125.64,125.94,2042000,125.94
2013-12-09,125.93,125.98,124.69,125.41,1095100,125.41
2013-12-06,123.89,125.56,123.44,125.46,810100,125.46
2013-12-05,122.99,123.54,122.34,122.49,1217400,122.49
2013-12-04,122.79,123.98,122.39,123.62,822500,123.62
2013-12-03,124.13,125.05,123.58,124.24,1154700,123.64
2013-12-02,126.11,127.38,124.65,124.78,1161700,124.18
2013-11-29,126.50,127.09,125.96,126.26,568300,125.65
