Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,14.81,14.82,14.39,14.48,3715800,14.48
2014-01-28,14.66,15.08,14.63,15.00,2296900,15.00
2014-01-27,14.88,15.05,14.09,14.61,3681300,14.61
2014-01-24,15.42,15.52,14.71,14.81,3597200,14.81
2014-01-23,15.77,15.96,15.56,15.59,2897000,15.59
2014-01-22,15.70,15.89,15.70,15.77,2051800,15.77
2014-01-21,15.50,15.78,15.41,15.72,3456700,15.72
2014-01-17,15.66,15.75,15.38,15.50,3540400,15.50
2014-01-16,15.65,15.72,15.48,15.69,2333300,15.69
2014-01-15,15.45,15.67,15.37,15.64,3214800,15.64
2014-01-14,15.11,15.47,15.04,15.40,4001100,15.40
2014-01-13,15.25,15.43,14.85,14.99,2943400,14.99
2014-01-10,15.11,15.33,14.90,15.29,5577500,15.29
2014-01-09,14.82,15.11,14.77,15.08,9402500,15.08
2014-01-08,13.87,14.78,13.82,14.76,8697500,14.76
2014-01-07,13.94,14.04,13.75,13.82,4205300,13.82
2014-01-06,14.12,14.21,13.84,13.90,2387700,13.90
2014-01-03,14.07,14.22,14.01,14.07,1788400,14.07
2014-01-02,14.10,14.10,13.95,14.06,3061200,14.06
2013-12-31,14.22,14.37,14.09,14.12,2270300,14.12
2013-12-30,14.36,14.59,14.20,14.22,1854500,14.22
2013-12-27,14.62,14.67,14.26,14.37,1649000,14.37
2013-12-26,14.66,14.80,14.53,14.55,1694700,14.55
2013-12-24,14.63,14.80,14.54,14.63,1127600,14.63
2013-12-23,14.06,14.63,14.03,14.56,5177300,14.56
2013-12-20,13.99,14.35,13.90,13.93,4470300,13.93
2013-12-19,14.07,14.13,13.75,13.97,3922700,13.97
2013-12-18,14.05,14.21,13.67,14.14,4887500,14.14
2013-12-17,14.33,14.33,14.06,14.06,2565200,14.06
2013-12-16,14.25,14.39,13.95,14.30,2579700,14.30
2013-12-13,14.48,14.63,14.21,14.24,2368900,14.24
2013-12-12,13.93,14.51,13.67,14.41,6993900,14.41
2013-12-11,14.15,14.20,13.80,13.91,3321700,13.91
2013-12-10,14.32,14.43,14.15,14.17,2173700,14.17
2013-12-09,14.49,14.63,14.26,14.39,3202800,14.39
2013-12-06,14.77,14.77,14.34,14.50,3203800,14.50
2013-12-05,14.72,14.81,14.52,14.61,4653500,14.61
2013-12-04,14.28,14.56,14.09,14.45,2842900,14.45
2013-12-03,14.31,14.50,14.12,14.33,2637500,14.33
2013-12-02,14.20,14.50,14.17,14.36,3109900,14.36
2013-11-29,14.35,14.38,14.22,14.26,1104100,14.26
2013-11-27,14.25,14.39,14.11,14.28,2797100,14.28
2013-11-26,13.80,14.25,13.79,14.22,4526300,14.22
2013-11-25,13.66,13.88,13.34,13.75,3566800,13.75
2013-11-22,13.50,13.74,13.43,13.66,3444800,13.66
2013-11-21,13.05,13.55,13.00,13.48,5141200,13.48
2013-11-20,13.02,13.41,12.86,13.00,4998200,13.00
2013-11-19,13.03,13.32,12.92,12.95,3939000,12.95
2013-11-18,13.29,13.69,13.02,13.07,5871100,13.07
2013-11-15,13.03,13.37,12.98,13.21,5901100,13.21
2013-11-14,12.71,13.21,12.71,13.03,4442600,13.03
2013-11-13,12.65,12.85,12.57,12.71,5860200,12.71
2013-11-12,12.90,13.16,12.63,12.75,6585000,12.75
2013-11-11,12.98,13.11,12.81,13.04,4617300,13.04
2013-11-08,13.13,13.30,12.85,13.00,9905500,13.00
2013-11-07,14.42,14.42,13.19,13.27,16090600,13.27
2013-11-06,15.04,15.05,14.42,14.52,4005400,14.52
2013-11-05,14.77,15.01,14.75,14.90,7128600,14.90
2013-11-04,14.55,14.76,14.48,14.74,2611100,14.74
2013-11-01,14.53,14.64,14.23,14.52,3741000,14.52
2013-10-31,14.62,14.94,14.51,14.57,4697100,14.57
2013-10-30,14.99,15.15,14.53,14.66,3067700,14.66
2013-10-29,14.75,15.03,14.72,14.96,3416200,14.96
2013-10-28,14.32,14.76,14.31,14.66,3677000,14.66
2013-10-25,14.26,14.37,14.12,14.28,2747200,14.28
2013-10-24,14.19,14.33,14.09,14.18,3306300,14.18
2013-10-23,14.05,14.30,13.95,14.12,2437200,14.12
2013-10-22,14.21,14.36,13.96,14.19,2572800,14.19
2013-10-21,14.36,14.50,14.08,14.14,2006100,14.14
2013-10-18,14.57,14.63,14.16,14.39,3198500,14.39
2013-10-17,14.39,14.50,14.14,14.40,4642500,14.40
2013-10-16,13.88,14.51,13.81,14.46,9353400,14.46
2013-10-15,13.70,13.79,13.37,13.43,2786700,13.43
2013-10-14,13.51,13.79,13.30,13.75,2552500,13.75
2013-10-11,13.55,13.77,13.43,13.67,3792700,13.67
2013-10-10,13.32,13.62,13.30,13.50,5089400,13.50
2013-10-09,13.35,13.45,12.95,13.10,6049500,13.10
2013-10-08,13.82,13.87,13.23,13.32,6420200,13.32
2013-10-07,13.75,13.95,13.68,13.78,1965100,13.78
2013-10-04,13.93,14.14,13.87,13.97,2371300,13.97
2013-10-03,14.02,14.12,13.72,13.93,3206700,13.93
2013-10-02,13.77,14.06,13.75,14.02,2705900,14.02
2013-10-01,13.95,14.28,13.77,13.91,3083400,13.91
2013-09-30,13.60,14.06,13.54,13.93,3447000,13.93
2013-09-27,14.06,14.15,13.83,13.91,3542900,13.91
2013-09-26,14.04,14.24,13.98,14.16,2867100,14.16
2013-09-25,13.74,14.20,13.62,13.94,4929800,13.94
2013-09-24,13.45,13.93,13.28,13.74,3851400,13.74
2013-09-23,13.66,13.72,13.30,13.46,3675000,13.46
2013-09-20,14.07,14.14,13.69,13.73,4293900,13.73
2013-09-19,14.36,14.42,13.92,14.02,4491200,14.02
2013-09-18,14.00,14.36,13.68,14.25,8197200,14.25
2013-09-17,13.81,14.15,13.69,14.05,5566700,14.05
2013-09-16,13.70,13.86,13.54,13.64,3968500,13.64
