Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,43.16,43.89,43.05,43.61,1266900,43.61
2014-01-28,43.50,44.17,43.50,44.10,889400,44.10
2014-01-27,43.84,44.07,43.57,43.81,1681100,43.81
2014-01-24,43.29,44.24,43.02,43.88,4123900,43.88
2014-01-23,46.40,47.38,46.19,46.88,1858200,46.88
2014-01-22,46.15,46.79,46.13,46.52,1394300,46.52
2014-01-21,45.00,46.32,44.62,46.10,1391900,46.10
2014-01-17,45.06,46.03,44.90,45.63,1011700,45.63
2014-01-16,46.05,46.14,45.67,45.81,1093400,45.81
2014-01-15,46.19,46.71,45.91,46.69,1058200,46.69
2014-01-14,46.71,46.71,45.71,45.87,1914500,45.87
2014-01-13,47.70,47.92,46.60,46.83,1057700,46.83
2014-01-10,47.77,47.98,47.56,47.78,516200,47.78
2014-01-09,47.64,48.33,47.34,47.82,1250900,47.82
2014-01-08,47.31,47.96,47.06,47.79,928900,47.79
2014-01-07,46.52,47.75,46.50,47.41,990700,47.41
2014-01-06,46.40,46.73,46.21,46.32,1177000,46.32
2014-01-03,46.85,47.50,46.59,46.75,958000,46.75
2014-01-02,47.01,47.01,46.13,46.20,773400,46.20
2013-12-31,47.27,47.59,46.98,47.08,480800,47.08
2013-12-30,47.17,47.64,47.13,47.21,750900,47.21
2013-12-27,47.28,47.29,46.71,46.96,434700,46.96
2013-12-26,46.99,47.39,46.99,47.28,633300,47.28
2013-12-24,46.89,47.12,46.71,46.95,241700,46.95
2013-12-23,46.49,46.65,46.25,46.61,610700,46.61
2013-12-20,46.07,46.57,45.95,46.09,1618600,46.09
2013-12-19,45.71,45.80,45.25,45.65,1796200,45.65
2013-12-18,45.65,46.04,45.38,45.77,1295300,45.77
2013-12-17,46.31,46.32,45.51,45.86,1476400,45.86
2013-12-16,46.75,46.91,46.11,46.15,1114300,46.15
2013-12-13,46.28,46.82,46.25,46.46,2351300,46.46
2013-12-12,47.60,47.60,45.14,45.36,1422200,45.36
2013-12-11,47.50,47.50,45.31,45.49,2017900,45.49
2013-12-10,47.49,47.98,46.88,47.42,1341800,47.42
2013-12-09,47.97,48.35,47.61,48.13,1083000,48.13
2013-12-06,47.10,48.05,47.10,47.88,1007900,47.88
2013-12-05,47.08,47.42,46.80,47.23,923100,47.23
2013-12-04,47.95,47.98,46.74,47.20,2276600,47.20
