Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,12.77,12.84,12.70,12.76,927500,12.76
2014-01-28,12.73,12.95,12.71,12.85,1180500,12.85
2014-01-27,12.79,12.91,12.68,12.78,1617300,12.78
2014-01-24,12.76,12.91,12.75,12.83,1425100,12.83
2014-01-23,12.62,12.90,12.59,12.90,1643500,12.90
2014-01-22,12.44,12.70,12.43,12.70,1160600,12.70
2014-01-21,12.42,12.54,12.41,12.47,1463500,12.47
2014-01-17,12.34,12.46,12.23,12.45,1344600,12.45
2014-01-16,12.25,12.39,12.07,12.30,1480900,12.30
2014-01-15,12.28,12.54,12.20,12.53,1275600,12.53
2014-01-14,12.32,12.42,12.31,12.38,1307500,12.38
2014-01-13,12.44,12.54,12.32,12.36,1187900,12.36
2014-01-10,12.51,12.62,12.40,12.51,1123400,12.51
2014-01-09,12.50,12.55,12.41,12.49,893500,12.49
2014-01-08,12.55,12.60,12.44,12.50,1589200,12.50
2014-01-07,12.75,12.86,12.63,12.70,1148200,12.70
2014-01-06,12.68,12.93,12.66,12.80,1700200,12.80
2014-01-03,12.56,12.75,12.55,12.69,887500,12.69
2014-01-02,12.65,12.67,12.52,12.59,846300,12.59
2013-12-31,12.69,12.72,12.59,12.72,1063300,12.72
2013-12-30,12.55,12.76,12.53,12.76,1229800,12.76
2013-12-27,12.62,12.71,12.52,12.65,969700,12.65
2013-12-26,12.86,12.91,12.75,12.82,1212500,12.65
2013-12-24,12.78,12.88,12.72,12.86,356200,12.69
2013-12-23,12.88,13.00,12.79,12.82,1181800,12.65
2013-12-20,12.73,12.91,12.71,12.91,3607200,12.74
2013-12-19,12.94,13.00,12.74,12.76,1839200,12.59
2013-12-18,12.76,13.07,12.69,13.03,1564700,12.86
2013-12-17,12.76,12.90,12.74,12.77,1144400,12.60
2013-12-16,12.80,12.90,12.74,12.76,1012700,12.59
2013-12-13,12.76,12.88,12.74,12.79,1040500,12.62
2013-12-12,12.72,12.84,12.68,12.81,1160500,12.64
2013-12-11,13.12,13.12,12.79,12.79,3459500,12.62
2013-12-10,12.90,13.18,12.88,13.15,1272800,12.98
2013-12-09,12.75,12.93,12.75,12.92,1287500,12.75
2013-12-06,12.58,12.80,12.58,12.79,1508800,12.62
2013-12-05,12.62,12.71,12.55,12.60,1957600,12.44
2013-12-04,12.71,12.91,12.68,12.71,1792800,12.55
2013-12-03,12.88,12.99,12.85,12.89,1153800,12.72
2013-12-02,13.28,13.31,12.75,12.99,1824500,12.82
2013-11-29,13.24,13.35,13.17,13.33,692600,13.16
2013-11-27,13.09,13.30,13.05,13.24,1562700,13.07
2013-11-26,13.24,13.35,13.09,13.14,2881900,12.97
2013-11-25,13.35,13.39,13.19,13.20,1016100,13.03
