Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,18.48,18.74,18.32,18.32,1434500,18.32
2014-01-28,18.40,18.76,18.39,18.60,1349700,18.60
2014-01-27,18.50,18.52,17.85,18.31,2012800,18.31
2014-01-24,19.19,19.31,18.53,18.53,1801800,18.53
2014-01-23,19.38,19.54,19.13,19.30,1485300,19.30
2014-01-22,19.64,19.76,19.19,19.37,1785700,19.37
2014-01-21,20.22,20.50,19.84,19.93,1844100,19.67
2014-01-17,20.28,20.35,19.85,20.05,1829400,19.79
2014-01-16,20.10,20.64,20.10,20.38,1245700,20.11
2014-01-15,20.40,20.46,20.20,20.29,1039800,20.03
2014-01-14,19.98,20.32,19.91,20.31,1549900,20.05
2014-01-13,20.02,20.25,19.75,19.90,1460400,19.64
2014-01-10,19.88,20.10,19.65,20.09,1132000,19.83
2014-01-09,19.87,20.00,19.65,19.83,1115400,19.57
2014-01-08,19.69,19.82,19.57,19.82,1843800,19.56
2014-01-07,19.60,19.82,19.45,19.70,3025000,19.44
2014-01-06,19.84,19.95,19.45,19.61,1568500,19.35
2014-01-03,19.75,19.84,19.53,19.76,1269200,19.50
2014-01-02,20.17,20.26,19.68,19.76,1610200,19.50
2013-12-31,20.59,20.89,20.21,20.28,3806300,20.02
2013-12-30,19.90,20.62,19.85,20.60,4045100,20.33
2013-12-27,19.81,20.00,19.77,20.00,1993800,19.74
2013-12-26,19.25,19.89,19.20,19.82,2517900,19.56
2013-12-24,19.14,19.44,19.06,19.18,671600,18.93
2013-12-23,18.77,19.21,18.73,19.12,1752400,18.87
2013-12-20,18.22,18.91,18.11,18.67,10675700,18.43
2013-12-19,18.44,18.69,18.15,18.18,2014600,17.94
2013-12-18,18.34,18.57,18.26,18.44,2256900,18.20
2013-12-17,18.83,18.83,18.25,18.27,2505400,18.03
2013-12-16,18.99,19.00,18.36,18.84,3202400,18.59
2013-12-13,18.94,19.09,18.72,19.00,1615100,18.75
2013-12-12,19.15,19.15,18.69,18.84,1790500,18.59
2013-12-11,19.07,19.45,18.93,19.02,1991600,18.77
2013-12-10,19.46,19.50,18.94,19.08,2029300,18.83
2013-12-09,19.53,19.80,19.49,19.53,1515900,19.28
2013-12-06,19.28,19.55,18.88,19.51,2010200,19.26
2013-12-05,19.19,19.32,19.02,19.12,1688300,18.87
2013-12-04,19.01,19.32,18.96,19.26,2513300,19.01
2013-12-03,18.65,19.11,18.62,19.06,3142900,18.81
2013-12-02,18.45,18.76,18.29,18.73,2385900,18.49
2013-11-29,18.17,18.59,18.17,18.50,944500,18.26
2013-11-27,18.03,18.29,18.00,18.25,2593500,18.01
2013-11-26,17.98,18.21,17.95,18.10,4747800,17.86
2013-11-25,17.97,17.98,17.57,17.86,2195000,17.63
2013-11-22,17.26,17.42,17.15,17.31,970200,17.08
2013-11-21,16.85,17.33,16.85,17.29,1365600,17.06
2013-11-20,16.92,16.93,16.62,16.78,1669000,16.56
2013-11-19,17.10,17.39,16.88,16.94,1661600,16.72
2013-11-18,17.16,17.39,17.08,17.11,1839900,16.89
2013-11-15,16.71,17.23,16.61,17.19,2074700,16.97
2013-11-14,16.68,16.68,16.43,16.54,1547700,16.32
2013-11-13,16.45,16.69,16.32,16.66,2062500,16.44
2013-11-12,16.44,16.58,16.42,16.56,2827400,16.34
2013-11-11,17.09,17.19,16.74,16.76,2759400,16.28
2013-11-08,17.38,17.39,16.96,17.02,2968300,16.54
2013-11-07,17.93,17.99,17.32,17.36,3284400,16.87
2013-11-06,18.78,18.93,17.85,17.98,3016900,17.47
2013-11-05,18.93,18.98,18.13,18.74,2499100,18.21
2013-11-04,18.53,18.97,18.48,18.90,2706300,18.36
2013-11-01,18.56,18.65,18.32,18.57,1376700,18.04
2013-10-31,18.29,18.67,18.25,18.57,1796400,18.04
2013-10-30,18.29,18.40,18.01,18.25,1849600,17.73
2013-10-29,17.93,18.37,17.89,18.28,1531000,17.76
2013-10-28,17.98,18.00,17.82,17.90,1298500,17.39
2013-10-25,17.83,17.99,17.71,17.95,1973900,17.44
2013-10-24,17.08,18.28,17.08,17.90,7195300,17.39
2013-10-23,16.74,16.81,16.51,16.69,2001700,16.22
2013-10-22,16.62,16.85,16.57,16.75,2197300,16.28
2013-10-21,16.74,16.79,16.50,16.57,1752400,16.10
2013-10-18,16.78,16.85,16.66,16.70,1274600,16.23
2013-10-17,16.81,16.95,16.68,16.73,1269200,16.26
2013-10-16,16.79,17.01,16.71,16.92,3250300,16.44
2013-10-15,16.57,16.79,16.51,16.71,2404400,16.24
2013-10-14,16.25,16.66,16.21,16.64,1282400,16.17
2013-10-11,16.23,16.48,16.16,16.37,1988600,15.91
2013-10-10,15.98,16.38,15.87,16.26,1405400,15.80
2013-10-09,15.82,15.89,15.63,15.74,1749500,15.29
2013-10-08,15.77,15.86,15.67,15.85,3245300,15.40
2013-10-07,15.90,15.98,15.71,15.83,1558100,15.38
2013-10-04,15.98,16.20,15.96,16.03,1391900,15.58
2013-10-03,15.94,16.11,15.90,15.99,1980100,15.54
2013-10-02,16.02,16.15,15.93,15.98,1577900,15.53
2013-10-01,15.80,16.29,15.72,16.12,2455900,15.66
2013-09-30,15.66,15.91,15.64,15.78,1451800,15.33
2013-09-27,15.66,15.97,15.60,15.85,1524400,15.40
2013-09-26,15.63,15.77,15.60,15.69,1573600,15.25
2013-09-25,15.50,15.68,15.34,15.60,1653200,15.16
2013-09-24,15.46,15.56,15.37,15.46,2000200,15.02
2013-09-23,15.59,15.66,15.45,15.46,1288200,15.02
2013-09-20,15.91,16.00,15.49,15.59,2551200,15.15
2013-09-19,16.23,16.29,15.87,15.88,1348400,15.43
2013-09-18,16.50,16.55,15.91,16.23,2132700,15.77
2013-09-17,16.35,16.68,16.32,16.57,1676500,16.10
2013-09-16,16.75,16.89,16.40,16.40,1747900,15.93
2013-09-13,16.52,16.74,16.47,16.58,1268700,16.11
2013-09-12,16.63,16.75,16.47,16.47,1607500,16.00
2013-09-11,16.70,16.87,16.52,16.67,1866400,16.20
2013-09-10,16.38,16.92,16.38,16.75,3316400,16.28
2013-09-09,16.23,16.36,16.15,16.32,1464300,15.86
2013-09-06,16.35,16.50,15.94,16.16,2582800,15.70
2013-09-05,16.46,16.53,16.24,16.26,1731200,15.80
2013-09-04,16.42,16.52,16.16,16.48,3123300,16.01
2013-09-03,16.95,17.18,16.34,16.43,3075300,15.96
2013-08-30,17.02,17.07,16.59,16.68,1916800,16.21
2013-08-29,16.78,17.19,16.78,16.99,1268100,16.51
2013-08-28,16.93,17.10,16.62,16.79,2429500,16.31
2013-08-27,16.87,17.19,16.86,16.91,1580300,16.43
2013-08-26,17.45,17.48,16.94,17.09,1846400,16.61
2013-08-23,17.50,17.61,17.35,17.48,1245500,16.98
2013-08-22,17.25,17.64,17.25,17.49,1074700,16.99
2013-08-21,17.43,17.50,16.97,17.23,1715800,16.74
2013-08-20,17.27,17.48,17.21,17.45,2188100,16.96
2013-08-19,17.18,17.43,17.18,17.28,1951300,16.79
2013-08-16,17.74,17.80,16.75,17.55,4234100,17.05
2013-08-15,18.30,18.38,17.81,17.85,2708500,17.34
2013-08-14,18.69,18.83,18.31,18.43,2802600,17.91
2013-08-13,19.07,19.20,18.68,18.75,2785000,18.22
2013-08-12,19.25,19.29,19.00,19.20,2495400,18.40
2013-08-09,19.08,19.25,19.03,19.19,2568500,18.39
2013-08-08,19.00,19.18,18.95,19.08,2843100,18.29
