Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,44.50,44.90,44.02,44.08,1110000,44.08
2014-01-28,45.11,45.17,43.63,44.42,2647400,44.42
2014-01-27,44.62,45.43,43.76,45.18,5631600,45.18
2014-01-24,41.75,41.83,41.10,41.18,1043300,41.18
2014-01-23,42.06,42.19,41.52,41.81,885100,41.81
2014-01-22,42.21,42.36,42.15,42.18,603200,42.18
2014-01-21,42.14,42.30,41.84,42.18,773500,42.18
2014-01-17,41.35,41.94,41.23,41.91,1282900,41.91
2014-01-16,41.14,41.55,40.81,41.38,1454100,41.38
2014-01-15,41.51,41.55,41.17,41.20,866800,41.20
2014-01-14,41.60,41.81,41.48,41.55,1209300,41.55
2014-01-13,42.00,42.05,41.35,41.53,913800,41.53
2014-01-10,42.32,42.43,41.76,42.00,1061200,42.00
2014-01-09,42.43,42.56,41.77,41.97,780000,41.97
2014-01-08,42.58,42.71,42.21,42.39,1278700,42.39
2014-01-07,42.68,42.74,42.39,42.58,1361500,42.58
2014-01-06,43.10,43.22,42.66,42.67,804300,42.67
2014-01-03,42.64,43.09,42.59,42.95,752900,42.95
2014-01-02,42.10,42.65,41.95,42.55,1476000,42.55
2013-12-31,42.75,42.88,42.05,42.10,1143900,42.10
2013-12-30,42.68,42.99,42.60,42.74,711400,42.74
2013-12-27,42.63,42.80,42.39,42.63,617600,42.63
2013-12-26,42.88,43.50,42.44,42.48,657000,42.48
2013-12-24,42.46,42.97,42.37,42.88,284900,42.88
2013-12-23,42.78,43.02,42.52,42.57,724000,42.57
2013-12-20,42.43,43.00,42.33,42.68,1839700,42.68
2013-12-19,42.65,42.79,42.01,42.33,1792800,42.33
2013-12-18,41.60,42.99,41.48,42.63,3305300,42.63
2013-12-17,40.44,41.23,39.49,41.19,4219900,41.19
2013-12-16,42.21,42.49,41.85,41.90,1249200,41.90
2013-12-13,41.79,42.60,41.79,42.21,1542400,42.21
2013-12-12,43.00,43.06,41.67,42.10,2390600,41.61
2013-12-11,43.81,43.81,43.09,43.20,1110900,42.70
2013-12-10,43.94,44.16,43.66,43.69,1241600,43.18
2013-12-09,44.10,44.33,43.71,43.90,1073000,43.39
2013-12-06,44.24,44.49,43.94,44.07,884400,43.56
2013-12-05,44.29,44.31,43.81,43.87,1106900,43.36
2013-12-04,44.10,44.76,44.04,44.28,710200,43.76
2013-12-03,44.10,44.74,44.03,44.31,596300,43.79
2013-12-02,44.14,44.60,43.81,44.15,800100,43.64
2013-11-29,44.80,44.80,44.11,44.11,479500,43.60
2013-11-27,44.00,45.01,43.90,44.70,1506700,44.18
2013-11-26,44.26,44.32,43.79,43.80,1122600,43.29
2013-11-25,44.38,44.47,43.94,44.26,804800,43.74
2013-11-22,44.51,44.59,44.03,44.45,940800,43.93
2013-11-21,44.10,44.74,43.98,44.40,1121600,43.88
2013-11-20,44.17,44.45,43.33,43.66,1106200,43.15
2013-11-19,44.20,44.39,43.80,44.02,1150500,43.51
2013-11-18,44.37,44.70,44.13,44.19,1383000,43.68
