Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,22.40,22.48,22.15,22.22,1587800,22.22
2014-01-28,22.22,22.49,22.22,22.45,1635200,22.45
2014-01-27,22.57,22.62,22.21,22.22,1486600,22.22
2014-01-24,22.77,22.84,22.42,22.49,1639500,22.49
2014-01-23,22.62,22.95,22.51,22.91,1847900,22.91
2014-01-22,22.52,22.71,22.47,22.71,1262900,22.71
2014-01-21,22.24,22.56,22.22,22.39,1715000,22.39
2014-01-17,22.41,22.44,21.97,22.14,2075800,22.14
2014-01-16,22.21,22.42,22.21,22.41,886600,22.41
2014-01-15,22.25,22.43,22.23,22.23,1177400,22.23
2014-01-14,21.95,22.32,21.94,22.22,1698700,22.22
2014-01-13,22.09,22.10,21.87,21.89,1875500,21.89
2014-01-10,21.66,22.10,21.66,22.07,1652500,22.07
2014-01-09,21.67,21.79,21.31,21.55,2247100,21.55
2014-01-08,22.30,22.30,21.96,22.00,2294700,21.61
2014-01-07,22.15,22.34,22.10,22.29,2429600,21.89
2014-01-06,22.33,22.47,22.18,22.35,2342500,21.95
2014-01-03,22.13,22.36,22.05,22.21,1193600,21.82
2014-01-02,22.26,22.26,21.90,22.10,1595800,21.71
2013-12-31,22.37,22.47,22.19,22.23,1194000,21.84
2013-12-30,22.11,22.41,22.11,22.33,877000,21.93
2013-12-27,22.20,22.33,22.08,22.10,1197900,21.71
2013-12-26,22.27,22.46,22.14,22.23,1193700,21.84
2013-12-24,22.18,22.28,22.10,22.27,956200,21.88
2013-12-23,22.41,22.44,22.17,22.21,2182900,21.82
2013-12-20,22.06,22.30,22.00,22.29,1583300,21.89
2013-12-19,22.62,22.65,21.96,22.03,1663300,21.64
2013-12-18,22.51,22.82,22.06,22.79,1870100,22.39
2013-12-17,22.15,22.41,22.07,22.40,1259900,22.00
2013-12-16,22.06,22.25,21.91,22.18,1515600,21.79
2013-12-13,21.93,22.19,21.83,22.02,1128300,21.63
2013-12-12,21.91,21.98,21.66,21.85,1989900,21.46
2013-12-11,22.54,22.54,21.96,21.99,1800300,21.60
2013-12-10,22.83,22.92,22.60,22.60,1082500,22.20
2013-12-09,22.63,22.91,22.43,22.89,1425200,22.48
2013-12-06,22.61,22.72,22.43,22.53,965800,22.13
2013-12-05,22.26,22.50,22.08,22.45,1169500,22.05
2013-12-04,22.11,22.43,22.03,22.27,1537800,21.88
2013-12-03,22.25,22.51,22.20,22.27,1186100,21.88
2013-12-02,22.60,22.70,22.27,22.34,1388300,21.94
2013-11-29,22.95,23.01,22.60,22.65,875900,22.25
2013-11-27,22.69,22.97,22.60,22.97,1337400,22.56
2013-11-26,22.87,22.91,22.60,22.62,1356000,22.22
2013-11-25,23.00,23.07,22.78,22.86,900700,22.45
2013-11-22,23.16,23.16,22.89,23.00,1185500,22.59
2013-11-21,23.09,23.26,22.94,23.13,1040500,22.72
2013-11-20,23.17,23.41,22.89,22.95,1193200,22.54
2013-11-19,23.27,23.38,23.06,23.15,1201100,22.74
2013-11-18,23.65,23.68,23.32,23.35,1057100,22.94
2013-11-15,23.61,23.75,23.51,23.58,1199000,23.16
2013-11-14,23.57,23.77,23.56,23.63,1262100,23.21
2013-11-13,23.10,23.46,23.04,23.46,1159100,23.04
2013-11-12,23.26,23.39,23.00,23.09,1272200,22.68
2013-11-11,23.48,23.57,23.34,23.35,1052800,22.94
2013-11-08,23.82,23.82,23.14,23.40,1291600,22.99
2013-11-07,24.21,24.26,23.87,23.90,998500,23.48
2013-11-06,24.23,24.46,24.19,24.21,863100,23.78
2013-11-05,24.58,24.58,24.07,24.13,1001100,23.70
2013-11-04,24.73,24.75,24.37,24.64,934200,24.20
2013-11-01,24.67,24.95,24.51,24.73,1178700,24.29
2013-10-31,24.68,24.82,24.45,24.64,1277700,24.20
2013-10-30,24.74,24.95,24.65,24.68,1097600,24.24
2013-10-29,24.87,25.20,24.64,24.78,980200,24.34
2013-10-28,25.31,25.35,24.77,24.98,1350800,24.54
2013-10-25,24.93,25.35,24.85,25.30,975900,24.85
2013-10-24,24.85,24.98,24.70,24.93,866500,24.49
2013-10-23,24.74,24.88,24.60,24.82,1077300,24.38
2013-10-22,24.40,24.80,24.32,24.74,1254200,24.30
2013-10-21,24.49,24.49,24.20,24.41,1115300,23.98
2013-10-18,24.60,24.63,24.22,24.50,1278200,24.07
2013-10-17,24.01,24.65,23.92,24.60,2704200,24.16
2013-10-16,23.67,24.08,23.66,24.07,1196200,23.64
2013-10-15,23.87,23.88,23.52,23.64,1804900,23.22
2013-10-14,24.03,24.24,23.90,24.19,1604300,23.38
2013-10-11,23.90,24.18,23.73,24.18,1125900,23.37
2013-10-10,23.54,24.01,23.53,23.98,1476600,23.18
2013-10-09,23.55,23.77,23.28,23.37,1905500,22.59
2013-10-08,23.56,23.80,23.48,23.50,1329500,22.71
2013-10-07,23.35,23.77,23.26,23.55,1079800,22.76
2013-10-04,23.49,23.64,23.32,23.45,1239600,22.66
