Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,10.55,10.65,10.48,10.52,2548700,10.52
2014-01-28,10.53,10.66,10.49,10.64,8368200,10.64
2014-01-27,10.57,10.64,10.42,10.48,4531500,10.48
2014-01-24,10.65,10.78,10.59,10.60,3677400,10.60
2014-01-23,10.67,10.79,10.64,10.78,4252000,10.78
2014-01-22,10.62,10.75,10.59,10.69,4954500,10.69
2014-01-21,10.45,10.59,10.44,10.56,3593700,10.56
2014-01-17,10.45,10.52,10.37,10.45,3318400,10.45
2014-01-16,10.44,10.53,10.39,10.48,3930900,10.48
2014-01-15,10.45,10.62,10.43,10.47,6910200,10.47
2014-01-14,10.20,10.52,10.16,10.45,8713300,10.45
2014-01-13,10.23,10.30,10.16,10.21,5425800,10.21
2014-01-10,10.00,10.32,9.98,10.24,9248500,10.24
2014-01-09,9.92,10.03,9.79,10.00,3375300,10.00
2014-01-08,9.90,9.91,9.76,9.89,2103800,9.89
2014-01-07,9.80,9.95,9.76,9.90,4384400,9.90
2014-01-06,9.82,9.85,9.72,9.83,3154600,9.83
2014-01-03,9.84,9.87,9.77,9.83,2251400,9.83
2014-01-02,9.85,9.87,9.75,9.84,1595400,9.84
2013-12-31,9.71,9.89,9.71,9.83,2060000,9.83
2013-12-30,9.68,9.82,9.68,9.77,1403100,9.77
2013-12-27,9.72,9.73,9.62,9.71,2306000,9.71
2013-12-26,9.82,9.94,9.82,9.89,1330800,9.72
2013-12-24,9.62,9.90,9.54,9.88,4495400,9.71
2013-12-23,9.84,9.94,9.81,9.83,3077400,9.67
2013-12-20,9.82,9.90,9.81,9.85,2952000,9.68
2013-12-19,9.96,9.98,9.79,9.84,2759600,9.67
2013-12-18,9.93,10.06,9.79,10.01,3833100,9.84
2013-12-17,9.90,9.95,9.79,9.91,1658000,9.74
2013-12-16,9.85,9.88,9.77,9.84,1720500,9.67
2013-12-13,9.64,9.84,9.59,9.82,2019800,9.66
2013-12-12,9.63,9.67,9.52,9.65,3219400,9.49
2013-12-11,9.77,9.85,9.62,9.68,2938100,9.52
2013-12-10,9.84,9.97,9.83,9.88,1729900,9.71
2013-12-09,9.72,9.90,9.72,9.89,1845200,9.72
2013-12-06,9.83,9.83,9.69,9.75,2238800,9.59
2013-12-05,9.73,9.82,9.67,9.71,2631400,9.55
2013-12-04,9.79,9.88,9.69,9.83,2458300,9.67
