Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,89.94,90.52,89.94,90.22,2082400,90.22
2014-01-28,90.20,90.80,89.93,90.20,1484300,90.20
2014-01-27,90.51,90.83,89.93,90.06,1216900,90.06
2014-01-24,91.47,92.19,90.26,90.28,1490100,90.28
2014-01-23,92.43,92.60,91.50,92.21,812200,92.21
2014-01-22,92.80,93.53,92.67,92.81,880900,92.81
2014-01-21,92.28,92.97,91.78,92.93,700900,92.93
2014-01-17,92.33,92.45,91.73,91.95,650900,91.95
2014-01-16,92.05,92.19,91.32,92.14,672000,92.14
2014-01-15,91.88,92.75,91.78,92.00,1486800,92.00
2014-01-14,90.90,91.69,90.53,91.67,996000,91.67
2014-01-13,91.55,92.17,90.65,90.86,872900,90.86
2014-01-10,90.92,92.97,90.89,91.93,1349300,91.93
2014-01-09,89.91,90.35,89.77,90.33,1275400,90.33
2014-01-08,90.36,90.64,89.56,89.74,2138200,89.74
2014-01-07,89.13,90.62,89.13,90.50,1472500,90.50
2014-01-06,87.03,89.24,86.73,89.16,1614000,89.16
2014-01-03,88.41,89.15,88.11,88.80,1177200,88.80
2014-01-02,89.55,89.67,88.13,88.44,1327200,88.44
2013-12-31,89.69,89.99,89.54,89.76,892200,89.76
2013-12-30,89.25,89.76,88.97,89.49,1081100,89.49
2013-12-27,89.50,89.50,88.69,89.19,669700,89.19
2013-12-26,89.55,89.82,89.06,89.45,1700300,88.82
2013-12-24,88.79,89.63,88.46,89.46,729200,88.83
2013-12-23,89.99,90.00,88.66,88.97,1378900,88.34
2013-12-20,88.46,90.42,88.46,89.80,1926900,89.17
2013-12-19,87.91,88.44,87.11,88.31,949900,87.69
2013-12-18,87.37,88.47,86.00,88.44,2059600,87.82
2013-12-17,87.18,87.31,86.41,87.25,1173600,86.64
2013-12-16,86.91,87.44,86.56,86.90,517900,86.29
2013-12-13,86.71,86.95,86.23,86.49,513500,85.88
2013-12-12,86.82,87.68,86.56,86.61,811700,86.00
2013-12-11,87.87,87.88,86.73,86.84,914200,86.23
2013-12-10,87.80,88.49,87.26,87.88,1781300,87.26
2013-12-09,88.01,88.20,87.28,87.74,892700,87.12
2013-12-06,87.86,88.67,87.44,88.07,1145700,87.45
2013-12-05,87.76,87.95,87.13,87.38,800600,86.76
2013-12-04,87.66,88.07,86.92,87.99,1109600,87.37
2013-12-03,87.80,88.56,87.60,88.30,1045400,87.68
2013-12-02,88.31,89.07,87.62,88.06,1467700,87.44
2013-11-29,87.61,88.90,87.61,88.44,615800,87.82
2013-11-27,88.18,88.54,87.83,88.52,1679900,87.90
2013-11-26,88.78,88.90,87.62,88.36,2454800,87.74
2013-11-25,89.63,90.23,89.21,89.33,980400,88.70
2013-11-22,89.59,89.90,88.81,89.49,1126600,88.86
2013-11-21,89.65,90.40,89.43,89.81,1008600,89.18
2013-11-20,90.51,91.04,89.18,89.32,660700,88.69
2013-11-19,90.86,90.98,90.35,90.51,745000,89.87
2013-11-18,91.40,91.48,90.62,90.99,618100,90.35
2013-11-15,89.78,91.18,89.70,91.16,1120300,90.52
2013-11-14,89.96,90.47,89.62,90.00,1227100,89.37
2013-11-13,88.51,89.79,88.10,89.49,1163000,88.86
2013-11-12,89.56,89.65,88.32,88.83,585000,88.20
2013-11-11,89.50,90.15,89.33,89.64,797700,89.01
2013-11-08,89.72,89.75,88.04,89.63,1676600,89.00
2013-11-07,92.00,92.22,89.96,90.14,1332700,89.51
2013-11-06,90.50,92.57,90.33,91.97,2152600,91.32
2013-11-05,91.92,92.93,90.46,90.48,1643900,89.84
2013-11-04,92.08,93.00,91.14,91.93,744600,91.28
2013-11-01,91.31,91.93,90.94,91.72,925100,91.07
2013-10-31,91.64,92.08,90.68,91.14,998000,90.50
2013-10-30,91.96,92.74,91.43,91.82,830700,91.17
2013-10-29,91.20,92.19,90.80,92.10,941200,91.45
2013-10-28,91.22,91.88,90.67,91.16,884500,90.52
2013-10-25,89.97,91.25,89.55,91.21,755000,90.57
2013-10-24,90.72,90.75,89.54,90.07,786400,89.44
2013-10-23,90.92,91.37,90.19,90.62,685900,89.98
2013-10-22,90.07,91.21,88.33,90.76,914400,90.12
2013-10-21,90.31,90.73,89.48,89.76,891300,89.13
2013-10-18,89.91,90.75,89.67,90.43,1323200,89.79
2013-10-17,87.50,89.62,86.99,89.51,1152600,88.88
2013-10-16,87.00,87.86,86.61,87.69,1135800,87.07
2013-10-15,86.72,86.79,85.60,85.66,983600,85.06
2013-10-14,87.29,87.56,86.08,87.05,776400,86.44
2013-10-11,86.92,87.74,86.92,87.51,719500,86.89
2013-10-10,85.70,87.45,85.42,87.25,1116300,86.64
2013-10-09,85.39,86.54,85.12,85.23,1005500,84.63
2013-10-08,85.36,86.17,84.89,85.43,1152000,84.83
2013-10-07,85.03,85.99,84.99,85.46,686900,84.86
2013-10-04,85.40,85.96,85.29,85.49,1141500,84.89
