Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,16.85,16.96,16.47,16.60,4556500,16.60
2014-01-28,16.67,16.91,16.21,16.85,8353800,16.85
2014-01-27,17.13,17.13,16.45,16.48,6213900,16.48
2014-01-24,17.50,17.50,16.95,16.96,2778200,16.96
2014-01-23,17.85,17.90,17.54,17.57,3729300,17.57
2014-01-22,18.02,18.03,17.80,17.90,2519300,17.90
2014-01-21,18.40,18.49,17.89,17.97,3170800,17.97
2014-01-17,18.71,18.75,18.36,18.39,2453300,18.39
2014-01-16,18.62,18.86,18.58,18.65,2281600,18.65
2014-01-15,18.62,18.75,18.39,18.58,2017200,18.58
2014-01-14,18.65,18.70,18.35,18.55,3214200,18.55
2014-01-13,19.07,19.21,18.51,18.55,2346900,18.55
2014-01-10,19.17,19.17,18.97,19.10,1031500,19.10
2014-01-09,19.32,19.32,19.05,19.11,1774100,19.11
2014-01-08,18.97,19.31,18.81,19.22,1575600,19.22
2014-01-07,18.91,19.17,18.80,18.99,1705000,18.99
2014-01-06,19.19,19.25,18.59,18.87,2190200,18.87
2014-01-03,19.24,19.32,19.07,19.16,1167400,19.16
2014-01-02,19.40,19.53,19.05,19.20,1519500,19.20
2013-12-31,19.46,19.66,19.44,19.54,1172300,19.54
2013-12-30,19.59,19.74,19.33,19.41,1781400,19.41
2013-12-27,19.24,19.72,19.14,19.70,1312800,19.70
2013-12-26,19.45,19.50,19.33,19.34,1379100,19.23
2013-12-24,18.92,19.41,18.81,19.36,1613500,19.25
2013-12-23,18.56,18.83,18.47,18.82,1605900,18.71
2013-12-20,18.61,18.69,18.46,18.53,2589000,18.42
2013-12-19,18.33,18.77,18.32,18.57,1908300,18.46
2013-12-18,18.83,18.88,18.00,18.33,4842400,18.23
2013-12-17,18.85,19.01,18.80,18.94,1173100,18.83
2013-12-16,18.85,19.01,18.75,18.96,1519700,18.85
2013-12-13,18.65,18.82,18.65,18.78,894300,18.67
2013-12-12,18.82,18.83,18.55,18.66,1985000,18.55
2013-12-11,18.90,19.08,18.63,18.66,1690400,18.55
2013-12-10,19.06,19.22,18.90,18.93,1046900,18.82
2013-12-09,18.84,19.08,18.79,19.04,1454800,18.93
2013-12-06,18.98,19.08,18.73,18.81,1270500,18.70
2013-12-05,18.54,18.83,18.54,18.79,1759000,18.68
2013-12-04,18.23,18.81,18.18,18.65,2287900,18.54
2013-12-03,18.11,18.34,17.97,18.13,2027600,18.03
2013-12-02,18.21,18.38,18.05,18.16,1764400,18.06
2013-11-29,18.24,18.38,18.09,18.22,1188000,18.12
2013-11-27,18.43,18.49,18.06,18.15,1951100,18.05
2013-11-26,18.37,18.51,18.16,18.36,2572300,18.26
2013-11-25,18.68,18.73,18.29,18.41,1900300,18.31
2013-11-22,18.64,18.93,18.64,18.68,1661600,18.57
2013-11-21,19.02,19.07,18.79,18.93,1679200,18.82
2013-11-20,19.10,19.24,18.83,18.93,1300800,18.82
2013-11-19,18.93,19.30,18.89,19.04,2263900,18.93
2013-11-18,19.06,19.10,18.82,18.93,2107500,18.82
2013-11-15,19.11,19.20,19.01,19.02,1090000,18.91
2013-11-14,19.02,19.13,18.80,19.11,1988900,19.00
2013-11-13,18.69,19.05,18.62,19.05,2415800,18.94
2013-11-12,19.14,19.23,18.85,19.02,2274900,18.91
2013-11-11,19.15,19.39,19.09,19.25,1733600,19.14
2013-11-08,18.57,19.33,18.48,19.16,2915000,19.05
2013-11-07,18.90,18.99,18.46,18.51,2139900,18.40
2013-11-06,18.81,18.96,18.65,18.84,1197200,18.73
2013-11-05,18.70,18.87,18.48,18.73,1819000,18.62
2013-11-04,18.85,18.99,18.71,18.85,3061100,18.74
