Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,30.00,30.40,29.98,30.13,1734200,30.13
2014-01-28,30.11,30.47,30.00,30.15,2602200,30.15
2014-01-27,30.25,30.47,29.95,30.03,2337100,30.03
2014-01-24,30.49,30.49,29.75,30.18,3701800,30.18
2014-01-23,30.30,30.67,30.01,30.67,4154900,30.67
2014-01-22,29.23,30.55,29.21,30.48,4619800,30.48
2014-01-21,28.88,29.30,28.88,29.14,3189200,29.14
2014-01-17,28.75,29.16,28.71,28.91,2004300,28.91
2014-01-16,28.73,28.87,28.62,28.69,1973100,28.69
2014-01-15,28.65,28.74,28.42,28.68,1388600,28.68
2014-01-14,28.22,28.80,28.15,28.46,2761100,28.46
2014-01-13,28.09,28.22,28.00,28.21,918200,28.21
2014-01-10,28.13,28.33,27.99,28.14,803300,28.14
2014-01-09,28.20,28.28,27.96,28.03,1375700,28.03
2014-01-08,28.10,28.20,27.85,28.18,880900,28.18
2014-01-07,28.08,28.33,28.00,28.10,1161700,28.10
2014-01-06,27.93,28.17,27.88,28.05,1502400,28.05
2014-01-03,27.73,28.00,27.64,27.94,1311600,27.94
2014-01-02,27.64,27.74,27.55,27.71,1272000,27.71
2013-12-31,27.46,27.81,27.45,27.70,1110000,27.70
2013-12-30,27.18,27.46,27.15,27.46,1023900,27.46
2013-12-27,27.42,27.42,27.01,27.16,1357700,27.16
2013-12-26,27.90,28.00,27.60,27.76,1143900,27.76
2013-12-24,27.77,27.85,27.74,27.84,352200,27.84
2013-12-23,27.91,27.95,27.53,27.65,2905200,27.65
2013-12-20,27.61,27.87,27.61,27.85,1968700,27.85
2013-12-19,28.03,28.09,27.60,27.62,1534300,27.62
2013-12-18,28.10,28.31,27.71,28.16,2071900,28.16
2013-12-17,27.63,28.00,27.57,27.95,1575900,27.95
2013-12-16,27.43,27.63,27.35,27.55,1131600,27.55
2013-12-13,27.39,27.62,27.19,27.32,1427200,27.32
2013-12-12,27.69,27.78,27.29,27.35,1976400,27.35
2013-12-11,28.04,28.05,27.66,27.77,2364400,27.77
2013-12-10,28.01,28.24,27.99,28.02,968400,28.02
2013-12-09,27.92,28.09,27.90,28.01,1264000,28.01
2013-12-06,27.63,27.89,27.53,27.89,1833700,27.89
2013-12-05,27.58,27.62,27.37,27.56,1940500,27.56
2013-12-04,27.32,27.70,27.27,27.67,1616800,27.67
2013-12-03,27.47,27.61,27.35,27.54,2023100,27.54
2013-12-02,27.88,28.05,27.49,27.57,1635800,27.57
2013-11-29,27.80,27.95,27.70,27.87,858900,27.87
2013-11-27,27.42,28.00,27.35,27.92,2588500,27.92
2013-11-26,27.30,27.45,27.12,27.44,1880500,27.44
2013-11-25,27.13,27.47,27.13,27.35,2172800,27.35
