Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,83.62,84.61,82.58,82.64,1482400,82.64
2014-01-28,82.64,84.59,82.64,84.06,1207300,84.06
2014-01-27,83.63,83.99,81.64,82.49,1665700,82.49
2014-01-24,85.21,85.33,83.09,83.13,1707000,83.13
2014-01-23,86.59,87.01,85.52,85.83,1228000,85.83
2014-01-22,86.08,87.24,85.81,87.19,996800,87.19
2014-01-21,87.20,87.58,86.14,86.36,1230800,86.36
2014-01-17,87.69,88.39,86.58,86.71,1556400,86.71
2014-01-16,88.28,88.29,87.11,87.76,1113700,87.76
2014-01-15,88.57,89.40,88.14,88.44,1058700,88.44
2014-01-14,88.02,88.97,87.80,88.25,1469300,88.25
2014-01-13,90.30,90.48,86.85,87.44,2279500,87.44
2014-01-10,93.00,93.21,89.70,90.36,2508400,90.36
2014-01-09,91.20,92.77,90.92,92.01,1233700,92.01
2014-01-08,92.10,92.11,91.25,91.70,694800,91.70
2014-01-07,92.20,92.42,91.17,92.15,680100,92.15
2014-01-06,92.47,92.89,91.51,91.64,801000,91.64
2014-01-03,92.42,92.61,92.00,92.28,599600,92.28
2014-01-02,92.20,93.64,92.04,92.55,862000,92.55
2013-12-31,92.26,93.02,91.87,92.78,635300,92.78
2013-12-30,91.43,92.18,90.91,92.09,689000,92.09
2013-12-27,91.40,92.00,90.61,90.87,560300,90.87
2013-12-26,91.08,91.18,90.59,90.97,497500,90.97
2013-12-24,90.50,91.41,90.39,91.03,288100,91.03
2013-12-23,89.50,91.37,89.49,90.50,1267200,90.50
2013-12-20,90.83,91.38,90.47,90.62,1081200,90.62
2013-12-19,90.85,91.20,90.29,90.43,806200,90.43
2013-12-18,90.24,91.51,88.97,91.47,1166200,91.47
2013-12-17,90.86,90.97,89.93,90.32,891200,89.98
2013-12-16,89.16,91.10,89.16,90.85,962500,90.51
2013-12-13,89.30,89.78,88.84,89.31,611400,88.97
2013-12-12,89.21,89.50,88.63,89.20,678900,88.86
2013-12-11,90.04,90.30,88.87,89.10,885500,88.76
2013-12-10,90.00,90.52,89.49,90.09,692300,89.75
2013-12-09,89.86,90.93,89.86,90.33,868000,89.99
2013-12-06,90.46,90.55,88.86,89.70,1087500,89.36
2013-12-05,89.92,90.74,88.97,89.70,1500600,89.36
2013-12-04,88.12,89.47,88.00,88.58,871000,88.25
2013-12-03,87.90,89.09,87.63,88.42,1087000,88.09
2013-12-02,89.14,89.42,87.83,88.04,1152600,87.71
2013-11-29,88.63,89.72,87.92,89.14,1009300,88.80
2013-11-27,88.15,88.83,87.42,88.16,1913200,87.83
2013-11-26,86.09,88.88,86.00,88.02,5554200,87.69
2013-11-25,81.31,81.55,80.29,80.99,1637400,80.69
