Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,59.62,60.95,58.60,59.45,9140000,59.45
2014-01-28,57.44,60.85,57.35,60.44,9346800,60.44
2014-01-27,61.77,61.77,56.10,57.91,18982700,57.91
2014-01-24,62.17,63.62,61.30,61.74,12942200,61.74
2014-01-23,61.45,62.81,60.88,62.80,10183700,62.80
2014-01-22,63.11,63.80,61.76,62.44,12039000,62.44
2014-01-21,63.33,63.44,61.50,62.53,13733200,62.53
2014-01-17,63.60,64.69,61.59,62.20,28391100,62.20
2014-01-16,61.45,62.40,60.46,60.57,16589400,60.57
2014-01-15,59.11,61.75,58.32,61.57,21537300,61.57
2014-01-14,58.88,59.02,57.36,58.21,14778000,58.21
2014-01-13,59.98,60.38,57.29,57.82,20978100,57.82
2014-01-10,57.50,58.76,55.87,57.00,22375900,57.00
2014-01-09,59.54,60.81,55.59,57.05,31092100,57.05
2014-01-08,58.71,61.26,57.92,59.29,27263200,59.29
2014-01-07,67.67,67.73,61.39,61.46,31748400,61.46
2014-01-06,64.83,66.87,63.50,66.29,27243700,66.29
2014-01-03,69.00,70.43,68.43,69.00,33207200,69.00
2014-01-02,65.00,67.50,64.40,67.50,29246400,67.50
2013-12-31,62.36,65.22,61.65,63.65,27814600,63.65
2013-12-30,60.27,63.71,58.57,60.51,55452700,60.51
2013-12-27,70.10,71.25,63.69,63.75,60305300,63.75
2013-12-26,72.88,74.73,69.13,73.31,82707900,73.31
2013-12-24,66.34,70.87,65.56,69.96,35802700,69.96
2013-12-23,59.85,64.99,59.70,64.54,22081000,64.54
2013-12-20,58.51,60.25,58.01,60.01,26159100,60.01
2013-12-19,55.08,57.75,55.00,57.49,13152500,57.49
2013-12-18,57.00,57.00,54.23,55.51,16618900,55.51
2013-12-17,56.97,57.38,54.62,56.45,22038500,56.45
2013-12-16,57.86,60.24,55.76,56.61,39270500,56.61
2013-12-13,56.20,59.41,55.45,59.00,38912500,59.00
2013-12-12,52.20,55.87,50.69,55.33,23395800,55.33
2013-12-11,52.40,53.87,51.00,52.34,26485100,52.34
2013-12-10,48.90,52.58,48.70,51.99,25743800,51.99
2013-12-09,45.59,49.84,45.02,49.14,17302800,49.14
2013-12-06,45.75,45.80,44.54,44.95,6230000,44.95
2013-12-05,43.45,46.35,42.83,45.62,11729400,45.62
2013-12-04,41.27,43.92,41.27,43.69,11014900,43.69
2013-12-03,40.69,41.60,40.54,41.37,5771000,41.37
2013-12-02,41.79,42.00,40.40,40.78,6424300,40.78
2013-11-29,41.40,41.58,40.90,41.57,4107100,41.57
2013-11-27,40.47,41.40,40.35,40.90,5536300,40.90
2013-11-26,39.16,40.55,38.92,40.18,9825600,40.18
2013-11-25,40.93,41.08,38.80,39.06,14333400,39.06
2013-11-22,41.81,42.28,40.97,41.00,6179000,41.00
2013-11-21,41.25,42.49,40.37,42.06,8320800,42.06
2013-11-20,41.40,41.75,40.51,41.05,5765900,41.05
2013-11-19,41.39,41.90,40.00,41.75,7436600,41.75
2013-11-18,43.50,43.95,40.85,41.14,12802000,41.14
2013-11-15,45.25,45.27,43.43,43.98,8005200,43.98
2013-11-14,42.34,45.67,42.24,44.69,11090800,44.69
2013-11-13,41.03,42.87,40.76,42.60,8688300,42.60
2013-11-12,43.66,43.78,41.83,41.90,6315600,41.90
2013-11-11,40.50,43.00,39.40,42.90,16106100,42.90
2013-11-08,45.93,46.94,40.69,41.65,27925300,41.65
2013-11-07,45.10,50.09,44.00,44.90,117701700,44.90
