Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,62.55,63.03,62.08,62.32,7576200,62.32
2014-01-28,63.25,63.44,62.60,63.14,4670800,63.14
2014-01-27,63.53,63.68,62.38,62.88,6399100,62.88
2014-01-24,64.22,64.38,63.05,63.32,7440300,63.32
2014-01-23,65.02,65.73,64.47,64.64,6658500,64.64
2014-01-22,64.60,65.98,64.57,65.76,6119300,65.76
2014-01-21,64.50,64.84,63.82,64.55,6061000,64.55
2014-01-17,65.18,65.26,64.19,64.40,5833700,64.40
2014-01-16,64.81,65.18,64.59,64.95,4945300,64.95
2014-01-15,65.25,65.38,64.77,65.14,7411300,65.14
2014-01-14,65.52,65.76,65.16,65.33,5331200,65.33
2014-01-13,65.98,66.26,65.27,65.47,5631500,65.47
2014-01-10,66.41,66.47,66.00,66.19,6888700,66.19
2014-01-09,66.70,66.86,66.04,66.29,4750100,66.29
2014-01-08,67.26,67.43,65.80,66.76,8423000,66.76
2014-01-07,68.30,68.34,67.27,67.50,5040700,67.50
2014-01-06,68.91,68.98,67.71,68.16,3576700,68.16
2014-01-03,68.79,69.28,68.54,68.67,2507400,68.67
2014-01-02,69.47,69.56,68.41,68.73,4734200,68.73
2013-12-31,69.67,70.06,69.52,69.72,3140400,69.72
2013-12-30,69.86,70.01,69.43,69.67,2545500,69.67
2013-12-27,70.00,70.10,69.20,69.64,2168300,69.64
2013-12-26,69.50,70.08,69.47,70.00,2197800,70.00
2013-12-24,68.69,69.48,68.66,69.40,1289800,69.40
2013-12-23,68.54,68.94,68.25,68.69,3467000,68.69
2013-12-20,68.00,68.90,68.00,68.34,7416900,68.34
2013-12-19,67.35,67.99,67.08,67.90,4033200,67.90
2013-12-18,66.04,67.64,65.46,67.60,4197700,67.60
2013-12-17,66.22,66.39,65.40,65.80,3908600,65.80
2013-12-16,66.08,66.49,65.80,66.32,2744200,66.32
2013-12-13,65.93,66.08,65.48,65.55,3614900,65.55
2013-12-12,66.24,66.48,65.67,65.82,3696600,65.82
2013-12-11,66.75,66.97,66.20,66.42,5065500,66.42
2013-12-10,65.50,66.94,65.48,66.61,5735100,66.61
2013-12-09,66.50,66.62,65.39,65.49,6463800,65.49
2013-12-06,65.94,66.72,65.53,66.57,3410000,66.57
2013-12-05,65.43,65.90,65.20,65.59,3506900,65.59
2013-12-04,64.88,65.94,64.73,65.44,4249200,65.44
2013-12-03,65.63,65.66,64.88,65.46,4744800,65.46
2013-12-02,65.66,66.01,64.87,65.61,5518400,65.61
2013-11-29,65.72,66.46,65.64,65.71,2385500,65.71
2013-11-27,66.19,66.44,65.36,65.64,3259300,65.64
2013-11-26,66.72,66.76,65.16,65.74,7080800,65.74
2013-11-25,67.12,67.34,66.46,66.63,2858400,66.34
2013-11-22,67.13,67.28,66.64,66.99,3765300,66.70
2013-11-21,66.28,67.21,65.76,66.95,4616700,66.66
2013-11-20,66.56,66.56,65.63,65.72,4446400,65.44
2013-11-19,66.95,67.35,66.20,66.28,3777900,65.99
2013-11-18,67.31,67.78,66.68,66.85,2928000,66.56
2013-11-15,68.26,68.72,67.45,67.64,4316200,67.35
