Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,23.67,23.86,23.57,23.73,1396600,23.73
2014-01-28,23.40,23.83,23.40,23.78,1740800,23.78
2014-01-27,23.69,23.83,23.38,23.40,1631700,23.40
2014-01-24,23.85,24.14,23.63,23.72,1277500,23.72
2014-01-23,24.10,24.16,23.92,23.97,1409200,23.97
2014-01-22,24.23,24.41,24.16,24.22,1640700,24.22
2014-01-21,23.98,24.17,23.98,24.17,1335300,24.17
2014-01-17,23.93,24.00,23.79,23.91,1734700,23.91
2014-01-16,23.85,24.07,23.83,23.97,1804000,23.97
2014-01-15,23.69,24.00,23.64,23.83,1393600,23.83
2014-01-14,23.43,23.74,23.34,23.60,1209600,23.60
2014-01-13,23.47,23.59,23.25,23.36,1522800,23.36
2014-01-10,23.24,23.61,23.24,23.56,1520800,23.56
2014-01-09,23.46,23.55,23.14,23.46,1579300,23.46
2014-01-08,23.44,23.56,23.25,23.33,1570700,23.33
2014-01-07,23.99,24.00,23.72,23.73,1799100,23.49
2014-01-06,23.75,23.88,23.57,23.85,1665900,23.61
2014-01-03,23.23,23.75,23.20,23.68,1429700,23.45
2014-01-02,23.31,23.57,23.10,23.27,1427900,23.04
2013-12-31,23.42,23.50,23.24,23.35,1361500,23.12
2013-12-30,23.40,23.51,23.32,23.40,1105700,23.17
2013-12-27,23.30,23.36,23.03,23.35,1361000,23.12
2013-12-26,23.34,23.53,23.23,23.30,685800,23.07
2013-12-24,23.18,23.34,23.09,23.31,477600,23.08
2013-12-23,23.13,23.32,23.04,23.12,1138200,22.89
2013-12-20,23.05,23.18,22.93,23.02,2172600,22.79
2013-12-19,23.50,23.57,22.98,23.10,2126100,22.87
2013-12-18,23.38,23.67,22.85,23.56,2437600,23.33
2013-12-17,23.44,23.47,23.15,23.37,1871300,23.14
2013-12-16,23.62,23.67,23.31,23.42,1200700,23.19
2013-12-13,23.81,24.06,23.31,23.56,1369900,23.33
2013-12-12,24.22,24.23,23.66,23.69,1494800,23.46
2013-12-11,24.44,24.47,23.84,23.91,1929700,23.67
2013-12-10,24.19,24.46,24.19,24.40,3029900,24.16
2013-12-09,24.16,24.36,24.09,24.31,1365100,24.07
2013-12-06,24.35,24.40,23.82,24.21,1482500,23.97
2013-12-05,24.00,24.14,23.74,24.11,1615700,23.87
2013-12-04,23.78,24.98,23.74,24.11,4007200,23.87
2013-12-03,23.41,23.99,23.20,23.97,1859800,23.73
2013-12-02,23.21,23.70,23.15,23.48,1719200,23.25
2013-11-29,23.72,23.72,23.20,23.27,767500,23.04
2013-11-27,23.26,23.73,23.26,23.70,1369100,23.47
2013-11-26,23.60,23.60,23.13,23.30,1449900,23.07
2013-11-25,23.48,23.54,23.26,23.54,1189200,23.31
2013-11-22,23.67,23.73,23.36,23.52,1028900,23.29
2013-11-21,23.50,23.73,23.32,23.73,1020000,23.49
2013-11-20,23.56,23.84,23.30,23.43,1307000,23.20
2013-11-19,23.62,23.88,23.46,23.56,1520000,23.33
2013-11-18,24.04,24.05,23.54,23.70,1202200,23.47
2013-11-15,23.95,23.96,23.64,23.75,832200,23.51
2013-11-14,23.93,24.17,23.89,23.91,869400,23.67
2013-11-13,23.49,23.93,23.47,23.84,1091500,23.60
2013-11-12,23.72,23.85,23.46,23.64,1123300,23.41
2013-11-11,23.74,23.91,23.68,23.80,660400,23.56
2013-11-08,23.76,23.87,23.32,23.74,1059800,23.50
2013-11-07,24.43,24.49,23.93,23.97,1363400,23.73
2013-11-06,24.39,24.56,24.32,24.36,956400,24.12
2013-11-05,24.62,24.73,24.22,24.24,1071900,24.00
2013-11-04,24.89,24.96,24.65,24.75,934600,24.50
2013-11-01,24.88,25.11,24.46,24.78,1580100,24.53
2013-10-31,24.99,25.02,24.51,24.81,1877300,24.56
2013-10-30,25.10,25.16,24.76,24.95,1520700,24.70
2013-10-29,24.96,25.19,24.60,25.12,1772100,24.87
2013-10-28,25.18,25.18,24.64,25.06,1381300,24.81
2013-10-25,24.65,25.16,24.47,25.09,1289300,24.84
2013-10-24,25.13,25.17,24.27,24.55,2585000,24.31
2013-10-23,25.18,25.28,25.03,25.18,1109000,24.93
2013-10-22,25.02,25.42,24.89,25.26,1266200,25.01
2013-10-21,24.95,24.98,24.73,24.95,1505300,24.70
2013-10-18,24.97,25.05,24.83,25.01,1709100,24.76
2013-10-17,24.45,24.99,24.45,24.95,1737700,24.70
2013-10-16,24.03,24.51,24.01,24.47,938400,24.23
2013-10-15,24.00,24.20,23.89,23.97,956100,23.73
2013-10-14,23.93,24.08,23.74,24.04,1095000,23.80
2013-10-11,23.84,24.06,23.63,24.05,1299700,23.81
2013-10-10,23.56,23.90,23.30,23.83,1761800,23.59
2013-10-09,23.32,23.59,23.25,23.28,1407000,23.05
2013-10-08,23.63,23.70,23.29,23.33,1329900,23.10
2013-10-07,23.49,23.94,23.42,23.79,1639800,23.32
2013-10-04,23.61,23.86,23.43,23.62,1013500,23.16
2013-10-03,24.05,24.10,23.51,23.58,1640200,23.12
2013-10-02,23.89,24.16,23.74,24.07,1423500,23.60
