Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,17.97,18.19,17.95,18.04,1675900,18.04
2014-01-28,18.29,18.50,18.02,18.11,1149300,18.11
2014-01-27,18.81,18.81,18.22,18.23,831900,18.23
2014-01-24,19.12,19.13,18.68,18.74,1090700,18.74
2014-01-23,18.95,19.20,18.76,19.20,1508000,19.20
2014-01-22,18.77,19.06,18.63,19.05,1493600,19.05
2014-01-21,18.47,18.86,18.45,18.73,1185000,18.73
2014-01-17,18.35,18.47,18.25,18.40,837800,18.40
2014-01-16,18.58,18.69,18.21,18.32,575700,18.32
2014-01-15,18.60,18.66,18.49,18.54,812200,18.54
2014-01-14,18.62,18.62,18.36,18.47,1778800,18.47
2014-01-13,18.64,18.64,18.28,18.47,1201900,18.47
2014-01-10,18.89,18.89,18.57,18.70,967400,18.70
2014-01-09,19.00,19.21,18.91,18.93,1326700,18.93
2014-01-08,18.83,19.09,18.80,18.95,1432800,18.95
2014-01-07,18.76,19.14,18.71,18.82,1206300,18.82
2014-01-06,18.75,18.91,18.66,18.70,1519000,18.70
2014-01-03,18.67,18.80,18.50,18.72,847200,18.72
2014-01-02,19.11,19.11,18.63,18.66,1483200,18.66
2013-12-31,19.17,19.21,19.07,19.14,776200,19.14
2013-12-30,19.18,19.23,19.09,19.14,1297500,19.14
2013-12-27,19.34,19.35,18.98,19.19,829400,19.19
2013-12-26,19.37,19.61,19.25,19.41,1353600,19.26
2013-12-24,19.42,19.65,19.26,19.44,572100,19.29
2013-12-23,19.00,19.45,18.91,19.43,1124300,19.28
2013-12-20,18.69,18.99,18.53,18.94,7225500,18.79
2013-12-19,18.76,18.85,18.52,18.60,1210700,18.46
2013-12-18,18.65,18.78,18.32,18.78,1605400,18.63
2013-12-17,18.62,18.73,18.45,18.60,1172400,18.46
2013-12-16,18.36,18.58,18.30,18.58,1087100,18.44
2013-12-13,18.48,18.57,18.17,18.31,1091600,18.17
2013-12-12,18.11,18.56,18.09,18.43,1200100,18.29
2013-12-11,18.28,18.38,18.04,18.16,1231800,18.02
2013-12-10,18.38,18.47,18.05,18.21,1523700,18.07
2013-12-09,18.71,18.76,18.29,18.44,1747700,18.30
2013-12-06,18.50,18.86,18.35,18.70,931600,18.56
2013-12-05,18.19,18.35,18.14,18.33,661600,18.19
2013-12-04,18.27,18.53,18.16,18.28,1074700,18.14
2013-12-03,18.19,18.34,18.14,18.29,1717100,18.15
2013-12-02,18.46,18.61,18.21,18.26,1520100,18.12
2013-11-29,18.47,18.47,18.16,18.41,553200,18.27
2013-11-27,18.22,18.30,18.13,18.29,1073600,18.15
2013-11-26,17.95,18.18,17.81,18.16,997300,18.02
2013-11-25,17.84,18.07,17.82,17.95,657700,17.81
2013-11-22,17.63,17.84,17.51,17.81,549500,17.67
2013-11-21,17.22,17.58,17.22,17.58,511400,17.44
2013-11-20,17.14,17.26,17.03,17.17,615400,17.04
2013-11-19,17.14,17.31,17.02,17.11,693700,16.98
2013-11-18,17.18,17.36,17.05,17.15,825800,17.02
2013-11-15,17.44,17.44,17.15,17.17,783400,17.04
2013-11-14,17.43,17.48,17.33,17.46,446200,17.33
2013-11-13,17.16,17.39,17.01,17.38,993400,17.25
2013-11-12,17.35,17.41,17.15,17.25,763200,17.12
2013-11-11,17.29,17.41,17.08,17.32,857500,17.19
2013-11-08,16.55,17.33,16.40,17.32,1144700,17.19
2013-11-07,16.76,16.80,16.57,16.58,798800,16.45
2013-11-06,16.80,16.80,16.63,16.74,980800,16.61
2013-11-05,16.50,16.72,16.33,16.70,1177100,16.57
2013-11-04,16.38,16.53,16.23,16.52,1233000,16.39
2013-11-01,16.31,16.49,16.16,16.38,1153000,16.25
2013-10-31,16.66,16.66,16.36,16.37,1132600,16.24
2013-10-30,16.78,16.78,16.65,16.70,726400,16.57
2013-10-29,16.79,16.82,16.58,16.74,1317800,16.61
2013-10-28,16.73,16.82,16.64,16.78,1911700,16.65
2013-10-25,16.82,16.95,16.65,16.75,1107300,16.62
2013-10-24,16.77,16.89,16.71,16.86,757900,16.73
2013-10-23,16.68,16.81,16.65,16.79,1281900,16.66
2013-10-22,16.66,16.80,16.52,16.79,1794400,16.66
2013-10-21,16.33,16.77,16.33,16.65,1147900,16.52
2013-10-18,16.68,16.69,16.37,16.59,1284000,16.46
2013-10-17,16.44,16.71,16.38,16.56,2363300,16.43
2013-10-16,16.67,16.77,16.59,16.75,2065300,16.62
2013-10-15,16.70,16.70,16.49,16.58,1315100,16.45
2013-10-14,16.57,16.74,16.56,16.69,1521800,16.56
2013-10-11,16.49,16.67,16.32,16.66,2598300,16.53
2013-10-10,16.44,16.65,16.38,16.63,1804000,16.50
2013-10-09,16.21,16.37,16.14,16.25,1243600,16.12
2013-10-08,16.52,16.52,16.09,16.13,1485800,16.01
2013-10-07,16.47,16.53,16.26,16.47,2480200,16.34
2013-10-04,16.31,16.61,16.27,16.44,1647800,16.31
2013-10-03,16.37,16.40,16.18,16.31,1270500,16.18
2013-10-02,16.36,16.47,16.22,16.37,1394500,16.24
2013-10-01,16.27,16.47,16.14,16.41,1276100,16.28
2013-09-30,16.01,16.32,15.96,16.22,1404600,16.09
2013-09-27,15.95,16.27,15.95,16.17,789800,16.05
2013-09-26,16.25,16.32,15.93,16.04,1459100,15.92
2013-09-25,16.28,16.35,16.14,16.25,1910600,15.98
2013-09-24,16.12,16.32,15.98,16.23,1177400,15.96
2013-09-23,16.13,16.16,15.79,16.05,1872200,15.78
2013-09-20,16.12,16.22,16.05,16.18,3410800,15.91
2013-09-19,16.50,16.52,15.70,16.09,2117700,15.82
2013-09-18,16.52,16.57,16.42,16.43,1941000,16.15
2013-09-17,16.61,16.64,16.42,16.55,3401200,16.27
2013-09-16,16.74,16.74,16.36,16.45,1802700,16.17
2013-09-13,16.24,16.52,16.12,16.40,4560500,16.12
2013-09-12,16.98,16.98,16.12,16.14,10447300,15.87
2013-09-11,17.19,17.25,16.91,16.96,774800,16.67
2013-09-10,17.30,17.45,17.14,17.19,1602800,16.90
2013-09-09,16.37,17.46,16.18,17.11,2232400,16.82
2013-09-06,16.50,16.54,16.04,16.29,471300,16.01
2013-09-05,16.37,16.55,16.23,16.38,625100,16.10
2013-09-04,16.27,16.47,16.15,16.32,1199400,16.04
2013-09-03,16.48,16.76,16.00,16.24,578200,15.97
2013-08-30,16.65,16.69,16.23,16.24,476600,15.97
2013-08-29,16.52,16.73,16.48,16.66,362600,16.38
2013-08-28,16.38,16.58,16.26,16.50,444500,16.22
2013-08-27,16.75,16.87,16.31,16.35,576100,16.07
2013-08-26,17.05,17.21,16.90,16.93,356700,16.64
2013-08-23,17.05,17.05,16.83,17.00,402500,16.71
2013-08-22,16.82,17.09,16.77,17.05,313800,16.76
2013-08-21,16.97,16.99,16.76,16.77,390600,16.49
2013-08-20,16.72,17.12,16.62,17.02,462200,16.73
2013-08-19,16.80,16.85,16.65,16.68,270200,16.40
2013-08-16,16.66,16.98,16.66,16.77,244700,16.49
2013-08-15,16.83,16.93,16.65,16.73,561500,16.45
2013-08-14,16.89,17.09,16.89,16.95,277600,16.66
2013-08-13,17.14,17.14,16.81,16.93,379300,16.64
2013-08-12,16.77,17.08,16.69,17.08,647900,16.79
2013-08-09,16.95,17.04,16.82,16.89,497900,16.60
2013-08-08,17.00,17.14,16.80,16.98,298400,16.69
2013-08-07,17.18,17.25,16.80,16.87,546500,16.59
2013-08-06,17.44,17.44,17.19,17.24,510900,16.95
2013-08-05,17.33,17.48,17.16,17.45,568900,17.16
2013-08-02,17.41,17.41,17.20,17.32,567700,17.03
2013-08-01,16.94,17.43,16.90,17.42,1132600,17.13
2013-07-31,16.77,17.07,16.55,16.84,1145700,16.56
2013-07-30,16.64,16.84,16.60,16.69,788500,16.41
2013-07-29,16.64,16.69,16.36,16.56,464000,16.28
2013-07-26,16.84,16.90,16.61,16.64,830700,16.36
2013-07-25,16.90,17.00,16.69,17.00,1093400,16.71
2013-07-24,16.99,17.23,16.92,16.96,1227900,16.67
2013-07-23,16.80,16.95,16.55,16.88,901200,16.59
2013-07-22,16.62,16.77,16.54,16.69,1083000,16.41
2013-07-19,16.34,16.60,16.16,16.55,548200,16.27
2013-07-18,16.27,16.49,15.97,16.33,777300,16.05
2013-07-17,15.90,16.04,15.77,15.92,571800,15.65
2013-07-16,16.05,16.06,15.52,15.79,589700,15.52
2013-07-15,15.94,16.12,15.81,16.00,798600,15.73
2013-07-12,15.45,15.88,15.39,15.84,1053800,15.57
2013-07-11,16.18,16.23,15.40,15.42,992500,15.16
2013-07-10,16.16,16.22,15.88,15.93,948400,15.66
2013-07-09,16.00,16.17,15.78,16.12,692900,15.85
2013-07-08,16.08,16.18,15.90,15.95,510300,15.68
2013-07-05,15.71,16.04,15.59,16.03,576100,15.76
2013-07-03,15.35,15.50,15.25,15.48,417800,15.22
2013-07-02,15.28,15.66,15.17,15.46,936700,15.20
2013-07-01,15.08,15.58,15.08,15.25,760800,14.99
2013-06-28,15.20,15.29,14.99,15.01,1099000,14.76
2013-06-27,14.74,15.28,14.74,15.20,732200,14.94
2013-06-26,14.98,15.04,14.68,14.70,1078700,14.45
2013-06-25,14.90,15.02,14.67,14.96,1145900,14.56
2013-06-24,14.67,14.90,14.60,14.76,1010700,14.37
2013-06-21,14.59,14.90,14.43,14.79,1451800,14.39
2013-06-20,14.38,14.64,14.29,14.52,713200,14.13
2013-06-19,14.50,14.66,14.45,14.50,376600,14.11
2013-06-18,14.41,14.60,14.36,14.55,485700,14.16
2013-06-17,14.41,14.46,14.32,14.35,693400,13.97
2013-06-14,14.34,14.39,14.21,14.31,745200,13.93
2013-06-13,13.98,14.38,13.87,14.33,898300,13.95
2013-06-12,14.18,14.34,13.91,14.00,588000,13.63
2013-06-11,14.13,14.22,13.96,14.03,776300,13.65
2013-06-10,14.25,14.34,14.17,14.34,658300,13.96
2013-06-07,14.25,14.25,14.07,14.23,627700,13.85
2013-06-06,14.00,14.25,13.99,14.15,1700100,13.77
