Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,172.16,173.18,171.19,171.95,2762800,171.95
2014-01-28,171.42,173.98,171.32,172.80,2093600,172.80
2014-01-27,172.06,172.53,170.30,171.21,2729400,171.21
2014-01-24,172.15,175.00,170.50,171.64,3533100,171.64
2014-01-23,172.39,174.82,172.05,174.12,3676600,174.12
2014-01-22,169.08,170.00,168.10,168.50,2627300,168.50
2014-01-21,169.58,169.58,167.18,168.12,1549300,168.12
2014-01-17,167.93,168.81,167.12,167.84,2378200,167.84
2014-01-16,167.57,168.43,166.56,167.96,2418600,167.96
2014-01-15,168.89,171.38,168.83,170.15,2175900,170.15
2014-01-14,168.22,169.47,167.54,168.82,1572600,168.82
2014-01-13,170.34,170.69,167.55,168.05,2265100,168.05
2014-01-10,168.84,170.88,168.57,170.38,2544000,170.38
2014-01-09,167.19,169.33,166.92,169.27,2266900,169.27
2014-01-08,167.86,169.00,166.50,166.93,2231300,166.93
2014-01-07,165.38,166.89,165.22,166.62,1567600,166.62
2014-01-06,167.17,167.61,164.97,165.16,1870600,165.16
2014-01-03,167.42,168.76,166.25,166.85,1205800,166.85
2014-01-02,168.40,169.82,166.64,167.11,2346100,167.11
2013-12-31,166.41,168.24,166.37,168.00,1427600,168.00
2013-12-30,166.10,166.71,165.33,166.05,920200,166.05
2013-12-27,166.65,167.00,165.30,166.05,674100,166.05
2013-12-26,164.37,166.61,164.35,166.42,1173100,166.42
2013-12-24,164.86,166.00,164.17,165.64,769200,165.64
2013-12-23,163.51,165.13,163.04,164.95,1290700,164.95
2013-12-20,164.23,164.88,163.25,163.60,3115900,163.60
2013-12-19,162.97,164.32,162.41,164.19,1875600,164.19
2013-12-18,161.60,163.63,160.04,163.56,2330500,163.56
2013-12-17,161.84,161.84,160.69,161.03,1490900,161.03
2013-12-16,161.37,162.63,161.28,161.70,1770300,161.70
2013-12-13,161.33,162.33,160.46,160.75,1291600,160.75
2013-12-12,160.50,161.83,160.17,160.97,1428300,160.97
2013-12-11,162.80,163.50,160.50,160.70,2120400,160.70
2013-12-10,163.69,164.81,162.38,162.76,1753300,162.76
2013-12-09,164.56,165.27,163.88,164.50,1776400,164.50
2013-12-06,163.90,165.14,163.08,164.34,1732400,164.34
2013-12-05,162.75,163.45,161.79,162.37,1843800,162.37
2013-12-04,162.07,162.86,160.02,161.39,1503600,161.39
2013-12-03,163.15,163.60,161.84,162.46,1853600,162.46
2013-12-02,162.12,164.48,162.12,163.53,2353300,163.53
2013-11-29,162.55,163.15,161.44,162.04,877600,162.04
2013-11-27,162.13,163.22,161.31,162.84,1469200,162.05
2013-11-26,162.11,162.47,161.15,161.63,1466600,160.85
2013-11-25,162.01,162.83,161.77,161.98,1288900,161.19
2013-11-22,161.27,162.09,160.54,162.02,1729600,161.23
2013-11-21,158.91,161.85,158.05,160.78,3396600,160.00
2013-11-20,158.72,159.44,157.77,158.57,1391700,157.80
2013-11-19,159.05,159.60,157.43,158.10,1724100,157.33
2013-11-18,159.59,159.91,158.78,159.30,1653800,158.53
2013-11-15,158.40,159.58,158.20,159.49,1593700,158.72
2013-11-14,158.07,158.61,157.30,158.30,2533900,157.53
2013-11-13,155.47,158.29,155.43,158.05,2085000,157.28
2013-11-12,155.82,157.23,155.77,156.66,1984300,155.90
2013-11-11,155.13,156.11,154.60,155.81,1736000,155.05
2013-11-08,153.53,155.10,152.75,155.04,2505500,154.29
2013-11-07,154.64,156.32,153.56,154.14,3132600,153.39
2013-11-06,153.86,154.62,153.61,154.25,2215100,153.50
2013-11-05,153.26,153.59,152.96,153.21,2473800,152.47
2013-11-04,153.71,153.94,153.24,153.76,1988900,153.01
2013-11-01,152.11,153.15,151.43,152.77,2693400,152.03
2013-10-31,150.68,152.27,150.30,151.40,2762700,150.67
2013-10-30,149.73,151.20,149.23,150.59,4217200,149.86
2013-10-29,152.39,152.80,149.90,150.57,3212200,149.84
2013-10-28,152.59,152.75,152.01,152.09,2368700,151.35
2013-10-25,154.18,154.23,152.31,152.36,2857000,151.62
2013-10-24,155.15,155.40,153.80,154.15,2568300,153.40
2013-10-23,154.64,155.46,153.36,154.90,2777300,154.15
2013-10-22,154.26,156.55,153.94,154.73,3293800,153.98
2013-10-21,152.10,154.11,152.07,153.90,2913600,153.15
2013-10-18,152.00,153.62,151.37,152.10,6014400,151.36
2013-10-17,156.50,156.74,150.43,151.16,7159200,150.43
2013-10-16,157.15,157.99,155.91,157.16,1805300,156.40
2013-10-15,157.04,157.46,156.22,156.31,1454300,155.55
2013-10-14,156.36,157.53,156.01,157.26,1196400,156.50
2013-10-11,157.04,158.07,156.54,157.37,1577000,156.61
2013-10-10,153.96,157.35,153.53,157.13,2107800,156.37
2013-10-09,152.61,153.05,151.66,152.41,1793100,151.67
2013-10-08,152.87,154.12,152.00,152.17,1832900,151.43
2013-10-07,152.92,153.84,152.47,152.73,1902400,151.99
2013-10-04,153.55,154.60,153.40,153.90,4186100,153.15
2013-10-03,156.12,156.17,154.36,155.38,1851500,154.63
2013-10-02,156.11,156.50,154.76,156.13,2397300,155.37
2013-10-01,155.46,157.59,155.33,156.68,1769900,155.92
2013-09-30,155.03,157.03,154.65,155.34,2029000,154.59
2013-09-27,157.42,157.70,155.73,156.59,1672900,155.83
2013-09-26,157.30,158.32,157.18,157.95,927400,157.18
2013-09-25,159.34,159.36,157.37,157.46,1503600,156.70
2013-09-24,159.00,160.29,158.04,159.24,1461500,158.47
2013-09-23,159.09,159.43,157.78,159.22,1524300,158.45
2013-09-20,160.66,161.91,159.39,159.55,1952400,158.78
2013-09-19,160.36,161.63,160.00,160.87,2015500,160.09
2013-09-18,157.41,160.15,156.76,159.50,1911400,158.73
2013-09-17,155.97,157.76,155.57,157.44,1358100,156.68
2013-09-16,156.92,157.22,156.08,156.36,1935600,155.60
2013-09-13,154.96,155.46,154.14,154.75,2325600,154.00
2013-09-12,157.25,157.45,154.95,155.00,1922200,154.25
2013-09-11,158.12,158.54,156.93,157.25,2253700,156.49
2013-09-10,157.62,158.13,157.21,157.25,1684900,156.49
2013-09-09,155.65,157.03,154.94,156.63,1328700,155.87
2013-09-06,156.52,157.40,154.81,154.92,1686900,154.17
2013-09-05,155.12,156.88,155.12,156.12,918600,155.36
2013-09-04,153.71,155.94,153.64,155.31,1144700,154.56
2013-09-03,154.90,155.81,152.62,153.74,1461100,152.99
2013-08-30,154.70,155.33,153.07,153.54,1286900,152.80
2013-08-29,153.80,155.16,153.63,154.15,1457100,153.40
2013-08-28,152.95,154.66,152.04,154.00,1672900,153.25
2013-08-27,155.12,156.06,153.53,153.59,2263900,152.06
2013-08-26,158.15,158.28,156.53,156.53,1136000,154.97
2013-08-23,158.79,158.79,156.93,158.06,1271900,156.48
2013-08-22,155.30,158.89,155.30,158.60,1490800,157.02
2013-08-21,156.50,156.80,154.51,154.87,1895000,153.33
2013-08-20,156.52,157.75,155.65,156.44,1460200,154.88
2013-08-19,157.77,158.02,156.38,156.48,1423300,154.92
2013-08-16,156.44,158.51,156.09,157.93,1435300,156.36
2013-08-15,157.53,157.82,155.62,156.78,1406300,155.22
2013-08-14,159.80,160.18,158.45,158.59,1029200,157.01
2013-08-13,159.19,161.17,158.72,160.19,921500,158.59
2013-08-12,158.89,159.95,158.60,159.17,786600,157.58
2013-08-09,160.48,160.56,158.61,159.79,1259800,158.20
2013-08-08,160.02,161.69,159.95,160.55,1174900,158.95
2013-08-07,159.31,159.65,158.68,159.08,1530500,157.49
2013-08-06,161.52,161.80,159.48,160.00,1542900,158.40
2013-08-05,162.81,163.31,161.27,161.97,1087000,160.36
2013-08-02,163.04,164.55,162.08,163.37,1261400,161.74
2013-08-01,159.94,163.16,159.55,162.77,1715000,161.15
2013-07-31,158.97,160.63,158.50,158.59,1537000,157.01
2013-07-30,159.25,160.26,157.55,158.72,1643000,157.14
2013-07-29,159.04,159.13,157.15,157.22,1668700,155.65
2013-07-26,159.76,160.21,157.22,159.40,1284000,157.81
2013-07-25,159.53,160.13,158.05,160.08,1446300,158.48
2013-07-24,161.60,162.22,159.02,159.40,1783300,157.81
2013-07-23,163.36,163.69,161.51,161.66,1402300,160.05
2013-07-22,163.80,165.18,162.79,163.28,1441400,161.65
2013-07-19,161.10,163.48,160.34,163.36,1688100,161.73
2013-07-18,159.90,162.30,157.70,161.36,1907700,159.75
2013-07-17,160.30,161.67,159.24,159.68,1570400,158.09
2013-07-16,160.73,160.76,158.53,159.22,1372000,157.63
2013-07-15,161.08,161.69,159.45,159.80,1446200,158.21
2013-07-12,158.35,161.70,158.07,160.75,1559200,159.15
2013-07-11,158.50,159.70,157.31,159.36,1804000,157.77
2013-07-10,159.01,159.01,156.91,157.63,1856400,156.06
2013-07-09,157.24,160.27,157.24,159.41,1623700,157.82
2013-07-08,157.59,157.85,155.21,156.25,1800000,154.69
2013-07-05,156.41,157.55,155.71,157.48,885500,155.91
2013-07-03,154.58,155.73,153.66,155.30,856800,153.75
2013-07-02,155.27,156.96,154.40,155.20,1521600,153.65
2013-07-01,155.65,157.15,155.14,155.42,1281000,153.87
2013-06-28,154.94,156.17,154.23,154.28,2314700,152.74
2013-06-27,157.05,157.64,155.18,155.34,2022600,153.79
2013-06-26,154.88,156.89,154.70,156.30,2000500,154.74
2013-06-25,151.01,153.97,150.05,153.42,2322400,151.89
2013-06-24,150.60,151.08,148.45,149.34,2286100,147.85
2013-06-21,154.52,154.52,151.32,152.69,2658100,151.17
2013-06-20,154.06,154.81,152.43,153.18,2388000,151.65
2013-06-19,157.63,158.20,155.64,155.66,1178700,154.11
2013-06-18,156.17,158.10,155.59,157.95,1033100,156.38
2013-06-17,158.07,158.20,155.00,155.97,1629100,154.41
2013-06-14,156.70,159.11,156.11,157.02,1196200,155.45
2013-06-13,154.03,157.38,153.36,156.95,1264300,155.39
2013-06-12,156.11,156.85,153.89,154.32,1150300,152.78
2013-06-11,155.75,157.33,154.71,154.82,1537900,153.28
2013-06-10,158.60,159.03,156.47,157.08,1139400,155.51
2013-06-07,156.00,159.21,155.38,158.13,2363500,156.55
2013-06-06,151.48,154.51,151.23,154.50,1719400,152.96
2013-06-05,154.80,155.22,150.69,151.69,2398800,150.18
2013-06-04,156.32,158.25,155.13,155.72,1648100,154.17
2013-06-03,155.20,156.14,153.87,155.89,2085700,154.34
2013-05-31,156.32,159.10,154.62,154.62,2119300,153.08
2013-05-30,156.70,158.50,156.19,157.17,1403100,155.60
2013-05-29,156.30,157.43,155.33,156.13,1367600,154.57
2013-05-28,158.78,159.58,157.23,157.74,1951000,155.48
2013-05-24,155.56,157.17,154.31,156.81,1343900,154.57
2013-05-23,156.01,156.71,154.72,156.07,1723600,153.84
2013-05-22,158.45,161.00,157.35,157.59,1864900,155.34
2013-05-21,159.51,160.46,158.10,158.46,2001000,156.19
2013-05-20,159.70,160.60,158.90,159.63,1534100,157.35
2013-05-17,157.79,159.94,156.86,159.91,1540600,157.62
2013-05-16,157.49,158.83,156.66,157.04,1351800,154.79
2013-05-15,156.14,158.11,155.84,158.03,1365400,155.77
2013-05-14,153.80,157.09,153.54,156.94,1670500,154.70
2013-05-13,153.97,155.09,152.58,153.90,1148500,151.70
2013-05-10,154.00,154.87,153.01,154.30,1142100,152.09
2013-05-09,154.69,155.28,153.15,153.67,1706000,151.47
2013-05-08,153.05,155.45,152.50,155.38,1788200,153.16
2013-05-07,151.99,154.00,151.66,153.72,1843700,151.52
2013-05-06,149.60,151.74,149.56,151.40,1504700,149.23
2013-05-03,148.75,151.14,148.61,149.43,2003600,147.29
2013-05-02,145.89,147.85,145.86,147.17,1507900,145.07
2013-05-01,147.67,148.60,145.39,145.67,1315400,143.59
2013-04-30,147.49,148.00,146.32,147.96,1702800,145.84
2013-04-29,147.07,147.93,146.48,147.42,1574100,145.31
2013-04-26,148.42,148.71,147.33,147.52,963500,145.41
2013-04-25,148.13,149.27,147.44,148.22,1456600,146.10
2013-04-24,147.83,148.10,146.11,147.30,1980900,145.19
2013-04-23,147.95,148.39,146.34,147.43,1979800,145.32
2013-04-22,146.05,148.20,145.27,147.44,2466100,145.33
2013-04-19,143.23,146.04,142.46,145.85,2692100,143.76
2013-04-18,140.46,143.63,139.82,142.46,3906100,140.42
2013-04-17,138.77,138.91,136.17,136.94,2756900,134.98
2013-04-16,137.01,139.84,136.87,139.61,2095700,137.61
2013-04-15,140.46,140.52,135.75,135.76,2529500,133.82
2013-04-12,141.40,142.37,140.51,141.27,1817200,139.25
2013-04-11,141.73,142.42,140.49,141.40,1814000,139.38
2013-04-10,140.00,141.55,139.82,141.30,1714000,139.28
2013-04-09,140.03,140.65,138.88,139.73,1343700,137.73
2013-04-08,138.40,139.96,138.27,139.62,1261100,137.62
2013-04-05,136.29,138.79,136.00,138.54,1930600,136.56
2013-04-04,138.59,138.82,136.86,138.46,2626500,136.48
2013-04-03,140.82,141.38,138.35,138.84,2222800,136.85
2013-04-02,141.02,142.66,140.44,140.82,2033900,138.81
2013-04-01,142.41,142.97,139.92,140.10,1367500,138.10
2013-03-28,141.10,143.00,140.82,142.41,2083100,140.37
2013-03-27,138.61,140.92,138.22,140.83,1952600,138.82
2013-03-26,138.28,139.72,138.02,139.48,1594600,137.49
2013-03-25,139.96,140.26,136.90,137.19,2328900,135.23
2013-03-22,138.73,139.33,138.07,139.14,1818700,137.15
2013-03-21,138.25,139.25,137.73,138.37,2255900,136.39
2013-03-20,140.75,140.96,138.70,139.13,1984700,137.14
2013-03-19,140.23,140.77,138.78,139.58,1888600,137.58
2013-03-18,139.90,141.57,139.82,140.21,2076900,138.20
2013-03-15,140.36,141.78,140.15,141.69,2444300,139.66
2013-03-14,140.00,141.12,139.52,141.00,1572400,138.98
2013-03-13,138.86,139.80,138.12,139.56,1238700,137.56
2013-03-12,140.00,140.17,138.30,139.00,1165800,137.01
2013-03-11,138.77,139.99,138.73,139.69,1277100,137.69
2013-03-08,137.65,139.13,137.00,138.70,1333000,136.72
2013-03-07,138.89,139.23,136.25,137.02,1891200,135.06
2013-03-06,140.00,140.84,138.37,138.96,1483300,136.97
2013-03-05,139.11,139.76,138.22,139.08,1665400,137.09
2013-03-04,136.27,138.54,136.08,138.35,1591300,136.37
2013-03-01,136.41,137.55,135.50,136.57,1529400,134.62
2013-02-28,137.15,138.51,136.44,137.11,2789900,135.15
2013-02-27,133.95,137.26,133.45,136.71,2300700,134.75
2013-02-26,133.70,134.48,132.79,133.94,1840800,132.02
2013-02-25,136.60,137.60,133.15,133.18,2115800,130.60
2013-02-22,134.53,136.28,134.01,136.02,1497500,133.38
2013-02-21,134.36,134.85,133.88,134.25,2405500,131.64
2013-02-20,137.76,138.00,134.68,134.72,3514200,132.11
2013-02-19,137.32,137.63,136.12,137.53,2178300,134.86
2013-02-15,136.29,137.03,136.25,136.83,2863800,134.17
2013-02-14,134.61,136.18,134.50,136.17,1884600,133.53
2013-02-13,134.92,135.79,134.81,135.29,2295900,132.66
2013-02-12,133.48,134.85,133.26,134.67,1388700,132.06
2013-02-11,133.06,134.26,132.92,133.42,1281200,130.83
2013-02-08,132.38,133.16,132.20,133.15,1719900,130.57
2013-02-07,133.03,133.33,131.51,132.00,2016300,129.44
2013-02-06,132.35,133.35,132.35,133.24,1959400,130.65
2013-02-05,132.50,133.55,132.11,133.14,1679800,130.56
2013-02-04,132.75,133.48,131.77,131.99,2008100,129.43
2013-02-01,132.84,134.14,132.38,133.96,2290100,131.36
2013-01-31,131.26,132.43,130.92,131.46,1896100,128.91
2013-01-30,133.97,133.97,130.50,131.17,3509500,128.62
2013-01-29,132.79,134.98,132.70,134.76,2538600,132.14
2013-01-28,135.20,135.20,132.33,132.87,2111500,130.29
2013-01-25,134.53,135.42,133.26,134.77,2500200,132.15
2013-01-24,134.45,135.50,132.13,133.84,4120300,131.24
2013-01-23,133.52,136.19,133.52,135.35,3647700,132.72
2013-01-22,132.46,133.82,132.38,133.72,2416700,131.12
2013-01-18,132.08,132.52,130.80,132.49,2020600,129.92
2013-01-17,132.20,132.27,131.17,131.67,1567700,129.11
2013-01-16,130.97,131.81,130.65,131.36,1015300,128.81
2013-01-15,130.98,131.65,130.41,131.44,829600,128.89
2013-01-14,131.02,132.00,130.98,131.34,832400,128.79
2013-01-11,131.45,132.09,130.68,130.97,1529100,128.43
2013-01-10,131.10,131.75,129.93,131.09,1626300,128.55
2013-01-09,130.59,131.78,130.28,130.89,1094100,128.35
2013-01-08,130.09,130.40,129.00,130.18,1180200,127.65
2013-01-07,130.40,130.49,129.16,130.27,1233600,127.74
2013-01-04,128.84,130.98,128.30,130.89,1497400,128.35
2013-01-03,128.25,130.35,128.09,128.64,1823600,126.14
2013-01-02,128.24,129.33,127.32,128.46,2286400,125.97
2012-12-31,123.25,125.82,123.01,125.72,1511000,123.28
2012-12-28,124.03,125.24,123.48,123.54,962400,121.14
2012-12-27,124.59,125.01,123.31,124.62,1287600,122.20
2012-12-26,125.61,125.69,124.39,124.71,909700,122.29
2012-12-24,125.40,125.58,124.85,125.50,571400,123.06
2012-12-21,124.86,126.16,124.29,125.68,2689300,123.24
2012-12-20,125.75,126.15,125.07,126.12,1488000,123.67
2012-12-19,127.55,127.55,125.75,125.77,1346800,123.33
2012-12-18,125.51,127.41,125.07,127.16,2748800,124.69
2012-12-17,124.90,125.88,124.16,125.69,2408000,123.25
2012-12-14,123.62,125.47,123.62,124.28,1844800,121.87
2012-12-13,124.81,125.71,124.16,124.69,1646000,122.27
2012-12-12,124.36,126.20,123.77,124.70,1867100,122.28
2012-12-11,125.40,125.58,123.51,123.59,1877900,121.19
2012-12-10,124.03,125.41,123.84,125.23,1515500,122.80
2012-12-07,123.68,124.00,122.84,123.95,1199600,121.54
2012-12-06,122.78,124.15,122.13,123.13,940700,120.74
2012-12-05,122.57,123.58,121.31,122.86,2089700,120.48
2012-12-04,121.63,122.78,121.31,122.37,1331500,120.00
2012-12-03,123.68,124.05,121.24,121.43,1934600,119.07
2012-11-30,122.96,123.14,121.92,122.78,2110900,120.40
2012-11-29,123.38,123.67,122.09,123.16,1883100,120.77
2012-11-28,120.82,122.82,119.97,122.79,1475600,120.41
2012-11-27,121.25,123.34,120.79,122.25,1397300,119.20
2012-11-26,121.49,122.21,121.08,121.87,1335500,118.83
2012-11-23,120.00,122.00,120.00,121.98,795300,118.94
2012-11-21,120.45,120.73,119.54,120.04,1216100,117.05
2012-11-20,119.60,120.41,118.50,120.03,1529900,117.04
2012-11-19,118.61,119.72,118.19,119.71,2103000,116.72
2012-11-16,118.05,118.62,116.06,117.56,2487300,114.63
2012-11-15,117.84,118.51,116.52,117.99,2010000,115.05
2012-11-14,121.50,121.96,117.17,117.46,2905800,114.53
2012-11-13,120.69,122.58,120.60,121.32,1152600,118.29
2012-11-12,120.54,122.19,120.39,121.77,1347700,118.73
2012-11-09,120.76,121.77,120.00,120.25,1394100,117.25
2012-11-08,121.87,122.49,120.80,121.03,1987200,118.01
2012-11-07,123.36,124.41,121.31,122.14,1925800,119.09
2012-11-06,124.06,125.50,123.56,124.76,1604400,121.65
2012-11-05,123.20,124.60,123.00,123.74,1153300,120.65
2012-11-02,126.19,126.92,123.97,123.98,1716600,120.89
2012-11-01,123.32,126.35,123.20,125.97,3071600,122.83
2012-10-31,124.59,125.00,122.59,123.03,1727500,119.96
2012-10-26,121.84,123.85,121.32,123.61,2237200,120.53
2012-10-25,121.89,122.94,120.95,121.64,2062600,118.61
2012-10-24,123.43,123.70,120.30,120.87,2429700,117.86
2012-10-23,122.97,123.72,121.93,123.22,1889800,120.15
2012-10-22,123.79,125.17,123.27,124.34,1784300,121.24
2012-10-19,125.56,125.90,123.12,123.77,2535500,120.68
2012-10-18,124.05,128.38,123.12,125.34,3404600,122.21
2012-10-17,123.13,123.99,121.38,123.73,2517100,120.64
2012-10-16,122.03,123.64,121.33,123.40,1582000,120.32
2012-10-15,121.18,121.93,119.77,120.93,1647100,117.91
2012-10-12,121.32,121.98,120.12,121.05,1685700,118.03
2012-10-11,121.95,122.12,120.90,120.92,1533700,117.90
2012-10-10,121.25,121.84,120.40,120.93,1135500,117.91
2012-10-09,122.80,123.45,121.26,121.26,1462500,118.24
2012-10-08,121.94,123.19,121.69,122.64,960100,119.58
2012-10-05,122.28,123.15,121.64,122.16,1468500,119.11
2012-10-04,121.35,122.57,120.80,121.57,1969200,118.54
2012-10-03,119.43,120.72,118.79,120.64,1757800,117.63
2012-10-02,119.19,119.48,118.20,119.10,1720800,116.13
2012-10-01,118.98,119.28,118.12,118.53,1858000,115.57
2012-09-28,118.12,119.03,116.86,118.70,2554100,115.74
2012-09-27,119.40,119.59,118.05,118.51,2718100,115.55
2012-09-26,119.99,120.60,118.51,118.92,2031100,115.95
2012-09-25,121.45,121.98,120.21,120.38,2023600,117.38
2012-09-24,118.76,121.45,118.60,121.11,2111600,118.09
2012-09-21,121.27,121.43,119.27,119.37,3384200,116.39
2012-09-20,121.13,122.34,119.46,120.95,5091800,117.93
2012-09-19,125.24,125.84,123.51,125.05,2145600,121.93
2012-09-18,126.55,126.71,125.31,126.62,1471600,123.46
2012-09-17,128.29,128.29,126.15,126.91,1759400,123.74
2012-09-14,126.85,129.27,126.28,128.43,2945800,125.23
2012-09-13,124.73,127.07,123.80,126.47,1579000,123.32
2012-09-12,124.05,125.20,123.78,124.94,1136300,121.82
2012-09-11,122.85,124.50,122.77,124.19,1394200,121.09
2012-09-10,122.28,123.37,121.99,122.86,1438500,119.80
2012-09-07,120.78,122.38,120.76,122.25,1752000,119.20
2012-09-06,119.89,121.60,119.70,121.24,1817000,118.22
2012-09-05,122.00,122.00,118.56,119.23,2564400,116.26
2012-09-04,121.57,122.86,120.63,122.26,1932200,119.21
2012-08-31,121.92,122.20,121.09,121.44,1475100,118.41
2012-08-30,122.09,122.24,121.22,121.40,1204500,118.37
2012-08-29,123.44,123.51,122.63,122.78,1636700,119.72
2012-08-28,123.58,124.48,123.25,123.50,1277200,119.83
2012-08-27,124.25,124.50,123.27,123.65,1087500,119.98
2012-08-24,123.34,124.43,123.08,123.99,1286600,120.31
2012-08-23,124.47,124.47,122.92,123.79,1227700,120.12
2012-08-22,124.29,125.14,123.74,124.69,1223600,120.99
2012-08-21,124.46,125.34,124.08,124.72,1211200,121.02
2012-08-20,125.00,125.25,123.70,124.32,1417200,120.63
2012-08-17,124.90,125.54,124.37,125.01,1462600,121.30
2012-08-16,123.44,125.33,123.35,124.92,1976700,121.21
2012-08-15,121.29,124.00,121.23,123.71,1947100,120.04
2012-08-14,122.48,122.50,121.38,121.68,1256100,118.07
