Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,113.06,114.05,112.43,113.27,3881200,113.27
2014-01-28,113.59,113.93,112.99,113.86,3662100,113.86
2014-01-27,111.88,114.81,111.57,113.79,7665000,113.79
2014-01-24,114.02,114.35,111.77,111.80,5119800,111.80
2014-01-23,115.08,115.92,114.49,114.84,4086400,114.84
2014-01-22,117.49,118.20,115.45,116.12,5042800,116.12
2014-01-21,114.84,115.98,114.46,114.99,4737200,114.99
2014-01-17,113.69,114.47,113.65,114.21,4284300,114.21
2014-01-16,113.88,114.39,113.59,114.22,2653100,114.22
2014-01-15,112.57,114.28,112.55,114.07,2271800,114.07
2014-01-14,112.67,113.41,112.12,112.63,3430500,112.63
2014-01-13,113.26,114.35,112.62,112.80,3259500,112.80
2014-01-10,114.25,114.71,113.00,113.83,2248200,113.83
2014-01-09,114.07,114.23,113.05,113.71,2123200,113.71
2014-01-08,112.94,113.94,112.56,113.65,3141400,113.65
2014-01-07,113.12,113.97,112.90,113.51,2500300,113.51
2014-01-06,113.38,113.84,112.16,112.79,2956800,112.79
2014-01-03,112.95,113.51,112.73,112.90,2314900,112.90
2014-01-02,112.90,113.21,112.31,112.49,2649500,112.49
2013-12-31,113.16,113.94,113.08,113.80,2103200,113.80
2013-12-30,112.90,112.90,112.10,112.73,1614900,112.73
2013-12-27,112.85,113.04,112.44,112.80,1593900,112.80
2013-12-26,111.61,112.76,111.56,112.69,2449400,112.69
2013-12-24,110.80,111.60,110.68,111.47,747900,111.47
2013-12-23,111.42,111.47,110.57,110.82,1967500,110.82
2013-12-20,109.22,111.13,109.07,110.66,4618000,110.66
2013-12-19,109.63,109.99,109.19,109.50,2927400,109.50
2013-12-18,108.00,109.85,106.95,109.81,3715800,109.81
2013-12-17,108.99,109.13,107.38,107.62,3451700,107.62
2013-12-16,107.81,109.12,107.50,108.53,3276700,108.53
2013-12-13,106.16,107.89,105.90,107.35,4519600,107.35
2013-12-12,108.50,108.93,107.36,108.09,3651400,108.09
2013-12-11,111.08,111.20,108.65,108.66,3394500,108.66
2013-12-10,110.67,111.61,110.09,110.98,2809600,110.98
2013-12-09,111.05,111.55,110.71,111.18,2803000,111.18
2013-12-06,110.24,111.20,110.07,111.12,2430600,111.12
2013-12-05,108.09,109.58,108.09,109.05,2024000,109.05
2013-12-04,109.34,109.56,107.99,108.94,2511000,108.94
2013-12-03,109.92,110.53,109.26,109.69,3294200,109.69
2013-12-02,111.17,111.40,110.11,110.31,2091300,110.31
2013-11-29,111.30,111.61,110.70,110.86,1301000,110.86
2013-11-27,111.23,111.90,111.08,111.51,1770500,111.51
