Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,58.38,58.80,57.48,57.58,2297200,57.58
2014-01-28,58.00,58.96,57.86,58.68,1840700,58.68
2014-01-27,57.73,58.29,57.60,57.91,2322900,57.91
2014-01-24,57.76,58.44,57.71,57.77,2136000,57.77
2014-01-23,58.54,58.77,57.91,58.15,2232400,58.15
2014-01-22,59.04,59.17,58.81,59.00,1921800,59.00
2014-01-21,59.37,59.37,58.02,58.78,2831700,58.78
2014-01-17,61.38,61.38,58.79,58.79,3762600,58.79
2014-01-16,59.97,60.20,58.80,59.21,3274800,59.21
2014-01-15,60.50,60.88,60.16,60.22,1824800,60.22
2014-01-14,60.42,61.05,60.03,60.44,2052200,60.44
2014-01-13,62.05,62.20,59.97,60.23,2917200,60.23
2014-01-10,62.30,62.48,61.80,62.47,1175400,62.47
2014-01-09,61.93,62.37,61.46,62.29,1610100,62.29
2014-01-08,61.75,61.80,61.08,61.67,2122600,61.67
2014-01-07,62.00,62.29,61.61,61.84,1806100,61.84
2014-01-06,62.22,62.42,61.41,61.71,2184600,61.71
2014-01-03,62.14,62.49,61.74,62.11,1771500,62.11
2014-01-02,63.02,63.45,62.00,62.38,1769600,62.38
2013-12-31,62.26,62.50,62.08,62.34,1114200,62.34
2013-12-30,61.70,62.29,61.60,62.07,1090700,62.07
2013-12-27,62.34,62.48,60.97,61.58,1683600,61.58
2013-12-26,61.50,62.19,61.32,62.08,1385900,62.08
2013-12-24,61.05,61.35,60.74,61.20,1203300,61.20
2013-12-23,61.75,61.90,60.12,60.96,3189000,60.96
2013-12-20,239.30,245.79,237.99,245.79,23002800,61.45
2013-12-19,239.12,240.43,238.02,238.48,1735600,59.62
2013-12-18,235.83,239.63,233.64,239.34,1800400,59.83
2013-12-17,235.26,235.99,233.86,235.07,1461200,58.77
2013-12-16,234.97,235.70,233.66,234.69,1878800,58.67
2013-12-13,234.00,234.91,231.20,234.48,3049200,58.62
2013-12-12,229.50,233.09,228.94,232.24,2933600,58.06
2013-12-11,231.81,232.69,228.68,229.20,2352000,57.30
2013-12-10,232.71,233.14,228.56,231.25,2615600,57.81
2013-12-09,233.64,234.28,232.06,232.94,1853200,58.24
2013-12-06,243.28,243.28,232.59,233.57,1575600,58.39
2013-12-05,233.49,235.46,232.35,233.00,2256400,57.99
2013-12-04,233.79,234.50,231.55,233.55,1668800,58.12
2013-12-03,235.67,235.97,233.32,234.04,2232800,58.25
2013-12-02,236.19,238.25,234.71,235.74,2281600,58.67
2013-11-29,235.00,237.18,234.21,234.58,988800,58.38
2013-11-27,235.38,236.60,234.12,234.93,1611200,58.47
2013-11-26,232.99,235.65,232.67,234.40,1712000,58.34
2013-11-25,233.09,234.53,232.50,233.40,3142000,58.09
2013-11-22,225.88,232.41,224.59,232.10,3455600,57.76
2013-11-21,225.44,225.44,223.30,224.53,1441600,55.88
2013-11-20,225.00,226.52,224.00,224.74,1270400,55.93
2013-11-19,224.14,225.30,223.10,224.26,1404000,55.81
2013-11-18,225.50,226.85,223.93,224.44,1832400,55.86
2013-11-15,224.13,225.59,223.17,225.56,1770000,56.14
2013-11-14,223.00,224.68,221.36,224.51,1724000,55.87
2013-11-13,217.45,223.06,217.25,223.01,2487200,55.50
2013-11-12,218.18,219.24,217.15,217.83,2522000,54.21
2013-11-11,219.00,219.76,218.68,219.05,1350400,54.52
2013-11-08,217.05,218.79,216.26,218.74,2722800,54.44
2013-11-07,222.46,223.04,216.73,217.05,2486800,54.02
2013-11-06,222.64,225.58,220.98,222.46,3661600,55.36
2013-11-05,218.68,220.38,217.12,219.75,2445200,54.69
2013-11-04,216.70,218.93,216.13,218.63,2324800,54.41
2013-11-01,215.00,216.65,214.82,215.50,1131200,53.63
2013-10-31,215.11,216.24,213.17,215.00,2460800,53.51
2013-10-30,216.29,216.84,213.38,214.96,1832000,53.50
2013-10-29,217.00,217.69,215.50,216.00,3320000,53.76
2013-10-28,212.20,216.61,211.83,216.55,3431600,53.89
2013-10-25,213.04,213.21,210.61,212.23,2228000,52.82
2013-10-24,213.44,213.44,210.70,210.75,1958800,52.45
2013-10-23,211.38,212.68,210.02,212.44,1676000,52.87
2013-10-22,212.26,212.99,210.31,211.44,3193200,52.62
2013-10-21,212.90,214.40,210.28,211.23,5260800,52.57
2013-10-18,202.95,204.30,201.41,204.30,2419200,50.84
2013-10-17,200.59,203.40,200.23,201.89,2613200,50.25
2013-10-16,197.05,201.41,197.05,201.33,3356800,50.11
2013-10-15,197.38,198.66,195.80,196.07,4588000,48.80
2013-10-14,193.40,198.20,193.40,197.58,1934800,49.17
2013-10-11,194.73,196.15,193.41,196.10,2066000,48.80
2013-10-10,195.26,195.66,194.09,194.73,1312800,48.46
2013-10-09,190.44,193.46,189.32,192.42,2310400,47.89
2013-10-08,193.95,194.46,189.36,189.76,3070400,47.23
2013-10-07,195.14,196.35,193.82,193.85,2017200,48.24
2013-10-04,194.99,197.07,194.69,196.51,1979600,48.91
2013-10-03,195.59,198.17,193.36,194.54,2212000,48.42
2013-10-02,200.41,201.24,193.79,195.80,3317600,48.73
2013-10-01,199.60,200.00,197.51,198.84,2118400,49.49
2013-09-30,197.15,199.48,197.01,199.05,2287600,49.54
2013-09-27,199.59,199.99,196.80,198.48,2569200,49.40
2013-09-26,199.72,200.74,198.71,199.61,2215600,49.68
2013-09-25,202.84,202.88,198.67,199.24,2385600,49.59
2013-09-24,202.82,203.43,201.59,202.58,1631600,50.42
2013-09-23,203.02,203.27,200.22,202.44,1703600,50.38
2013-09-20,204.69,204.94,201.94,203.32,3225600,50.60
2013-09-19,199.33,204.64,199.33,204.49,3366800,50.89
2013-09-18,197.23,200.34,195.57,200.21,1830400,49.83
2013-09-17,196.12,197.73,196.09,197.67,1880800,49.19
2013-09-16,197.38,198.74,195.73,196.09,2075600,48.80
2013-09-13,194.47,195.70,193.46,195.50,1306800,48.65
2013-09-12,192.79,194.81,192.52,194.71,2194400,48.46
2013-09-11,192.02,192.96,190.73,192.96,2379600,48.02
2013-09-10,191.95,192.57,189.85,192.15,1686800,47.82
2013-09-09,191.43,192.55,190.91,191.67,1319200,47.70
2013-09-06,193.20,193.59,189.38,191.26,1259600,47.60
2013-09-05,192.10,194.04,191.63,193.30,1992800,47.89
2013-09-04,189.81,192.98,189.81,192.11,1676000,47.60
2013-09-03,188.80,190.16,188.24,189.05,2043600,46.84
2013-08-30,187.56,188.93,186.53,187.21,1597600,46.38
2013-08-29,186.58,188.05,185.62,186.86,2220000,46.30
2013-08-28,185.81,187.53,185.70,186.59,1968800,46.23
2013-08-27,189.11,189.42,185.81,186.19,2753200,46.13
2013-08-26,191.20,191.96,188.84,189.17,1788800,46.87
2013-08-23,191.38,193.83,190.06,191.09,1723200,47.34
2013-08-22,190.87,192.21,188.46,190.76,1540400,47.26
2013-08-21,191.34,192.96,190.07,190.52,1313600,47.20
2013-08-20,191.14,192.98,189.80,191.42,2422800,47.42
2013-08-19,192.22,193.50,190.82,190.90,1712000,47.30
2013-08-16,192.01,194.61,192.01,192.75,1916000,47.75
2013-08-15,195.36,195.43,192.27,193.05,2762000,47.83
2013-08-14,198.96,199.31,195.81,196.23,2421200,48.62
2013-08-13,198.52,199.72,197.28,199.13,1520800,49.34
2013-08-12,197.88,199.28,197.67,198.19,1387600,49.10
2013-08-09,198.80,200.36,197.70,198.89,1348800,49.28
2013-08-08,199.74,200.06,198.67,198.93,1314400,49.29
2013-08-07,199.76,200.76,198.29,198.31,2410000,49.13
2013-08-06,200.67,201.95,200.02,201.06,2054400,49.81
2013-08-05,201.12,202.35,200.87,201.15,706400,49.84
2013-08-02,200.75,202.34,199.91,202.30,1040400,50.12
2013-08-01,198.12,201.48,197.19,201.07,1402000,49.82
2013-07-31,197.96,199.36,196.62,197.00,1394400,48.81
2013-07-30,198.13,198.75,197.00,197.52,1453600,48.94
2013-07-29,198.64,198.95,196.62,197.13,1161600,48.84
2013-07-26,196.34,199.30,196.00,199.09,1580000,49.33
2013-07-25,196.59,198.04,195.93,197.79,1553600,49.00
2013-07-24,197.12,197.84,195.88,196.71,1230800,48.74
2013-07-23,195.33,196.86,194.83,196.18,1390000,48.60
2013-07-22,193.55,196.37,193.51,194.86,3024800,48.28
2013-07-19,197.20,199.53,194.26,196.94,5119600,48.79
2013-07-18,195.61,199.85,195.61,199.53,2383200,49.43
2013-07-17,198.56,199.49,197.03,197.49,1980400,48.93
2013-07-16,199.41,200.19,198.00,198.17,1977600,49.10
2013-07-15,199.33,200.09,198.56,199.51,1974400,49.43
2013-07-12,199.45,200.55,198.73,199.56,1264800,49.44
2013-07-11,199.51,200.08,198.67,199.72,1686000,49.48
2013-07-10,198.01,199.34,196.77,197.89,1668000,49.03
2013-07-09,200.43,200.43,194.73,198.48,1284800,49.17
2013-07-08,197.82,199.47,196.34,197.00,2050000,48.81
2013-07-05,194.06,197.62,194.06,196.28,1722400,48.63
2013-07-03,192.37,194.16,190.87,193.82,979200,48.02
2013-07-02,194.57,196.14,192.17,193.58,2641600,47.96
2013-07-01,193.93,196.99,193.58,195.03,2073200,48.32
2013-06-28,191.80,195.06,190.27,193.06,3594800,47.83
2013-06-27,192.00,193.00,190.94,192.08,1516400,47.59
2013-06-26,190.77,191.76,189.24,191.31,2711600,47.40
2013-06-25,187.24,189.03,186.25,188.21,2514400,46.63
2013-06-24,184.43,187.06,182.45,185.65,2415600,46.00
2013-06-21,187.80,189.87,184.52,186.02,3067600,46.09
2013-06-20,191.50,191.75,186.24,186.83,2281600,46.29
2013-06-19,190.58,193.09,190.58,192.50,3392800,47.69
2013-06-18,188.29,190.80,187.80,190.48,1771200,47.19
2013-06-17,188.50,189.41,186.73,188.16,1791600,46.62
2013-06-14,187.64,188.65,186.50,187.14,1419600,46.36
2013-06-13,190.21,190.62,187.39,188.50,3056400,46.70
2013-06-12,189.58,189.85,188.16,189.58,2353200,46.97
2013-06-11,185.93,189.64,185.39,188.06,2095200,46.59
2013-06-10,187.30,187.96,185.98,187.00,1002400,46.33
2013-06-07,185.00,187.34,175.75,187.17,2067200,46.37
2013-06-06,183.36,184.87,182.14,184.77,1819600,45.78
2013-06-05,185.48,187.23,184.85,185.35,2175200,45.71
2013-06-04,185.25,187.42,182.51,186.64,1671200,46.02
2013-06-03,183.79,185.69,182.24,185.62,1952400,45.77
2013-05-31,184.84,187.20,183.86,183.86,2467600,45.34
2013-05-30,185.08,185.93,183.95,184.95,1734800,45.61
2013-05-29,184.15,185.84,183.50,184.54,1223200,45.51
2013-05-28,186.11,186.86,183.82,184.74,983600,45.56
2013-05-24,184.17,184.49,182.02,183.82,1710800,45.33
2013-05-23,182.78,186.22,181.76,185.12,1296000,45.65
2013-05-22,186.50,187.91,184.29,185.03,1299200,45.63
2013-05-21,182.49,186.69,182.49,186.15,1593600,45.90
2013-05-20,183.83,185.91,183.60,185.50,1792400,45.74
2013-05-17,181.47,184.65,181.47,183.73,2013600,45.31
2013-05-16,185.67,186.39,180.79,181.51,2386400,44.76
2013-05-15,183.89,187.02,183.89,185.66,3129600,45.78
2013-05-14,182.29,184.85,182.11,184.72,1488400,45.55
2013-05-13,182.51,183.10,180.84,182.30,2040400,44.95
2013-05-10,180.80,183.43,180.49,183.12,2376800,45.16
2013-05-09,180.98,181.98,179.63,180.62,1755200,44.54
2013-05-08,179.95,181.42,178.56,181.01,1925600,44.64
2013-05-07,178.24,180.01,178.06,179.95,2068000,44.37
2013-05-06,177.04,178.36,176.55,177.36,1940400,43.74
2013-05-03,176.24,178.19,174.24,177.55,2201600,43.78
2013-05-02,176.83,177.16,174.01,175.35,2510800,43.24
2013-05-01,177.96,178.77,174.60,175.39,2798000,43.25
2013-04-30,174.81,178.28,174.35,178.22,2623200,43.95
2013-04-29,175.01,176.92,173.08,174.81,1805600,43.11
2013-04-26,177.45,177.63,171.12,174.82,4137600,43.11
2013-04-25,174.80,178.91,174.06,178.75,2627200,44.08
2013-04-24,174.32,175.00,172.28,174.19,1999600,42.95
2013-04-23,173.30,174.76,172.12,173.82,1691200,42.86
2013-04-22,169.83,173.95,169.83,173.00,2224400,42.66
2013-04-19,168.25,170.28,167.80,169.15,1404000,41.71
2013-04-18,169.68,170.00,166.73,167.66,1294800,41.34
2013-04-17,169.15,170.98,166.76,169.25,1978000,41.74
2013-04-16,167.61,169.95,166.57,169.77,1996400,41.86
2013-04-15,171.17,171.40,166.27,166.27,2431600,41.00
2013-04-12,170.63,172.14,169.63,171.60,3450000,42.31
2013-04-11,172.16,174.34,170.53,171.37,3084000,42.26
2013-04-10,169.46,173.15,169.39,172.41,2040000,42.51
2013-04-09,169.84,170.56,168.80,168.95,1764400,41.66
2013-04-08,168.85,169.97,168.34,169.97,1438000,41.91
2013-04-05,167.76,169.51,166.07,169.07,2506000,41.69
2013-04-04,168.50,169.83,167.82,169.75,1677200,41.86
2013-04-03,168.18,169.58,167.49,168.22,2413200,41.48
2013-04-02,165.71,168.25,165.52,167.93,1242000,41.41
2013-04-01,167.76,167.78,164.50,165.61,1946000,40.84
2013-03-28,166.47,168.65,165.91,167.75,2354800,41.37
2013-03-27,164.67,166.16,164.50,165.96,1249200,40.92
2013-03-26,166.23,166.23,164.29,165.70,1428800,40.86
2013-03-25,166.80,167.70,163.28,165.65,4143200,40.85
2013-03-22,167.46,168.82,165.85,166.12,3139600,40.96
2013-03-21,166.37,166.49,163.76,166.28,2215600,41.00
2013-03-20,166.50,166.89,165.41,166.40,2320000,41.03
2013-03-19,164.08,165.82,163.35,165.67,3269600,40.85
2013-03-18,164.59,165.05,162.47,163.69,2128800,40.36
2013-03-15,163.87,166.24,163.60,165.26,3730800,40.75
2013-03-14,164.59,165.83,163.75,165.04,2476400,40.70
2013-03-13,162.35,164.66,162.19,164.11,2436400,40.47
2013-03-12,161.05,163.16,160.96,162.90,2644800,40.17
2013-03-11,162.52,163.05,160.66,161.75,2480400,39.89
2013-03-08,162.75,163.28,161.41,162.82,2362800,40.15
2013-03-07,163.42,164.22,161.28,162.50,2486000,40.07
2013-03-06,163.38,164.92,162.53,163.17,2004800,40.24
2013-03-05,164.00,165.15,162.81,164.26,3118000,40.29
2013-03-04,160.76,163.52,160.76,163.40,2213600,40.08
2013-03-01,161.25,161.25,159.38,160.69,3230000,39.41
2013-02-28,160.67,162.10,159.75,161.26,2650000,39.55
2013-02-27,156.50,160.99,156.21,160.86,3697600,39.46
2013-02-26,155.58,158.88,155.58,158.03,2511600,38.76
2013-02-25,159.76,160.52,157.52,157.53,2760800,38.64
2013-02-22,160.25,160.41,156.79,158.54,2104000,38.89
2013-02-21,159.50,160.74,158.02,158.97,3322000,38.99
2013-02-20,163.74,163.74,160.16,160.43,3819600,39.35
2013-02-19,158.35,163.38,158.20,163.38,5696800,40.07
2013-02-15,154.15,159.49,153.83,157.88,6417200,38.73
2013-02-14,151.88,153.53,150.30,152.81,4635600,37.48
2013-02-13,152.66,153.09,151.55,152.32,2684400,37.36
2013-02-12,152.48,153.97,151.88,152.68,2640800,37.45
2013-02-11,152.33,152.90,150.87,152.09,2484400,37.31
2013-02-08,153.98,154.86,152.26,153.03,3831600,37.54
2013-02-07,151.26,154.46,150.50,153.89,4786400,37.75
2013-02-06,149.10,153.09,148.76,151.26,4864000,37.10
2013-02-05,147.13,149.54,147.12,148.74,3416000,36.48
2013-02-04,147.60,149.73,146.71,147.03,4133600,36.06
2013-02-01,149.14,149.14,147.41,147.87,3346400,36.27
2013-01-31,146.01,148.85,146.01,147.58,3971600,36.20
2013-01-30,146.46,147.85,145.72,145.74,2762000,35.75
2013-01-29,147.89,148.04,146.38,147.00,2946000,36.06
2013-01-28,148.72,148.84,146.47,147.69,3769200,36.23
2013-01-25,145.84,149.22,145.00,148.97,5243200,36.54
2013-01-24,150.60,151.04,142.79,145.78,8147200,35.76
2013-01-23,147.64,150.90,146.65,150.76,3945600,36.98
2013-01-22,148.32,149.16,147.39,148.89,4141200,36.52
2013-01-18,151.18,151.18,147.31,147.94,7368000,36.29
2013-01-17,153.18,153.50,148.65,151.13,4423600,37.07
2013-01-16,154.13,154.47,152.16,152.90,1736800,37.50
2013-01-15,153.35,155.71,152.45,153.89,3933200,37.75
2013-01-14,148.99,154.00,148.01,153.88,2991600,37.74
2013-01-11,151.81,151.81,148.96,149.00,2790800,36.55
2013-01-10,148.14,150.93,147.39,150.92,3491200,37.02
2013-01-09,149.58,150.25,147.22,147.70,3810800,36.23
2013-01-08,149.10,150.74,148.54,149.29,3527600,36.62
2013-01-07,152.24,152.67,148.28,149.38,4676800,36.64
2013-01-04,152.50,154.00,151.21,153.81,2711600,37.73
2013-01-03,150.78,152.25,150.25,151.79,3161200,37.23
2013-01-02,153.03,154.16,147.13,150.36,4928000,36.88
2012-12-31,147.66,151.49,147.51,150.97,2195200,37.03
2012-12-28,149.19,150.47,147.77,148.29,1911200,36.37
2012-12-27,148.23,150.61,147.40,150.15,2359200,36.83
2012-12-26,150.08,150.61,146.11,148.01,2472800,36.30
2012-12-24,150.09,150.57,148.50,150.06,814000,36.81
2012-12-21,150.49,150.99,148.68,150.10,3153200,36.82
2012-12-20,151.41,151.67,148.30,150.65,2556400,36.95
2012-12-19,152.23,153.86,151.15,151.22,2934000,37.09
2012-12-18,151.64,153.30,151.26,151.84,2896000,37.24
2012-12-17,148.15,151.16,147.92,151.11,3212000,37.06
2012-12-14,149.24,150.00,146.90,148.18,3128400,36.35
2012-12-13,149.69,150.40,147.00,147.44,2461200,36.16
2012-12-12,151.77,151.77,148.61,149.72,2593200,36.72
2012-12-11,149.04,151.41,148.62,151.30,3486800,37.11
2012-12-10,152.30,152.57,146.84,148.65,6568000,36.46
2012-12-07,153.20,153.77,150.52,152.61,3425600,37.43
2012-12-06,153.94,155.61,152.64,153.00,4262800,37.53
2012-12-05,156.17,158.39,152.93,154.84,4385200,37.77
2012-12-04,160.65,160.97,155.71,156.19,2644400,38.10
2012-12-03,161.74,162.31,160.64,161.05,2214800,39.28
2012-11-30,161.98,162.07,159.23,160.51,3168000,39.15
2012-11-29,162.51,162.51,160.04,161.79,2732800,39.46
2012-11-28,155.75,162.25,155.55,162.10,2952400,39.54
2012-11-27,153.21,157.46,152.04,155.94,2910000,38.03
2012-11-26,158.11,159.33,155.50,157.28,2849200,38.36
2012-11-23,157.37,158.57,157.13,158.53,758800,38.67
2012-11-21,158.03,158.73,156.24,156.83,1432400,38.25
2012-11-20,157.03,157.95,156.16,157.57,2107200,38.43
2012-11-19,155.86,158.48,155.68,156.99,4422000,38.29
2012-11-16,154.03,156.28,153.45,155.82,2267200,38.01
2012-11-15,154.18,156.23,153.01,153.87,1670000,37.53
2012-11-14,157.33,158.68,153.50,154.48,2699200,37.68
2012-11-13,159.27,159.27,155.53,156.54,2877200,38.18
2012-11-12,160.04,160.25,154.73,159.68,4418400,38.95
2012-11-09,153.16,155.24,152.76,152.93,3160800,37.30
2012-11-08,157.59,157.59,153.28,153.46,2576800,37.43
2012-11-07,159.27,159.83,156.20,157.58,2096400,38.43
2012-11-06,158.36,160.67,157.94,160.67,1248800,39.19
2012-11-05,157.73,159.46,157.32,158.69,934400,38.71
2012-11-02,160.15,161.49,157.95,157.96,1580000,38.53
2012-11-01,157.70,160.71,156.00,159.71,2480000,38.95
2012-10-31,159.03,159.98,154.85,156.48,3393200,38.17
2012-10-26,155.32,155.50,153.00,154.64,2009600,37.72
2012-10-25,157.63,158.40,154.71,155.19,1893600,37.85
2012-10-24,155.89,156.77,153.20,156.73,4066800,38.23
2012-10-23,158.42,158.75,154.05,155.67,4454000,37.97
2012-10-22,161.28,162.62,154.46,159.46,8322000,38.89
2012-10-19,168.52,168.93,165.65,166.77,3850000,40.68
2012-10-18,168.93,169.19,167.06,168.83,1784400,41.18
2012-10-17,167.95,169.82,166.93,168.86,1694400,41.19
2012-10-16,164.22,168.32,164.22,168.28,2698000,41.04
2012-10-15,161.89,164.54,160.97,163.65,2102400,39.92
2012-10-12,160.32,162.64,160.00,161.73,1898000,39.45
2012-10-11,160.97,161.34,159.95,160.03,1064400,39.03
2012-10-10,160.41,161.48,159.31,159.58,1061200,38.92
2012-10-09,161.35,162.52,159.77,160.06,1192400,39.04
2012-10-08,162.95,163.06,161.02,161.21,1027200,39.32
2012-10-05,163.69,163.99,161.89,162.81,1519200,39.71
2012-10-04,161.33,163.85,160.86,162.95,2484800,39.74
2012-10-03,161.48,162.00,160.31,160.59,1538000,39.17
2012-10-02,158.63,161.23,157.87,161.21,2054400,39.32
2012-10-01,159.06,161.09,157.93,158.64,1703200,38.69
2012-09-28,159.08,160.36,156.87,159.36,2333200,38.87
2012-09-27,159.01,161.28,158.57,160.44,1623600,39.13
2012-09-26,157.79,159.80,157.52,158.68,1992800,38.70
2012-09-25,158.64,159.89,157.55,157.76,2674000,38.48
2012-09-24,158.10,158.70,157.15,157.21,2350000,38.34
2012-09-21,160.45,160.93,158.29,158.49,2905600,38.66
2012-09-20,160.59,161.31,157.99,160.20,2022400,39.07
2012-09-19,160.33,162.77,159.02,160.73,2136800,39.20
2012-09-18,163.21,163.50,159.44,160.53,2858000,39.15
2012-09-17,163.57,163.83,161.63,163.65,2280400,39.92
2012-09-14,161.25,164.35,160.39,164.33,4192000,40.08
2012-09-13,156.03,162.13,155.44,161.01,4086400,39.27
