Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,49.96,49.96,49.96,49.96,000,49.96
2014-01-23,49.99,50.01,49.96,49.96,4776500,49.96
2014-01-22,49.98,49.99,49.97,49.97,213300,49.97
2014-01-21,49.99,49.99,49.97,49.97,418300,49.97
2014-01-17,49.98,49.99,49.97,49.99,617600,49.99
2014-01-16,49.98,49.99,49.97,49.99,543700,49.99
2014-01-15,49.85,49.99,49.85,49.97,1472700,49.97
2014-01-14,49.86,49.87,49.83,49.87,438100,49.87
2014-01-13,49.85,49.87,49.82,49.87,651200,49.87
2014-01-10,49.86,49.90,49.83,49.90,334000,49.90
2014-01-09,49.85,49.89,49.83,49.89,451000,49.89
2014-01-08,49.89,49.91,49.80,49.80,1209300,49.80
2014-01-07,49.73,49.89,49.73,49.89,1001700,49.89
2014-01-06,49.84,49.88,49.84,49.86,612100,49.86
2014-01-03,49.83,49.89,49.83,49.89,341400,49.89
2014-01-02,49.85,49.86,49.82,49.86,1082000,49.86
2013-12-31,49.84,49.86,49.83,49.85,479400,49.85
2013-12-30,49.85,49.88,49.83,49.85,846600,49.85
2013-12-27,49.86,49.90,49.85,49.86,491100,49.86
2013-12-26,49.87,49.88,49.80,49.80,1045700,49.80
2013-12-24,49.84,49.87,49.83,49.86,293100,49.86
2013-12-23,49.81,49.85,49.80,49.83,1050000,49.83
2013-12-20,49.81,49.91,49.76,49.79,4071200,49.79
2013-12-19,49.74,49.84,49.62,49.77,1261000,49.77
2013-12-18,49.78,49.86,49.74,49.86,1656800,49.86
2013-12-17,49.70,49.77,49.70,49.74,753600,49.74
2013-12-16,49.78,49.79,49.72,49.74,1706000,49.74
2013-12-13,49.75,49.78,49.72,49.74,956900,49.74
2013-12-12,49.71,49.75,49.70,49.71,1718500,49.71
2013-12-11,49.69,49.79,49.68,49.70,6941700,49.70
2013-12-10,49.49,49.56,49.48,49.52,1219500,49.52
2013-12-09,49.56,49.61,49.46,49.48,1811000,49.48
2013-12-06,49.58,49.61,49.54,49.56,1050200,49.56
2013-12-05,49.68,49.76,49.53,49.59,3660000,49.59
2013-12-04,49.51,49.74,49.50,49.72,3285000,49.72
2013-12-03,49.50,49.59,49.49,49.50,4428200,49.50
2013-12-02,49.50,49.54,49.48,49.50,3799400,49.50
2013-11-29,49.50,49.55,49.49,49.51,718200,49.51
2013-11-27,49.50,49.56,49.48,49.50,2055200,49.50
