Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,19.70,19.70,19.29,19.40,1117900,19.40
2014-01-28,19.81,19.96,19.70,19.78,1321400,19.78
2014-01-27,20.10,20.19,19.43,19.72,1553700,19.72
2014-01-24,20.37,20.52,20.03,20.07,2874300,20.07
2014-01-23,20.66,20.71,20.39,20.46,1381600,20.46
2014-01-22,20.49,21.36,20.46,20.80,2323400,20.80
2014-01-21,20.15,20.45,20.14,20.28,1634200,20.28
2014-01-17,20.16,20.31,20.03,20.12,1640800,20.12
2014-01-16,19.52,20.23,19.52,20.19,1987700,20.19
2014-01-15,19.46,19.73,19.41,19.60,966000,19.60
2014-01-14,19.45,19.52,19.28,19.49,963500,19.49
2014-01-13,19.04,19.57,19.04,19.38,1661700,19.38
2014-01-10,19.06,19.23,18.98,19.14,728800,19.14
2014-01-09,18.94,19.20,18.92,19.01,1554500,19.01
2014-01-08,18.99,19.06,18.70,18.81,1571100,18.81
2014-01-07,19.01,19.21,18.86,18.96,1078100,18.96
2014-01-06,19.40,19.43,18.98,18.98,1600800,18.98
2014-01-03,18.73,19.35,18.73,19.33,1324400,19.33
2014-01-02,19.00,19.09,18.61,18.73,1328000,18.73
2013-12-31,19.07,19.15,19.00,19.06,641900,19.06
2013-12-30,19.00,19.07,18.79,19.00,788200,19.00
2013-12-27,19.25,19.28,18.86,18.94,704600,18.94
2013-12-26,19.17,19.43,19.12,19.15,1551700,19.15
2013-12-24,18.99,19.05,18.85,19.02,494300,19.02
2013-12-23,19.00,19.00,18.77,18.99,840500,18.99
2013-12-20,18.78,18.86,18.71,18.84,1640800,18.84
2013-12-19,18.81,18.84,18.68,18.73,1336800,18.73
2013-12-18,18.65,18.76,18.32,18.70,1645500,18.70
2013-12-17,18.54,18.60,18.35,18.53,3018000,18.53
2013-12-16,18.46,18.61,18.41,18.54,2018300,18.54
2013-12-13,18.68,18.75,18.00,18.29,3070200,18.29
2013-12-12,19.00,19.19,18.64,18.91,3476600,18.91
2013-12-11,17.52,17.58,17.36,17.45,1774000,17.45
2013-12-10,17.39,17.52,17.31,17.49,996300,17.49
2013-12-09,17.38,17.52,17.25,17.51,731100,17.51
2013-12-06,17.29,17.43,17.20,17.36,711600,17.36
2013-12-05,17.29,17.33,16.98,17.14,1515300,17.14
2013-12-04,17.42,17.56,17.11,17.28,1009300,17.28
2013-12-03,17.72,17.74,17.35,17.44,1818100,17.44
2013-12-02,17.67,17.97,17.53,17.73,1214500,17.73
2013-11-29,17.86,17.89,17.66,17.67,367900,17.67
2013-11-27,17.70,17.86,17.64,17.81,793300,17.81
2013-11-26,17.34,17.64,17.31,17.61,1202600,17.61
2013-11-25,17.51,17.66,17.24,17.29,1241300,17.29
2013-11-22,17.36,17.51,17.25,17.51,805800,17.51
2013-11-21,17.27,17.40,17.23,17.35,708800,17.35
2013-11-20,17.30,17.37,17.13,17.18,520000,17.18
2013-11-19,17.29,17.42,17.16,17.24,809700,17.24
2013-11-18,17.29,17.45,17.24,17.26,1320400,17.26
2013-11-15,17.29,17.37,17.15,17.22,911400,17.22
2013-11-14,17.09,17.27,17.05,17.27,1274300,17.27
2013-11-13,16.55,17.04,16.52,17.03,1141700,17.03
2013-11-12,16.79,16.88,16.58,16.68,1034800,16.58
2013-11-11,16.70,16.84,16.54,16.78,932300,16.68
2013-11-08,16.45,16.73,16.37,16.72,1619600,16.62
2013-11-07,16.95,16.96,16.40,16.40,2588300,16.30
2013-11-06,16.91,16.95,16.83,16.92,1547400,16.82
2013-11-05,16.25,16.86,16.25,16.79,1892200,16.69
2013-11-04,15.89,16.26,15.89,16.24,1140800,16.14
2013-11-01,16.39,16.54,15.52,15.73,1995200,15.63
2013-10-31,16.64,16.75,16.42,16.49,1588400,16.39
2013-10-30,16.62,16.77,16.53,16.57,855300,16.47
2013-10-29,16.43,16.64,16.41,16.63,979500,16.53
2013-10-28,16.37,16.41,16.15,16.41,1431200,16.31
2013-10-25,16.37,16.39,16.23,16.37,522400,16.27
2013-10-24,16.35,16.40,16.14,16.33,707600,16.23
2013-10-23,16.08,16.29,15.96,16.28,745200,16.18
2013-10-22,15.99,16.16,15.98,16.10,1099600,16.00
2013-10-21,16.03,16.03,15.80,15.93,936800,15.83
2013-10-18,15.59,16.00,15.58,15.98,1146400,15.88
2013-10-17,15.27,15.67,15.27,15.53,2554000,15.43
2013-10-16,15.40,15.52,15.28,15.32,986900,15.23
2013-10-15,15.53,15.57,15.27,15.34,1499900,15.25
2013-10-14,15.37,15.60,15.30,15.60,1151200,15.50
2013-10-11,15.50,15.53,15.45,15.50,1179000,15.40
2013-10-10,15.31,15.52,15.28,15.49,1972700,15.39
2013-10-09,15.36,15.37,15.07,15.16,1393000,15.07
2013-10-08,15.58,15.62,15.30,15.36,1339600,15.27
2013-10-07,15.77,15.80,15.52,15.52,1438900,15.42
2013-10-04,16.07,16.07,15.91,15.91,1073400,15.81
2013-10-03,16.03,16.08,15.84,16.00,1954200,15.90
2013-10-02,15.93,16.10,15.87,16.02,3556400,15.92
2013-10-01,15.76,16.08,15.73,16.00,3447800,15.90
2013-09-30,15.85,15.91,15.68,15.71,1642500,15.61
2013-09-27,16.02,16.07,15.96,16.04,1562300,15.94
2013-09-26,15.95,16.15,15.94,16.03,2564800,15.93
2013-09-25,15.86,16.05,15.82,15.85,2598200,15.75
2013-09-24,15.69,15.85,15.65,15.78,2500100,15.68
2013-09-23,15.82,15.84,15.56,15.66,2602000,15.56
2013-09-20,16.08,16.08,15.79,15.79,1606700,15.69
2013-09-19,15.97,16.08,15.96,15.99,1425700,15.89
2013-09-18,15.93,16.06,15.78,15.89,2322100,15.79
2013-09-17,15.75,16.00,15.65,15.87,2045700,15.77
2013-09-16,15.83,15.83,15.59,15.68,872100,15.58
2013-09-13,15.48,15.70,15.29,15.62,1398500,15.52
2013-09-12,15.61,15.61,15.24,15.40,899600,15.30
2013-09-11,15.56,15.71,15.48,15.58,824300,15.48
2013-09-10,15.48,15.62,15.38,15.59,1197900,15.49
2013-09-09,15.16,15.44,15.12,15.38,1216000,15.29
2013-09-06,15.17,15.20,14.82,15.08,1099500,14.99
2013-09-05,14.93,15.10,14.91,15.08,1187900,14.99
2013-09-04,14.78,14.95,14.73,14.91,2299800,14.82
2013-09-03,14.97,15.06,14.67,14.79,2657500,14.70
2013-08-30,15.02,15.09,14.71,14.71,1860700,14.62
2013-08-29,14.99,15.11,14.95,14.99,2324500,14.90
2013-08-28,14.70,15.08,14.69,14.99,2082400,14.90
2013-08-27,15.17,15.27,14.77,14.78,1743700,14.59
2013-08-26,15.20,15.48,15.15,15.32,1120300,15.12
2013-08-23,15.15,15.25,15.00,15.15,1316800,14.95
2013-08-22,14.75,15.09,14.75,15.00,1334200,14.80
2013-08-21,14.64,14.67,14.31,14.59,2067600,14.40
2013-08-20,14.73,14.79,14.66,14.69,812000,14.50
2013-08-19,14.65,14.95,14.61,14.70,1313800,14.51
2013-08-16,14.60,14.74,14.50,14.66,1221300,14.47
2013-08-15,14.74,14.89,14.55,14.58,1059000,14.39
2013-08-14,15.05,15.06,14.87,14.88,811400,14.69
2013-08-13,15.13,15.17,14.96,14.99,1053000,14.79
2013-08-12,14.95,15.24,14.87,15.11,727400,14.91
2013-08-09,15.09,15.23,15.00,15.01,1078100,14.81
2013-08-08,15.33,15.43,15.04,15.14,1157000,14.94
2013-08-07,15.20,15.28,15.07,15.19,1039100,14.99
2013-08-06,15.42,15.44,15.13,15.17,947600,14.97
2013-08-05,15.13,15.52,15.12,15.45,1619700,15.25
2013-08-02,15.47,15.65,14.94,15.02,1952800,14.82
2013-08-01,14.94,15.19,14.91,15.05,2434200,14.85
2013-07-31,14.60,14.88,14.50,14.78,1133600,14.59
2013-07-30,14.84,14.95,14.50,14.52,1270900,14.33
2013-07-29,14.99,15.06,14.77,14.85,603600,14.66
2013-07-26,14.86,14.96,14.73,14.95,422400,14.75
2013-07-25,14.95,15.06,14.80,14.95,760500,14.75
2013-07-24,15.00,15.10,14.78,14.94,638600,14.74
2013-07-23,14.98,15.08,14.85,14.98,1062700,14.78
2013-07-22,14.76,15.02,14.76,14.93,1140300,14.73
2013-07-19,14.70,14.75,14.57,14.69,805000,14.50
2013-07-18,14.45,14.68,14.41,14.66,1119600,14.47
2013-07-17,14.39,14.48,14.34,14.40,1476900,14.21
2013-07-16,14.50,14.58,14.24,14.29,774400,14.10
2013-07-15,14.52,14.59,14.41,14.45,1029800,14.26
2013-07-12,14.32,14.53,14.24,14.46,949800,14.27
2013-07-11,14.26,14.35,14.16,14.30,1166500,14.11
2013-07-10,13.90,14.21,13.90,14.15,1634300,13.96
2013-07-09,14.32,14.33,13.85,13.93,1709800,13.75
2013-07-08,14.55,14.62,14.22,14.30,2088800,14.11
2013-07-05,14.00,14.46,13.95,14.44,1059500,14.25
2013-07-03,13.72,13.90,13.55,13.84,806100,13.66
2013-07-02,14.08,14.17,13.63,13.72,1313400,13.54
2013-07-01,13.91,14.20,13.85,14.07,693400,13.89
2013-06-28,13.94,13.98,13.79,13.79,966600,13.61
2013-06-27,13.61,13.99,13.61,13.96,684500,13.78
2013-06-26,13.56,13.60,13.40,13.51,872900,13.33
2013-06-25,13.36,13.50,13.30,13.50,1398100,13.32
2013-06-24,13.22,13.29,12.99,13.18,1126100,13.01
2013-06-21,13.00,13.37,12.97,13.32,1767000,13.15
2013-06-20,12.94,13.11,12.84,12.99,993300,12.82
2013-06-19,13.26,13.26,12.99,13.06,956100,12.89
2013-06-18,12.92,13.27,12.90,13.23,1166900,13.06
2013-06-17,13.02,13.12,12.85,12.87,1322800,12.70
2013-06-14,11.64,12.89,11.64,12.88,1368000,12.71
2013-06-13,12.23,12.71,12.20,12.66,2856700,12.49
2013-06-12,12.23,12.27,12.14,12.19,699600,12.03
2013-06-11,12.30,12.33,12.11,12.11,1484000,11.95
2013-06-10,12.43,12.44,12.30,12.38,807800,12.22
2013-06-07,12.40,12.48,12.27,12.36,858900,12.20
2013-06-06,11.95,12.39,11.87,12.36,1166900,12.20
2013-06-05,12.13,12.18,11.93,11.94,632200,11.78
2013-06-04,12.19,12.25,12.07,12.15,1344600,11.99
2013-06-03,12.14,12.31,12.12,12.15,1154600,11.99
2013-05-31,12.19,12.28,12.11,12.15,901000,11.99
2013-05-30,12.22,12.30,12.09,12.23,529700,12.07
2013-05-29,12.13,12.28,12.08,12.22,993900,12.06
2013-05-28,12.00,12.24,11.99,12.24,1402600,12.08
2013-05-24,11.82,11.95,11.75,11.90,936300,11.74
2013-05-23,11.51,11.87,11.40,11.85,1701700,11.69
2013-05-22,11.97,12.00,11.62,11.63,815100,11.48
2013-05-21,12.13,12.15,12.00,12.09,1103400,11.83
2013-05-20,12.04,12.10,11.89,12.09,1097200,11.83
2013-05-17,12.03,12.09,11.95,12.04,676000,11.78
2013-05-16,11.92,12.02,11.86,11.96,955800,11.70
2013-05-15,11.75,11.92,11.65,11.91,907900,11.65
2013-05-14,11.88,11.89,11.70,11.76,1538800,11.51
2013-05-13,11.87,11.97,11.72,11.90,1353500,11.64
2013-05-10,11.80,11.91,11.77,11.91,1211400,11.65
2013-05-09,11.70,11.82,11.68,11.80,1506600,11.55
2013-05-08,11.58,11.68,11.47,11.66,1776800,11.41
2013-05-07,11.36,11.63,11.26,11.63,2037800,11.38
2013-05-06,11.33,11.43,11.17,11.30,1392500,11.06
2013-05-03,11.13,11.73,10.97,11.25,1744200,11.01
2013-05-02,10.93,11.11,10.86,10.94,1251300,10.70
2013-05-01,11.11,11.12,10.87,10.87,967700,10.64
2013-04-30,10.85,11.17,10.85,11.17,1132300,10.93
2013-04-29,10.80,10.93,10.75,10.88,434600,10.65
2013-04-26,10.78,10.80,10.65,10.76,478000,10.53
2013-04-25,10.65,10.87,10.63,10.82,514600,10.59
2013-04-24,10.56,10.60,10.47,10.59,404500,10.36
2013-04-23,10.43,10.60,10.36,10.53,855200,10.30
2013-04-22,10.30,10.40,10.19,10.36,696400,10.14
2013-04-19,10.35,10.39,10.29,10.30,641800,10.08
2013-04-18,10.35,10.41,10.24,10.34,962700,10.12
2013-04-17,10.50,10.52,10.28,10.36,1631400,10.14
2013-04-16,10.58,10.75,10.36,10.50,1877000,10.27
2013-04-15,10.97,11.03,10.45,10.48,1610500,10.25
2013-04-12,11.01,11.13,10.96,11.00,1435500,10.76
2013-04-11,11.48,11.49,10.79,11.06,2349400,10.82
2013-04-10,11.27,11.50,11.26,11.45,1875400,11.20
2013-04-09,11.21,11.29,11.06,11.19,1035800,10.95
2013-04-08,11.11,11.22,11.00,11.16,618200,10.92
2013-04-05,11.13,11.24,11.03,11.12,1590000,10.88
2013-04-04,11.06,11.31,11.03,11.21,1261100,10.97
2013-04-03,10.94,11.11,10.88,11.00,2003100,10.76
2013-04-02,10.96,11.03,10.79,10.90,1063600,10.67
2013-04-01,10.93,10.99,10.81,10.90,1918500,10.67
2013-03-28,10.88,11.06,10.73,10.89,942400,10.66
2013-03-27,10.82,10.98,10.63,10.95,1178800,10.71
2013-03-26,10.77,11.01,10.77,10.84,969100,10.61
2013-03-25,10.93,10.99,10.74,10.77,929600,10.54
2013-03-22,10.98,11.08,10.80,10.91,1164100,10.68
2013-03-21,11.12,11.19,10.90,10.91,765800,10.68
2013-03-20,11.12,11.17,11.01,11.16,635200,10.92
2013-03-19,11.19,11.20,11.06,11.13,591500,10.89
2013-03-18,11.00,11.21,10.99,11.14,1345900,10.90
2013-03-15,10.98,11.14,10.98,11.09,3529500,10.85
2013-03-14,11.00,11.17,10.92,11.04,1190100,10.80
2013-03-13,10.88,11.04,10.88,10.99,936600,10.75
2013-03-12,10.97,11.12,10.95,11.00,832500,10.66
2013-03-11,11.03,11.12,10.86,10.97,1326900,10.63
2013-03-08,11.00,11.18,10.91,11.11,564800,10.77
2013-03-07,10.91,11.21,10.91,10.94,1181100,10.60
2013-03-06,11.15,11.24,10.87,10.96,1169100,10.62
2013-03-05,10.72,11.23,10.68,11.14,1377500,10.80
2013-03-04,10.50,10.78,10.45,10.65,1842100,10.32
2013-03-01,10.31,11.05,10.15,10.56,5263600,10.24
2013-02-28,10.34,10.47,10.23,10.32,1968500,10.00
2013-02-27,10.28,10.51,10.23,10.37,1078100,10.05
2013-02-26,10.45,10.45,10.08,10.28,1268200,9.96
2013-02-25,10.78,10.78,10.38,10.39,1143500,10.07
2013-02-22,10.74,10.84,10.71,10.76,453600,10.43
2013-02-21,10.85,10.89,10.64,10.72,929800,10.39
2013-02-20,10.78,10.95,10.74,10.84,866300,10.51
2013-02-19,10.78,10.95,10.71,10.79,1605400,10.46
2013-02-15,10.98,10.99,10.74,10.75,1014600,10.42
2013-02-14,11.04,11.10,10.94,10.94,530500,10.60
2013-02-13,11.24,11.34,11.04,11.04,766900,10.70
2013-02-12,11.08,11.35,11.07,11.25,685500,10.90
2013-02-11,11.04,11.10,10.97,11.08,539400,10.74
2013-02-08,10.96,11.11,10.89,11.04,1054800,10.70
2013-02-07,10.87,10.93,10.80,10.92,704000,10.59
2013-02-06,10.94,10.96,10.79,10.84,606900,10.51
2013-02-05,10.67,11.06,10.63,10.97,1396400,10.63
2013-02-04,10.77,10.87,10.59,10.61,750800,10.28
2013-02-01,11.00,11.07,10.70,10.79,1074900,10.46
2013-01-31,11.13,11.14,10.95,10.99,1126200,10.65
2013-01-30,11.52,11.55,11.09,11.17,605500,10.83
2013-01-29,11.32,11.51,11.25,11.50,1793700,11.15
2013-01-28,11.34,11.39,11.19,11.33,678900,10.98
2013-01-25,11.41,11.43,11.31,11.35,504600,11.00
2013-01-24,11.45,11.47,11.32,11.37,502200,11.02
2013-01-23,11.49,11.51,11.40,11.43,975300,11.08
2013-01-22,11.36,11.52,11.36,11.50,999300,11.15
2013-01-18,11.40,11.56,11.28,11.42,834800,11.07
2013-01-17,11.37,11.46,11.20,11.40,466000,11.05
2013-01-16,11.40,11.40,11.23,11.32,527500,10.97
2013-01-15,11.08,11.42,11.08,11.40,1010900,11.05
2013-01-14,11.21,11.27,11.05,11.14,664500,10.80
2013-01-11,11.27,11.42,11.20,11.26,782000,10.91
2013-01-10,11.36,11.45,11.26,11.31,455500,10.96
2013-01-09,11.33,11.46,11.27,11.33,755800,10.98
2013-01-08,11.58,11.65,11.31,11.33,772000,10.98
2013-01-07,11.65,11.71,11.59,11.65,595600,11.29
2013-01-04,11.67,11.74,11.60,11.67,688300,11.31
2013-01-03,11.61,11.71,11.54,11.67,841400,11.31
2013-01-02,11.51,11.65,11.45,11.63,1239400,11.27
2012-12-31,11.10,11.29,11.00,11.27,580500,10.92
2012-12-28,11.33,11.34,11.13,11.15,398200,10.81
2012-12-27,11.36,11.48,11.28,11.42,621000,11.07
2012-12-26,11.50,11.51,11.30,11.33,353100,10.98
2012-12-24,11.53,11.59,11.35,11.50,234800,11.15
2012-12-21,11.58,11.63,11.41,11.57,1716300,11.22
2012-12-20,11.58,11.77,11.54,11.74,1030800,11.38
2012-12-19,11.76,11.80,11.48,11.58,820300,11.22
2012-12-18,11.57,11.94,11.38,11.81,2200700,11.45
2012-12-17,11.72,11.89,11.60,11.72,2030300,11.36
2012-12-14,11.64,11.77,11.52,11.72,2188600,11.36
2012-12-13,11.50,11.71,11.39,11.66,724200,11.30
2012-12-12,11.57,11.74,11.54,11.56,830100,11.21
2012-12-11,11.65,11.68,11.41,11.54,729200,11.19
2012-12-10,11.31,11.69,11.14,11.67,1639700,11.31
2012-12-07,11.35,11.35,11.20,11.31,430400,10.96
2012-12-06,11.32,11.33,11.12,11.31,620300,10.96
2012-12-05,11.34,11.45,11.28,11.35,879600,11.00
2012-12-04,11.25,11.42,11.15,11.33,903900,10.98
2012-12-03,11.35,11.42,11.16,11.32,684400,10.97
2012-11-30,11.30,11.33,11.18,11.30,1015400,10.95
2012-11-29,11.23,11.35,11.13,11.30,2130000,10.95
2012-11-28,11.03,11.23,10.96,11.20,469900,10.86
2012-11-27,11.17,11.20,11.04,11.09,832900,10.75
2012-11-26,10.89,11.21,10.89,11.20,1056500,10.86
2012-11-23,10.90,11.02,10.81,11.02,229400,10.68
2012-11-21,10.85,10.90,10.63,10.89,442200,10.56
2012-11-20,10.81,10.87,10.70,10.85,579900,10.52
2012-11-19,10.71,10.89,10.62,10.81,1044100,10.48
2012-11-16,10.73,10.84,10.50,10.62,839900,10.29
2012-11-15,10.71,10.90,10.58,10.74,861600,10.41
2012-11-14,10.95,10.97,10.75,10.81,1380900,10.48
2012-11-13,10.51,10.99,10.48,10.97,1629200,10.53
2012-11-12,10.76,10.76,10.43,10.54,662200,10.12
2012-11-09,10.51,10.82,10.41,10.77,893100,10.34
2012-11-08,10.42,10.58,10.36,10.53,1805800,10.11
2012-11-07,10.95,11.03,10.33,10.44,2827900,10.02
2012-11-06,11.01,11.19,10.93,11.17,1120700,10.73
2012-11-05,11.01,11.11,10.67,11.01,1220100,10.57
2012-11-02,11.10,11.44,10.92,10.99,1084400,10.55
2012-11-01,10.95,11.32,10.92,11.08,1498700,10.64
2012-10-31,10.85,11.07,10.61,11.06,713600,10.62
2012-10-26,10.66,10.93,10.59,10.91,729800,10.48
2012-10-25,10.73,10.83,10.40,10.67,642900,10.25
