Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,93.39,94.33,92.92,93.22,1474100,93.22
2014-01-28,93.40,94.93,93.32,94.28,1059100,94.28
2014-01-27,93.53,94.09,92.50,93.21,969100,93.21
2014-01-24,94.40,94.96,93.24,93.36,1034300,93.36
2014-01-23,96.37,96.89,94.84,95.38,996000,95.38
2014-01-22,96.47,96.69,95.76,96.41,741900,96.41
2014-01-21,97.44,97.72,95.73,96.45,837800,96.45
2014-01-17,96.98,96.99,95.64,95.93,1083500,95.93
2014-01-16,97.80,97.82,96.92,97.05,873100,97.05
2014-01-15,96.95,97.86,96.43,97.71,982300,97.71
2014-01-14,96.14,96.92,95.76,96.80,716300,96.80
2014-01-13,96.61,97.12,95.40,95.65,1013800,95.65
2014-01-10,96.30,97.12,95.89,96.68,1351800,96.68
2014-01-09,97.50,97.61,96.33,96.47,1351500,96.47
2014-01-08,95.81,97.48,95.48,97.43,1880500,97.43
2014-01-07,93.42,95.12,93.42,95.10,1852600,95.10
2014-01-06,93.79,94.00,92.93,93.24,1414900,93.24
2014-01-03,92.58,93.89,92.41,92.64,1288200,92.64
2014-01-02,92.63,92.82,91.97,92.24,868800,92.24
2013-12-31,93.50,93.65,92.88,93.19,650000,93.19
2013-12-30,93.24,93.41,92.90,93.20,623200,93.20
2013-12-27,93.33,93.54,92.92,93.24,360300,93.24
2013-12-26,93.14,93.70,93.03,93.43,288800,93.43
2013-12-24,93.00,93.48,92.76,93.10,395800,93.10
2013-12-23,93.12,93.53,92.73,93.43,635700,93.23
2013-12-20,92.80,93.12,92.35,92.74,1341800,92.54
2013-12-19,93.63,93.63,91.47,92.61,1061000,92.41
2013-12-18,90.77,92.90,90.41,92.80,1430600,92.60
2013-12-17,90.75,90.89,89.92,90.63,899400,90.44
2013-12-16,90.74,91.50,90.32,90.40,903900,90.21
2013-12-13,90.46,90.74,89.93,90.51,768700,90.32
2013-12-12,89.83,90.41,89.62,90.00,996700,89.81
2013-12-11,92.05,92.06,90.17,90.34,1021100,90.15
2013-12-10,92.11,92.49,91.73,91.88,1031200,91.68
2013-12-09,91.76,92.69,91.47,92.44,1150400,92.24
2013-12-06,91.50,92.38,91.50,92.02,887900,91.82
2013-12-05,90.13,91.12,90.04,90.45,2092900,90.26
2013-12-04,89.85,90.47,89.58,90.07,1028500,89.88
2013-12-03,90.57,90.90,90.03,90.59,922400,90.40
2013-12-02,91.24,91.55,90.85,91.04,952300,90.85
2013-11-29,90.58,91.59,90.23,91.41,850100,91.21
2013-11-27,90.48,90.95,90.29,90.62,1312100,90.43
2013-11-26,89.73,91.52,89.73,90.60,1840900,90.41
2013-11-25,89.99,90.56,89.60,89.74,1175200,89.55
2013-11-22,89.36,89.60,88.38,89.24,1296200,89.05
2013-11-21,89.68,89.95,88.65,89.17,1580200,88.98
2013-11-20,89.81,90.00,89.09,89.27,594900,89.08
2013-11-19,89.46,90.29,88.89,89.94,663300,89.75
2013-11-18,90.60,90.69,89.28,89.59,663300,89.40
2013-11-15,90.03,90.83,90.03,90.59,1549700,90.40
2013-11-14,89.47,90.75,89.40,90.30,1068800,90.11
2013-11-13,89.07,89.65,88.52,89.64,743000,89.45
2013-11-12,88.78,89.31,88.35,89.25,1102700,89.06
2013-11-11,88.52,89.56,88.41,89.23,1151800,89.04
2013-11-08,88.15,88.67,87.58,88.59,999800,88.40
2013-11-07,89.29,89.69,88.11,88.36,1392500,88.17
2013-11-06,89.00,89.68,88.81,89.40,1255500,89.21
2013-11-05,88.22,89.08,88.09,88.94,1263900,88.75
2013-11-04,87.86,89.04,87.65,88.88,1501300,88.69
2013-11-01,87.87,88.16,87.30,87.89,999500,87.70
2013-10-31,88.38,88.45,87.46,87.47,1088500,87.28
2013-10-30,88.53,88.83,88.11,88.22,1202500,88.03
2013-10-29,88.17,88.66,87.72,88.40,1092200,88.21
2013-10-28,86.33,88.59,86.12,88.13,1752600,87.94
2013-10-25,85.04,86.95,85.04,86.91,1647100,86.72
2013-10-24,81.20,88.23,80.55,85.66,2774800,85.48
2013-10-23,88.68,89.93,88.34,89.90,1192000,89.71
2013-10-22,88.39,89.31,87.81,88.72,1194700,88.53
2013-10-21,88.83,88.97,88.24,88.32,815900,88.13
