Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,32.24,33.40,32.10,32.98,22683700,32.98
2014-01-28,30.32,32.20,30.02,31.96,23937900,31.96
2014-01-27,30.40,30.87,28.67,30.18,16276300,30.18
2014-01-24,31.02,31.18,29.91,30.40,13686200,30.40
2014-01-23,30.65,31.46,30.62,31.35,11394600,31.35
2014-01-22,30.71,31.24,30.65,31.20,7578800,31.20
2014-01-21,30.66,30.80,30.20,30.66,10612500,30.66
2014-01-17,29.30,30.02,29.17,30.02,18276700,30.02
2014-01-16,28.94,29.39,28.70,29.34,7034200,29.34
2014-01-15,28.90,29.44,28.70,28.84,11192500,28.84
2014-01-14,28.75,29.04,28.71,28.87,10600500,28.87
2014-01-13,29.18,29.53,28.58,28.65,10587800,28.65
2014-01-10,29.05,29.83,28.75,29.35,12807800,29.35
2014-01-09,28.24,29.60,28.20,29.42,26049300,29.42
2014-01-08,26.37,27.68,26.35,27.63,15733900,27.63
2014-01-07,27.20,27.40,26.67,26.91,11288700,26.91
2014-01-06,26.62,27.20,26.60,27.03,11271400,27.03
2014-01-03,25.75,26.75,25.51,26.54,13829600,26.54
2014-01-02,25.07,25.82,25.06,25.36,8997900,25.36
2013-12-31,24.74,25.25,24.63,25.25,7166600,25.25
2013-12-30,24.87,25.25,24.65,24.78,8840800,24.78
2013-12-27,25.95,26.10,24.91,24.94,13221000,24.94
2013-12-26,26.12,26.36,25.98,26.13,4216600,26.13
2013-12-24,26.00,26.26,26.00,26.25,2653000,26.25
2013-12-23,26.29,26.49,26.05,26.18,5401100,26.18
2013-12-20,26.16,26.49,26.14,26.33,8527700,26.33
2013-12-19,26.09,26.49,25.82,26.12,6908800,26.12
2013-12-18,25.99,26.23,25.55,26.23,9993900,26.23
2013-12-17,26.47,26.59,25.95,26.10,11398000,26.10
2013-12-16,26.63,26.77,26.35,26.61,13181300,26.61
2013-12-13,25.61,26.30,25.52,26.23,12189900,26.23
2013-12-12,26.20,26.71,25.45,25.45,19981800,25.45
2013-12-11,25.44,27.20,25.37,25.99,38843400,25.99
2013-12-10,24.54,25.17,24.41,24.88,18660600,24.88
2013-12-09,23.95,25.44,23.45,24.60,43197300,24.60
2013-12-06,22.72,22.88,22.13,22.55,28364700,22.55
2013-12-05,22.27,22.62,21.45,22.35,30725800,22.35
2013-12-04,22.38,22.43,21.69,21.87,16670300,21.87
2013-12-03,22.99,22.99,22.01,22.39,17623800,22.39
2013-12-02,23.55,23.62,23.01,23.04,9149800,23.04
2013-11-29,24.12,24.18,23.45,23.48,4922900,23.48
2013-11-27,23.92,24.18,23.63,23.98,14261600,23.98
2013-11-26,24.17,24.24,23.70,23.81,10785200,23.81
2013-11-25,24.45,24.53,24.00,24.24,9436600,24.24
2013-11-22,24.20,24.56,23.90,24.27,12430500,24.27
2013-11-21,24.07,24.24,23.78,23.99,9920500,23.99
2013-11-20,24.29,24.42,23.91,24.06,11182500,24.06
2013-11-19,24.55,24.80,24.08,24.23,14087400,24.23
2013-11-18,24.22,24.81,24.04,24.40,10080800,24.40
2013-11-15,23.73,24.05,23.32,23.89,13660700,23.89
2013-11-14,23.79,23.80,23.38,23.66,12641900,23.66
2013-11-13,24.22,24.30,23.13,23.31,20087200,23.31
2013-11-12,23.26,25.49,22.50,23.52,40091800,23.52
2013-11-11,23.25,23.45,23.06,23.27,3508100,23.27
2013-11-08,22.16,23.23,22.12,23.21,8462000,23.21
2013-11-07,22.53,22.79,21.95,22.08,6393200,22.08
2013-11-06,23.26,23.26,21.90,22.40,8827100,22.40
2013-11-05,22.75,22.88,22.33,22.68,7127300,22.68
2013-11-04,22.60,23.90,22.57,22.71,19962000,22.71
2013-11-01,22.04,22.47,21.60,22.44,7190700,22.44
2013-10-31,22.60,22.86,21.97,21.97,6029300,21.97
2013-10-30,22.38,22.99,21.82,22.58,13157000,22.58
2013-10-29,22.76,22.79,22.07,22.37,5769000,22.37
2013-10-28,22.24,22.63,21.88,22.01,4642800,22.01
2013-10-25,22.76,23.08,21.65,22.15,9907100,22.15
2013-10-24,22.08,23.16,21.82,22.67,9779400,22.67
2013-10-23,21.82,22.09,21.31,21.40,5540000,21.40
2013-10-22,21.53,21.99,21.34,21.95,5208400,21.95
2013-10-21,21.23,21.34,21.07,21.22,2104100,21.22
2013-10-18,21.23,21.35,20.82,21.14,3676600,21.14
2013-10-17,20.72,21.06,20.64,21.00,4487000,21.00
2013-10-16,20.57,20.73,20.45,20.62,3478800,20.62
2013-10-15,20.64,20.83,20.32,20.50,3089000,20.50
2013-10-14,20.52,20.67,20.26,20.58,3066400,20.58
2013-10-11,20.50,20.73,20.42,20.72,3503300,20.72
2013-10-10,20.35,20.65,20.27,20.50,3372000,20.50
2013-10-09,20.08,20.27,19.77,20.06,3358000,20.06
2013-10-08,20.32,20.43,19.92,20.02,4188900,20.02
2013-10-07,20.41,20.77,20.30,20.39,3837200,20.39
2013-10-04,20.31,20.75,20.31,20.53,6492900,20.53
2013-10-03,20.00,20.50,19.67,20.48,7886500,20.48
2013-10-02,20.00,20.10,19.74,19.84,5555100,19.84
2013-10-01,18.98,19.85,18.98,19.69,7630300,19.69
2013-09-30,18.34,19.22,18.04,18.96,4364300,18.96
2013-09-27,19.09,19.35,18.77,19.08,4223100,19.08
2013-09-26,19.17,19.48,19.10,19.47,3301300,19.47
2013-09-25,19.13,19.39,18.80,19.18,3519500,19.18
2013-09-24,18.79,19.28,18.68,18.99,5610900,18.99
2013-09-23,18.89,19.00,18.54,18.86,3354400,18.86
2013-09-20,18.94,19.21,18.83,18.89,4989100,18.89
2013-09-19,18.67,19.13,18.61,18.97,5189900,18.97
2013-09-18,18.68,18.80,18.47,18.68,4482400,18.68
2013-09-17,18.57,18.82,18.50,18.72,5634500,18.72
2013-09-16,18.16,18.41,17.97,18.07,5691300,18.07
2013-09-13,17.71,18.03,17.71,17.87,2590600,17.87
2013-09-12,17.69,17.95,17.55,17.63,3475500,17.63
2013-09-11,18.03,18.04,17.31,17.72,6391100,17.72
2013-09-10,17.69,18.18,17.64,18.12,5827000,18.12
2013-09-09,16.86,17.47,16.84,17.47,5276200,17.47
2013-09-06,17.18,17.20,16.62,16.80,4512900,16.80
2013-09-05,16.95,17.13,16.88,16.99,3528500,16.99
2013-09-04,16.49,16.85,16.44,16.81,4839200,16.81
2013-09-03,16.38,16.64,16.11,16.39,4178200,16.39
2013-08-30,16.10,16.73,16.07,16.16,7569500,16.16
2013-08-29,16.03,16.39,15.72,15.96,7645000,15.96
2013-08-28,15.38,15.53,15.28,15.34,3613100,15.34
2013-08-27,15.87,16.00,15.33,15.47,6422300,15.47
2013-08-26,16.16,16.41,16.03,16.21,2808200,16.21
2013-08-23,16.30,16.40,16.10,16.16,2190400,16.16
2013-08-22,15.91,16.37,15.90,16.27,4770200,16.27
2013-08-21,15.80,15.99,15.75,15.81,4234300,15.81
2013-08-20,15.64,16.21,15.60,15.80,6373900,15.80
2013-08-19,15.97,15.99,15.62,15.64,6141500,15.64
2013-08-16,15.70,16.42,15.70,16.01,8824700,16.01
2013-08-15,15.97,16.16,15.65,15.72,10372800,15.72
2013-08-14,16.05,16.34,15.35,16.17,28026200,16.17
2013-08-13,18.86,18.95,16.29,16.36,78591200,16.36
2013-08-12,18.49,18.88,18.07,18.82,4674800,18.82
2013-08-09,18.91,19.08,18.56,18.60,4720600,18.60
2013-08-08,18.99,19.13,18.90,18.98,4269900,18.98
2013-08-07,18.84,18.98,18.52,18.87,4318500,18.87
2013-08-06,19.17,19.20,18.83,18.92,3350300,18.92
2013-08-05,18.90,19.25,18.90,19.17,4365800,19.17
2013-08-02,19.38,19.39,18.90,18.92,7382700,18.92
2013-08-01,19.44,19.59,19.24,19.38,7989100,19.38
2013-07-31,19.25,19.49,19.19,19.35,9571100,19.35
2013-07-30,19.33,19.45,19.11,19.20,6091900,19.20
2013-07-29,19.07,19.26,18.93,19.23,6462700,19.23
2013-07-26,18.74,19.11,18.68,19.09,7797700,19.09
2013-07-25,18.49,18.85,18.30,18.83,9851900,18.83
2013-07-24,18.43,18.71,18.22,18.50,10792800,18.50
2013-07-23,18.33,18.34,17.85,18.05,4893700,18.05
2013-07-22,18.25,18.30,18.00,18.15,4705200,18.15
2013-07-19,18.26,18.37,18.00,18.23,4122700,18.23
2013-07-18,18.70,18.93,18.31,18.42,8434200,18.42
2013-07-17,17.96,18.47,17.95,18.45,6291800,18.45
2013-07-16,17.86,18.00,17.75,17.95,3839100,17.95
2013-07-15,17.66,17.83,17.56,17.76,3267000,17.76
2013-07-12,17.36,17.85,17.35,17.56,3947100,17.56
2013-07-11,17.40,17.50,17.27,17.37,3153800,17.37
2013-07-10,17.32,17.48,17.01,17.17,4289700,17.17
2013-07-09,17.01,17.38,16.97,17.36,4076600,17.36
2013-07-08,16.94,17.09,16.85,16.94,2671200,16.94
2013-07-05,16.93,17.00,16.68,16.84,2397200,16.84
2013-07-03,16.06,16.80,16.04,16.75,2625800,16.75
2013-07-02,16.78,16.79,16.36,16.43,4009300,16.43
2013-07-01,16.50,17.04,16.48,16.80,4666900,16.80
2013-06-28,16.24,16.55,16.16,16.42,7063900,16.42
2013-06-27,16.29,16.34,16.00,16.31,3566000,16.31
2013-06-26,16.50,16.64,16.17,16.17,3604500,16.17
2013-06-25,16.22,16.50,16.16,16.46,3399500,16.46
2013-06-24,16.06,16.14,15.59,16.13,6691000,16.13
2013-06-21,16.80,16.94,16.05,16.34,6423700,16.34
2013-06-20,16.73,17.18,16.53,16.73,5234200,16.73
2013-06-19,17.16,17.27,17.00,17.06,2382500,17.06
2013-06-18,16.94,17.32,16.82,17.22,4298600,17.22
2013-06-17,17.02,17.16,16.74,16.95,2845000,16.95
2013-06-14,16.96,17.25,16.81,16.93,2572500,16.93
2013-06-13,16.85,17.07,16.64,17.01,5384700,17.01
2013-06-12,16.97,17.20,16.65,16.88,3602200,16.88
2013-06-11,16.94,17.26,16.75,16.92,3788700,16.92
2013-06-10,17.09,17.35,17.05,17.26,4246400,17.26
2013-06-07,16.89,17.10,16.65,17.02,4030900,17.02
2013-06-06,16.92,17.08,15.93,16.64,12738600,16.64
2013-06-05,17.15,17.62,16.85,16.95,11852000,16.95
2013-06-04,17.78,18.20,17.56,17.65,4543800,17.65
2013-06-03,17.54,17.90,17.40,17.73,5776800,17.73
2013-05-31,17.66,17.90,17.55,17.57,3831500,17.57
2013-05-30,17.92,18.22,17.66,17.67,4126600,17.67
2013-05-29,18.06,18.15,17.65,17.83,4216200,17.83
2013-05-28,18.44,18.72,18.05,18.12,4561900,18.12
2013-05-24,18.11,18.42,17.89,18.21,4277800,18.21
2013-05-23,17.48,18.45,17.44,18.19,7482400,18.19
2013-05-22,18.06,18.43,17.71,17.93,8662000,17.93
2013-05-21,18.55,18.70,17.65,17.95,10018700,17.95
2013-05-20,19.05,19.39,18.39,18.59,6055000,18.59
2013-05-17,19.38,19.70,18.75,19.01,7540000,19.01
2013-05-16,18.96,19.52,18.88,19.12,6679300,19.12
2013-05-15,18.37,18.99,18.31,18.81,8951500,18.81
2013-05-14,17.82,18.30,17.80,18.10,5989700,18.10
2013-05-13,17.74,17.95,17.57,17.72,4250900,17.72
2013-05-10,17.61,17.81,17.41,17.76,4248200,17.76
2013-05-09,17.53,17.86,17.34,17.38,6424000,17.38
2013-05-08,17.01,17.55,16.99,17.34,6706200,17.34
2013-05-07,17.15,17.15,16.95,16.98,3157000,16.98
2013-05-06,17.05,17.11,16.91,17.00,3930700,17.00
2013-05-03,17.02,17.19,16.89,17.02,6451900,17.02
2013-05-02,16.72,16.98,16.60,16.94,4888900,16.94
2013-05-01,16.91,17.17,16.60,16.60,4943600,16.60
2013-04-30,16.80,17.05,16.57,16.90,3640700,16.90
2013-04-29,16.70,16.97,16.56,16.81,5436400,16.81
2013-04-26,16.38,16.73,16.16,16.59,7272100,16.59
2013-04-25,16.55,16.73,16.19,16.22,5548800,16.22
2013-04-24,16.26,16.50,16.00,16.45,6114400,16.45
2013-04-23,15.33,16.49,15.33,16.30,12302300,16.30
2013-04-22,15.99,16.00,15.50,15.52,9227100,15.52
