Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,36.43,36.74,36.33,36.62,1613100,36.62
2014-01-28,36.28,36.55,36.20,36.53,1117400,36.53
2014-01-27,35.99,36.42,35.88,36.25,2037000,36.25
2014-01-24,36.35,36.54,35.91,35.91,1787600,35.91
2014-01-23,36.47,36.59,36.23,36.47,1414400,36.47
2014-01-22,36.68,36.84,36.46,36.63,1688200,36.63
2014-01-21,36.32,36.66,36.24,36.64,914000,36.64
2014-01-17,36.20,36.25,36.08,36.15,826200,36.15
2014-01-16,35.95,36.19,35.89,36.17,1057000,36.17
2014-01-15,36.31,36.40,35.93,35.95,1351800,35.95
2014-01-14,36.25,36.49,36.16,36.31,1420000,36.31
2014-01-13,36.44,36.57,36.04,36.23,1363400,36.23
2014-01-10,36.17,36.66,35.99,36.52,2106600,36.52
2014-01-09,36.02,36.09,35.86,36.04,1226300,36.04
2014-01-08,36.14,36.19,35.80,35.94,1618500,35.94
2014-01-07,35.81,36.25,35.81,36.22,1653700,36.22
2014-01-06,35.70,35.82,35.42,35.76,2837500,35.76
2014-01-03,35.63,35.69,35.22,35.40,1206500,35.40
2014-01-02,36.05,36.11,35.47,35.53,1394300,35.53
2013-12-31,36.25,36.33,36.07,36.16,1051300,36.16
2013-12-30,35.92,36.21,35.89,36.14,872000,36.14
2013-12-27,35.94,36.10,35.76,36.00,656000,36.00
2013-12-26,36.10,36.18,35.80,35.95,767600,35.95
2013-12-24,35.86,36.14,35.67,36.04,373500,36.04
2013-12-23,36.28,36.44,35.80,35.86,1715600,35.86
2013-12-20,35.88,36.43,35.86,36.15,3266300,36.15
2013-12-19,35.80,35.85,35.37,35.79,1706100,35.79
2013-12-18,35.26,35.96,34.84,35.90,1906000,35.90
2013-12-17,35.23,35.46,35.11,35.25,1365300,35.25
2013-12-16,35.07,35.43,35.07,35.25,2542800,35.25
2013-12-13,35.22,35.24,34.92,35.02,1489400,35.02
2013-12-12,34.77,35.34,34.71,35.12,2299700,35.12
2013-12-11,35.29,35.38,34.78,34.81,1512600,34.81
2013-12-10,35.69,35.78,35.20,35.24,2581100,35.24
2013-12-09,36.04,36.16,35.65,35.72,1956900,35.72
2013-12-06,36.28,36.64,35.91,36.44,1790400,36.04
2013-12-05,36.41,36.50,36.02,36.09,1704900,35.69
2013-12-04,36.11,36.59,35.97,36.55,1427400,36.15
2013-12-03,35.97,36.32,35.87,36.31,1987300,35.91
2013-12-02,35.93,36.24,35.56,36.06,1427700,35.66
2013-11-29,35.92,36.08,35.78,35.85,766700,35.46
2013-11-27,36.25,36.36,35.81,35.97,948800,35.58
2013-11-26,36.53,36.64,36.21,36.22,1370800,35.82
2013-11-25,36.79,36.88,36.52,36.59,791200,36.19
2013-11-22,36.70,36.92,36.59,36.67,1858700,36.27
2013-11-21,36.68,37.31,36.43,36.74,2145600,36.34
2013-11-20,36.92,37.12,36.64,36.67,1519100,36.27
2013-11-19,36.94,37.14,36.81,36.97,1371300,36.56
2013-11-18,36.95,37.20,36.75,37.03,1309800,36.62
2013-11-15,36.56,36.95,36.44,36.95,1253000,36.54
2013-11-14,36.30,36.96,36.13,36.67,2148500,36.27
2013-11-13,35.73,36.18,35.26,36.18,1246300,35.78
2013-11-12,36.26,36.32,35.70,35.97,1004700,35.58
2013-11-11,36.40,36.46,36.15,36.36,1034000,35.96
2013-11-08,36.12,36.44,35.52,36.41,1644600,36.01
2013-11-07,36.50,36.85,36.17,36.26,1190800,35.86
2013-11-06,36.25,36.64,36.22,36.63,971300,36.23
2013-11-05,36.51,36.73,36.18,36.19,974000,35.79
2013-11-04,36.55,36.63,36.11,36.57,741600,36.17
2013-11-01,36.28,36.48,36.10,36.48,1149600,36.08
2013-10-31,36.24,36.28,35.46,36.18,1727200,35.78
2013-10-30,36.60,36.78,36.12,36.22,1063100,35.82
2013-10-29,36.61,36.67,36.38,36.58,1020100,36.18
2013-10-28,36.50,36.64,36.30,36.52,1058600,36.12
2013-10-25,36.04,36.52,35.93,36.48,945000,36.08
2013-10-24,36.25,36.25,35.88,36.01,1557200,35.61
2013-10-23,35.94,36.53,35.90,36.12,1184300,35.72
2013-10-22,35.72,36.10,35.64,35.96,2822200,35.57
2013-10-21,35.87,35.95,35.50,35.72,1816600,35.33
2013-10-18,35.92,36.07,35.79,35.88,1299800,35.49
2013-10-17,35.08,35.91,34.96,35.84,2447800,35.45
2013-10-16,35.10,35.29,34.83,35.14,1708700,34.75
2013-10-15,35.37,35.42,34.82,35.09,1619500,34.70
2013-10-14,35.60,35.60,34.98,35.53,1407000,35.14
