Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,61.74,62.85,61.73,62.12,2498200,62.12
2014-01-28,61.84,62.54,61.84,62.45,1788200,62.45
2014-01-27,62.18,62.57,61.34,61.79,2818300,61.79
2014-01-24,63.29,63.61,62.29,62.29,3171900,62.29
2014-01-23,64.20,64.30,63.26,63.56,2022700,63.56
2014-01-22,64.86,64.99,64.25,64.40,1396100,64.40
2014-01-21,64.92,65.28,64.41,64.83,2177600,64.83
2014-01-17,64.81,65.47,64.62,64.71,2144400,64.71
2014-01-16,64.79,65.15,64.55,64.83,1658300,64.83
2014-01-15,64.71,65.11,64.68,64.94,2019900,64.94
2014-01-14,64.39,64.81,64.22,64.70,1777800,64.70
2014-01-13,64.83,65.01,64.00,64.10,2409800,64.10
2014-01-10,64.58,65.26,64.10,65.17,1837200,65.17
2014-01-09,64.69,64.85,64.09,64.27,2311900,64.27
2014-01-08,64.98,65.17,64.41,64.63,1725900,64.63
2014-01-07,65.03,65.53,64.87,65.09,1913100,65.09
2014-01-06,66.20,66.28,64.32,64.88,4244200,64.88
2014-01-03,66.08,66.54,66.05,66.15,1279100,66.15
2014-01-02,66.63,66.69,65.81,65.96,1914700,65.96
2013-12-31,66.87,67.01,66.58,66.80,1210100,66.80
2013-12-30,67.25,67.62,66.65,66.69,1950600,66.69
2013-12-27,67.15,67.38,66.87,67.25,990300,67.25
2013-12-26,66.41,67.43,66.32,67.11,1313400,67.11
2013-12-24,66.23,66.54,66.15,66.48,884100,66.48
2013-12-23,66.09,66.60,65.99,66.35,2238300,66.35
2013-12-20,65.92,66.50,65.55,65.65,4240400,65.65
2013-12-19,66.24,66.40,65.90,66.00,2466100,66.00
2013-12-18,66.27,66.68,65.47,66.59,3184700,66.59
2013-12-17,66.37,66.44,65.87,66.01,1446700,66.01
2013-12-16,66.18,66.62,65.97,66.36,1451900,66.36
2013-12-13,65.92,66.25,65.61,65.96,1316300,65.96
2013-12-12,65.82,65.99,65.54,65.64,2286000,65.64
2013-12-11,66.25,66.25,65.59,65.72,1899900,65.72
2013-12-10,66.22,66.39,66.00,66.27,1694000,66.27
2013-12-09,66.58,66.81,66.24,66.45,1692400,66.45
2013-12-06,66.42,66.73,66.11,66.64,1460100,66.64
2013-12-05,65.45,66.35,65.35,65.70,1938900,65.70
2013-12-04,65.52,66.14,65.22,65.71,1674600,65.71
2013-12-03,66.02,66.31,65.13,65.54,2298000,65.54
2013-12-02,66.35,67.23,66.11,66.25,1886400,66.25
2013-11-29,66.56,66.96,66.35,66.37,941000,66.37
2013-11-27,66.67,66.70,66.26,66.44,1170100,66.44
2013-11-26,66.25,66.78,66.25,66.44,1612400,66.44
2013-11-25,66.50,66.81,66.11,66.22,1091500,66.22
2013-11-22,66.23,66.69,66.19,66.57,1379400,66.57
2013-11-21,66.22,66.79,66.08,66.54,1922700,66.54
