Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,53.50,54.36,53.20,53.77,1289700,53.77
2014-01-28,53.32,54.02,53.12,53.79,987100,53.79
2014-01-27,53.97,54.06,52.56,53.12,1417100,53.12
2014-01-24,54.95,55.07,52.43,53.08,2554000,53.08
2014-01-23,55.05,55.49,54.75,55.40,1814500,55.40
2014-01-22,55.52,55.65,55.15,55.23,1086100,55.23
2014-01-21,55.70,55.97,55.21,55.60,1473100,55.60
2014-01-17,55.35,55.55,55.13,55.41,1682700,55.41
2014-01-16,55.73,55.78,55.20,55.35,2581200,55.35
2014-01-15,56.48,56.71,56.30,56.52,1310400,56.52
2014-01-14,56.62,56.90,56.04,56.30,1308300,56.30
2014-01-13,57.10,57.31,56.45,56.48,957400,56.48
2014-01-10,56.83,57.48,56.42,56.93,1595700,56.93
2014-01-09,57.50,57.80,56.45,56.72,1389100,56.72
2014-01-08,57.40,57.81,56.80,57.01,1495700,57.01
2014-01-07,57.33,57.91,57.16,57.60,973200,57.60
2014-01-06,58.43,58.52,57.19,57.24,1249200,57.24
2014-01-03,57.98,58.63,57.63,58.50,1005300,58.50
2014-01-02,59.02,59.02,57.59,57.69,1332700,57.69
2013-12-31,58.65,59.26,58.50,59.19,886200,59.19
2013-12-30,59.36,59.39,58.50,58.53,974100,58.53
2013-12-27,59.17,59.42,58.79,58.91,561200,58.91
2013-12-26,58.80,59.20,58.39,59.01,694000,59.01
2013-12-24,58.45,58.74,58.30,58.68,632900,58.68
2013-12-23,58.01,58.59,57.98,58.45,975000,58.45
2013-12-20,57.09,58.11,57.00,57.62,2192800,57.62
2013-12-19,57.16,57.73,56.72,57.16,1754900,57.16
2013-12-18,57.52,57.58,56.31,57.00,2237700,57.00
2013-12-17,60.87,61.14,57.45,57.58,3250700,57.58
2013-12-16,59.35,60.76,59.04,60.58,1138500,60.58
2013-12-13,59.15,59.47,58.59,58.95,681000,58.95
2013-12-12,58.79,59.40,58.63,59.11,711000,59.11
2013-12-11,60.24,60.44,58.87,59.05,1000800,59.05
2013-12-10,60.33,61.39,60.30,60.48,1105600,60.48
2013-12-09,58.87,60.34,58.77,60.29,960100,60.29
2013-12-06,58.59,59.19,58.49,58.98,622300,58.98
2013-12-05,58.94,58.94,58.09,58.33,872500,58.33
2013-12-04,57.58,59.17,57.44,59.00,1453200,59.00
2013-12-03,57.96,58.22,57.49,57.77,1106500,57.77
2013-12-02,58.24,58.98,57.70,58.26,827900,58.26
2013-11-29,58.22,58.64,57.98,58.28,414800,58.28
2013-11-27,58.05,58.40,57.85,58.23,792100,58.23
2013-11-26,57.82,58.05,57.29,57.92,795600,57.92
2013-11-25,57.67,58.07,57.26,57.82,1011500,57.82
2013-11-22,57.35,57.75,57.18,57.45,1339900,57.45
2013-11-21,56.97,57.48,56.50,57.46,881000,57.46
2013-11-20,57.79,58.12,56.82,56.92,1312300,56.92
2013-11-19,57.76,57.98,57.21,57.38,1283100,57.38
2013-11-18,58.40,58.82,57.78,58.02,940700,58.02
2013-11-15,58.22,58.45,57.79,58.22,823100,58.22
2013-11-14,58.32,58.32,57.63,58.22,934000,58.22
2013-11-13,57.91,58.54,57.27,58.35,1131500,58.35
2013-11-12,57.24,58.22,57.11,58.20,1212100,58.10
2013-11-11,57.12,57.37,56.44,57.17,2199900,57.07
2013-11-08,57.75,58.60,57.60,58.03,1188400,57.93
2013-11-07,57.70,57.90,57.29,57.47,1820100,57.37
2013-11-06,58.78,58.80,57.47,57.62,1640300,57.52
2013-11-05,58.96,59.14,58.04,58.47,1457500,58.37
2013-11-04,58.45,59.12,58.43,59.00,1186200,58.90
2013-11-01,58.57,58.75,57.77,58.38,1251100,58.28
2013-10-31,57.41,59.05,57.31,58.38,1414600,58.28
2013-10-30,58.43,58.70,57.15,57.50,2510700,57.40
2013-10-29,61.62,61.62,58.01,58.43,3645000,58.33
2013-10-28,63.22,63.49,62.61,63.03,1448700,62.92
2013-10-25,64.44,64.44,62.72,63.33,1725300,63.22
2013-10-24,63.89,64.42,63.68,64.19,622800,64.08
2013-10-23,63.85,64.34,63.47,63.64,907500,63.53
2013-10-22,63.90,64.50,63.64,64.42,781700,64.31
2013-10-21,64.44,64.60,63.08,63.52,1143000,63.41
2013-10-18,63.07,64.21,62.67,64.20,729100,64.09
2013-10-17,62.14,63.03,62.02,62.71,892600,62.60
2013-10-16,62.43,62.74,62.13,62.25,625100,62.14
2013-10-15,62.45,62.92,61.80,61.97,831200,61.86
2013-10-14,61.05,62.66,60.75,62.58,797200,62.47
2013-10-11,61.61,61.61,60.48,61.15,1526000,61.04
2013-10-10,61.44,61.91,60.83,61.63,1208500,61.52
2013-10-09,60.72,61.26,60.04,60.82,799600,60.72
2013-10-08,61.46,61.98,60.62,60.64,527900,60.54
2013-10-07,61.40,61.77,61.17,61.30,622300,61.19
2013-10-04,61.51,62.31,61.28,62.01,792200,61.90
2013-10-03,61.29,61.77,60.76,61.44,901200,61.33
2013-10-02,60.66,61.31,60.40,61.15,923100,61.04
2013-10-01,60.49,61.44,60.33,60.76,1309000,60.66
2013-09-30,60.60,61.23,60.20,60.42,1270100,60.32
2013-09-27,60.92,61.39,60.74,61.22,1256700,61.11
2013-09-26,61.50,61.88,60.90,61.25,812700,61.14
2013-09-25,60.92,61.74,60.57,61.40,944400,61.29
2013-09-24,60.42,61.39,60.06,60.83,1052000,60.73
2013-09-23,60.07,60.55,59.80,60.44,971000,60.34
2013-09-20,60.53,60.70,59.93,60.19,1971900,60.09
2013-09-19,59.97,60.65,59.89,60.54,1048000,60.44
2013-09-18,59.01,59.81,58.66,59.77,739600,59.67
2013-09-17,59.38,59.64,59.04,59.16,835100,59.06
2013-09-16,59.70,59.77,59.13,59.21,563300,59.11
2013-09-13,59.43,59.43,58.56,58.87,511000,58.77
2013-09-12,58.89,59.83,58.71,59.21,889700,59.11
2013-09-11,58.91,59.32,58.69,59.11,841500,59.01
