Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,31.22,31.38,30.91,31.08,3370500,31.08
2014-01-28,31.45,31.96,31.45,31.67,2921900,31.67
2014-01-27,32.07,32.31,31.19,31.40,2663100,31.40
2014-01-24,32.99,33.09,31.97,32.05,4286900,32.05
2014-01-23,33.61,33.76,32.96,33.33,3398100,33.33
2014-01-22,34.23,34.43,33.80,33.84,3994300,33.84
2014-01-21,33.52,35.16,33.05,33.85,8961600,33.85
2014-01-17,32.39,32.54,32.17,32.41,3592700,32.41
2014-01-16,31.77,32.43,31.77,32.40,3525500,32.40
2014-01-15,31.49,31.89,31.42,31.81,3155000,31.81
2014-01-14,30.73,31.36,30.66,31.32,2684900,31.32
2014-01-13,30.94,31.02,30.50,30.57,2185500,30.57
2014-01-10,30.99,31.09,30.72,30.95,2023700,30.95
2014-01-09,30.81,31.15,30.78,31.09,2074700,31.09
2014-01-08,30.64,31.02,30.54,30.83,1266900,30.83
2014-01-07,30.21,30.96,30.21,30.63,2108600,30.63
2014-01-06,30.84,31.10,30.43,30.57,2006300,30.57
2014-01-03,30.47,30.82,30.34,30.71,1110800,30.71
2014-01-02,30.65,30.73,30.24,30.43,707400,30.43
2013-12-31,30.23,30.68,30.22,30.64,875200,30.64
2013-12-30,30.19,30.26,30.04,30.20,603600,30.20
2013-12-27,30.28,30.36,30.14,30.20,583300,30.20
2013-12-26,30.49,30.52,30.16,30.22,1699800,30.22
2013-12-24,30.37,30.45,30.26,30.44,425400,30.44
2013-12-23,30.56,30.60,30.23,30.43,1292100,30.43
2013-12-20,30.31,30.45,30.04,30.41,2070700,30.41
2013-12-19,30.05,30.58,30.01,30.41,3292900,30.41
2013-12-18,29.26,30.08,29.20,30.07,2265400,30.07
2013-12-17,29.59,29.59,29.03,29.17,1492100,29.17
2013-12-16,29.27,29.61,29.26,29.55,1152000,29.55
2013-12-13,29.24,29.50,29.18,29.21,1268800,29.21
2013-12-12,29.22,29.43,29.15,29.23,2419600,29.23
2013-12-11,29.05,29.50,29.05,29.11,3225200,29.11
2013-12-10,29.06,29.25,28.86,29.09,1106900,29.09
2013-12-09,28.92,29.26,28.87,29.15,2461000,29.15
2013-12-06,29.01,29.29,28.64,28.82,2995400,28.82
2013-12-05,28.58,28.68,28.29,28.57,1324900,28.57
2013-12-04,28.67,28.92,28.36,28.67,1374900,28.67
2013-12-03,28.76,28.96,28.45,28.67,1818700,28.67
2013-12-02,28.83,29.27,28.62,28.89,1488500,28.89
2013-11-29,29.14,29.29,28.74,28.78,955200,28.78
2013-11-27,29.69,29.69,29.33,29.52,965900,29.02
2013-11-26,29.55,29.79,29.55,29.60,1623700,29.10
2013-11-25,29.84,29.84,29.49,29.55,2436300,29.05
2013-11-22,29.62,29.92,29.50,29.76,2734900,29.26
2013-11-21,29.27,29.63,29.20,29.50,2620700,29.00
2013-11-20,29.11,29.39,28.93,29.20,2749800,28.71
2013-11-19,28.96,29.40,28.91,29.10,2299200,28.61
2013-11-18,29.01,29.36,28.89,28.96,2161100,28.47
2013-11-15,29.05,29.15,28.87,29.03,2187700,28.54
2013-11-14,29.18,29.31,28.94,29.05,2336700,28.56
2013-11-13,28.74,29.20,28.49,29.18,1528800,28.69
2013-11-12,28.99,29.25,28.83,28.95,2905600,28.46
2013-11-11,28.78,29.16,28.37,29.03,2913200,28.54
2013-11-08,27.52,28.34,27.45,28.33,2686800,27.85
2013-11-07,27.78,27.86,27.38,27.39,1492800,26.93
2013-11-06,27.63,27.85,27.49,27.75,1095200,27.28
2013-11-05,27.62,27.66,27.39,27.50,1293800,27.03
2013-11-04,27.71,27.88,27.56,27.80,1410900,27.21
2013-11-01,27.20,27.77,27.20,27.66,2233800,27.07
2013-10-31,27.28,27.53,27.15,27.26,1980200,26.68
2013-10-30,27.81,28.06,27.28,27.37,2574200,26.79
2013-10-29,28.38,28.44,27.35,27.65,2902500,27.06
2013-10-28,27.99,28.12,27.66,27.93,2634100,27.34
2013-10-25,27.77,27.98,27.57,27.92,2163900,27.33
2013-10-24,27.92,28.03,27.63,27.65,2806700,27.06
2013-10-23,28.13,28.27,27.80,27.98,2236900,27.39
