Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,25.70,25.76,25.35,25.56,1877400,25.56
2014-01-28,25.40,26.00,25.29,25.84,2681500,25.84
2014-01-27,25.53,26.06,25.19,25.46,2368800,25.46
2014-01-24,26.46,26.54,25.38,25.57,3054100,25.57
2014-01-23,27.05,27.14,26.30,26.75,2250200,26.75
2014-01-22,27.24,27.83,27.05,27.53,2024600,27.53
2014-01-21,26.77,27.06,26.65,27.06,1476200,27.06
2014-01-17,26.79,26.96,26.44,26.49,1093000,26.49
2014-01-16,26.50,26.87,26.45,26.70,1488500,26.70
2014-01-15,25.46,26.74,25.33,26.61,3073300,26.61
2014-01-14,24.95,25.34,24.73,25.32,3627500,25.32
2014-01-13,24.58,24.83,24.35,24.71,1940900,24.71
2014-01-10,24.99,25.16,24.42,24.62,2138200,24.62
2014-01-09,25.24,25.41,24.85,24.96,1864000,24.96
2014-01-08,25.10,25.46,24.95,25.15,1901400,25.15
2014-01-07,24.58,25.07,24.27,25.02,2516800,25.02
2014-01-06,24.30,24.35,23.38,24.05,3686000,24.05
2014-01-03,24.20,24.69,24.03,24.62,1190400,24.62
2014-01-02,24.34,24.39,24.00,24.19,1274400,24.19
2013-12-31,24.07,24.40,24.03,24.34,1289300,24.34
2013-12-30,23.91,24.24,23.67,24.11,1240400,24.11
2013-12-27,23.66,24.19,23.57,23.98,1283200,23.98
2013-12-26,23.66,24.12,23.54,23.57,1237700,23.57
2013-12-24,23.65,23.67,23.22,23.49,904200,23.49
2013-12-23,23.67,23.77,23.35,23.52,1883300,23.52
2013-12-20,22.60,23.80,22.38,23.48,4585900,23.48
2013-12-19,22.06,22.41,21.76,21.82,1849000,21.82
2013-12-18,22.17,22.29,21.33,22.16,3560200,22.16
2013-12-17,22.43,22.50,22.03,22.04,2225000,22.04
2013-12-16,21.88,22.48,21.80,22.37,2274100,22.37
2013-12-13,21.59,21.85,21.44,21.72,1754000,21.72
2013-12-12,21.56,21.71,21.45,21.50,1686300,21.50
2013-12-11,21.44,21.77,21.39,21.51,1713300,21.51
2013-12-10,21.26,21.47,20.92,21.39,1603500,21.39
2013-12-09,21.29,21.45,21.06,21.21,1893700,21.21
2013-12-06,21.58,21.88,21.10,21.26,2477000,21.26
2013-12-05,21.54,22.33,21.08,21.36,4606100,21.36
2013-12-04,20.38,20.92,20.33,20.80,2294200,20.80
2013-12-03,20.65,20.98,20.42,20.52,2446900,20.52
2013-12-02,20.52,20.88,20.18,20.68,2245100,20.68
2013-11-29,20.31,20.60,20.25,20.52,1514700,20.52
2013-11-27,20.04,20.41,19.87,20.26,1494900,20.26
2013-11-26,19.83,20.14,19.72,20.07,2527300,20.07
2013-11-25,19.89,19.96,19.63,19.76,1699300,19.76
2013-11-22,19.60,19.96,19.38,19.89,1797800,19.89
2013-11-21,19.00,19.60,18.91,19.55,2536200,19.55
2013-11-20,18.92,19.44,18.71,18.92,3099200,18.92
2013-11-19,18.06,19.00,17.99,18.83,4417500,18.83
2013-11-18,18.27,18.27,17.91,18.00,1492800,18.00
2013-11-15,17.52,18.06,17.52,17.96,1641800,17.96
2013-11-14,17.23,17.49,17.15,17.46,840100,17.46
2013-11-13,17.10,17.36,17.00,17.29,1086200,17.29
2013-11-12,17.14,17.25,16.94,17.23,947500,17.23
2013-11-11,17.20,17.25,16.93,17.21,933300,17.21
2013-11-08,16.96,17.28,16.91,17.19,1168200,17.19
2013-11-07,17.35,17.35,16.95,16.96,1663300,16.96
2013-11-06,17.20,17.49,17.20,17.25,1801500,17.25
2013-11-05,17.56,17.56,17.20,17.21,1617900,17.21
2013-11-04,17.32,17.66,17.15,17.61,3285700,17.61
2013-11-01,17.71,17.84,17.22,17.33,4439600,17.33
2013-10-31,17.03,17.88,16.85,17.85,10193700,17.85
2013-10-30,16.55,16.64,16.34,16.49,2547700,16.49
2013-10-29,16.53,16.64,16.48,16.59,1356600,16.59
2013-10-28,16.70,16.70,16.50,16.53,1404300,16.53
2013-10-25,16.80,16.83,16.55,16.65,1101200,16.65
2013-10-24,16.69,16.80,16.62,16.74,1170700,16.74
2013-10-23,16.65,16.77,16.58,16.62,1112500,16.62
2013-10-22,16.88,16.90,16.66,16.77,897900,16.77
2013-10-21,16.68,16.91,16.60,16.78,1150800,16.78
2013-10-18,16.54,16.73,16.39,16.70,1131100,16.70
2013-10-17,16.77,16.85,16.36,16.40,4631200,16.40
2013-10-16,16.83,16.95,16.66,16.76,751400,16.76
2013-10-15,16.89,16.95,16.70,16.73,1136600,16.73
2013-10-14,16.86,16.91,16.74,16.91,1343900,16.91
2013-10-11,16.92,17.06,16.81,17.02,1549000,17.02
2013-10-10,16.99,17.15,16.81,16.99,764500,16.99
2013-10-09,16.91,17.01,16.69,16.78,1217500,16.78
2013-10-08,16.99,17.02,16.85,16.89,1190400,16.89
2013-10-07,17.04,17.07,16.91,17.03,996300,17.03
2013-10-04,16.95,17.27,16.88,17.16,2092200,17.16
2013-10-03,16.86,17.00,16.78,16.97,1192500,16.97
2013-10-02,16.90,16.99,16.69,16.87,2899100,16.87
2013-10-01,17.01,17.17,16.94,16.99,1737800,16.99
2013-09-30,16.85,17.07,16.80,17.05,943200,17.05
2013-09-27,16.93,17.23,16.92,17.01,1467600,17.01
2013-09-26,16.96,17.08,16.83,17.07,1206100,17.07
2013-09-25,16.94,16.96,16.79,16.89,1026400,16.89
2013-09-24,16.68,16.96,16.49,16.86,1560500,16.86
2013-09-23,16.72,16.73,16.51,16.67,951900,16.67
2013-09-20,16.78,16.86,16.71,16.77,1593600,16.77
2013-09-19,16.66,16.79,16.65,16.76,968700,16.76
2013-09-18,16.46,16.72,16.34,16.65,1111500,16.65
2013-09-17,16.43,16.57,16.23,16.51,1647300,16.51
2013-09-16,16.80,16.80,16.41,16.43,1143600,16.43
2013-09-13,16.45,16.66,16.27,16.54,1978600,16.54
2013-09-12,15.97,16.16,15.92,16.13,1142100,16.13
2013-09-11,16.04,16.24,15.90,15.93,1641600,15.93
2013-09-10,16.05,16.25,15.77,15.87,935900,15.87
2013-09-09,15.93,16.01,15.85,15.95,709500,15.95
2013-09-06,15.80,15.91,15.61,15.85,986700,15.85
2013-09-05,15.92,15.98,15.73,15.74,1056300,15.74
2013-09-04,15.61,15.89,15.54,15.86,1618800,15.86
2013-09-03,15.86,16.01,15.57,15.61,1512200,15.61
2013-08-30,15.83,15.88,15.55,15.67,1114800,15.67
2013-08-29,15.79,16.05,15.78,15.87,828600,15.87
2013-08-28,15.97,16.10,15.83,15.83,944400,15.83
2013-08-27,16.10,16.12,15.85,15.98,1504400,15.98
2013-08-26,16.25,16.34,16.18,16.21,1108000,16.21
2013-08-23,16.36,16.61,16.21,16.25,610400,16.25
2013-08-22,16.18,16.50,16.15,16.35,835300,16.35
2013-08-21,16.44,16.46,16.18,16.18,1409000,16.18
2013-08-20,16.54,16.67,16.37,16.52,1003800,16.52
2013-08-19,16.68,16.70,16.47,16.51,1064900,16.51
2013-08-16,16.71,16.85,16.64,16.68,1024900,16.68
2013-08-15,16.78,17.01,16.65,16.81,1626900,16.81
2013-08-14,16.92,17.03,16.78,16.90,1297700,16.90
2013-08-13,16.97,17.07,16.76,16.95,1351400,16.95
2013-08-12,16.45,17.04,16.44,16.97,2013100,16.97
2013-08-09,16.65,16.71,16.41,16.47,1005000,16.47
2013-08-08,16.54,16.85,16.06,16.61,3959400,16.61
2013-08-07,15.32,15.76,15.26,15.62,1722100,15.62
2013-08-06,15.46,15.50,15.23,15.31,601300,15.31
2013-08-05,15.23,15.47,15.20,15.47,778800,15.47
2013-08-02,15.17,15.36,15.17,15.24,417700,15.24
