Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,16.78,17.05,16.68,16.91,8286200,16.91
2014-01-28,16.67,16.84,16.65,16.69,7202500,16.69
2014-01-27,16.70,16.89,16.62,16.67,7575900,16.67
2014-01-24,16.64,16.84,16.55,16.67,7897200,16.67
2014-01-23,16.63,16.75,16.55,16.67,7209700,16.67
2014-01-22,16.85,16.89,16.65,16.74,7998700,16.74
2014-01-21,17.02,17.09,16.69,16.79,6330900,16.79
2014-01-17,17.35,17.47,16.76,16.96,15311900,16.96
2014-01-16,17.37,17.52,17.29,17.33,8097800,17.33
2014-01-15,17.56,17.61,17.22,17.39,7357000,17.39
2014-01-14,17.78,17.78,17.15,17.49,10833400,17.49
2014-01-13,18.02,18.27,17.78,17.87,4577400,17.87
2014-01-10,18.38,18.39,18.03,18.18,3943300,18.18
2014-01-09,18.41,18.45,18.28,18.30,4005100,18.30
2014-01-08,18.32,18.43,18.08,18.34,5520400,18.34
2014-01-07,18.20,18.37,18.01,18.32,5114400,18.32
2014-01-06,18.38,18.55,18.07,18.08,5989200,18.08
2014-01-03,17.80,18.35,17.64,18.29,7194700,18.29
2014-01-02,17.91,18.08,17.80,18.07,6620900,18.07
2013-12-31,17.80,17.99,17.72,17.83,2886200,17.83
2013-12-30,17.79,17.92,17.75,17.80,3299500,17.80
2013-12-27,18.11,18.22,17.76,17.82,3125900,17.82
2013-12-26,18.20,18.29,17.98,18.08,3318400,18.08
2013-12-24,18.08,18.19,17.98,18.17,2268000,18.17
2013-12-23,17.95,18.40,17.94,18.15,8192600,18.15
2013-12-20,17.66,18.00,17.59,17.87,13735400,17.87
2013-12-19,17.16,17.76,17.14,17.66,12732100,17.66
2013-12-18,17.03,17.26,16.75,17.18,7980600,17.18
2013-12-17,16.71,17.13,16.66,17.06,7362200,17.06
2013-12-16,16.81,16.93,16.74,16.74,5393500,16.74
2013-12-13,16.75,16.93,16.60,16.77,4956300,16.77
2013-12-12,16.94,17.01,16.60,16.66,5023800,16.66
2013-12-11,17.44,17.44,16.97,17.01,4044500,17.01
2013-12-10,17.25,17.41,17.22,17.32,4641400,17.32
2013-12-09,17.17,17.36,17.16,17.30,5011300,17.30
2013-12-06,16.85,17.20,16.84,17.20,5259400,17.20
2013-12-05,17.18,17.26,16.74,16.78,9271000,16.78
2013-12-04,17.11,17.32,17.02,17.25,4583500,17.25
2013-12-03,17.26,17.32,17.10,17.12,7545400,17.12
2013-12-02,17.33,17.55,17.25,17.33,9685300,17.33
2013-11-29,17.27,17.45,17.12,17.21,3720100,17.21
2013-11-27,17.04,17.39,17.04,17.09,5707800,17.09
2013-11-26,17.26,17.33,17.03,17.10,12840100,17.10
2013-11-25,17.43,17.57,17.32,17.41,7232200,17.41
2013-11-22,17.40,17.41,17.14,17.21,5515800,17.21
2013-11-21,17.16,17.41,17.10,17.35,8051700,17.35
2013-11-20,17.00,17.27,16.85,17.20,8532500,17.20
2013-11-19,17.34,17.42,16.89,16.89,9348200,16.89
2013-11-18,17.77,17.77,17.50,17.52,9818800,17.52
2013-11-15,17.68,17.81,17.59,17.72,9487100,17.72
2013-11-14,17.38,17.71,17.26,17.70,7647600,17.70
2013-11-13,17.08,17.34,16.88,17.32,6394400,17.32
2013-11-12,16.94,17.19,16.82,17.11,8305900,17.11
2013-11-11,16.95,17.02,16.65,16.99,7059200,16.99
2013-11-08,16.83,17.18,16.76,17.07,6914100,17.07
2013-11-07,16.10,17.07,16.06,16.84,18971500,16.84
2013-11-06,16.90,16.97,16.44,16.53,11754500,16.53
2013-11-05,16.42,16.59,16.23,16.53,9899400,16.53
2013-11-04,16.86,16.93,16.73,16.84,5460100,16.84
2013-11-01,16.68,17.00,16.57,16.70,6637400,16.70
2013-10-31,16.70,16.74,16.54,16.68,23490000,16.68
2013-10-30,16.91,17.03,16.50,16.61,14207000,16.61
2013-10-29,17.34,17.41,16.58,16.59,31927700,16.59
2013-10-28,17.39,17.54,17.16,17.30,8707800,17.30
2013-10-25,17.47,17.55,17.26,17.34,5554700,17.34
2013-10-24,17.41,17.65,17.22,17.31,6716500,17.31
2013-10-23,17.55,17.70,17.37,17.41,5141200,17.41
2013-10-22,17.61,17.70,17.44,17.60,5985100,17.60
2013-10-21,17.75,17.80,17.40,17.46,4303800,17.46
2013-10-18,17.69,17.72,17.29,17.59,5760500,17.59
2013-10-17,17.32,17.62,17.30,17.59,5288200,17.59
2013-10-16,17.76,17.85,17.30,17.32,6919400,17.32
2013-10-15,17.83,17.98,17.67,17.76,10953900,17.76
2013-10-14,16.94,17.88,16.93,17.83,10882500,17.83
2013-10-11,16.92,17.20,16.87,17.08,8482600,17.08
2013-10-10,16.46,17.10,16.39,17.05,13269400,17.05
2013-10-09,16.38,16.57,16.25,16.28,5775700,16.28
2013-10-08,16.46,16.55,16.26,16.37,7170600,16.37
2013-10-07,16.80,16.83,16.48,16.51,3874400,16.51
2013-10-04,16.63,16.95,16.60,16.88,4317500,16.88
2013-10-03,16.76,16.79,16.60,16.66,5467100,16.66
2013-10-02,16.84,16.90,16.58,16.79,4779800,16.79
2013-10-01,16.68,16.99,16.65,16.90,5388300,16.90
2013-09-30,16.71,16.81,16.49,16.68,4041200,16.68
2013-09-27,17.00,17.04,16.76,16.82,3396800,16.82
2013-09-26,17.03,17.09,16.90,17.01,3365500,17.01
2013-09-25,16.96,17.09,16.86,16.95,5077400,16.95
2013-09-24,16.94,17.04,16.88,16.93,4937000,16.93
2013-09-23,17.00,17.03,16.84,16.96,4783200,16.96
2013-09-20,17.24,17.27,16.96,16.99,10353100,16.99
2013-09-19,17.00,17.24,16.86,17.10,9290300,17.10
2013-09-18,17.08,17.22,16.90,17.15,6842500,17.15
2013-09-17,17.32,17.38,17.14,17.16,4227700,17.16
2013-09-16,17.18,17.37,17.06,17.25,5934100,17.25
