Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,37.50,37.83,37.11,37.38,3728900,37.38
2014-01-28,37.36,37.92,37.35,37.88,4852100,37.88
2014-01-27,38.26,38.41,37.77,37.79,5370500,37.79
2014-01-24,38.48,38.64,38.20,38.26,4785000,38.26
2014-01-23,38.93,38.93,38.48,38.76,4772400,38.76
2014-01-22,39.25,39.31,39.05,39.26,4390800,39.26
2014-01-21,38.85,39.34,38.77,39.31,5777700,39.31
2014-01-17,39.04,39.12,38.66,38.78,4857700,38.78
2014-01-16,38.39,38.74,38.03,38.73,6083700,38.73
2014-01-15,38.53,38.95,38.52,38.78,5083100,38.78
2014-01-14,38.63,38.63,38.19,38.44,5714500,38.44
2014-01-13,38.57,38.77,38.34,38.54,8287800,38.54
2014-01-10,38.43,38.78,38.30,38.66,6802100,38.66
2014-01-09,38.25,38.56,38.19,38.40,4480600,38.40
2014-01-08,37.73,38.19,37.67,38.14,5537000,38.14
2014-01-07,37.72,38.07,37.72,38.03,7039600,38.03
2014-01-06,37.36,37.58,37.26,37.43,4863400,37.43
2014-01-03,36.87,37.08,36.75,36.93,2176100,36.93
2014-01-02,37.18,37.18,36.70,36.77,3185400,36.77
2013-12-31,37.18,37.42,37.13,37.32,2702800,37.32
2013-12-30,37.10,37.27,36.99,37.16,2278200,37.16
2013-12-27,37.16,37.33,37.04,37.10,1939200,37.10
2013-12-26,37.25,37.42,37.10,37.16,3432900,37.16
2013-12-24,37.17,37.38,37.09,37.24,1687500,37.24
2013-12-23,36.75,37.29,36.67,37.24,4739200,37.24
2013-12-20,36.74,36.83,36.48,36.68,5025300,36.68
2013-12-19,36.11,36.64,35.98,36.59,5628800,36.59
2013-12-18,35.50,36.26,35.41,36.25,5393900,36.25
2013-12-17,35.81,35.87,35.41,35.49,3445200,35.49
2013-12-16,35.42,36.03,35.28,35.87,4390200,35.87
2013-12-13,35.37,35.58,35.10,35.34,4333500,35.34
2013-12-12,34.75,35.55,34.63,35.36,6661200,35.36
2013-12-11,34.56,34.91,34.36,34.68,5795400,34.68
2013-12-10,34.71,34.86,34.52,34.56,2696100,34.56
2013-12-09,34.99,35.09,34.81,34.84,3254000,34.84
2013-12-06,34.90,35.05,34.72,34.95,3736700,34.95
2013-12-05,34.62,34.71,34.43,34.49,3867900,34.49
2013-12-04,34.66,35.00,34.52,34.80,6089700,34.80
2013-12-03,34.54,34.81,34.06,34.29,3649700,34.29
2013-12-02,34.82,35.06,34.64,34.70,3034100,34.70
2013-11-29,35.00,35.06,34.73,34.74,1940200,34.74
2013-11-27,35.00,35.04,34.80,34.90,2678800,34.90
