Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,82.51,83.37,81.76,82.68,1263200,82.68
2014-01-28,82.97,84.21,82.31,83.78,609500,83.78
2014-01-27,83.15,83.97,81.98,82.99,897600,82.99
2014-01-24,85.06,85.59,82.87,82.93,994200,82.93
2014-01-23,85.41,86.27,84.81,85.88,1091300,85.88
2014-01-22,84.96,86.83,84.50,86.57,1240500,86.57
2014-01-21,83.96,84.86,83.85,84.09,719700,84.09
2014-01-17,83.72,83.99,83.35,83.70,496500,83.70
2014-01-16,83.28,83.95,83.03,83.81,634000,83.81
2014-01-15,83.90,83.95,83.04,83.39,913000,83.39
2014-01-14,83.17,83.88,82.60,83.60,1296600,83.60
2014-01-13,81.89,84.41,81.86,82.92,1562100,82.92
2014-01-10,83.58,83.89,81.72,82.28,1525000,82.28
2014-01-09,83.58,84.00,82.83,83.23,1665300,83.23
2014-01-08,82.98,83.20,82.33,82.99,1674000,82.99
2014-01-07,82.85,83.88,82.29,82.87,1843400,82.87
2014-01-06,86.39,86.42,82.17,82.81,1981400,82.81
2014-01-03,85.75,86.47,85.38,85.92,554000,85.92
2014-01-02,86.98,87.42,85.65,85.75,1433500,85.75
2013-12-31,86.18,87.21,85.79,87.03,507300,87.03
2013-12-30,86.47,86.55,85.60,86.23,372800,86.23
2013-12-27,87.25,87.59,86.12,86.30,335000,86.30
2013-12-26,86.72,87.31,86.39,87.11,385400,87.11
2013-12-24,85.71,86.32,85.35,86.22,260400,86.22
2013-12-23,86.30,86.89,85.85,86.06,596200,86.06
2013-12-20,85.34,86.75,84.93,85.55,3472400,85.55
2013-12-19,85.25,85.70,84.50,85.14,659100,85.14
2013-12-18,85.58,85.87,83.46,85.64,1101000,85.64
2013-12-17,85.96,86.48,85.01,85.03,771500,85.03
2013-12-16,85.71,86.45,85.44,85.85,964100,85.85
2013-12-13,85.21,85.64,84.77,85.36,561400,85.36
2013-12-12,84.38,85.57,84.31,85.18,626800,85.18
2013-12-11,85.35,86.81,84.50,84.58,655300,84.58
2013-12-10,86.57,87.40,86.20,86.57,685000,86.57
2013-12-09,87.23,87.69,86.57,86.85,662700,86.85
2013-12-06,87.54,88.34,86.89,87.22,1115900,87.22
2013-12-05,85.96,86.59,85.54,86.51,892000,86.51
2013-12-04,86.04,86.82,85.45,85.99,899900,85.99
2013-12-03,86.76,87.03,85.77,86.20,1081000,86.20
2013-12-02,87.53,88.15,86.96,87.18,866400,87.18
2013-11-29,88.11,88.11,86.96,87.00,318700,87.00
2013-11-27,87.20,87.92,86.90,87.52,830600,87.52
2013-11-26,87.50,88.43,86.80,87.10,6120500,87.10
2013-11-25,87.28,87.61,86.40,87.05,1232000,87.05
2013-11-22,86.13,86.90,85.70,86.52,1157300,86.52
2013-11-21,85.96,86.57,85.59,85.80,1031100,85.80
2013-11-20,85.18,86.24,84.84,85.71,930900,85.71
2013-11-19,85.16,85.77,84.95,85.27,731200,85.27
2013-11-18,84.50,85.81,84.35,85.38,1148600,85.38
2013-11-15,84.50,84.50,83.42,84.06,1338500,84.06
2013-11-14,83.67,84.65,83.19,84.61,834700,84.61
2013-11-13,81.69,83.75,81.34,83.74,781600,83.74
2013-11-12,82.42,83.01,81.73,82.54,672900,82.54
2013-11-11,81.90,82.93,81.14,82.48,830100,82.48
2013-11-08,80.21,81.79,79.47,81.75,1068900,81.75
2013-11-07,82.83,83.16,80.35,80.41,759500,80.41
2013-11-06,83.50,83.91,81.90,82.51,538400,82.51
2013-11-05,82.19,83.07,81.37,82.65,732200,82.65
2013-11-04,81.97,82.51,81.58,82.34,640800,82.34
2013-11-01,81.56,82.68,80.80,82.04,934200,82.04
2013-10-31,80.37,81.88,79.67,81.16,931300,81.16
2013-10-30,81.17,81.38,79.88,80.24,733000,80.24
