Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,52.92,53.83,52.35,52.65,3862700,52.65
2014-01-28,53.28,53.92,53.10,53.69,1933600,53.69
2014-01-27,53.69,54.03,52.68,52.95,2866100,52.95
2014-01-24,55.55,55.60,53.57,53.60,3453800,53.60
2014-01-23,57.78,57.94,55.90,56.18,2992100,56.18
2014-01-22,58.42,58.62,57.71,58.07,1818400,58.07
2014-01-21,58.70,58.87,58.10,58.32,1829000,58.32
2014-01-17,58.31,58.75,58.09,58.51,2355300,58.51
2014-01-16,57.98,58.51,57.81,58.28,1420500,58.28
2014-01-15,58.10,58.16,57.09,58.15,2282000,58.15
2014-01-14,57.12,58.10,57.06,58.00,2258700,58.00
2014-01-13,57.66,57.94,56.64,56.78,2063900,56.78
2014-01-10,56.82,57.87,56.63,57.80,2166700,57.80
2014-01-09,57.00,57.29,56.66,57.02,2245800,57.02
2014-01-08,57.31,57.35,56.55,56.75,1756600,56.75
2014-01-07,57.54,57.83,56.97,56.99,2258900,56.99
2014-01-06,57.63,57.98,57.06,57.30,1409400,57.30
2014-01-03,56.74,57.59,56.72,57.08,1155200,57.08
2014-01-02,57.36,57.56,56.41,56.72,1092100,56.72
2013-12-31,57.20,57.85,57.14,57.73,1175300,57.73
2013-12-30,57.12,57.52,56.99,57.19,1108400,57.19
2013-12-27,57.03,57.44,56.90,57.23,1567700,57.23
2013-12-26,56.79,57.32,56.38,57.18,1762200,57.06
2013-12-24,56.55,56.77,56.36,56.73,456900,56.61
2013-12-23,56.91,56.99,56.41,56.58,1201200,56.46
2013-12-20,55.79,56.90,55.49,56.25,3769000,56.13
2013-12-19,55.88,55.92,55.31,55.67,2691400,55.55
2013-12-18,54.82,56.07,53.98,56.03,3120600,55.91
2013-12-17,54.55,54.71,53.82,54.43,2253600,54.32
2013-12-16,54.41,54.88,54.23,54.65,1349300,54.54
2013-12-13,53.95,54.26,53.62,54.02,3952200,53.91
2013-12-12,53.73,54.05,53.57,53.70,1589400,53.59
2013-12-11,55.04,55.07,53.63,53.78,2654100,53.67
2013-12-10,55.54,55.54,54.58,54.99,2637800,54.87
2013-12-09,54.66,55.77,54.37,55.70,2571100,55.58
2013-12-06,54.88,54.88,54.42,54.58,2170200,54.47
