Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,50.27,50.27,48.06,48.75,3719300,48.75
2014-01-28,48.00,48.94,48.00,48.88,632500,48.88
2014-01-27,48.49,48.97,47.50,47.99,1002000,47.99
2014-01-24,50.35,50.35,48.38,48.43,1564400,48.43
2014-01-23,50.44,50.61,49.79,50.47,1115700,50.47
2014-01-22,51.33,51.37,50.41,50.78,972600,50.78
2014-01-21,53.20,53.43,51.35,51.50,874800,51.50
2014-01-17,52.47,53.00,52.08,53.00,1157100,53.00
2014-01-16,52.77,53.22,52.24,52.66,970700,52.66
2014-01-15,52.80,53.16,52.71,53.01,694700,53.01
2014-01-14,51.73,52.73,51.73,52.64,751900,52.64
2014-01-13,52.03,52.29,51.32,51.51,817000,51.51
2014-01-10,51.80,52.41,51.54,52.27,523800,52.27
2014-01-09,52.22,52.37,51.59,51.96,428800,51.96
2014-01-08,52.35,52.47,51.53,51.96,1008500,51.96
2014-01-07,52.29,52.90,52.25,52.43,992500,52.43
2014-01-06,53.54,53.69,52.11,52.13,1236700,52.13
2014-01-03,53.07,53.74,53.07,53.51,685600,53.51
2014-01-02,52.96,53.42,52.56,53.06,913500,53.06
2013-12-31,52.70,53.49,52.70,53.20,960900,53.20
2013-12-30,52.23,53.02,52.00,52.75,735800,52.75
2013-12-27,51.95,52.46,51.84,52.22,827100,52.22
2013-12-26,51.38,51.93,51.29,51.69,601400,51.69
2013-12-24,51.26,51.40,51.09,51.29,275800,51.29
2013-12-23,51.19,51.20,50.67,51.12,655500,51.12
2013-12-20,50.59,51.06,50.00,50.93,1522300,50.93
2013-12-19,51.01,51.32,50.16,50.34,807500,50.34
2013-12-18,50.84,51.37,50.22,51.21,605600,51.21
2013-12-17,50.51,50.91,50.15,50.65,552100,50.65
2013-12-16,50.60,51.19,50.45,50.60,529200,50.60
2013-12-13,50.67,51.19,50.16,50.40,613900,50.40
2013-12-12,51.00,51.13,50.41,50.57,878500,50.57
2013-12-11,52.32,52.41,50.89,51.09,683800,51.09
2013-12-10,51.76,52.64,51.76,52.21,573100,52.21
2013-12-09,51.91,52.25,51.46,51.93,549900,51.93
2013-12-06,52.80,52.80,51.75,51.91,522400,51.91
2013-12-05,51.29,51.82,51.17,51.55,712900,51.55
2013-12-04,51.35,51.94,50.91,51.46,859700,51.46
2013-12-03,52.16,52.38,51.16,51.68,1313800,51.68
2013-12-02,51.44,53.13,51.36,52.22,1443400,52.22
2013-11-29,52.01,52.07,51.03,51.26,733400,51.26
2013-11-27,52.32,52.57,51.63,51.69,1323000,51.69
2013-11-26,51.34,52.34,50.86,52.22,1145100,52.12
2013-11-25,52.11,52.67,51.14,51.28,1281500,51.18
2013-11-22,52.52,52.59,51.18,52.21,767800,52.11
2013-11-21,51.72,52.91,51.51,52.67,922100,52.57
2013-11-20,51.72,52.19,51.06,51.34,874900,51.24
2013-11-19,51.70,52.34,51.19,51.62,754100,51.52
2013-11-18,52.29,53.13,51.48,51.74,1001100,51.64
2013-11-15,51.00,52.28,51.00,51.94,1205000,51.84
2013-11-14,52.25,52.45,50.33,50.74,1747100,50.64
2013-11-13,51.66,53.16,51.57,52.46,1373000,52.36
2013-11-12,54.00,54.00,51.32,51.92,1998400,51.82
2013-11-11,51.27,51.61,50.83,51.04,927500,50.94
2013-11-08,50.27,51.80,50.27,51.41,1298000,51.31
2013-11-07,51.76,52.30,49.93,50.27,1293800,50.17
2013-11-06,52.80,53.04,50.13,51.13,2222000,51.03
2013-11-05,52.22,52.98,51.59,52.67,668900,52.57
2013-11-04,52.27,52.94,52.15,52.35,957700,52.25
2013-11-01,51.81,52.44,51.66,52.01,1457800,51.91
2013-10-31,52.71,52.87,51.82,51.90,1203700,51.80
2013-10-30,53.22,53.61,52.46,52.69,602000,52.59
2013-10-29,52.77,53.21,52.59,53.06,686000,52.96
2013-10-28,53.00,53.15,52.29,52.75,821600,52.65
2013-10-25,53.20,53.42,52.59,53.09,600500,52.99
2013-10-24,52.75,53.36,52.38,52.96,941800,52.86
2013-10-23,52.28,52.70,52.01,52.58,565900,52.48
2013-10-22,52.28,53.04,51.98,52.47,733800,52.37
2013-10-21,52.04,52.33,51.64,52.18,1087800,52.08
2013-10-18,51.80,52.21,51.60,51.90,759600,51.80
2013-10-17,51.03,51.81,50.89,51.44,797100,51.34
2013-10-16,50.69,51.38,50.69,51.15,641200,51.05
2013-10-15,51.08,51.31,50.21,50.45,776600,50.35
2013-10-14,50.41,51.29,50.33,51.10,650700,51.00
2013-10-11,49.88,50.77,49.81,50.72,1097200,50.62
2013-10-10,49.81,50.17,49.79,50.00,842700,49.90
2013-10-09,49.50,49.69,48.60,49.14,1115500,49.05
2013-10-08,50.40,50.40,48.52,49.26,1484700,49.17
2013-10-07,50.28,50.45,49.77,50.26,1344900,50.16
2013-10-04,50.81,51.07,50.45,50.77,1905700,50.67
2013-10-03,50.08,52.00,50.00,50.94,3886700,50.84
2013-10-02,49.25,50.28,48.93,50.04,1993200,49.94
2013-10-01,49.01,50.03,49.01,49.71,1693100,49.61
2013-09-30,48.17,49.60,48.11,49.13,5485700,49.04
2013-09-27,48.13,48.93,48.09,48.76,629600,48.67
2013-09-26,48.55,48.77,48.21,48.47,571100,48.38
2013-09-25,48.15,48.87,48.00,48.40,714700,48.31
2013-09-24,48.96,49.11,47.95,48.17,1625200,48.08
2013-09-23,47.15,47.85,46.73,47.57,861200,47.48
2013-09-20,47.47,47.76,47.02,47.22,1068900,47.13
2013-09-19,47.67,47.87,47.27,47.31,1103700,47.22
2013-09-18,47.55,48.28,47.08,47.60,1263400,47.51
2013-09-17,47.07,47.89,46.99,47.64,1210600,47.55
2013-09-16,49.07,49.17,46.90,46.99,2142800,46.90
2013-09-13,49.00,49.06,48.36,48.57,660700,48.48
2013-09-12,48.51,48.93,47.91,48.81,1119800,48.72
2013-09-11,47.67,48.36,47.51,48.34,1666900,48.25
2013-09-10,47.50,47.58,47.13,47.40,628700,47.31
2013-09-09,46.56,47.24,46.56,47.13,808600,47.04
2013-09-06,47.20,47.20,46.01,46.37,753000,46.28
2013-09-05,46.65,47.21,46.44,46.89,556900,46.80
2013-09-04,46.34,46.81,45.96,46.73,1242600,46.64
2013-09-03,46.70,46.84,45.61,46.38,1764100,46.29
2013-08-30,46.42,46.49,45.76,46.11,1130900,46.02
2013-08-29,46.19,46.82,45.92,46.57,1225400,46.48
2013-08-28,45.87,46.65,45.83,46.36,1173000,46.17
2013-08-27,46.71,46.98,45.89,45.96,1453800,45.77
2013-08-26,45.90,48.86,45.71,47.21,3523100,47.02
2013-08-23,45.62,45.85,45.01,45.84,807200,45.65
2013-08-22,45.12,45.65,44.85,45.36,1105600,45.18
2013-08-21,44.86,45.34,44.51,44.93,2951300,44.75
2013-08-20,44.49,45.39,44.31,45.09,775700,44.91
2013-08-19,44.92,45.05,44.28,44.47,1056500,44.29
2013-08-16,44.54,45.17,44.50,45.03,1236800,44.85
2013-08-15,45.55,46.56,44.63,44.73,1825300,44.55
2013-08-14,44.26,46.32,44.14,45.91,2626700,45.72
2013-08-13,44.19,44.44,43.95,44.29,1171300,44.11
2013-08-12,42.99,44.19,42.86,44.13,1256200,43.95
2013-08-09,43.40,43.70,43.05,43.26,917000,43.08
2013-08-08,43.70,44.08,43.37,43.49,1639500,43.31
2013-08-07,42.80,44.30,42.41,43.36,2472300,43.18
2013-08-06,45.01,45.39,43.97,44.91,1673300,44.73
2013-08-05,44.82,45.52,44.62,45.14,1188300,44.96
2013-08-02,44.48,45.02,43.90,44.80,706100,44.62
2013-08-01,45.42,45.98,44.50,44.63,2109400,44.45
2013-07-31,43.83,45.13,43.83,45.00,2135300,44.82
2013-07-30,42.10,44.61,41.85,43.71,2085100,43.53
2013-07-29,41.99,42.06,41.44,41.95,452400,41.78
2013-07-26,41.52,42.17,41.32,42.11,394500,41.94
2013-07-25,41.71,42.11,41.25,42.09,585300,41.92
2013-07-24,42.17,42.27,41.52,41.83,516500,41.66
2013-07-23,41.45,42.11,41.25,42.04,1314300,41.87
2013-07-22,41.29,41.57,41.00,41.44,361600,41.27
2013-07-19,41.35,41.58,41.05,41.26,606400,41.09
2013-07-18,40.81,41.63,40.59,41.44,744200,41.27
2013-07-17,40.67,41.10,40.19,40.77,786900,40.60
2013-07-16,41.02,41.15,40.27,40.57,793600,40.40
2013-07-15,41.19,41.37,40.92,41.08,529600,40.91
2013-07-12,41.00,41.40,40.72,41.06,709000,40.89
2013-07-11,40.73,41.24,40.60,41.14,1165000,40.97
2013-07-10,40.08,40.40,40.04,40.18,580200,40.02
2013-07-09,40.36,40.38,39.99,40.16,909900,40.00
2013-07-08,39.88,40.10,39.78,40.10,1031000,39.94
2013-07-05,39.70,39.74,39.13,39.54,669000,39.38
2013-07-03,38.43,39.12,38.35,39.07,359600,38.91
2013-07-02,38.49,38.97,38.44,38.81,1531400,38.65
2013-07-01,38.07,38.59,37.95,38.47,2667800,38.31
2013-06-28,37.90,38.45,37.64,37.91,2235900,37.76
2013-06-27,38.30,38.40,37.88,37.95,1171700,37.80
2013-06-26,37.78,38.28,37.02,37.76,2313500,37.61
2013-06-25,37.46,37.50,36.95,37.41,1428000,37.26
2013-06-24,36.76,37.38,36.35,37.00,1297800,36.85
2013-06-21,37.57,37.72,37.04,37.41,4163000,37.26
2013-06-20,38.35,38.35,37.02,37.42,1387800,37.27
2013-06-19,38.96,39.60,38.74,38.80,2359800,38.64
2013-06-18,38.56,38.86,38.28,38.36,692700,38.20
2013-06-17,38.58,38.80,38.40,38.58,737200,38.42
2013-06-14,37.95,38.32,37.72,38.07,575000,37.92
2013-06-13,37.21,38.12,36.87,38.05,703900,37.90
2013-06-12,38.27,38.47,37.14,37.32,1316400,37.17
2013-06-11,37.97,38.50,37.57,38.01,1081500,37.86
2013-06-10,38.99,39.09,38.50,38.87,1083700,38.71
2013-06-07,38.50,39.35,38.44,38.87,2158700,38.71
2013-06-06,37.68,38.18,37.47,38.14,1302700,37.98
2013-06-05,37.45,38.08,37.33,37.85,1859700,37.70
2013-06-04,37.63,38.10,37.39,37.64,1468100,37.49
2013-06-03,37.48,37.85,37.00,37.67,1192100,37.52
2013-05-31,37.29,37.88,37.04,37.25,574800,37.10
2013-05-30,37.24,37.77,37.07,37.56,705900,37.41
2013-05-29,36.78,37.51,36.53,37.11,845100,36.96
