Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,18.99,19.13,18.94,19.07,1179900,19.07
2014-01-28,18.83,19.13,18.82,19.10,1452700,19.10
2014-01-27,19.09,19.09,18.73,18.84,1575600,18.84
2014-01-24,19.09,19.11,18.88,18.92,1024200,18.92
2014-01-23,19.12,19.25,19.01,19.14,1164900,19.14
2014-01-22,18.93,19.15,18.91,19.15,1487800,19.15
2014-01-21,18.75,19.01,18.74,18.93,993400,18.93
2014-01-17,18.76,18.78,18.66,18.69,908500,18.69
2014-01-16,18.70,18.75,18.58,18.72,878900,18.72
2014-01-15,18.54,18.70,18.48,18.67,1543300,18.67
2014-01-14,18.40,18.52,18.34,18.47,990100,18.47
2014-01-13,18.48,18.54,18.30,18.37,967100,18.37
2014-01-10,18.35,18.54,18.33,18.48,1002800,18.48
2014-01-09,18.44,18.45,18.15,18.26,991600,18.26
2014-01-08,18.35,18.40,18.14,18.36,918700,18.36
2014-01-07,18.42,18.52,18.31,18.37,1210800,18.37
2014-01-06,18.40,18.44,18.24,18.29,1730600,18.29
2014-01-03,18.16,18.40,18.10,18.30,1145400,18.30
2014-01-02,18.09,18.23,17.98,18.11,1207900,18.11
2013-12-31,18.28,18.37,18.08,18.12,1051400,18.12
2013-12-30,18.26,18.40,18.20,18.29,617500,18.29
2013-12-27,18.26,18.30,18.07,18.27,657200,18.27
2013-12-26,18.50,18.62,18.35,18.45,943300,18.20
2013-12-24,18.43,18.63,18.43,18.51,645300,18.26
2013-12-23,18.48,18.62,18.42,18.45,1174100,18.20
2013-12-20,18.14,18.39,18.14,18.39,1176800,18.14
2013-12-19,18.34,18.38,18.11,18.14,1718800,17.89
2013-12-18,18.45,18.66,18.12,18.61,1134300,18.36
2013-12-17,18.18,18.39,18.08,18.31,1265200,18.06
2013-12-16,18.24,18.35,18.07,18.08,1331400,17.84
2013-12-13,18.05,18.34,17.98,18.23,1875100,17.98
2013-12-12,18.10,18.22,17.97,17.99,876300,17.75
2013-12-11,18.66,18.68,18.09,18.10,1958500,17.85
2013-12-10,18.77,18.86,18.64,18.65,838100,18.40
2013-12-09,18.77,18.82,18.62,18.74,961200,18.49
2013-12-06,18.73,18.85,18.66,18.78,1146100,18.53
2013-12-05,18.48,18.73,18.33,18.63,1358600,18.38
2013-12-04,18.61,18.80,18.46,18.54,1445800,18.29
2013-12-03,18.60,18.81,18.50,18.73,1208500,18.48
2013-12-02,18.57,18.70,18.30,18.58,1196400,18.33
2013-11-29,18.80,18.87,18.57,18.58,763500,18.33
2013-11-27,18.61,18.76,18.53,18.75,1169200,18.50
2013-11-26,18.90,18.90,18.57,18.63,1437200,18.38
2013-11-25,18.96,18.99,18.80,18.85,662500,18.59
2013-11-22,19.01,19.05,18.73,18.89,1317600,18.63
2013-11-21,18.94,19.01,18.75,19.01,844700,18.75
2013-11-20,19.03,19.25,18.78,18.87,715500,18.61
2013-11-19,19.12,19.17,18.93,19.02,1000100,18.76
2013-11-18,19.26,19.32,19.09,19.17,661700,18.91
2013-11-15,19.09,19.27,18.98,19.26,1390200,19.00
2013-11-14,18.94,19.22,18.94,19.02,605900,18.76
2013-11-13,18.77,18.94,18.70,18.94,834300,18.68
2013-11-12,18.94,18.96,18.62,18.80,1178100,18.55
2013-11-11,18.95,19.09,18.92,18.95,787200,18.69
2013-11-08,19.19,19.23,18.76,19.03,1442800,18.77
2013-11-07,19.42,19.45,19.17,19.28,1232600,19.02
2013-11-06,20.56,20.56,19.38,19.45,977200,19.19
2013-11-05,19.84,19.92,19.62,19.64,1078500,19.37
2013-11-04,19.96,19.98,19.74,19.97,630500,19.70
2013-11-01,19.96,20.00,19.64,19.95,938900,19.68
2013-10-31,19.91,20.06,19.75,19.92,1808200,19.65
2013-10-30,20.03,20.12,19.90,20.01,1124800,19.74
2013-10-29,20.04,20.20,19.83,20.07,1166500,19.80
2013-10-28,20.29,20.35,19.94,20.10,1153400,19.83
2013-10-25,20.00,20.40,19.90,20.30,1169800,20.02
2013-10-24,19.93,20.08,19.74,20.02,1558700,19.75
2013-10-23,19.70,19.94,19.50,19.93,1854500,19.66
2013-10-22,19.51,19.73,19.47,19.72,967700,19.45
2013-10-21,19.52,19.60,19.26,19.46,1031600,19.20
2013-10-18,19.67,19.71,19.38,19.58,915800,19.31
2013-10-17,19.25,19.68,19.17,19.63,1179500,19.36
2013-10-16,19.06,19.30,19.02,19.29,1009200,19.03
2013-10-15,19.04,19.14,18.92,18.95,786000,18.69
2013-10-14,19.00,19.12,18.89,19.09,1068400,18.83
2013-10-11,18.90,19.09,18.77,19.09,1405100,18.83
2013-10-10,18.66,18.98,18.65,18.94,1228400,18.68
2013-10-09,18.46,18.65,18.42,18.53,1204400,18.28
2013-10-08,18.63,18.70,18.41,18.42,1144100,18.17
2013-10-07,18.37,18.72,18.31,18.67,1025500,18.42
2013-10-04,18.45,18.63,18.38,18.46,1005600,18.21
2013-10-03,18.80,18.83,18.38,18.45,1559300,18.20
2013-10-02,18.82,18.91,18.66,18.86,1188300,18.60
2013-10-01,18.59,19.07,18.56,18.89,2653900,18.63
2013-09-30,18.68,18.81,18.48,18.59,1382000,18.34
2013-09-27,18.89,18.95,18.67,18.77,1155500,18.52
2013-09-26,18.87,18.96,18.69,18.92,1226600,18.66
2013-09-25,18.93,19.11,18.77,18.93,1184600,18.44
2013-09-24,19.13,19.23,18.89,18.90,1588200,18.41
2013-09-23,19.17,19.39,19.08,19.11,890500,18.62
2013-09-20,19.53,19.54,19.17,19.23,2615200,18.73
2013-09-19,19.70,19.80,19.45,19.45,1732700,18.95
2013-09-18,18.97,19.65,18.76,19.65,1954400,19.14
2013-09-17,18.92,19.13,18.84,18.95,879700,18.46
