Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,18.28,18.40,18.23,18.32,1627200,18.32
2014-01-28,18.37,18.38,18.22,18.30,3978300,18.30
2014-01-27,18.43,18.51,18.25,18.34,2230600,18.34
2014-01-24,18.48,18.55,18.19,18.45,1836800,18.45
2014-01-23,18.61,18.69,18.53,18.56,1320600,18.56
2014-01-22,18.78,18.79,18.67,18.67,3109800,18.67
2014-01-21,18.85,18.88,18.68,18.76,2235100,18.76
2014-01-17,18.81,18.92,18.73,18.78,2998900,18.78
2014-01-16,18.82,18.91,18.80,18.85,1025000,18.85
2014-01-15,18.68,18.76,18.67,18.68,1737300,18.68
2014-01-14,18.67,18.77,18.56,18.66,2107900,18.66
2014-01-13,18.74,18.83,18.61,18.63,1100500,18.63
2014-01-10,18.75,18.86,18.55,18.80,2006900,18.80
2014-01-09,18.79,18.86,18.64,18.70,1480200,18.70
2014-01-08,19.00,19.04,18.80,18.82,1988500,18.82
2014-01-07,19.27,19.28,19.03,19.03,2458800,19.03
2014-01-06,19.26,19.30,19.19,19.24,1153100,19.24
2014-01-03,19.24,19.31,19.22,19.27,1270900,19.27
2014-01-02,19.21,19.29,19.18,19.26,1888900,19.26
2013-12-31,19.19,19.34,19.19,19.25,917200,19.25
2013-12-30,19.20,19.27,19.19,19.22,1342400,19.22
2013-12-27,19.22,19.28,19.17,19.20,1258100,19.20
2013-12-26,19.30,19.42,19.22,19.26,657800,19.26
2013-12-24,19.33,19.40,19.20,19.23,891700,19.23
2013-12-23,19.42,19.45,19.14,19.30,1850500,19.30
2013-12-20,19.54,19.55,19.12,19.13,5673300,19.13
2013-12-19,19.32,19.40,19.31,19.34,857400,19.34
2013-12-18,19.35,19.58,19.27,19.39,1422600,19.39
2013-12-17,19.34,19.44,19.33,19.34,1159000,19.34
2013-12-16,19.47,19.53,19.35,19.36,681300,19.36
2013-12-13,19.30,19.56,19.20,19.38,928700,19.38
2013-12-12,19.27,19.32,19.19,19.23,799800,19.23
2013-12-11,19.32,19.39,19.28,19.30,2256900,19.30
2013-12-10,19.32,19.44,19.29,19.35,613600,19.35
2013-12-09,19.16,19.36,19.15,19.32,903200,19.32
2013-12-06,19.35,19.36,19.11,19.16,816000,19.16
2013-12-05,19.12,19.33,19.10,19.26,1197300,19.26
2013-12-04,19.01,19.17,19.01,19.13,887600,19.13
2013-12-03,19.16,19.20,19.05,19.10,2297200,19.10
2013-12-02,19.26,19.30,19.17,19.22,698900,19.22
2013-11-29,19.21,19.32,19.17,19.20,353900,19.20
2013-11-27,19.08,19.20,19.01,19.15,710000,19.15
2013-11-26,19.10,19.21,18.84,19.07,2073200,19.07
2013-11-25,18.96,19.20,18.96,19.20,629600,19.06
2013-11-22,18.96,19.05,18.96,19.04,1179000,18.90
2013-11-21,18.94,19.15,18.93,19.03,955700,18.89
2013-11-20,19.05,19.10,18.90,18.96,1593400,18.82
2013-11-19,19.08,19.17,18.99,19.00,862800,18.86
2013-11-18,19.02,19.13,19.00,19.13,537000,18.99
2013-11-15,19.10,19.14,18.98,19.00,538900,18.86
2013-11-14,19.13,19.18,19.05,19.11,324600,18.97
2013-11-13,18.96,19.16,18.91,19.11,867000,18.97
2013-11-12,19.03,19.08,18.94,19.03,1325100,18.89
2013-11-11,18.83,19.15,18.83,19.02,1339000,18.88
2013-11-08,18.91,18.97,18.80,18.89,1389200,18.75
2013-11-07,19.21,19.24,18.92,18.96,1442100,18.82
2013-11-06,19.03,19.25,18.89,19.21,1869000,19.07
2013-11-05,19.05,19.09,18.93,18.93,682800,18.79
2013-11-04,19.00,19.15,18.92,19.09,1310400,18.95
2013-11-01,18.75,18.97,18.68,18.95,967500,18.81
2013-10-31,18.89,18.94,18.70,18.71,954300,18.57
2013-10-30,18.83,18.87,18.74,18.81,616300,18.67
2013-10-29,18.71,18.91,18.71,18.84,842900,18.70
2013-10-28,18.76,18.85,18.70,18.72,807000,18.58
2013-10-25,18.72,18.88,18.63,18.81,810900,18.67
2013-10-24,18.71,18.75,18.61,18.74,1166200,18.60
2013-10-23,18.82,18.86,18.64,18.71,1265400,18.57
2013-10-22,19.07,19.07,18.90,18.92,920500,18.78
2013-10-21,19.06,19.06,18.90,19.02,468200,18.88
2013-10-18,18.89,19.09,18.89,19.04,664400,18.90
2013-10-17,18.78,18.95,18.74,18.94,1684800,18.80
2013-10-16,18.91,18.92,18.79,18.81,1059300,18.67
2013-10-15,18.82,18.91,18.79,18.82,1071400,18.68
2013-10-14,18.72,19.05,18.69,19.05,317000,18.91
2013-10-11,18.89,18.95,18.78,18.86,1472400,18.72
2013-10-10,18.85,18.97,18.72,18.91,1477600,18.77
2013-10-09,18.75,18.78,18.63,18.75,1448800,18.61
2013-10-08,18.83,18.98,18.70,18.77,2322400,18.63
2013-10-07,18.85,19.06,18.83,19.01,3378900,18.87
2013-10-04,18.84,19.05,18.77,19.00,1216300,18.86
2013-10-03,19.06,19.09,18.78,18.87,2375100,18.73
2013-10-02,19.02,19.11,18.94,19.06,2895400,18.92
2013-10-01,19.09,19.28,19.04,19.11,5546200,18.97
2013-09-30,19.45,19.58,18.94,19.07,24880100,18.93
2013-09-27,16.73,16.84,16.69,16.77,1096900,16.65
2013-09-26,16.83,17.01,16.75,16.80,937000,16.68
2013-09-25,16.85,16.92,16.72,16.78,749800,16.66
2013-09-24,17.20,17.20,16.82,16.83,900900,16.71
2013-09-23,17.02,17.15,16.95,17.05,854100,16.93
2013-09-20,17.21,17.30,17.03,17.03,1804800,16.91
2013-09-19,17.19,17.34,17.15,17.24,705900,17.11
2013-09-18,16.76,17.17,16.66,17.17,1136400,17.04
2013-09-17,16.77,16.94,16.71,16.75,882700,16.63
2013-09-16,16.59,16.99,16.59,16.75,1427500,16.63
2013-09-13,16.54,16.59,16.41,16.42,435900,16.30
2013-09-12,16.54,16.61,16.52,16.55,1117900,16.43
2013-09-11,16.44,16.64,16.44,16.57,519400,16.45
2013-09-10,16.51,16.63,16.38,16.49,1050900,16.37
2013-09-09,16.45,16.48,16.34,16.44,714900,16.32
2013-09-06,16.24,16.47,16.24,16.36,1236100,16.24
2013-09-05,16.07,16.15,15.99,16.09,1148300,15.97
2013-09-04,16.07,16.18,15.92,16.09,2930800,15.97
2013-09-03,16.89,16.89,15.98,16.07,1904600,15.95
2013-08-30,16.09,16.10,15.97,16.04,1031200,15.92
2013-08-29,15.91,16.07,15.89,16.05,1312000,15.93
2013-08-28,15.88,16.01,15.70,15.97,1082200,15.85
2013-08-27,16.11,16.23,15.95,15.95,1273500,15.69
2013-08-26,16.48,16.51,16.25,16.25,551400,15.99
2013-08-23,16.27,16.51,16.26,16.45,696400,16.19
2013-08-22,16.19,16.31,16.12,16.30,610900,16.04
2013-08-21,16.24,16.36,16.11,16.19,775300,15.93
2013-08-20,16.05,16.40,15.97,16.31,1034500,16.05
2013-08-19,16.12,16.24,15.94,16.02,948700,15.76
2013-08-16,16.31,16.51,16.15,16.15,2437800,15.89
2013-08-15,16.49,16.52,16.28,16.30,2407800,16.04
2013-08-14,16.59,16.67,16.52,16.55,727000,16.29
2013-08-13,16.81,16.81,16.63,16.63,1072400,16.36
2013-08-12,16.80,16.98,16.74,16.77,1149900,16.50
2013-08-09,16.75,16.95,16.72,16.88,475700,16.61
2013-08-08,16.78,16.87,16.62,16.74,1738900,16.47
2013-08-07,16.65,16.81,16.55,16.70,1797700,16.43
2013-08-06,16.73,16.80,16.62,16.73,1342500,16.46
2013-08-05,16.80,16.91,16.72,16.73,990100,16.46
2013-08-02,16.93,16.97,16.75,16.80,724600,16.53
2013-08-01,17.05,17.13,16.86,16.94,1253900,16.67
2013-07-31,17.13,17.19,16.83,16.93,1658600,16.66
2013-07-30,16.97,17.25,16.92,17.16,1453900,16.89
2013-07-29,17.11,17.24,16.92,16.96,526200,16.69
2013-07-26,17.03,17.17,16.79,17.13,1290300,16.86
2013-07-25,16.84,17.23,16.77,17.22,1105400,16.94
2013-07-24,17.36,17.36,16.81,16.91,1172700,16.64
2013-07-23,17.44,17.46,17.27,17.29,1979100,17.01
2013-07-22,17.41,17.41,17.20,17.34,1620600,17.06
