Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,53.57,54.44,53.15,53.95,2134200,53.95
2014-01-28,53.88,54.33,53.68,54.00,1295000,54.00
2014-01-27,54.19,54.43,53.26,53.68,1779500,53.68
2014-01-24,54.97,55.01,53.48,53.71,1643600,53.71
2014-01-23,56.34,56.52,55.10,55.64,1412000,55.64
2014-01-22,56.38,56.79,55.68,56.75,1116000,56.75
2014-01-21,56.26,56.46,55.21,56.11,1513600,56.11
2014-01-17,56.93,56.93,55.69,55.81,1930300,55.81
2014-01-16,56.02,56.94,55.93,56.93,1607500,56.93
2014-01-15,56.86,56.92,54.52,55.96,3576600,55.96
2014-01-14,55.94,56.83,55.78,56.78,1217400,56.78
2014-01-13,56.83,57.29,55.49,55.57,1347100,55.57
2014-01-10,56.56,56.94,56.26,56.75,883200,56.75
2014-01-09,56.45,56.99,55.86,56.30,1056800,56.30
2014-01-08,56.46,57.00,55.99,56.28,1466400,56.28
2014-01-07,55.46,56.43,55.33,56.38,1349300,56.38
2014-01-06,55.00,55.61,54.68,55.00,1292500,55.00
2014-01-03,54.96,55.13,54.50,54.89,1155100,54.89
2014-01-02,55.89,55.96,54.59,54.94,1301500,54.94
2013-12-31,55.91,56.45,55.69,55.91,902400,55.91
2013-12-30,55.67,56.14,55.32,55.96,772300,55.96
2013-12-27,55.73,55.99,55.49,55.83,696600,55.83
2013-12-26,56.17,56.29,55.43,55.75,1263300,55.75
2013-12-24,55.95,56.00,55.61,55.85,303500,55.85
2013-12-23,55.50,56.10,55.50,55.83,1104700,55.83
2013-12-20,54.78,55.11,54.48,55.02,2040000,55.02
2013-12-19,55.81,55.81,54.09,54.59,2264100,54.59
2013-12-18,55.18,55.86,53.78,55.86,2289500,55.86
2013-12-17,54.64,55.45,54.50,55.39,1340300,55.39
2013-12-16,108.00,109.50,107.50,109.39,1353200,54.69
2013-12-13,106.96,108.37,106.82,107.57,1008800,53.78
2013-12-12,105.92,107.15,105.12,106.75,1179200,53.38
2013-12-11,109.15,109.54,105.57,106.20,1497400,53.10
2013-12-10,107.35,109.07,107.35,108.96,1615800,54.48
2013-12-09,107.33,108.50,107.04,107.92,1196600,53.96
2013-12-06,107.12,107.27,106.29,107.07,1072800,53.53
2013-12-05,104.02,105.60,103.63,105.53,1517600,52.76
2013-12-04,104.13,105.27,103.42,104.30,1101600,52.15
2013-12-03,105.64,105.76,104.00,104.57,1432800,52.28
2013-12-02,107.52,107.89,105.75,106.02,1508400,53.01
2013-11-29,106.57,108.07,106.57,107.17,612000,53.58
2013-11-27,106.06,106.87,105.58,106.73,551600,53.37
2013-11-26,105.72,106.49,104.92,105.64,1389000,52.82
2013-11-25,106.68,106.68,104.99,105.75,894400,52.88
2013-11-22,106.32,106.77,105.48,106.16,1554000,53.08
2013-11-21,103.19,106.81,103.19,106.16,2383600,53.08
2013-11-20,102.27,103.47,101.97,102.53,1602400,51.26
2013-11-19,103.75,104.32,101.99,102.17,1813800,51.08
2013-11-18,104.57,105.62,103.64,103.83,1439800,51.92
2013-11-15,102.75,104.65,102.16,104.32,1604600,52.16
2013-11-14,101.90,102.50,100.71,102.10,1588600,51.05
2013-11-13,99.94,101.22,99.42,100.88,2238200,50.44
2013-11-12,101.04,101.46,99.72,100.42,1910400,50.21
2013-11-11,101.72,102.02,100.86,101.07,1357600,50.53
2013-11-08,100.81,101.98,100.37,101.25,2379800,50.62
2013-11-07,104.85,105.05,100.77,101.08,1785200,50.54
2013-11-06,103.86,105.02,103.09,104.07,1475400,52.03
2013-11-05,102.36,105.65,100.96,102.93,3341600,51.47
2013-11-04,102.91,103.37,102.33,103.00,1079800,51.50
2013-11-01,103.24,103.62,101.29,102.64,1116000,51.32
2013-10-31,100.92,104.35,100.79,103.13,1375400,51.56
2013-10-30,106.00,106.80,99.97,100.79,2817800,50.40
2013-10-29,106.23,106.53,104.55,104.90,1469000,52.33
2013-10-28,106.05,106.85,105.70,106.13,933400,52.94
2013-10-25,106.79,107.47,105.57,106.27,961000,53.01
2013-10-24,105.07,108.04,104.65,106.67,1525800,53.21
2013-10-23,106.06,106.22,104.29,105.79,973600,52.77
2013-10-22,105.48,106.92,105.23,106.55,1096400,53.15
2013-10-21,105.98,106.01,104.53,105.65,966400,52.70
2013-10-18,105.37,105.90,104.67,105.66,666000,52.70
2013-10-17,103.69,104.91,103.10,104.66,957200,52.21
2013-10-16,102.94,104.65,102.62,104.10,1091200,51.93
2013-10-15,102.95,103.00,101.37,101.84,888800,50.80
2013-10-14,102.19,103.26,101.35,103.00,787600,51.38
2013-10-11,101.41,103.08,101.17,102.90,1112600,51.33
2013-10-10,99.42,102.05,99.13,101.48,1830000,50.62
2013-10-09,98.27,98.81,96.25,97.98,2215600,48.87
2013-10-08,101.71,102.14,98.14,98.32,1596600,49.04
2013-10-07,101.93,102.74,101.53,101.62,871400,50.69
2013-10-04,101.89,104.18,101.55,103.49,1140600,51.62
2013-10-03,101.86,102.68,100.37,101.82,1048200,50.79
2013-10-02,100.60,102.37,100.33,102.31,1118000,51.03
2013-10-01,101.65,102.19,100.48,101.54,1025800,50.65
2013-09-30,99.94,101.69,99.59,101.39,1448600,50.57
2013-09-27,101.53,101.72,100.95,101.51,922400,50.63
2013-09-26,102.31,103.26,101.19,102.00,1252800,50.88
2013-09-25,102.41,102.56,101.12,102.18,895800,50.97
2013-09-24,101.11,103.09,101.01,102.32,1315800,51.04
2013-09-23,100.66,101.34,99.47,101.20,1065000,50.48
2013-09-20,101.25,102.48,100.70,100.86,1542400,50.31
2013-09-19,101.68,102.16,100.74,101.17,716200,50.46
2013-09-18,100.27,101.51,99.49,101.17,1494600,50.46
2013-09-17,100.33,100.93,99.30,100.48,1204800,50.12
2013-09-16,100.35,100.98,100.06,100.46,1311400,50.11
2013-09-13,98.64,99.23,97.74,99.09,891200,49.43
2013-09-12,99.33,99.42,97.69,98.31,994200,49.04
2013-09-11,99.62,100.22,98.59,99.54,1449000,49.65
2013-09-10,99.43,100.04,98.96,99.49,1636200,49.63
2013-09-09,97.91,98.75,97.91,98.48,1734600,49.12
2013-09-06,99.62,100.08,97.44,97.77,1650400,48.77
2013-09-05,99.56,100.31,99.17,99.28,1252400,49.52
2013-09-04,96.90,99.79,96.90,99.52,1537400,49.64
2013-09-03,97.86,98.64,96.07,96.81,972800,48.29
2013-08-30,97.85,98.04,95.75,96.58,1120800,48.17
2013-08-29,96.58,98.84,96.43,97.84,1091600,48.80
2013-08-28,94.96,97.12,94.29,96.69,1208400,48.23
2013-08-27,96.37,96.68,94.67,94.75,1347200,47.26
