Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,16.59,16.71,16.46,16.46,1588200,16.46
2014-01-28,16.60,16.94,16.59,16.65,1439000,16.65
2014-01-27,16.68,16.75,16.46,16.60,2304500,16.60
2014-01-24,16.87,16.89,16.68,16.68,2031700,16.68
2014-01-23,17.06,17.10,16.87,17.00,2237200,17.00
2014-01-22,17.42,17.45,17.17,17.20,2644200,17.20
2014-01-21,17.49,17.71,17.43,17.46,2347000,17.46
2014-01-17,17.53,17.59,17.39,17.45,1417900,17.45
2014-01-16,17.70,17.73,17.43,17.53,1915100,17.53
2014-01-15,17.68,17.81,17.59,17.77,4095800,17.77
2014-01-14,17.69,17.86,17.52,17.61,2166800,17.61
2014-01-13,18.18,18.25,17.58,17.62,3054900,17.62
2014-01-10,18.44,18.51,18.19,18.24,2156500,18.24
2014-01-09,18.77,18.77,18.27,18.45,2412400,18.45
2014-01-08,19.07,19.11,18.56,18.77,2801400,18.77
2014-01-07,19.26,19.27,19.00,19.08,1772700,19.08
2014-01-06,19.39,19.56,19.17,19.17,1484500,19.17
2014-01-03,19.40,19.60,19.19,19.34,3011200,19.34
2014-01-02,19.19,19.84,19.12,19.37,4654000,19.37
2013-12-31,18.88,18.97,18.75,18.84,1199400,18.84
2013-12-30,18.71,18.87,18.59,18.83,1148500,18.83
2013-12-27,18.75,18.96,18.57,18.69,1204200,18.69
2013-12-26,18.75,18.90,18.73,18.79,1037700,18.79
2013-12-24,18.73,18.90,18.67,18.71,696600,18.71
2013-12-23,18.68,18.84,18.53,18.69,1620300,18.69
2013-12-20,18.50,18.91,18.50,18.66,4628600,18.66
2013-12-19,18.70,18.87,18.43,18.52,2327300,18.52
2013-12-18,18.52,18.66,18.30,18.64,1972100,18.64
2013-12-17,18.56,18.65,18.43,18.47,1545800,18.47
2013-12-16,18.55,18.65,18.40,18.57,2479500,18.57
2013-12-13,18.38,18.62,18.35,18.55,2414000,18.55
2013-12-12,18.64,18.65,18.33,18.40,2326700,18.40
2013-12-11,18.53,18.90,18.52,18.68,3251100,18.68
2013-12-10,18.40,18.67,18.38,18.47,2223400,18.47
2013-12-09,18.30,18.58,18.28,18.46,1921700,18.46
2013-12-06,18.52,18.71,18.23,18.34,2585100,18.34
2013-12-05,18.59,18.68,18.38,18.50,3303800,18.50
2013-12-04,18.61,18.81,18.41,18.72,2777000,18.64
2013-12-03,18.51,18.80,18.50,18.77,2661600,18.69
2013-12-02,18.68,18.68,18.37,18.58,2967300,18.51
2013-11-29,18.61,18.78,18.50,18.69,1188700,18.62
2013-11-27,18.74,18.76,18.55,18.61,3014700,18.54
2013-11-26,18.00,18.76,18.00,18.65,4953400,18.58
2013-11-25,17.95,18.09,17.77,17.91,3419400,17.84
2013-11-22,18.25,18.29,17.73,17.90,3543300,17.83
2013-11-21,18.10,18.35,18.03,18.27,1366000,18.20
2013-11-20,18.18,18.31,18.04,18.12,1286300,18.05
2013-11-19,18.25,18.33,18.03,18.14,1607800,18.07
2013-11-18,18.19,18.34,18.13,18.30,2138500,18.23
2013-11-15,18.00,18.20,17.94,18.19,1504900,18.12
2013-11-14,17.94,18.10,17.77,18.05,693300,17.98
2013-11-13,17.66,18.02,17.66,17.96,1094400,17.89
2013-11-12,17.87,17.91,17.67,17.71,1214900,17.64
2013-11-11,17.36,17.93,17.36,17.81,1480700,17.74
2013-11-08,17.28,17.59,17.24,17.51,1646100,17.44
2013-11-07,17.43,17.59,17.24,17.24,2420300,17.17
2013-11-06,17.44,17.49,17.13,17.29,2139700,17.22
2013-11-05,17.30,17.59,17.07,17.41,2082500,17.34
2013-11-04,17.22,17.34,17.14,17.33,968700,17.26
2013-11-01,17.14,17.21,16.97,17.17,1029200,17.10
2013-10-31,17.17,17.26,16.97,17.15,1834300,17.08
2013-10-30,17.19,17.39,16.91,17.09,1576500,17.02
2013-10-29,17.12,17.28,17.01,17.23,2010900,17.16
2013-10-28,16.84,17.18,16.84,17.06,1431700,16.99
2013-10-25,16.73,16.88,16.67,16.88,967000,16.81
2013-10-24,16.61,16.76,16.49,16.74,810100,16.67
2013-10-23,16.45,16.62,16.36,16.62,1202700,16.55
2013-10-22,16.36,16.50,16.27,16.48,1476200,16.41
2013-10-21,16.43,16.50,16.22,16.34,1815500,16.27
2013-10-18,16.37,16.54,16.29,16.40,2440000,16.33
2013-10-17,16.41,16.47,16.23,16.27,1766700,16.20
2013-10-16,16.30,16.50,16.28,16.46,1897500,16.39
2013-10-15,16.35,16.37,16.10,16.23,1710500,16.16
2013-10-14,16.12,16.44,16.06,16.44,1550300,16.37
2013-10-11,16.22,16.30,15.86,16.22,2670200,16.16
2013-10-10,16.31,16.52,16.21,16.40,3417200,16.33
2013-10-09,16.15,16.23,16.02,16.12,2834200,16.06
2013-10-08,16.37,16.44,16.05,16.07,2477100,16.01
2013-10-07,16.48,16.53,16.37,16.40,3261800,16.33
2013-10-04,16.82,16.89,16.63,16.63,4164300,16.56
2013-10-03,17.04,17.19,17.00,17.08,4765600,17.01
2013-10-02,16.89,17.19,16.86,17.09,4219900,17.02
2013-10-01,16.72,17.02,16.72,16.99,3995000,16.92
2013-09-30,16.50,16.73,16.42,16.66,2187700,16.59
2013-09-27,16.60,16.73,16.53,16.66,2705900,16.59
2013-09-26,16.89,17.13,16.62,16.65,4226700,16.58
2013-09-25,17.07,17.15,16.80,16.89,3011400,16.82
2013-09-24,16.93,17.08,16.82,17.01,2382600,16.94
2013-09-23,16.90,17.07,16.78,16.93,2283300,16.86
2013-09-20,17.17,17.17,16.87,16.93,2631900,16.86
2013-09-19,17.14,17.27,17.06,17.10,1483800,17.03
2013-09-18,16.88,17.22,16.68,17.14,2255800,17.07
2013-09-17,17.10,17.39,16.82,16.89,3769100,16.82
2013-09-16,16.35,16.56,16.25,16.48,2608800,16.41
2013-09-13,16.08,16.22,15.99,16.16,1432900,16.10
2013-09-12,16.14,16.24,15.96,16.02,2342900,15.96
2013-09-11,16.21,16.30,16.10,16.24,1765700,16.12
2013-09-10,16.25,16.53,16.04,16.24,2539200,16.12
2013-09-09,15.75,16.19,15.75,16.14,3008700,16.02
2013-09-06,15.57,15.93,15.50,15.66,5705800,15.54
2013-09-05,15.52,15.74,15.51,15.54,3697100,15.43
2013-09-04,15.40,15.65,15.38,15.53,3357900,15.42
2013-09-03,15.75,15.90,15.35,15.41,3576600,15.30
2013-08-30,15.83,15.87,15.57,15.60,2463200,15.48
2013-08-29,15.88,15.92,15.57,15.84,4535600,15.72
2013-08-28,15.78,16.80,15.78,15.95,8597100,15.83
2013-08-27,15.43,15.56,15.27,15.33,2549800,15.22
2013-08-26,15.75,15.84,15.53,15.58,1519500,15.47
2013-08-23,15.52,15.76,15.37,15.75,2249200,15.63
2013-08-22,15.75,15.75,15.44,15.48,2099100,15.37
2013-08-21,15.92,15.92,15.59,15.72,2241500,15.60
2013-08-20,15.82,16.18,15.78,16.06,1745800,15.94
2013-08-19,15.87,15.95,15.72,15.72,1901300,15.60
2013-08-16,16.01,16.05,15.87,15.88,1677100,15.76
2013-08-15,16.15,16.15,15.95,16.08,1590600,15.96
2013-08-14,16.38,16.41,16.11,16.25,2338900,16.13
2013-08-13,16.53,16.61,16.36,16.50,1762700,16.38
2013-08-12,16.48,16.65,16.40,16.54,1714100,16.42
2013-08-09,16.47,16.65,16.44,16.55,1138500,16.43
2013-08-08,16.44,16.61,16.30,16.53,2798900,16.41
2013-08-07,16.45,16.57,16.26,16.34,2562500,16.22
2013-08-06,16.96,17.00,16.34,16.54,5844300,16.42
2013-08-05,17.29,17.62,17.24,17.53,1703400,17.40
2013-08-02,17.42,17.59,17.21,17.33,1187000,17.20
2013-08-01,17.22,17.59,17.22,17.53,2060300,17.40
2013-07-31,17.05,17.24,17.05,17.13,1036100,17.00
2013-07-30,16.91,17.08,16.91,17.04,1313200,16.91
2013-07-29,16.61,16.91,16.61,16.91,1613500,16.79
2013-07-26,16.76,16.82,16.55,16.67,1484400,16.55
2013-07-25,16.76,16.97,16.76,16.87,2663600,16.75
2013-07-24,16.83,16.94,16.77,16.82,1922200,16.70
2013-07-23,16.69,16.87,16.59,16.78,1713900,16.66
2013-07-22,16.79,16.79,16.55,16.66,1697400,16.54
2013-07-19,16.95,16.95,16.71,16.73,1599100,16.61
2013-07-18,16.70,16.94,16.69,16.72,1509500,16.60
2013-07-17,16.87,16.99,16.67,16.70,1319300,16.58
2013-07-16,17.00,17.03,16.76,16.86,1760100,16.74
2013-07-15,16.83,17.00,16.71,16.91,1864800,16.79
2013-07-12,17.09,17.15,16.72,16.84,1754900,16.72
2013-07-11,17.12,17.31,16.96,17.14,2333600,17.01
2013-07-10,16.94,17.04,16.73,16.87,2356700,16.75
2013-07-09,17.03,17.06,16.83,16.95,2276700,16.82
2013-07-08,16.83,17.04,16.75,16.97,2226100,16.84
2013-07-05,16.64,16.81,16.32,16.75,1273600,16.63
2013-07-03,16.39,16.51,16.22,16.48,1457600,16.36
2013-07-02,16.73,16.98,16.37,16.50,2533900,16.38
2013-07-01,17.11,17.26,16.71,16.73,2887900,16.61
2013-06-28,16.72,17.14,16.63,17.06,4201800,16.93
2013-06-27,16.27,16.77,16.25,16.73,4025100,16.61
2013-06-26,16.34,16.36,16.05,16.18,2009700,16.06
2013-06-25,15.99,16.31,15.88,16.22,2112200,16.10
2013-06-24,16.11,16.14,15.68,15.84,3262500,15.72
2013-06-21,16.66,16.66,16.27,16.37,3972400,16.25
2013-06-20,16.77,16.91,16.53,16.55,2559400,16.43
2013-06-19,16.97,17.22,16.83,16.90,2568300,16.78
2013-06-18,17.05,17.14,16.98,17.04,2834700,16.91
2013-06-17,17.04,17.21,16.96,17.06,2093500,16.93
2013-06-14,17.27,17.27,16.85,16.96,2202000,16.83
2013-06-13,16.93,17.38,16.86,17.27,2351200,17.14
2013-06-12,17.16,17.23,16.88,16.91,3321600,16.73
2013-06-11,17.40,17.45,17.05,17.06,4306100,16.88
2013-06-10,17.93,17.99,17.55,17.55,2690000,17.36
2013-06-07,18.11,18.16,17.81,17.93,1884100,17.74
2013-06-06,18.00,18.07,17.82,17.97,3136100,17.78
2013-06-05,17.97,18.17,17.83,18.00,3576600,17.81
2013-06-04,17.85,18.17,17.79,18.06,2311800,17.87
2013-06-03,18.01,18.06,17.65,17.86,2564700,17.67
2013-05-31,17.86,18.60,17.76,18.06,3296800,17.87
2013-05-30,17.94,18.12,17.69,17.87,3346500,17.68
2013-05-29,18.20,18.30,17.72,17.96,10288300,17.77
2013-05-28,19.39,19.49,19.04,19.34,3099200,19.13
2013-05-24,19.22,19.22,18.83,19.12,1522400,18.92
2013-05-23,19.43,19.54,19.21,19.44,1784800,19.23
2013-05-22,19.77,19.95,19.39,19.51,2257200,19.30
2013-05-21,19.69,19.83,19.53,19.73,1538600,19.52
2013-05-20,19.58,19.73,19.47,19.71,1996100,19.50
2013-05-17,19.32,19.70,19.28,19.63,2471200,19.42
2013-05-16,19.51,19.63,19.35,19.43,2446500,19.22
2013-05-15,19.30,19.60,19.26,19.58,2203000,19.37
2013-05-14,19.05,19.33,19.05,19.32,1316600,19.12
2013-05-13,19.31,19.33,18.95,19.05,1338300,18.85
2013-05-10,19.09,19.17,18.99,19.03,1615500,18.83
2013-05-09,18.85,19.37,18.85,19.02,2150100,18.82
2013-05-08,19.09,19.10,18.75,18.93,2534100,18.73
2013-05-07,18.39,19.19,18.19,19.18,3658600,18.98
2013-05-06,18.37,18.49,18.15,18.20,1191100,18.01
2013-05-03,18.21,18.54,18.20,18.38,1243800,18.19
2013-05-02,18.06,18.12,17.93,18.09,1026000,17.90
2013-05-01,18.22,18.29,18.03,18.06,2497900,17.87
2013-04-30,18.00,18.27,17.85,18.27,2084200,18.08
2013-04-29,17.91,18.02,17.89,18.01,2103500,17.82
2013-04-26,17.80,17.90,17.58,17.86,1691100,17.67
2013-04-25,17.29,17.95,17.24,17.82,2193500,17.63
2013-04-24,17.05,17.21,16.78,17.21,2197600,17.03
2013-04-23,17.25,17.33,16.85,17.03,2733200,16.85
2013-04-22,17.29,17.29,16.96,17.08,1589000,16.90
2013-04-19,16.85,17.45,16.59,17.24,3657700,17.06
2013-04-18,17.06,17.20,16.72,16.78,1558500,16.60
2013-04-17,17.18,17.19,16.90,17.03,3009000,16.85
2013-04-16,17.34,17.37,17.08,17.28,1806300,17.10
2013-04-15,17.80,17.82,17.20,17.24,3538000,17.06
2013-04-12,18.09,18.26,17.89,17.97,2062700,17.78
2013-04-11,17.80,18.21,17.80,18.14,3196800,17.95
2013-04-10,17.68,17.80,17.65,17.75,1233400,17.56
2013-04-09,17.84,17.89,17.49,17.67,1348300,17.48
2013-04-08,17.72,17.95,17.62,17.84,2177300,17.65
2013-04-05,17.46,17.81,17.45,17.78,2158100,17.59
2013-04-04,17.14,17.85,17.09,17.73,5452400,17.54
2013-04-03,16.92,17.17,16.87,17.14,3560400,16.96
2013-04-02,16.60,16.87,16.55,16.87,3354700,16.69
2013-04-01,16.79,16.91,16.57,16.60,3540600,16.42
2013-03-28,16.83,16.94,16.68,16.80,2525600,16.62
2013-03-27,16.84,16.87,16.54,16.82,2992400,16.64
2013-03-26,17.33,17.40,16.76,16.94,2954900,16.76
2013-03-25,17.42,17.49,17.24,17.33,1875900,17.15
2013-03-22,17.59,17.82,17.29,17.34,2384500,17.16
2013-03-21,17.46,17.54,17.25,17.50,2181300,17.31
2013-03-20,17.36,17.60,17.26,17.55,2156500,17.36
2013-03-19,17.88,17.92,17.13,17.20,4208100,17.02
2013-03-18,17.73,17.98,17.71,17.86,2279300,17.67
2013-03-15,18.21,18.26,17.89,17.89,2915800,17.70
2013-03-14,18.16,18.27,18.06,18.21,2704200,18.02
2013-03-13,17.78,18.04,17.78,18.00,1941700,17.75
2013-03-12,17.86,18.04,17.78,17.82,3041500,17.58
2013-03-11,17.59,17.97,17.57,17.92,4328400,17.68
2013-03-08,17.38,17.67,17.33,17.66,2327500,17.42
2013-03-07,17.50,17.56,17.18,17.26,2182500,17.02
2013-03-06,17.42,17.46,17.22,17.42,3477800,17.18
2013-03-05,17.28,17.34,17.11,17.24,2391800,17.00
2013-03-04,16.88,17.22,16.88,17.09,3843300,16.86
2013-03-01,16.93,17.20,16.80,16.96,6272200,16.73
2013-02-28,16.33,17.12,16.21,16.98,7095600,16.75
2013-02-27,16.36,16.77,16.31,16.41,4705700,16.19
2013-02-26,16.26,16.46,16.11,16.33,3659900,16.11
2013-02-25,16.75,16.91,16.17,16.17,5915200,15.95
2013-02-22,16.83,17.05,16.38,16.75,3523000,16.52
2013-02-21,17.00,17.00,16.55,16.77,3663600,16.54
2013-02-20,17.32,17.59,17.06,17.06,3698400,16.83
2013-02-19,17.36,17.45,17.05,17.31,2836900,17.07
2013-02-15,17.45,17.63,17.12,17.26,3427300,17.02
2013-02-14,17.47,17.62,17.34,17.44,1425400,17.20
2013-02-13,17.65,17.78,17.26,17.48,3230900,17.24
