Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,96.43,97.39,94.51,95.78,984700,95.78
2014-01-28,96.78,98.45,95.96,97.82,801800,97.82
2014-01-27,96.76,97.20,94.83,96.00,952600,96.00
2014-01-24,99.20,99.20,96.23,96.89,703300,96.89
2014-01-23,101.33,102.24,99.05,99.51,894200,99.51
2014-01-22,100.48,102.12,99.89,101.94,1333000,101.94
2014-01-21,98.92,100.83,98.64,99.39,1329500,99.39
2014-01-17,101.49,101.49,98.76,99.60,1365900,99.60
2014-01-16,99.20,101.71,99.07,100.80,996300,100.80
2014-01-15,99.69,100.68,99.13,99.64,1030000,99.64
2014-01-14,96.51,99.91,96.51,99.26,1178700,99.26
2014-01-13,99.64,99.64,95.33,95.63,1595600,95.63
2014-01-10,99.07,100.69,98.44,98.90,1210500,98.90
2014-01-09,100.63,101.40,97.50,98.71,1490700,98.71
2014-01-08,101.30,102.75,99.61,100.61,1416800,100.61
2014-01-07,101.16,103.34,100.89,101.10,1032600,101.10
2014-01-06,102.82,102.82,100.10,100.40,1158500,100.40
2014-01-03,103.25,104.24,101.24,102.62,1167400,102.62
2014-01-02,106.44,108.84,101.42,103.14,1815400,103.14
2013-12-31,106.76,108.26,105.82,108.00,438500,108.00
2013-12-30,108.29,108.91,106.08,106.46,672400,106.46
2013-12-27,106.93,108.71,105.63,108.26,434300,108.26
2013-12-26,106.57,107.63,105.56,106.28,383000,106.28
2013-12-24,106.28,107.12,105.86,106.57,278600,106.57
2013-12-23,106.88,107.71,106.09,106.50,846900,106.50
2013-12-20,105.00,107.25,104.73,106.47,973600,106.47
2013-12-19,102.81,105.56,102.49,104.96,1159900,104.96
2013-12-18,101.95,104.75,101.03,103.27,1096200,103.27
2013-12-17,100.80,102.45,99.75,101.68,855600,101.68
2013-12-16,100.48,101.59,99.74,100.72,899400,100.72
2013-12-13,98.95,100.39,97.21,100.14,1565900,100.14
2013-12-12,98.21,100.22,98.17,99.78,928900,99.78
2013-12-11,99.79,100.27,97.81,98.12,999400,98.12
2013-12-10,99.76,102.23,98.70,100.02,1562600,100.02
2013-12-09,99.81,100.50,97.62,98.99,1658000,98.99
2013-12-06,104.80,105.37,99.27,99.60,1634700,99.60
2013-12-05,103.76,105.25,103.46,103.90,747100,103.90
2013-12-04,103.89,105.89,102.67,105.04,1085700,105.04
2013-12-03,102.62,104.66,101.60,103.66,1598000,103.66
2013-12-02,104.70,104.70,101.87,102.82,966600,102.82
2013-11-29,104.03,104.95,101.56,103.93,570200,103.93
2013-11-27,106.35,107.85,103.73,104.17,841800,104.17
2013-11-26,105.32,108.03,103.75,107.43,1053700,107.43
2013-11-25,105.63,105.68,101.91,104.67,956200,104.67
2013-11-22,106.39,107.19,104.72,106.09,966100,106.09
2013-11-21,108.73,108.73,104.34,106.89,1017500,106.89
2013-11-20,107.33,107.65,103.42,104.24,1143300,104.24
2013-11-19,107.09,108.30,104.87,105.54,1350200,105.54
2013-11-18,111.33,111.35,106.02,107.09,864300,107.09
2013-11-15,112.15,112.37,109.74,110.90,733000,110.90
2013-11-14,111.43,111.52,107.92,111.14,1008100,111.14
2013-11-13,107.01,110.60,106.66,110.38,1099300,110.38
2013-11-12,112.13,112.13,106.42,107.23,1303600,107.23
2013-11-11,110.89,113.15,109.94,112.54,1500800,112.54
2013-11-08,107.85,111.47,107.01,110.20,2581600,110.20
2013-11-07,107.25,109.36,99.99,105.80,4086400,105.80
2013-11-06,112.35,114.41,106.86,106.88,2069400,106.88
2013-11-05,111.93,113.50,109.76,111.26,1616400,111.26
2013-11-04,108.64,113.06,108.25,112.17,1157800,112.17
2013-11-01,110.55,111.06,106.15,107.77,1714700,107.77
2013-10-31,111.79,112.35,108.08,110.61,1086600,110.61
