Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,66.08,66.46,65.87,66.28,2646200,66.28
2014-01-28,66.42,66.64,66.06,66.26,2380500,66.26
2014-01-27,65.96,66.75,65.85,66.42,2171700,66.42
2014-01-24,66.09,66.82,65.86,65.93,2383200,65.93
2014-01-23,66.72,67.00,66.07,66.40,2643500,66.40
2014-01-22,66.88,67.24,66.79,67.12,2148200,67.12
2014-01-21,66.49,66.94,66.38,66.88,2775200,66.88
2014-01-17,66.32,66.55,66.05,66.29,1947600,66.29
2014-01-16,66.24,66.55,65.85,66.48,1779500,66.48
2014-01-15,67.10,67.16,66.56,66.63,1613700,66.63
2014-01-14,67.20,67.43,66.82,67.11,1750500,67.11
2014-01-13,67.77,68.47,67.01,67.17,2852000,67.17
2014-01-10,66.77,67.82,66.64,67.78,3385000,67.78
2014-01-09,65.50,66.44,65.16,66.32,2961600,66.32
2014-01-08,64.53,65.13,64.28,64.76,2935500,64.76
2014-01-07,63.81,64.74,63.70,64.69,2196600,64.69
2014-01-06,63.64,63.81,63.25,63.52,1889000,63.52
2014-01-03,63.58,63.87,63.14,63.51,1739100,63.51
2014-01-02,64.61,64.64,63.44,63.58,2282100,63.58
2013-12-31,64.40,64.86,64.34,64.69,1386300,64.69
2013-12-30,64.39,64.83,64.13,64.39,1229800,64.39
2013-12-27,64.59,64.70,64.13,64.41,957700,64.41
2013-12-26,64.65,64.88,64.10,64.43,1077100,64.43
2013-12-24,64.31,64.92,63.93,64.65,916800,64.65
2013-12-23,64.60,65.07,64.05,64.12,2215800,64.12
2013-12-20,64.82,64.95,64.26,64.55,3804600,64.55
2013-12-19,64.67,64.67,63.70,64.50,1766200,64.50
2013-12-18,63.99,64.85,63.13,64.78,2489000,64.78
2013-12-17,63.80,64.15,63.51,63.88,1759000,63.88
2013-12-16,63.65,64.42,63.58,63.86,1654400,63.86
2013-12-13,63.47,63.91,63.38,63.58,1918400,63.58
2013-12-12,63.18,63.87,63.09,63.50,2525300,63.50
2013-12-11,63.50,63.68,63.06,63.25,1889200,63.25
2013-12-10,63.73,63.84,63.00,63.50,2476500,63.50
2013-12-09,64.42,64.42,63.52,63.74,1638000,63.74
2013-12-06,63.86,64.73,63.75,64.42,1765000,64.42
2013-12-05,63.90,63.90,63.26,63.45,2452700,63.45
2013-12-04,63.85,64.36,63.44,64.13,2141900,64.13
2013-12-03,64.29,64.86,64.00,64.79,3696700,64.23
2013-12-02,64.80,64.88,63.77,64.31,2912100,63.75
2013-11-29,65.00,65.62,64.77,64.91,1396200,64.35
2013-11-27,65.89,66.00,64.62,65.05,2885100,64.48
2013-11-26,66.50,66.57,65.53,65.90,3993100,65.33
2013-11-25,66.80,66.87,66.32,66.35,9847400,65.77
2013-11-22,66.75,66.91,66.43,66.62,8747500,66.04
2013-11-21,66.72,67.11,66.39,66.74,6287700,66.16
2013-11-20,67.72,67.83,66.48,66.63,2505100,66.05
2013-11-19,67.70,67.96,67.43,67.72,2120700,67.13
2013-11-18,67.49,67.97,67.19,67.80,2442000,67.21
2013-11-15,66.91,67.52,66.85,67.52,2078500,66.93
2013-11-14,66.51,67.25,66.30,67.06,1961700,66.48
2013-11-13,65.29,66.36,64.82,66.33,3555000,65.75
2013-11-12,65.52,65.90,65.25,65.65,2080400,65.08
2013-11-11,65.53,66.25,65.20,65.88,1990500,65.31
2013-11-08,65.12,65.47,64.01,65.41,3464300,64.84
2013-11-07,66.13,66.48,65.17,65.34,2786400,64.77
2013-11-06,64.90,66.05,64.76,66.03,3075900,65.46
2013-11-05,64.42,65.67,64.04,64.57,3635200,64.01
2013-11-04,64.37,64.37,63.64,63.99,2513200,63.43
2013-11-01,63.96,64.35,63.72,64.09,1881900,63.53
2013-10-31,64.13,64.34,63.22,63.75,1812900,63.20
2013-10-30,64.66,65.03,63.97,64.03,1561400,63.47
2013-10-29,64.51,64.81,64.24,64.70,1499100,64.14
2013-10-28,64.52,64.94,64.05,64.34,2149000,63.78
2013-10-25,64.00,64.69,63.74,64.66,1793800,64.10
2013-10-24,64.31,64.53,63.77,64.16,1151800,63.60
2013-10-23,64.24,64.72,63.92,64.23,1940700,63.67
2013-10-22,63.69,64.63,63.65,64.35,2111500,63.79
