Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,76.98,79.87,76.26,78.20,4700100,78.20
2014-01-28,76.04,78.97,75.27,77.87,4046600,77.87
2014-01-27,77.52,77.90,72.70,75.90,9406400,75.90
2014-01-24,83.68,83.68,76.50,79.87,10742200,79.87
2014-01-23,87.30,87.75,84.35,85.30,4639600,85.30
2014-01-22,86.00,88.70,86.00,88.26,3924100,88.26
2014-01-21,88.89,89.66,85.17,85.63,6520600,85.63
2014-01-17,93.33,93.38,90.10,90.53,3091400,90.53
2014-01-16,90.11,93.75,90.09,92.17,4275900,92.17
2014-01-15,88.57,90.30,85.51,89.76,7860200,89.76
2014-01-14,90.94,92.35,84.07,91.21,11520200,91.21
2014-01-13,94.73,95.51,90.26,91.58,4873300,91.58
2014-01-10,96.47,96.55,93.33,94.45,3734200,94.45
2014-01-09,96.28,97.10,93.66,96.04,3998900,96.04
2014-01-08,92.89,96.26,92.22,96.18,4911800,96.18
2014-01-07,94.69,95.14,90.66,92.80,5615600,92.80
2014-01-06,97.12,97.14,91.61,92.49,8079000,92.49
2014-01-03,95.00,97.28,94.11,96.42,5295300,96.42
2014-01-02,93.31,94.87,90.15,94.19,4287300,94.19
2013-12-31,92.74,93.30,91.61,92.93,2548200,92.93
2013-12-30,90.63,93.34,90.31,91.95,3091900,91.95
2013-12-27,93.31,95.40,89.70,90.79,5123700,90.79
2013-12-26,88.18,92.68,88.05,92.06,6231500,92.06
2013-12-24,89.16,89.40,85.62,86.07,5629800,86.07
2013-12-23,88.97,91.01,88.07,90.94,5189000,90.94
2013-12-20,83.92,87.27,83.65,86.42,7349900,86.42
2013-12-19,81.25,84.18,80.61,83.19,4218500,83.19
2013-12-18,81.55,82.00,79.20,81.99,3239000,81.99
2013-12-17,81.23,82.50,80.38,81.38,2867100,81.38
2013-12-16,81.16,82.00,79.85,81.29,3160700,81.29
2013-12-13,80.97,81.93,79.50,80.97,4199900,80.97
2013-12-12,77.51,80.65,77.46,80.36,4687800,80.36
2013-12-11,81.65,82.65,77.00,77.36,6092300,77.36
2013-12-10,77.16,81.08,76.86,80.48,6293800,80.48
2013-12-09,76.12,77.40,75.48,75.95,3040300,75.95
2013-12-06,76.84,77.13,74.40,75.38,3640300,75.38
2013-12-05,77.22,78.45,75.42,75.85,3380000,75.85
2013-12-04,78.94,79.69,76.12,77.64,4319000,77.64
2013-12-03,77.66,79.93,74.86,78.02,6377800,78.02
2013-12-02,76.10,78.34,75.52,76.89,4074400,76.89
2013-11-29,75.52,76.39,74.53,75.16,2057600,75.16
2013-11-27,73.73,75.80,73.32,74.81,3844600,74.81
2013-11-26,72.17,73.73,70.88,73.34,3529600,73.34
2013-11-25,74.59,74.59,69.51,72.08,4835500,72.08
2013-11-22,76.00,76.50,72.52,73.30,7175900,73.30
2013-11-21,68.72,73.40,68.62,72.19,7199400,72.19
2013-11-20,75.85,77.24,68.30,69.57,13448300,69.57
2013-11-19,79.48,81.60,72.55,75.51,11258100,75.51
2013-11-18,81.03,84.85,78.25,80.60,10037300,80.60
2013-11-15,79.32,80.48,78.25,80.17,4419600,80.17
2013-11-14,78.50,79.00,76.74,78.60,3851200,78.60
2013-11-13,76.32,79.33,75.69,78.12,6016200,78.12
2013-11-12,75.65,78.10,74.51,77.94,7420300,77.94
2013-11-11,70.85,77.50,70.31,76.10,9437300,76.10
2013-11-08,67.87,70.93,67.33,70.40,4251500,70.40
2013-11-07,69.87,71.00,67.17,67.86,4398700,67.86
2013-11-06,70.05,71.34,68.11,69.51,6131100,69.51
2013-11-05,65.23,70.49,65.05,70.01,9949300,70.01
2013-11-04,63.73,66.08,62.72,66.04,4074400,66.04
2013-11-01,62.50,63.13,61.29,63.01,4111100,63.01
2013-10-31,60.20,63.25,59.25,62.24,4101700,62.24
2013-10-30,59.78,61.88,59.35,60.93,5159000,60.93
2013-10-29,58.66,59.83,54.08,59.53,7805800,59.53
2013-10-28,59.22,59.22,56.50,56.98,4268100,56.98
2013-10-25,57.98,59.10,57.80,58.64,2843200,58.64
2013-10-24,57.09,58.17,57.01,57.70,2066100,57.70
2013-10-23,57.05,57.15,55.71,56.75,2417400,56.75
2013-10-22,57.74,58.46,55.85,57.29,2715300,57.29
2013-10-21,57.30,57.99,57.02,57.70,2569600,57.70
2013-10-18,57.03,57.40,55.70,56.77,3890000,56.77
2013-10-17,55.95,56.85,55.40,56.76,4005500,56.76
2013-10-16,53.97,55.50,53.71,55.25,3849100,55.25
2013-10-15,53.83,54.58,52.75,53.90,3936600,53.90
2013-10-14,52.61,54.15,52.32,53.72,2581500,53.72
2013-10-11,52.63,53.85,52.35,53.79,3827800,53.79
2013-10-10,51.13,52.94,50.68,52.50,5527700,52.50
2013-10-09,52.17,52.41,47.33,49.46,8251100,49.46
2013-10-08,54.00,54.66,51.61,51.94,3395400,51.94
2013-10-07,53.34,54.79,53.28,53.72,1946200,53.72
2013-10-04,54.36,54.68,53.56,54.14,1945100,54.14
2013-10-03,55.05,55.57,52.65,53.93,2717500,53.93
2013-10-02,55.08,55.53,54.59,55.22,2038900,55.22
2013-10-01,54.29,55.87,54.14,55.83,2713700,55.83
2013-09-30,53.49,54.48,52.53,53.99,3579000,53.99
2013-09-27,55.85,55.98,54.02,54.79,2661200,54.79
2013-09-26,55.41,56.08,54.95,55.69,2486800,55.69
2013-09-25,55.15,55.75,54.56,54.96,2377500,54.96
2013-09-24,54.20,56.23,53.08,55.15,4137200,55.15
2013-09-23,54.32,54.54,52.65,53.75,2781600,53.75
2013-09-20,54.54,54.85,52.75,53.49,4042200,53.49
2013-09-19,54.07,55.44,53.55,54.99,4349000,54.99
2013-09-18,53.40,54.20,52.50,53.65,3643900,53.65
2013-09-17,50.77,53.68,50.74,53.51,5237900,53.51
2013-09-16,51.82,51.82,49.78,50.06,2723200,50.06
