Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,14.62,14.71,14.54,14.63,2155400,14.63
2014-01-28,14.57,14.82,14.57,14.71,3392500,14.71
2014-01-27,14.84,14.94,14.48,14.53,4144500,14.53
2014-01-24,14.98,15.06,14.76,14.84,3099100,14.84
2014-01-23,15.05,15.09,14.96,15.01,2778100,15.01
2014-01-22,15.11,15.22,15.09,15.13,3430600,15.13
2014-01-21,15.01,15.17,14.97,15.05,2479400,15.05
2014-01-17,15.05,15.11,14.91,14.92,1844800,14.92
2014-01-16,15.14,15.19,15.07,15.10,1396400,15.10
2014-01-15,15.05,15.19,15.04,15.13,1083500,15.13
2014-01-14,14.97,15.17,14.94,15.01,1349700,15.01
2014-01-13,15.02,15.11,14.91,14.92,1615400,14.92
2014-01-10,15.09,15.21,14.93,15.02,2824100,15.02
2014-01-09,15.08,15.08,14.79,14.97,1662000,14.97
2014-01-08,15.09,15.22,14.94,15.03,3102300,15.03
2014-01-07,15.03,15.25,14.95,15.15,2448600,15.15
2014-01-06,15.18,15.25,14.89,14.95,4387500,14.95
2014-01-03,15.03,15.22,15.01,15.16,1769100,15.16
2014-01-02,15.25,15.25,14.97,15.05,2550500,15.05
2013-12-31,15.04,15.23,14.97,15.04,2402900,15.04
2013-12-30,14.92,15.08,14.90,15.05,1052400,15.05
2013-12-27,15.00,15.00,14.70,14.91,1374700,14.91
2013-12-26,14.95,15.09,14.77,14.85,1525600,14.85
2013-12-24,14.80,14.91,14.75,14.83,799300,14.83
2013-12-23,14.95,15.01,14.79,14.84,1785900,14.84
2013-12-20,14.64,14.93,14.62,14.91,3032000,14.91
2013-12-19,14.71,14.73,14.50,14.68,4385600,14.68
2013-12-18,14.47,14.82,14.36,14.79,4615100,14.79
2013-12-17,14.30,14.53,14.25,14.50,3603300,14.50
2013-12-16,14.34,14.40,14.20,14.30,3598000,14.30
2013-12-13,14.27,14.46,14.18,14.24,2797200,14.24
2013-12-12,14.40,14.42,14.18,14.18,3109000,14.18
2013-12-11,14.97,15.00,14.33,14.40,3020600,14.40
2013-12-10,15.04,15.21,14.98,14.98,3950100,14.98
2013-12-09,15.16,15.19,15.03,15.04,2275800,15.04
2013-12-06,15.00,15.18,15.00,15.13,2117400,15.13
2013-12-05,14.98,15.06,14.82,14.93,3515200,14.93
2013-12-04,15.01,15.18,14.93,15.00,2510400,15.00
2013-12-03,15.14,15.26,15.08,15.14,2124300,15.14
2013-12-02,15.13,15.21,14.94,15.16,2570400,15.16
2013-11-29,15.32,15.33,15.14,15.18,984300,15.18
