Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,11.60,11.64,11.44,11.51,1576800,11.51
2014-01-28,11.67,11.82,11.61,11.68,1589800,11.68
2014-01-27,11.94,11.94,11.58,11.64,1753500,11.64
2014-01-24,12.07,12.07,11.73,11.90,1580100,11.90
2014-01-23,11.94,12.21,11.74,12.16,4568000,12.16
2014-01-22,11.90,12.03,11.86,12.02,2911000,12.02
2014-01-21,11.86,11.93,11.86,11.87,1930800,11.87
2014-01-17,11.79,11.89,11.76,11.82,3616600,11.82
2014-01-16,11.73,11.85,11.71,11.83,2078500,11.83
2014-01-15,11.63,11.82,11.63,11.75,1725500,11.75
2014-01-14,11.51,11.72,11.50,11.65,1478600,11.65
2014-01-13,11.59,11.64,11.44,11.49,1318600,11.49
2014-01-10,11.46,11.65,11.44,11.60,2510800,11.60
2014-01-09,11.54,11.55,11.22,11.41,1752300,11.41
2014-01-08,11.46,11.55,11.33,11.49,1049300,11.49
2014-01-07,11.51,11.71,11.41,11.48,1351000,11.48
2014-01-06,11.70,11.70,11.45,11.50,1391100,11.50
2014-01-03,11.49,11.60,11.46,11.52,1448500,11.52
2014-01-02,11.54,11.58,11.38,11.51,1112200,11.51
2013-12-31,11.64,11.77,11.50,11.55,1554800,11.55
2013-12-30,11.60,11.69,11.54,11.65,871200,11.65
2013-12-27,11.60,11.63,11.48,11.63,628400,11.63
2013-12-26,11.68,11.83,11.63,11.69,994700,11.69
2013-12-24,11.71,11.80,11.59,11.63,738100,11.63
2013-12-23,11.65,11.76,11.57,11.67,1339900,11.67
2013-12-20,11.48,11.64,11.37,11.60,3276500,11.60
2013-12-19,11.61,11.61,11.29,11.40,2194800,11.40
2013-12-18,11.26,11.49,11.15,11.41,2390600,11.41
2013-12-17,11.19,11.35,11.10,11.26,1098100,11.26
2013-12-16,11.11,11.22,11.07,11.19,754900,11.19
2013-12-13,11.08,11.22,11.00,11.05,1224900,11.05
2013-12-12,10.87,11.10,10.78,11.03,1316400,11.03
2013-12-11,11.29,11.32,10.86,10.89,1185400,10.89
2013-12-10,11.31,11.38,11.22,11.30,1203200,11.30
2013-12-09,11.26,11.33,11.12,11.32,877100,11.32
2013-12-06,11.22,11.36,11.20,11.24,837900,11.24
2013-12-05,11.16,11.22,11.08,11.08,1384100,11.08
2013-12-04,11.02,11.24,10.86,11.19,1320400,11.19
2013-12-03,11.17,11.26,10.98,11.04,1641900,11.04
2013-12-02,11.40,11.47,11.15,11.22,1029900,11.22
2013-11-29,11.48,11.55,11.40,11.43,787300,11.43
2013-11-27,11.38,11.46,11.32,11.41,1136100,11.41
2013-11-26,11.33,11.46,11.26,11.36,1295700,11.36
2013-11-25,11.46,11.46,11.22,11.28,1440200,11.28
2013-11-22,11.51,11.51,11.22,11.45,1121200,11.45
2013-11-21,11.34,11.54,11.26,11.47,1148000,11.47
2013-11-20,11.39,11.54,11.24,11.28,1256800,11.28
2013-11-19,11.57,11.62,11.27,11.32,1947100,11.32
2013-11-18,11.77,11.80,11.58,11.60,1960200,11.60
2013-11-15,11.59,11.79,11.57,11.76,2072600,11.76
2013-11-14,11.52,11.69,11.52,11.62,771400,11.62
2013-11-13,11.45,11.56,11.37,11.51,1283600,11.51
2013-11-12,11.32,11.52,11.30,11.50,1772200,11.50
2013-11-11,11.21,11.41,11.10,11.37,1475700,11.37
2013-11-08,11.14,11.37,10.84,11.26,2502500,11.26
2013-11-07,11.50,11.51,11.24,11.36,2121100,11.36
2013-11-06,11.53,11.59,11.44,11.48,1858300,11.48
2013-11-05,11.60,11.63,11.40,11.47,2974200,11.47
2013-11-04,11.48,11.64,11.41,11.63,1869800,11.63
2013-11-01,11.38,11.50,11.26,11.42,1740400,11.42
2013-10-31,11.42,11.54,11.32,11.39,1636900,11.39
2013-10-30,11.60,11.60,11.45,11.45,1995900,11.45
2013-10-29,11.64,11.64,11.49,11.55,1329600,11.55
2013-10-28,11.75,11.75,11.50,11.64,1963900,11.64
2013-10-25,11.69,11.80,11.59,11.78,904900,11.78
2013-10-24,11.40,11.64,11.37,11.64,920100,11.64
2013-10-23,11.48,11.55,11.29,11.32,2522500,11.32
2013-10-22,11.63,11.76,11.49,11.52,2363100,11.52
2013-10-21,11.68,11.69,11.53,11.61,1288600,11.61
2013-10-18,11.46,11.68,11.45,11.65,2434100,11.65
2013-10-17,11.20,11.46,11.20,11.41,1779500,11.41
2013-10-16,11.17,11.32,11.17,11.22,2511200,11.22
2013-10-15,11.13,11.23,11.09,11.12,1674000,11.12
2013-10-14,10.97,11.18,10.90,11.18,2683100,11.18
2013-10-11,10.91,11.28,10.72,11.22,2734800,11.22
2013-10-10,10.76,10.94,10.67,10.93,2698800,10.93
2013-10-09,10.65,10.76,10.50,10.56,2962200,10.56
2013-10-08,10.86,10.95,10.62,10.64,2221500,10.64
2013-10-07,10.76,10.99,10.74,10.89,3522200,10.89
2013-10-04,10.79,10.92,10.72,10.87,2416500,10.87
2013-10-03,10.83,10.90,10.70,10.79,6189800,10.79
2013-10-02,10.85,10.97,10.84,10.89,2854400,10.89
2013-10-01,10.70,11.00,10.61,10.94,3722300,10.94
2013-09-30,10.47,10.67,10.43,10.67,2806000,10.67
2013-09-27,10.46,10.59,10.38,10.56,2654100,10.56
2013-09-26,10.59,10.68,10.46,10.53,1688700,10.53
2013-09-25,10.63,10.72,10.54,10.68,1083000,10.60
2013-09-24,10.69,10.76,10.55,10.61,1275100,10.53
2013-09-23,10.70,10.86,10.61,10.69,1221100,10.60
2013-09-20,10.94,10.94,10.67,10.69,2468700,10.60
2013-09-19,10.90,10.98,10.73,10.85,2213900,10.76
2013-09-18,10.51,11.07,10.41,10.89,2600200,10.80
2013-09-17,10.41,10.51,10.39,10.49,1542600,10.41
2013-09-16,10.51,10.64,10.33,10.41,2013900,10.33
2013-09-13,10.24,10.41,10.19,10.35,1330000,10.27
2013-09-12,10.28,10.40,10.23,10.24,1437700,10.16
2013-09-11,10.22,10.58,10.12,10.26,3627700,10.18
2013-09-10,9.93,10.08,9.86,9.99,2102600,9.91
2013-09-09,9.64,9.92,9.58,9.91,2778600,9.83
2013-09-06,9.69,9.75,9.58,9.64,1677700,9.56
2013-09-05,9.70,9.71,9.55,9.57,818300,9.49
2013-09-04,9.63,9.73,9.54,9.69,1733400,9.61
2013-09-03,9.80,9.80,9.52,9.61,1394800,9.53
2013-08-30,9.85,9.89,9.66,9.69,1456700,9.61
2013-08-29,9.81,9.88,9.77,9.87,1389500,9.79
2013-08-28,10.04,10.10,9.82,9.85,2133100,9.77
2013-08-27,10.17,10.33,10.03,10.08,1774900,10.00
2013-08-26,10.34,10.45,10.26,10.30,1290500,10.22
2013-08-23,10.16,10.43,10.15,10.35,1878400,10.27
2013-08-22,9.97,10.19,9.91,10.15,1940700,10.07
2013-08-21,9.90,10.13,9.72,9.95,2824900,9.87
2013-08-20,9.83,9.98,9.80,9.96,3114900,9.88
2013-08-19,9.90,9.97,9.80,9.82,2287800,9.74
2013-08-16,9.87,10.01,9.81,9.94,4342300,9.86
