Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,41.00,41.65,40.53,40.97,1025300,40.97
2014-01-28,40.58,41.40,40.58,41.15,2094600,41.15
2014-01-27,42.02,42.47,40.38,40.64,1419000,40.64
2014-01-24,84.50,84.61,82.67,83.75,1666200,41.88
2014-01-23,85.08,85.52,83.96,84.79,1253800,42.40
2014-01-22,84.23,85.62,83.85,84.88,1536400,42.44
2014-01-21,84.71,85.89,83.77,84.23,1341800,42.12
2014-01-17,84.85,86.21,83.77,84.10,1827400,42.05
2014-01-16,84.24,84.78,83.80,84.64,1588000,42.32
2014-01-15,84.42,84.73,83.68,84.05,1253000,42.03
2014-01-14,83.21,84.39,82.53,84.04,1717400,42.02
2014-01-13,82.71,84.44,82.70,82.86,2118600,41.43
2014-01-10,82.00,82.82,81.22,82.38,1713000,41.19
2014-01-09,78.90,82.24,78.68,82.00,2518600,41.00
2014-01-08,79.46,79.55,77.98,78.49,2816200,39.24
2014-01-07,80.28,80.64,78.92,79.06,1419600,39.53
2014-01-06,81.30,82.49,79.70,79.72,2757600,39.86
2014-01-03,81.84,82.60,80.64,80.82,936800,40.41
2014-01-02,81.31,81.88,79.82,81.39,2142800,40.69
2013-12-31,81.98,82.50,81.13,81.74,1260400,40.87
2013-12-30,81.30,82.90,81.01,82.05,955600,41.03
2013-12-27,82.17,82.45,81.14,81.45,816000,40.72
2013-12-26,82.10,82.96,81.37,82.05,953000,41.03
2013-12-24,82.15,82.55,81.85,82.08,639200,41.04
2013-12-23,81.81,85.15,81.51,82.49,3003000,41.24
2013-12-20,79.30,81.67,78.89,81.39,1453200,40.69
2013-12-19,78.61,79.96,77.96,79.14,1130400,39.57
2013-12-18,78.30,78.84,77.00,78.60,903800,39.30
2013-12-17,78.00,78.33,76.85,78.31,510000,39.15
2013-12-16,77.95,78.83,77.94,78.22,1009000,39.11
2013-12-13,76.27,78.21,75.91,77.94,1148800,38.97
2013-12-12,75.40,76.66,75.24,76.26,1346800,38.13
2013-12-11,76.98,76.98,75.26,75.68,1002800,37.84
2013-12-10,75.00,77.00,74.88,76.72,1642200,38.36
2013-12-09,74.91,75.26,74.37,74.80,997400,37.40
2013-12-06,75.00,75.37,74.48,74.99,1231000,37.49
2013-12-05,73.33,75.41,72.70,74.73,1611000,37.37
2013-12-04,73.50,74.31,72.77,73.42,3195000,36.71
2013-12-03,73.75,74.09,73.55,73.73,910400,36.87
2013-12-02,74.50,74.79,73.76,74.03,1239200,37.01
2013-11-29,74.68,75.22,74.60,74.77,342600,37.38
2013-11-27,75.46,75.70,74.08,74.78,1306000,37.39
2013-11-26,76.00,76.25,75.32,75.39,1328600,37.69
2013-11-25,75.96,76.26,75.18,76.02,2140000,38.01
2013-11-22,76.86,78.97,75.42,76.11,2785800,38.06
2013-11-21,73.79,77.33,73.49,76.73,2231000,38.37
2013-11-20,70.94,74.82,70.50,73.28,5596800,36.64
2013-11-19,70.35,70.35,68.73,69.36,2120600,34.68
2013-11-18,70.19,70.80,70.01,70.28,1239600,35.14
2013-11-15,69.25,70.93,69.25,70.11,2075600,35.06
2013-11-14,69.59,70.34,69.07,69.28,1389400,34.64
2013-11-13,70.00,70.31,68.97,69.21,1965800,34.60
2013-11-12,69.78,70.77,69.50,70.31,2029200,35.15
2013-11-11,69.00,70.40,68.61,70.10,2826800,35.05
2013-11-08,68.94,69.20,68.31,68.74,3346000,34.37
2013-11-07,68.86,70.30,68.60,69.23,4891800,34.62
2013-11-06,69.57,69.97,68.00,68.85,2586000,34.42
2013-11-05,68.08,69.47,67.67,69.01,2333000,34.51
2013-11-04,68.26,68.93,67.15,68.54,1816200,34.27
2013-11-01,67.80,68.99,67.50,68.19,2023400,34.10
2013-10-31,67.33,68.03,66.51,67.59,2488200,33.79
2013-10-30,69.00,69.00,67.78,68.00,1935000,33.66
2013-10-29,68.20,69.52,68.10,68.83,1188200,34.07
2013-10-28,68.75,68.78,67.13,68.07,1532400,33.70
2013-10-25,69.63,69.63,68.42,68.57,908600,33.95
2013-10-24,68.31,69.93,68.31,69.24,1345400,34.28
2013-10-23,68.56,68.75,67.22,68.37,515800,33.85
2013-10-22,67.58,68.71,66.73,68.48,1351200,33.90
2013-10-21,66.43,67.14,66.00,67.09,981400,33.21
2013-10-18,66.30,67.24,66.08,66.12,1655800,32.73
2013-10-17,66.06,66.53,65.69,66.10,1087400,32.72
2013-10-16,65.42,66.46,65.42,65.86,606800,32.60
2013-10-15,66.81,67.21,65.07,65.23,756200,32.29
2013-10-14,66.06,67.36,66.06,66.76,1127200,33.05
2013-10-11,66.13,66.82,65.85,66.61,960400,32.98
2013-10-10,65.72,67.30,65.72,66.11,1108200,32.73
2013-10-09,65.14,65.53,64.01,64.85,1036200,32.10
2013-10-08,66.18,66.18,65.07,65.28,866400,32.32
2013-10-07,66.02,67.07,65.00,66.18,834200,32.76
2013-10-04,66.13,67.56,65.85,66.51,1619600,32.93
2013-10-03,65.33,66.35,65.01,66.16,846400,32.75
2013-10-02,65.95,66.42,65.48,65.72,1615800,32.54
2013-10-01,65.97,66.42,65.62,66.26,2224400,32.80
2013-09-30,64.58,66.21,64.52,65.78,1746800,32.56
2013-09-27,63.34,65.95,63.10,64.90,2494200,32.13
2013-09-26,63.43,63.85,63.24,63.69,1140800,31.53
2013-09-25,62.95,63.37,62.01,63.18,928800,31.28
2013-09-24,61.62,63.50,61.50,62.68,1410800,31.03
2013-09-23,63.11,63.30,61.64,61.77,1947000,30.58
2013-09-20,64.65,64.87,63.03,63.21,1317400,31.29
2013-09-19,63.94,66.11,63.59,64.29,2206000,31.83
2013-09-18,63.02,63.64,62.29,63.47,1177200,31.42
2013-09-17,62.06,62.84,62.06,62.72,1062200,31.05
2013-09-16,62.96,63.43,62.02,62.27,895600,30.83
2013-09-13,63.31,63.39,62.63,62.70,667400,31.04
2013-09-12,63.40,63.53,62.94,63.13,790400,31.25
2013-09-11,63.86,64.31,63.00,63.24,2276800,31.31
2013-09-10,64.66,65.34,63.78,64.04,819000,31.70
2013-09-09,63.68,64.61,63.51,64.55,634800,31.96
2013-09-06,63.19,63.69,63.18,63.51,1205200,31.44
2013-09-05,63.50,63.67,62.86,63.00,1463600,31.19
2013-09-04,64.88,64.88,63.56,63.63,3067200,31.50
2013-09-03,65.24,65.39,63.91,64.66,1296000,32.01
2013-08-30,64.45,65.25,64.00,64.33,1427000,31.85
2013-08-29,63.80,64.99,63.77,64.41,981200,31.89
2013-08-28,63.92,64.95,63.58,63.77,1251000,31.57
2013-08-27,63.34,64.05,62.56,63.87,1435200,31.62
2013-08-26,63.50,63.50,62.76,63.03,1180200,31.20
2013-08-23,63.11,63.92,63.02,63.41,1382200,31.39
