Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,60.96,62.01,60.96,61.54,1935700,61.54
2014-01-28,61.25,61.66,60.87,61.12,1673800,61.12
2014-01-27,61.46,61.84,61.21,61.29,1791900,61.29
2014-01-24,61.50,62.35,61.15,61.28,1298100,61.28
2014-01-23,61.27,61.79,60.99,61.71,1524000,61.71
2014-01-22,62.15,62.49,61.34,61.55,1803500,61.55
2014-01-21,61.99,62.10,61.54,61.99,1395600,61.99
2014-01-17,61.60,61.77,61.31,61.61,932600,61.61
2014-01-16,61.23,61.57,61.09,61.38,1100300,61.38
2014-01-15,61.27,61.44,60.67,61.16,1999900,61.16
2014-01-14,60.89,61.36,60.83,61.14,2068900,61.14
2014-01-13,61.23,61.45,60.55,60.62,1988100,60.62
2014-01-10,60.92,62.18,60.82,61.06,2661000,61.06
2014-01-09,61.03,61.09,60.52,60.52,1628600,60.52
2014-01-08,61.14,61.28,60.60,60.85,1999800,60.85
2014-01-07,60.83,61.30,60.67,61.25,1496600,61.25
2014-01-06,60.61,60.94,60.40,60.67,1989900,60.67
2014-01-03,61.05,61.46,60.64,61.03,1748300,61.03
2014-01-02,63.35,63.39,61.71,61.84,1206600,61.84
2013-12-31,63.33,63.55,63.00,63.27,965800,63.27
2013-12-30,63.13,63.44,62.94,63.32,1152600,63.32
2013-12-27,62.48,62.87,62.37,62.83,731400,62.83
2013-12-26,62.63,62.97,62.27,62.37,583200,62.37
2013-12-24,62.49,63.08,62.36,62.73,395900,62.73
2013-12-23,62.74,63.08,62.28,62.54,1269000,62.54
2013-12-20,61.69,62.57,61.67,62.49,2855400,62.49
2013-12-19,62.00,62.12,61.13,61.56,986300,61.56
2013-12-18,61.53,62.42,60.77,62.21,1223000,62.21
2013-12-17,61.72,61.90,61.31,61.65,1209000,61.65
2013-12-16,61.29,62.16,61.28,61.89,1673600,61.89
2013-12-13,61.28,61.43,60.57,61.20,1242400,61.20
2013-12-12,60.85,61.67,60.84,61.22,1548900,61.22
2013-12-11,60.64,61.28,60.42,60.85,2492400,60.85
2013-12-10,62.11,62.20,60.22,61.30,4628900,61.30
2013-12-09,62.81,62.99,62.12,62.40,1317200,62.40
2013-12-06,62.56,63.34,62.40,63.01,1163100,63.01
2013-12-05,62.03,62.29,61.75,62.24,1215200,62.24
2013-12-04,61.67,62.39,61.60,62.16,987900,62.16
2013-12-03,62.01,62.15,61.55,61.97,1629600,61.97
2013-12-02,62.06,62.32,61.65,62.28,1578800,62.28
2013-11-29,61.77,62.27,61.62,61.89,557800,61.89
2013-11-27,61.95,62.23,61.60,61.75,1135100,61.75
2013-11-26,62.50,62.66,61.83,62.00,1520000,62.00
2013-11-25,62.68,62.94,62.40,62.52,864400,62.52
2013-11-22,62.75,62.88,62.39,62.53,1185200,62.53
2013-11-21,63.16,63.20,62.81,62.88,1011600,62.88
2013-11-20,63.62,63.62,62.80,62.83,1359900,62.83
2013-11-19,63.64,63.71,63.06,63.28,990400,63.28
2013-11-18,63.87,63.91,63.50,63.55,995200,63.55
2013-11-15,63.29,63.87,63.16,63.67,1170500,63.67
2013-11-14,63.00,63.55,62.81,63.43,893000,63.43
2013-11-13,62.55,62.80,62.02,62.79,1090700,62.79
2013-11-12,63.20,63.29,62.61,63.01,1767700,63.01
2013-11-11,63.74,63.74,62.94,63.22,1944800,63.22
2013-11-08,64.21,64.43,63.32,64.42,1065500,64.42
2013-11-07,65.16,65.42,64.36,64.40,1367500,64.40
2013-11-06,64.36,65.09,64.22,64.90,1428200,64.90
2013-11-05,64.13,64.42,63.82,64.01,1625500,64.01
2013-11-04,65.42,65.49,64.69,64.97,1373900,64.14
2013-11-01,64.92,65.28,64.77,65.14,1214300,64.31
2013-10-31,65.31,65.38,64.38,64.72,1519600,63.89
2013-10-30,66.21,66.53,65.30,65.46,1708100,64.62
2013-10-29,67.69,67.69,65.50,66.06,3500800,65.22
2013-10-28,68.14,68.56,67.82,68.11,1534900,67.24
2013-10-25,67.99,68.31,67.36,68.27,1030500,67.40
2013-10-24,68.09,68.28,67.49,68.10,1035700,67.23
2013-10-23,67.36,68.63,67.33,68.13,1617300,67.26
2013-10-22,66.26,67.65,66.16,67.53,1248100,66.67
2013-10-21,66.38,66.78,65.75,66.14,896500,65.30
2013-10-18,66.66,66.74,66.04,66.35,1265500,65.50
2013-10-17,64.95,66.74,64.47,66.59,1163700,65.74
2013-10-16,64.07,65.04,64.07,65.02,1229400,64.19
2013-10-15,64.86,64.91,63.58,63.67,1195900,62.86
2013-10-14,65.13,65.27,64.05,64.86,759100,64.03
2013-10-11,64.94,65.37,64.77,65.30,626800,64.47
2013-10-10,64.50,65.30,63.69,65.11,1123600,64.28
2013-10-09,63.73,65.26,63.30,64.21,1490900,63.39
2013-10-08,63.35,64.15,63.25,63.55,805300,62.74
2013-10-07,63.18,63.92,63.16,63.45,656400,62.64
2013-10-04,63.41,63.62,63.29,63.48,1103000,62.67
2013-10-03,63.72,63.82,63.10,63.51,1145400,62.70
2013-10-02,63.51,64.14,63.03,64.03,1229200,63.21
2013-10-01,63.39,64.00,63.20,63.68,876300,62.87
2013-09-30,63.02,63.65,62.95,63.19,1010000,62.38
2013-09-27,63.45,64.02,63.00,63.32,527100,62.51
2013-09-26,63.73,64.18,63.44,63.62,889000,62.81
2013-09-25,64.08,64.30,63.51,63.63,885500,62.82
2013-09-24,64.27,64.84,63.91,63.98,1009600,63.16
2013-09-23,63.35,64.93,63.22,64.44,1136800,63.62
2013-09-20,65.00,65.14,63.39,63.63,1519200,62.82
2013-09-19,65.64,65.80,64.69,65.02,741800,64.19
2013-09-18,63.96,65.83,63.70,65.67,1228300,64.83
2013-09-17,63.88,64.18,63.60,63.80,659400,62.98
2013-09-16,63.88,64.34,63.40,63.77,1395400,62.96
2013-09-13,62.81,63.50,62.71,63.09,1187200,62.28
2013-09-12,62.94,63.03,62.19,62.29,837100,61.49
2013-09-11,63.12,63.12,62.11,62.87,2228600,62.07
2013-09-10,63.23,63.27,62.56,63.27,1278100,62.46
2013-09-09,62.85,63.13,62.40,63.03,1096300,62.22
2013-09-06,62.41,63.27,62.41,62.92,1646800,62.12
2013-09-05,62.03,62.59,61.95,62.04,1152500,61.25
2013-09-04,62.40,62.59,61.66,62.15,1441600,61.36
2013-09-03,63.48,63.63,62.44,62.54,1297300,61.74
2013-08-30,63.31,63.78,63.01,63.23,1206800,62.42
2013-08-29,62.71,63.21,62.31,63.02,1626300,62.21
2013-08-28,62.59,62.87,61.88,62.31,1462100,61.51
2013-08-27,62.48,63.33,62.25,62.56,1822200,61.76
2013-08-26,63.90,64.15,62.87,63.07,1270100,62.26
2013-08-23,63.55,64.35,63.46,63.94,740900,63.12
2013-08-22,62.99,63.81,62.75,63.34,941300,62.53
2013-08-21,63.85,63.85,62.92,62.95,1327700,62.15
2013-08-20,63.56,64.57,63.55,63.99,1260500,63.17
2013-08-19,64.58,64.78,63.37,63.54,1361000,62.73
2013-08-16,65.72,65.72,64.29,64.59,2988100,63.76
2013-08-15,65.43,66.15,65.43,65.76,1667300,64.92
2013-08-14,66.49,66.49,65.30,66.23,1535300,65.38
2013-08-13,66.08,66.55,65.53,65.71,1546000,64.87
2013-08-12,66.77,66.89,65.58,66.14,1712400,65.30
2013-08-09,69.16,70.05,66.50,66.90,3560400,66.05
2013-08-08,68.77,69.69,68.52,69.16,1402300,68.28
2013-08-07,66.75,69.10,66.50,68.77,2144100,67.89
2013-08-06,66.55,67.05,66.47,66.86,2138200,66.01
2013-08-05,68.11,68.17,67.48,67.53,1138800,65.85
2013-08-02,67.92,68.27,67.74,68.19,920100,66.49
2013-08-01,67.76,68.20,67.38,67.89,1326200,66.20
2013-07-31,69.38,69.85,67.34,67.50,2311700,65.82
2013-07-30,70.76,71.77,69.10,69.60,2334200,67.87
2013-07-29,70.04,70.88,70.04,70.53,3703900,68.77
2013-07-26,70.02,70.32,69.49,70.13,5783700,68.38
2013-07-25,70.16,70.59,69.49,70.09,5862800,68.34
2013-07-24,72.17,72.17,70.02,70.42,1243600,68.67
2013-07-23,72.29,72.60,71.55,72.33,949700,70.53
2013-07-22,71.94,72.58,71.90,72.35,919900,70.55
2013-07-19,71.72,72.19,71.26,71.91,1033800,70.12
2013-07-18,70.87,71.80,70.87,71.77,992300,69.98
2013-07-17,71.42,71.52,70.45,70.64,637500,68.88
2013-07-16,71.44,71.72,70.64,71.02,860100,69.25
2013-07-15,70.98,71.97,70.79,71.60,1085600,69.82
2013-07-12,71.29,71.29,70.43,70.89,729700,69.12
2013-07-11,70.32,71.32,70.30,71.31,987000,69.53
2013-07-10,69.13,70.01,68.75,69.70,870300,67.96
2013-07-09,69.37,69.71,68.35,69.14,1803900,67.42
2013-07-08,68.29,69.11,68.04,68.95,870500,67.23
2013-07-05,69.24,69.29,67.43,68.06,862800,66.36
2013-07-03,69.06,69.63,68.87,69.29,628100,67.56
2013-07-02,69.30,70.18,69.04,69.35,1264600,67.62
2013-07-01,69.94,70.00,68.84,69.34,1236700,67.61
2013-06-28,69.90,70.11,69.26,69.68,1320400,67.94
2013-06-27,70.39,71.59,69.91,70.05,1333700,68.31
2013-06-26,69.47,70.52,69.18,70.28,1032100,68.53
2013-06-25,68.60,69.59,68.11,69.16,1179400,67.44
2013-06-24,67.55,68.54,66.90,68.11,1257800,66.41
2013-06-21,66.64,68.42,66.31,68.13,1969200,66.43
2013-06-20,67.84,68.10,66.25,66.37,1328200,64.72
2013-06-19,69.22,70.10,68.25,68.25,1089200,66.55
2013-06-18,68.57,69.56,68.17,69.17,853500,67.45
2013-06-17,68.67,69.75,68.21,68.62,1104000,66.91
2013-06-14,68.70,69.37,68.41,68.47,937600,66.76
2013-06-13,67.68,68.93,67.18,68.88,950100,67.16
2013-06-12,69.05,69.23,67.30,67.71,1107600,66.02
2013-06-11,69.12,69.54,68.64,68.66,792200,66.95
2013-06-10,69.29,69.88,68.75,69.57,1607700,67.84
2013-06-07,68.27,68.98,67.49,68.19,1107000,66.49
2013-06-06,67.48,68.11,67.09,68.01,890600,66.32
2013-06-05,68.05,68.21,67.23,67.39,1025700,65.71
2013-06-04,69.55,69.68,68.13,68.24,1528000,66.54
2013-06-03,69.18,70.48,68.16,69.71,1451300,67.97
2013-05-31,69.07,70.48,68.88,68.88,1254200,67.16
2013-05-30,68.81,70.21,68.81,69.10,1122100,67.38
2013-05-29,68.99,69.25,68.35,68.59,1707700,66.88
2013-05-28,68.73,70.66,68.54,69.50,2140300,67.77
2013-05-24,68.87,69.17,68.41,68.94,773500,67.22
