Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,28.06,28.26,27.95,28.19,6105400,28.19
2014-01-28,28.39,28.42,27.90,28.10,5937900,28.10
2014-01-27,28.45,28.45,28.08,28.20,8275000,28.20
2014-01-24,28.21,29.16,28.20,28.27,13769700,28.27
2014-01-23,27.98,28.40,27.92,28.32,8749000,28.32
2014-01-22,27.70,28.17,27.66,28.13,7702700,28.13
2014-01-21,27.27,27.78,27.24,27.77,7407300,27.77
2014-01-17,27.48,27.55,27.06,27.20,4560900,27.20
2014-01-16,26.87,27.44,26.81,27.41,5250000,27.41
2014-01-15,26.89,27.08,26.72,26.77,4730800,26.77
2014-01-14,26.99,27.24,26.85,26.89,5425400,26.89
2014-01-13,27.14,27.18,26.88,26.98,4403100,26.98
2014-01-10,27.16,27.59,27.10,27.17,5591900,27.17
2014-01-09,26.88,27.10,26.80,27.03,5646400,27.03
2014-01-08,26.99,27.09,26.76,26.87,5820200,26.87
2014-01-07,26.97,27.00,26.69,26.93,7045500,26.93
2014-01-06,26.61,26.86,26.55,26.79,7416700,26.79
2014-01-03,26.90,26.97,26.45,26.62,10155900,26.62
2014-01-02,27.46,27.58,27.16,27.17,4981900,27.17
2013-12-31,27.54,27.68,27.28,27.39,5990800,27.39
2013-12-30,27.16,27.55,27.16,27.48,6644300,27.48
2013-12-27,27.25,27.45,27.13,27.15,5190800,27.15
2013-12-26,27.36,27.45,27.16,27.19,4314000,27.19
2013-12-24,27.05,27.35,27.05,27.29,3008500,27.29
2013-12-23,27.35,27.56,27.09,27.14,7455300,27.14
2013-12-20,27.26,27.69,27.07,27.26,15041900,27.26
2013-12-19,27.74,27.77,27.12,27.22,8965000,27.22
2013-12-18,27.72,27.96,27.24,27.93,8901400,27.93
2013-12-17,27.76,27.85,27.59,27.73,6953500,27.73
2013-12-16,27.69,28.02,27.69,27.78,7410400,27.78
2013-12-13,27.87,28.04,27.53,27.70,5259400,27.70
2013-12-12,27.92,28.16,27.76,27.90,6389700,27.90
2013-12-11,28.16,28.28,27.92,28.01,8717500,28.01
2013-12-10,28.47,28.48,28.10,28.20,8036900,28.20
2013-12-09,28.43,28.50,28.12,28.47,7622300,28.47
2013-12-06,27.88,28.47,27.80,28.44,10564800,28.44
2013-12-05,27.68,27.81,27.12,27.81,8978100,27.81
2013-12-04,27.31,27.75,27.21,27.70,6298900,27.70
