Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,62.97,63.34,62.29,62.42,1183700,62.42
2014-01-28,63.48,63.73,62.99,63.14,1414900,63.14
2014-01-27,61.59,63.89,61.59,63.52,1219200,63.52
2014-01-24,64.10,64.10,62.89,62.95,1349300,62.95
2014-01-23,64.33,64.61,64.01,64.27,1125300,64.27
2014-01-22,64.72,64.80,64.20,64.76,1494200,64.76
2014-01-21,65.93,66.37,64.27,64.52,2578100,64.52
2014-01-17,64.43,68.57,64.01,65.56,7818200,65.56
2014-01-16,64.30,65.21,64.16,64.81,2891300,64.81
2014-01-15,64.39,65.69,64.05,65.27,1868300,65.27
2014-01-14,63.90,64.43,63.26,64.42,4394900,64.42
2014-01-13,67.20,67.28,64.83,65.00,3107300,65.00
2014-01-10,64.55,67.88,63.85,67.48,6921400,67.48
2014-01-09,61.09,65.33,60.89,64.97,10174700,64.97
2014-01-08,65.36,66.51,64.73,66.34,2806300,66.34
2014-01-07,65.68,66.23,64.94,65.40,3359800,65.40
2014-01-06,66.31,66.78,65.74,65.74,2617600,65.74
2014-01-03,66.23,66.80,65.60,66.41,1474000,66.41
2014-01-02,65.04,66.41,64.97,66.06,1154000,66.06
2013-12-31,65.42,66.18,64.86,64.97,1271300,64.97
2013-12-30,65.03,65.65,64.68,65.44,955300,65.44
2013-12-27,65.17,65.52,64.83,64.99,578700,64.99
2013-12-26,65.52,65.52,64.71,64.95,556900,64.95
2013-12-24,65.28,66.04,65.21,65.55,372500,65.55
2013-12-23,64.55,65.47,64.46,65.33,1283700,65.33
2013-12-20,63.90,64.55,63.63,64.49,1767200,64.49
2013-12-19,63.68,63.84,63.19,63.58,807200,63.58
2013-12-18,63.60,64.01,62.84,63.94,1136300,63.94
2013-12-17,63.68,64.00,63.50,63.67,884800,63.67
2013-12-16,64.07,64.36,63.16,63.68,1080900,63.68
2013-12-13,64.13,64.72,63.70,63.96,2001100,63.96
2013-12-12,64.63,64.75,63.92,64.20,1424200,64.20
2013-12-11,65.15,65.35,64.58,64.66,1268100,64.66
2013-12-10,65.72,65.90,65.22,65.36,964100,65.10
2013-12-09,66.08,66.44,65.26,65.69,1174600,65.43
2013-12-06,66.92,66.99,65.20,65.98,1972800,65.72
2013-12-05,69.55,69.95,67.05,67.60,1777100,67.33
2013-12-04,69.00,69.26,68.39,69.14,1051200,68.86
2013-12-03,69.28,69.48,68.82,69.14,1057800,68.86
2013-12-02,69.73,70.01,68.96,69.32,1260100,69.04
2013-11-29,70.14,70.83,69.60,69.77,529100,69.49
2013-11-27,70.55,70.93,69.99,70.14,574300,69.86
2013-11-26,70.92,71.08,69.99,70.53,1712700,70.25
2013-11-25,70.68,71.75,70.47,70.83,816800,70.55
2013-11-22,70.10,70.65,69.96,70.54,495700,70.26
2013-11-21,69.05,70.47,68.32,70.22,1025000,69.94
2013-11-20,70.59,70.85,69.79,69.99,744000,69.71
2013-11-19,70.02,71.43,69.80,70.39,1309700,70.11
2013-11-18,70.08,70.50,69.56,70.06,992000,69.78
2013-11-15,69.86,70.08,69.05,70.02,1079900,69.74
2013-11-14,69.48,70.06,69.05,69.93,898300,69.65
2013-11-13,68.61,69.65,68.39,69.63,913500,69.35
2013-11-12,68.60,68.81,68.28,68.70,516100,68.43
2013-11-11,67.27,68.95,67.14,68.54,763200,68.27
2013-11-08,67.62,67.65,66.94,67.50,1214600,67.23
2013-11-07,68.92,69.10,67.41,67.60,1089500,67.33
2013-11-06,69.06,69.08,68.08,68.66,798500,68.39
2013-11-05,69.76,69.90,68.88,69.09,848000,68.82
2013-11-04,70.00,70.82,69.54,69.76,755900,69.48
2013-11-01,69.01,69.79,69.01,69.55,668800,69.27
2013-10-31,69.31,69.48,68.85,68.88,827500,68.61
2013-10-30,69.38,69.73,68.58,69.24,517200,68.96
2013-10-29,69.54,69.81,69.03,69.33,928700,69.05
2013-10-28,69.79,69.95,69.16,69.25,947500,68.97
2013-10-25,69.34,69.63,69.12,69.58,1208000,69.30
2013-10-24,69.93,70.13,69.18,69.21,1143300,68.93
2013-10-23,69.72,70.12,69.42,69.89,762100,69.61
2013-10-22,69.92,70.90,69.73,69.80,1008100,69.52
2013-10-21,69.60,69.94,68.88,69.80,1221200,69.52
2013-10-18,70.90,70.90,69.40,69.56,1910300,69.28
2013-10-17,69.01,70.97,69.01,70.97,1711400,70.69
2013-10-16,69.09,69.65,68.94,69.41,1178600,69.13
2013-10-15,69.81,69.98,68.91,68.92,1116600,68.65
2013-10-14,69.06,70.23,68.76,69.63,1119100,69.35
2013-10-11,69.27,70.25,69.20,69.71,1078200,69.43
2013-10-10,69.38,69.75,68.81,69.60,1941700,69.32
2013-10-09,67.89,69.67,67.40,68.71,3511800,68.44
2013-10-08,70.62,70.74,68.98,69.45,2620400,69.17
2013-10-07,72.22,72.45,70.62,70.63,2887800,70.35
2013-10-04,72.34,72.92,72.22,72.55,1166200,72.26
2013-10-03,72.90,72.99,72.09,72.34,1385600,72.05
2013-10-02,72.17,72.96,71.84,72.95,1187300,72.66
2013-10-01,72.00,72.67,71.47,72.41,1590100,72.12
2013-09-30,71.97,72.42,71.84,72.02,1303400,71.73
2013-09-27,72.65,73.22,72.33,72.58,683900,72.29
2013-09-26,72.98,73.74,72.85,73.10,464200,72.81
2013-09-25,73.65,73.94,71.81,72.57,1028300,72.28
2013-09-24,73.94,74.49,73.61,73.84,483000,73.55
2013-09-23,73.26,74.45,72.79,74.03,1411000,73.74
2013-09-20,74.85,74.92,73.14,73.34,3239400,73.05
2013-09-19,74.77,75.29,74.32,74.70,1163400,74.40
2013-09-18,72.69,74.61,72.36,74.46,877800,74.16
2013-09-17,72.64,72.92,72.28,72.74,680000,72.45
2013-09-16,72.80,73.15,72.37,72.68,633200,72.39
2013-09-13,71.76,72.24,71.76,72.10,701500,71.81
2013-09-12,72.42,72.51,71.64,71.75,716700,71.46
2013-09-11,72.57,72.83,72.03,72.61,518600,72.32
2013-09-10,72.44,72.61,71.95,72.52,651800,71.97
2013-09-09,71.07,72.06,70.72,72.01,770400,71.47
2013-09-06,71.26,71.62,70.49,70.78,891200,70.25
2013-09-05,70.33,71.52,70.33,71.18,784800,70.64
2013-09-04,70.00,71.52,68.14,70.29,4048500,69.76
2013-09-03,71.69,72.16,69.48,69.53,2001900,69.01
2013-08-30,71.51,71.77,70.98,71.19,604200,70.65
2013-08-29,71.48,71.71,70.97,71.50,797300,70.96
2013-08-28,71.72,72.36,71.14,71.51,977900,70.97
2013-08-27,72.00,72.05,71.44,71.54,1234700,71.00
2013-08-26,71.95,73.00,71.95,72.49,857300,71.94
2013-08-23,72.89,72.91,72.04,72.28,1049800,71.73
2013-08-22,72.09,72.83,71.93,72.57,1341800,72.02
2013-08-21,71.03,71.91,71.03,71.88,1567600,71.34
2013-08-20,70.97,71.89,70.83,71.14,973000,70.60
2013-08-19,71.07,71.89,70.76,70.76,922100,70.23
2013-08-16,71.23,71.73,71.02,71.25,1227800,70.71
2013-08-15,72.16,72.16,71.00,71.30,1307300,70.76
2013-08-14,71.76,74.44,71.44,72.42,1681000,71.87
2013-08-13,71.67,72.09,71.19,71.87,1169000,71.33
2013-08-12,71.43,71.86,71.15,71.76,715600,71.22
2013-08-09,71.25,71.77,70.53,71.47,1040700,70.93
2013-08-08,71.17,73.34,70.97,71.27,2836200,70.73
2013-08-07,70.37,70.86,69.91,70.33,1072600,69.80
2013-08-06,70.22,70.54,69.81,70.46,795100,69.93
2013-08-05,70.29,70.45,69.62,70.34,533800,69.81
2013-08-02,69.88,70.58,69.47,70.56,1081000,70.03
2013-08-01,68.97,71.40,68.85,71.00,1675000,70.46
2013-07-31,68.91,69.42,68.68,68.76,908700,68.24
2013-07-30,69.17,69.49,68.57,68.87,1667500,68.35
2013-07-29,68.28,68.63,67.83,68.50,598400,67.98
2013-07-26,67.78,68.54,67.55,68.52,674600,68.00
2013-07-25,67.81,68.50,67.61,68.05,740000,67.54
2013-07-24,68.25,68.40,67.84,68.11,841000,67.60
2013-07-23,67.85,68.11,67.05,68.04,1778800,67.53
2013-07-22,67.80,68.21,67.28,67.69,869400,67.18
2013-07-19,68.98,68.98,67.57,67.70,1715700,67.19
2013-07-18,68.79,69.19,68.45,68.54,1397800,68.02
2013-07-17,68.22,69.04,68.22,68.54,1806300,68.02
2013-07-16,68.43,68.69,67.72,68.08,1570900,67.57
2013-07-15,68.47,68.64,67.97,68.43,1051600,67.91
2013-07-12,69.50,69.50,68.07,68.40,2881900,67.88
2013-07-11,68.67,70.34,67.10,69.97,4756100,69.44
2013-07-10,65.83,69.70,65.30,68.50,9296300,67.98
2013-07-09,64.38,64.71,63.64,63.95,1305400,63.47
2013-07-08,63.87,64.32,63.57,64.26,938600,63.77
2013-07-05,63.68,63.89,63.02,63.82,525600,63.34
2013-07-03,63.17,63.43,62.87,63.32,486500,62.84
2013-07-02,63.13,64.00,62.79,63.32,1569400,62.84
2013-07-01,62.58,63.79,62.50,63.34,1756800,62.86
2013-06-28,61.69,62.35,61.32,62.31,2053500,61.84
2013-06-27,60.45,61.85,60.19,61.64,1340900,61.17
2013-06-26,60.75,60.86,59.38,60.06,1672600,59.61
2013-06-25,61.58,61.61,60.03,60.42,1233400,59.96
2013-06-24,61.37,61.66,60.12,61.24,1199300,60.78
2013-06-21,61.98,62.32,61.35,62.08,1646600,61.61
2013-06-20,62.74,63.54,61.47,61.64,2071500,61.17
2013-06-19,64.18,64.39,63.18,63.20,774000,62.72
2013-06-18,63.69,64.22,63.40,64.08,1438000,63.60
2013-06-17,63.60,64.21,63.23,63.57,1272900,63.09
2013-06-14,62.49,63.40,62.49,63.23,1258000,62.75
2013-06-13,62.22,62.81,61.83,62.71,784900,62.24
2013-06-12,63.79,63.80,61.84,62.04,1298200,61.57
2013-06-11,62.02,63.71,61.86,63.23,1446500,62.49
2013-06-10,62.25,62.95,62.00,62.55,1209200,61.82
2013-06-07,61.86,62.40,61.55,62.01,1574000,61.29
2013-06-06,59.92,61.62,59.54,61.57,1187800,60.85
2013-06-05,60.01,61.04,59.49,59.94,1005500,59.24
2013-06-04,60.40,60.50,59.30,60.17,2089900,59.47
2013-06-03,61.13,62.30,61.12,61.54,1279400,60.82
2013-05-31,62.24,62.32,61.15,61.15,1431200,60.44
2013-05-30,62.75,63.06,62.21,62.29,670000,61.57
2013-05-29,63.30,63.33,62.05,62.92,939700,62.19
2013-05-28,64.13,64.94,63.52,63.63,723700,62.89
2013-05-24,64.05,64.41,63.35,63.65,669100,62.91
2013-05-23,63.89,64.77,63.79,64.33,1025000,63.58
2013-05-22,64.09,64.70,63.75,64.02,819500,63.28
2013-05-21,63.66,64.20,63.04,64.02,1028800,63.28
2013-05-20,64.30,64.47,63.44,63.56,1379200,62.82
2013-05-17,64.31,64.82,63.87,64.30,1301800,63.55
2013-05-16,64.78,65.44,64.39,64.46,1969500,63.71
2013-05-15,63.51,65.82,63.41,65.49,1738700,64.73
2013-05-14,62.71,63.94,62.61,63.54,1024500,62.80
2013-05-13,63.03,63.29,62.31,62.64,463300,61.91
2013-05-10,62.83,63.19,62.26,63.08,673100,62.35
2013-05-09,63.50,63.72,62.68,62.91,632200,62.18
2013-05-08,62.41,63.66,62.41,63.50,1130500,62.76
2013-05-07,62.38,62.77,62.06,62.34,734300,61.61
2013-05-06,62.20,62.76,61.89,62.36,942000,61.63
2013-05-03,61.78,62.82,61.72,62.37,1176100,61.64
2013-05-02,60.98,61.45,60.58,61.39,864200,60.68
2013-05-01,61.27,62.00,60.66,60.78,1019500,60.07
2013-04-30,62.10,62.25,60.61,61.37,1518700,60.66
2013-04-29,63.13,63.30,61.94,62.04,1072500,61.32
2013-04-26,62.95,63.30,62.56,62.94,907500,62.21
2013-04-25,63.50,64.15,63.13,63.14,1277100,62.41
2013-04-24,63.69,63.89,63.14,63.37,817100,62.63
2013-04-23,62.61,63.84,62.61,63.56,1214100,62.82
2013-04-22,62.79,62.98,62.19,62.41,1087400,61.68
2013-04-19,61.71,62.69,61.49,62.59,2304800,61.86
2013-04-18,61.64,62.18,61.22,61.66,1812200,60.94
2013-04-17,61.32,61.49,60.55,61.40,2090600,60.69
2013-04-16,60.72,61.73,59.87,61.59,1614000,60.87
2013-04-15,60.79,60.85,60.16,60.63,1798900,59.92
2013-04-12,59.75,61.11,59.65,61.05,1831300,60.34
2013-04-11,59.59,60.13,59.00,59.78,2796000,59.08
2013-04-10,59.32,60.90,58.27,60.44,8499000,59.74
2013-04-09,59.35,59.80,58.76,59.80,1580300,59.10
2013-04-08,59.35,59.80,58.74,59.39,748800,58.70
2013-04-05,58.74,59.43,58.26,59.40,1408900,58.71
2013-04-04,57.92,59.53,57.82,59.50,1261700,58.81
2013-04-03,58.57,58.71,57.50,57.72,1625800,57.05
2013-04-02,59.15,59.26,58.26,58.40,994600,57.72
2013-04-01,59.15,59.47,58.77,58.90,722000,58.22
2013-03-28,59.36,59.41,58.61,59.05,1252300,58.36
2013-03-27,60.30,60.41,59.25,59.51,1468300,58.82
2013-03-26,60.24,60.67,59.70,60.66,810400,59.95
2013-03-25,62.13,62.54,59.65,60.23,2366700,59.53
2013-03-22,59.97,62.00,59.97,61.37,1516200,60.66
2013-03-21,60.04,60.30,59.32,59.85,737800,59.15
2013-03-20,58.34,60.53,58.34,60.36,1418100,59.66
2013-03-19,59.07,59.26,57.90,58.14,1030800,57.46
2013-03-18,58.96,59.56,58.16,58.94,1430100,58.25
2013-03-15,59.59,59.68,58.72,59.42,1641800,58.73
2013-03-14,59.01,59.66,58.74,59.48,1152900,58.79
2013-03-13,58.45,59.13,58.21,59.12,1013100,58.43
2013-03-12,58.57,59.04,58.37,58.58,800000,57.64
2013-03-11,58.63,58.91,58.09,58.49,803900,57.55
2013-03-08,58.56,59.11,58.17,58.78,880400,57.84
2013-03-07,58.73,58.75,58.08,58.35,1378800,57.42
2013-03-06,59.09,59.26,58.36,58.61,1619100,57.67
2013-03-05,59.11,59.28,58.54,58.90,1160500,57.96
2013-03-04,58.49,59.08,58.38,58.94,1054100,58.00
2013-03-01,57.56,58.71,57.14,58.69,1635500,57.75
2013-02-28,57.52,58.06,56.58,57.55,1834800,56.63
2013-02-27,57.43,59.43,57.43,57.68,1708500,56.76
2013-02-26,56.23,56.57,55.55,56.29,1689900,55.39
2013-02-25,56.81,57.10,55.99,55.99,1268800,55.09
2013-02-22,56.38,56.79,56.08,56.68,1140100,55.77
2013-02-21,54.68,57.24,54.65,56.30,2761000,55.40
2013-02-20,55.11,55.37,54.06,54.87,3497400,53.99
2013-02-19,55.76,55.90,54.45,55.03,3219800,54.15
2013-02-15,56.47,57.86,55.37,55.94,3917400,55.04
2013-02-14,55.51,56.97,55.36,56.61,1645100,55.70
2013-02-13,56.27,56.47,54.79,55.49,2500700,54.60
2013-02-12,56.83,57.02,56.17,56.35,1156700,55.45
2013-02-11,57.15,57.33,56.68,56.87,1061100,55.96
2013-02-08,56.14,57.64,56.07,57.35,2075600,56.43
2013-02-07,56.16,56.56,55.63,55.98,1507800,55.08
2013-02-06,56.50,57.05,56.03,56.16,1872100,55.26
2013-02-05,56.65,57.04,55.87,56.56,2053200,55.65
2013-02-04,56.01,56.62,55.68,56.55,2278100,55.64
2013-02-01,57.11,57.11,55.97,56.09,2318200,55.19
2013-01-31,57.03,57.22,56.45,56.70,2329500,55.79
2013-01-30,57.88,57.97,56.73,57.01,2216600,56.10
2013-01-29,57.81,57.93,57.06,57.66,2241600,56.74
2013-01-28,58.45,58.54,57.87,58.16,2003200,57.23
2013-01-25,59.06,59.15,58.54,58.55,2355200,57.61
2013-01-24,58.25,59.80,58.25,58.84,3117000,57.90
2013-01-23,58.18,58.42,57.72,58.11,2103100,57.18
2013-01-22,58.46,58.47,57.75,58.42,1441500,57.48
2013-01-18,58.17,58.43,57.63,58.37,1216300,57.44
2013-01-17,58.14,58.47,57.83,58.04,1751400,57.11
2013-01-16,57.71,58.69,57.34,58.35,2207600,57.42
2013-01-15,56.60,57.74,56.49,57.55,1366500,56.63
2013-01-14,56.62,56.90,56.39,56.61,1102500,55.70
2013-01-11,57.07,57.10,56.34,56.44,1223200,55.54
2013-01-10,56.89,57.07,56.46,57.06,1580300,56.15
2013-01-09,56.60,57.08,56.26,56.57,1777300,55.66
2013-01-08,57.04,57.35,56.80,57.32,1690400,56.40
2013-01-07,56.58,57.70,56.51,57.20,2489900,56.28
2013-01-04,55.82,57.06,55.78,56.65,5586600,55.74
2013-01-03,56.93,57.40,54.93,55.74,14948900,54.85
2013-01-02,63.69,64.40,62.95,64.04,2465400,63.01
2012-12-31,62.43,63.44,62.22,63.41,1065400,62.39
2012-12-28,62.10,63.27,61.92,62.70,1313400,61.70
2012-12-27,62.63,62.86,61.90,62.49,830700,61.49
2012-12-26,63.03,63.03,62.16,62.60,1252300,61.60
2012-12-24,62.83,63.35,62.78,62.83,310600,61.82
2012-12-21,63.43,63.76,62.78,63.04,2076900,62.03
2012-12-20,64.50,64.61,63.57,63.74,1886100,62.72
2012-12-19,65.22,65.32,63.91,64.34,2330100,63.31
2012-12-18,65.96,66.39,65.33,65.73,1364200,64.68
2012-12-17,65.49,66.16,65.31,66.10,956800,65.04
2012-12-14,65.73,66.23,65.46,65.86,970100,64.81
2012-12-13,66.36,66.70,65.78,65.91,1287600,64.85
2012-12-12,64.73,67.13,64.52,66.48,3051100,65.42
2012-12-11,69.98,70.47,63.90,64.68,5917600,63.44
2012-12-10,70.88,71.21,70.32,70.58,968700,69.22
2012-12-07,70.07,71.07,69.95,71.00,1605800,69.64
2012-12-06,69.69,70.17,69.12,70.06,1313700,68.71
2012-12-05,70.63,71.10,69.37,69.80,1738800,68.46
2012-12-04,70.69,70.94,70.23,70.71,1637900,69.35
2012-12-03,71.25,71.25,70.21,70.65,1402400,69.29
2012-11-30,70.50,72.54,70.14,71.20,2880900,69.83
2012-11-29,69.00,70.43,68.58,70.43,1495000,69.08
2012-11-28,68.95,69.22,68.21,69.01,634500,67.68
2012-11-27,69.57,70.11,68.87,68.94,512700,67.62
2012-11-26,69.82,70.23,68.76,69.42,865500,68.09
2012-11-23,69.12,70.15,68.93,70.10,359600,68.75
2012-11-21,68.90,69.39,68.60,68.83,535100,67.51
2012-11-20,69.49,70.08,68.44,68.89,1209900,67.57
2012-11-19,67.00,69.61,66.68,69.36,2223800,68.03
2012-11-16,65.96,66.69,65.93,66.54,1070000,65.26
2012-11-15,66.00,66.46,65.64,65.89,1174900,64.62
2012-11-14,65.82,66.82,65.30,65.68,1795000,64.42
2012-11-13,66.24,67.60,65.45,65.82,1718700,64.56
