Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,37.92,38.33,37.59,37.63,1714700,37.63
2014-01-28,38.08,38.73,37.84,38.18,2046300,38.18
2014-01-27,38.10,38.83,38.00,38.01,2477700,38.01
2014-01-24,37.96,37.98,37.46,37.47,1867000,37.47
2014-01-23,38.48,38.48,37.91,38.21,1326500,38.21
2014-01-22,38.81,39.01,38.49,38.59,1705800,38.59
2014-01-21,38.93,39.27,38.17,38.71,2974700,38.71
2014-01-17,39.66,39.66,38.79,38.89,2266500,38.89
2014-01-16,40.28,40.28,39.36,39.49,1772100,39.49
2014-01-15,40.86,40.98,40.13,40.18,1618500,40.18
2014-01-14,40.63,41.15,40.42,40.86,1341400,40.66
2014-01-13,41.21,41.21,40.40,40.62,1505500,40.42
2014-01-10,41.08,41.34,40.68,41.26,1536700,41.06
2014-01-09,41.41,41.41,40.74,41.05,1543800,40.85
2014-01-08,41.17,41.24,40.57,41.11,1576200,40.91
2014-01-07,41.34,41.62,41.09,41.25,1597500,41.05
2014-01-06,41.31,41.73,41.18,41.25,1444400,41.05
2014-01-03,40.59,41.45,40.59,41.25,1567500,41.05
2014-01-02,41.36,41.52,40.59,40.78,1559200,40.58
2013-12-31,41.38,41.63,41.31,41.44,729900,41.24
2013-12-30,40.90,41.44,40.71,41.27,1237000,41.07
2013-12-27,41.32,41.46,40.85,40.98,968200,40.78
2013-12-26,41.25,41.50,41.01,41.05,900200,40.85
2013-12-24,41.05,41.45,41.05,41.24,745400,41.04
2013-12-23,41.27,41.36,40.68,40.95,1598100,40.75
2013-12-20,40.25,41.12,40.02,41.11,4783500,40.91
2013-12-19,39.77,40.01,39.43,39.68,1518900,39.49
2013-12-18,39.17,40.13,39.08,40.05,2306900,39.85
2013-12-17,38.84,39.31,38.84,39.08,1546200,38.89
2013-12-16,39.04,39.35,38.86,38.94,1230800,38.75
2013-12-13,38.65,39.20,38.59,38.81,1459400,38.62
2013-12-12,38.72,38.88,38.36,38.57,1349300,38.38
2013-12-11,38.82,39.26,38.78,38.81,1513400,38.62
2013-12-10,38.76,38.80,38.31,38.62,2022600,38.43
2013-12-09,39.30,39.50,38.62,38.72,1252800,38.53
2013-12-06,38.81,39.29,38.81,39.21,1735900,39.02
2013-12-05,38.77,39.07,38.55,38.84,1141600,38.65
2013-12-04,38.82,39.07,38.40,38.76,2092100,38.57
2013-12-03,38.74,39.18,38.55,39.12,1832700,38.93
2013-12-02,38.80,39.30,38.77,38.97,1775100,38.78
2013-11-29,39.17,39.22,38.79,38.89,642700,38.70
2013-11-27,38.78,39.04,38.74,38.97,1525600,38.78
2013-11-26,38.59,38.77,38.42,38.56,1230700,38.37
2013-11-25,38.73,39.13,38.48,38.51,3119500,38.32
2013-11-22,38.99,39.15,37.99,38.27,6764000,38.08
2013-11-21,36.65,36.81,35.87,36.76,3344700,36.58
2013-11-20,37.00,37.13,36.45,36.56,2489300,36.38
2013-11-19,37.16,37.43,36.89,37.00,2273800,36.82
2013-11-18,37.38,37.46,37.02,37.16,1847200,36.98
2013-11-15,37.13,37.20,36.47,37.14,2476000,36.96
2013-11-14,36.70,37.23,36.55,37.13,1561400,36.95
2013-11-13,35.90,36.80,35.81,36.74,1907400,36.56
2013-11-12,36.20,36.46,35.83,35.93,1991900,35.75
2013-11-11,35.98,36.36,35.89,36.28,1360000,36.10
2013-11-08,35.21,35.98,35.20,35.97,1402800,35.79
2013-11-07,35.76,36.20,35.20,35.26,1903700,35.09
2013-11-06,34.75,35.59,34.52,35.55,3204200,35.38
2013-11-05,34.60,34.91,34.09,34.83,3295500,34.66
2013-11-04,34.98,35.07,34.21,34.65,3412400,34.48
2013-11-01,34.82,35.17,34.70,34.99,1670100,34.82
2013-10-31,34.74,34.86,34.33,34.70,1367400,34.53
2013-10-30,34.97,35.21,34.71,34.75,1811100,34.58
2013-10-29,34.76,35.13,34.65,35.10,1593200,34.93
2013-10-28,34.26,34.73,34.26,34.58,1409700,34.41
2013-10-25,34.26,34.38,33.85,34.20,1712900,34.03
2013-10-24,34.09,34.33,33.85,34.19,1467700,34.02
2013-10-23,33.72,34.00,33.61,33.95,1727400,33.78
2013-10-22,33.50,33.87,33.42,33.79,1917700,33.62
2013-10-21,33.86,33.92,33.42,33.53,1100300,33.37
2013-10-18,33.39,33.92,33.26,33.80,1499200,33.63
2013-10-17,33.20,33.41,32.91,33.15,1162600,32.99
2013-10-16,32.97,33.34,32.80,33.26,1205900,33.10
2013-10-15,32.93,33.05,32.64,32.83,1293700,32.47
2013-10-14,32.77,32.98,32.55,32.91,1725100,32.55
2013-10-11,32.91,33.00,32.45,32.87,1762500,32.51
2013-10-10,32.98,33.32,32.79,33.03,1464300,32.67
2013-10-09,32.52,32.84,32.24,32.55,1510600,32.19
2013-10-08,32.85,32.88,32.13,32.36,1629000,32.01
2013-10-07,33.20,33.32,32.79,32.83,1713200,32.47
2013-10-04,33.45,33.60,33.19,33.51,1014600,33.14
2013-10-03,33.81,33.89,33.13,33.49,1452600,33.12
2013-10-02,33.87,34.00,33.61,33.89,1767800,33.52
2013-10-01,33.89,34.37,33.85,34.01,2275500,33.64
2013-09-30,33.73,34.06,33.53,33.94,2095400,33.57
2013-09-27,34.05,34.33,33.51,34.10,3353100,33.73
2013-09-26,32.68,33.20,32.59,32.76,1498200,32.40
2013-09-25,33.01,33.08,32.10,32.54,2616700,32.18
2013-09-24,32.68,33.16,32.40,33.08,2057400,32.72
2013-09-23,32.93,33.02,32.56,32.68,1176300,32.32
2013-09-20,33.55,33.55,32.84,32.97,2180500,32.61
2013-09-19,33.70,33.76,33.35,33.37,1407900,33.00
2013-09-18,33.26,33.74,32.94,33.67,1237200,33.30
2013-09-17,32.89,33.38,32.88,33.36,1410500,32.99
2013-09-16,33.16,33.26,32.61,32.80,2272400,32.44
2013-09-13,33.04,33.10,32.65,32.82,1146300,32.46
2013-09-12,33.50,33.62,32.81,32.92,1393600,32.56
2013-09-11,33.40,33.61,33.24,33.50,1298300,33.13
2013-09-10,33.44,33.58,33.16,33.31,2222400,32.95
2013-09-09,32.90,33.52,32.81,33.14,1851600,32.78
2013-09-06,32.89,32.97,32.32,32.65,2137800,32.29
2013-09-05,32.94,33.27,32.74,32.84,1810700,32.48
2013-09-04,32.13,32.94,32.05,32.86,2595200,32.50
2013-09-03,32.51,32.66,31.91,32.08,2054900,31.73
2013-08-30,32.63,32.67,32.08,32.20,1525300,31.85
2013-08-29,32.61,32.76,32.33,32.54,1946600,32.18
2013-08-28,32.27,32.75,32.25,32.57,2098400,32.21
2013-08-27,32.73,32.96,32.09,32.16,2475900,31.81
2013-08-26,32.99,33.43,32.88,33.02,2073900,32.66
2013-08-23,34.55,34.58,32.50,33.01,4845600,32.65
2013-08-22,34.08,34.42,33.80,34.01,2805100,33.64
2013-08-21,34.86,34.94,33.95,34.06,2278100,33.69
2013-08-20,34.13,35.20,33.97,35.10,2374100,34.72
2013-08-19,34.63,34.70,33.96,34.01,2452700,33.64
2013-08-16,34.49,34.83,34.40,34.65,1658900,34.27
2013-08-15,34.87,34.93,34.40,34.61,1596400,34.23
2013-08-14,34.82,35.07,34.51,34.86,1313500,34.48
2013-08-13,34.98,35.03,34.55,34.94,1530900,34.56
2013-08-12,34.50,35.14,34.38,34.97,1754000,34.59
2013-08-09,35.00,35.40,34.06,34.52,4550800,34.14
2013-08-08,35.74,36.20,35.62,35.67,3079800,35.28
2013-08-07,35.70,35.99,35.36,35.84,3222100,35.45
2013-08-06,37.23,37.23,34.92,35.63,6548500,35.24
2013-08-05,37.37,37.85,37.27,37.61,1500600,37.20
2013-08-02,37.17,37.42,36.78,37.31,1239600,36.90
2013-08-01,36.42,37.43,36.17,37.26,2307500,36.85
2013-07-31,36.56,36.84,35.91,36.13,1581000,35.73
2013-07-30,36.49,36.58,36.13,36.47,1113100,36.07
2013-07-29,36.13,36.53,36.12,36.33,1575700,35.93
2013-07-26,36.00,36.46,35.91,36.27,1148400,35.87
2013-07-25,35.63,36.10,35.55,36.07,1583500,35.67
2013-07-24,36.47,36.59,35.47,35.65,2468700,35.26
2013-07-23,36.60,36.88,36.32,36.34,2059800,35.94
2013-07-22,36.58,36.82,36.50,36.59,915300,36.19
2013-07-19,36.50,36.83,36.41,36.49,855000,36.09
2013-07-18,36.39,36.94,36.33,36.58,1324100,36.18
2013-07-17,36.42,36.61,36.10,36.23,1093800,35.83
2013-07-16,37.15,37.22,36.28,36.41,2125800,35.81
2013-07-15,37.28,37.70,37.04,37.11,1703700,36.50
2013-07-12,36.83,37.18,36.80,37.05,1832500,36.44
