Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,72.53,73.36,71.30,72.38,2142200,72.38
2014-01-28,72.46,74.25,72.46,74.02,962300,74.02
2014-01-27,73.00,73.34,71.84,72.18,1153100,72.18
2014-01-24,75.31,75.44,72.63,72.99,2535600,72.99
2014-01-23,77.38,77.71,75.71,76.16,1440300,76.16
2014-01-22,77.02,77.72,76.47,77.61,838700,77.61
2014-01-21,77.61,77.88,76.21,76.70,821600,76.70
2014-01-17,77.37,77.57,76.96,77.12,1018500,77.12
2014-01-16,77.41,77.74,77.04,77.07,872700,77.07
2014-01-15,77.17,78.10,76.91,77.59,836700,77.59
2014-01-14,76.61,77.20,75.91,77.17,1567400,77.17
2014-01-13,76.91,77.19,75.20,75.40,1044200,75.40
2014-01-10,77.33,77.66,76.47,77.00,1000100,77.00
2014-01-09,77.34,78.14,76.86,76.99,990200,76.99
2014-01-08,78.20,78.20,76.89,77.18,1478700,77.18
2014-01-07,77.35,77.68,76.72,77.24,1480200,77.24
2014-01-06,78.21,78.49,76.98,77.24,971500,77.24
2014-01-03,77.50,78.26,77.32,77.86,896200,77.86
2014-01-02,78.17,78.46,76.99,77.30,1400900,77.30
2013-12-31,78.00,78.89,78.00,78.83,1367200,78.83
2013-12-30,76.98,77.81,76.94,77.70,1071200,77.70
2013-12-27,76.92,77.06,76.44,76.90,643800,76.90
2013-12-26,76.57,77.08,76.10,76.95,706400,76.95
2013-12-24,76.00,76.58,76.00,76.53,411500,76.53
2013-12-23,76.03,76.79,75.78,76.10,1064400,75.96
2013-12-20,75.39,76.41,75.13,75.73,1728700,75.59
2013-12-19,74.78,75.31,74.16,75.22,1260000,75.08
2013-12-18,73.12,74.82,72.73,74.80,1081400,74.66
2013-12-17,73.88,73.95,72.85,73.16,808700,73.03
2013-12-16,72.80,73.89,72.73,73.66,1110800,73.52
2013-12-13,72.21,72.56,71.67,72.36,1067200,72.23
2013-12-12,72.10,72.57,71.97,72.09,1485900,71.96
2013-12-11,72.07,72.91,71.81,72.20,2983600,72.07
2013-12-10,71.72,72.21,71.58,72.08,1212500,71.95
2013-12-09,71.21,72.03,71.06,71.82,1301800,71.69
2013-12-06,70.54,70.95,70.04,70.94,867800,70.81
2013-12-05,69.45,69.96,69.12,69.61,971600,69.48
2013-12-04,69.95,70.47,68.79,69.43,1746000,69.30
2013-12-03,70.57,70.94,70.08,70.62,975100,70.49
2013-12-02,71.53,72.17,70.54,70.67,997300,70.54
2013-11-29,71.34,72.11,71.28,71.38,568500,71.25
2013-11-27,71.71,71.91,70.87,71.27,664100,71.14
2013-11-26,71.81,71.93,71.10,71.73,1063800,71.60
2013-11-25,72.15,73.04,71.27,71.84,1034400,71.71
2013-11-22,70.63,71.06,70.19,71.00,809100,70.87
2013-11-21,69.96,70.90,69.67,70.73,899300,70.60
2013-11-20,70.12,70.88,69.37,69.66,945000,69.53
2013-11-19,70.69,70.85,69.50,69.68,916100,69.55
2013-11-18,71.75,71.94,70.24,70.60,683800,70.47
2013-11-15,71.27,71.50,70.69,71.26,683000,71.13
2013-11-14,71.13,71.56,70.63,71.30,729200,71.17
2013-11-13,69.80,71.07,69.67,71.06,1334800,70.93
2013-11-12,70.40,70.71,70.01,70.19,866700,70.06
2013-11-11,69.67,70.45,69.40,70.41,826500,70.28
2013-11-08,68.69,69.59,68.40,69.58,1282500,69.45
2013-11-07,70.14,70.73,68.25,68.45,884300,68.32
2013-11-06,70.55,70.91,69.62,69.97,693800,69.84
2013-11-05,70.25,70.78,69.43,70.30,1246300,70.17
2013-11-04,70.02,70.49,69.79,70.46,878100,70.33
2013-11-01,69.73,69.89,68.58,69.65,958800,69.52
2013-10-31,69.68,69.95,69.02,69.47,993200,69.34
