Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,20.86,20.99,20.50,20.74,2117800,20.74
2014-01-28,21.75,21.95,21.04,21.15,2143400,21.15
2014-01-27,21.95,22.13,21.74,21.75,1540000,21.75
2014-01-24,22.59,22.65,21.96,21.96,1285700,21.96
2014-01-23,23.19,23.21,22.62,22.78,840500,22.78
2014-01-22,23.09,23.36,22.86,23.30,726600,23.30
2014-01-21,22.69,23.11,22.50,23.10,1113500,23.10
2014-01-17,22.33,22.76,22.17,22.56,867300,22.56
2014-01-16,22.43,22.50,22.12,22.29,902200,22.29
2014-01-15,22.49,22.63,22.32,22.53,669700,22.53
2014-01-14,22.43,22.43,22.10,22.37,749700,22.37
2014-01-13,22.60,22.76,22.13,22.27,1045600,22.27
2014-01-10,22.74,22.81,22.49,22.72,1404700,22.72
2014-01-09,22.41,22.72,22.39,22.70,1294800,22.70
2014-01-08,22.21,22.42,21.89,22.29,1220600,22.29
2014-01-07,21.80,22.54,21.77,22.17,1964200,22.17
2014-01-06,21.76,21.91,21.58,21.62,947900,21.62
2014-01-03,21.69,21.79,21.48,21.73,885400,21.73
2014-01-02,22.11,22.19,21.72,21.72,925200,21.72
2013-12-31,22.15,22.30,22.11,22.23,703500,22.23
2013-12-30,22.31,22.38,22.09,22.18,553200,22.18
2013-12-27,22.32,22.55,22.27,22.34,603300,22.34
2013-12-26,22.27,22.59,22.23,22.23,683000,22.23
2013-12-24,22.19,22.39,22.11,22.17,309500,22.17
2013-12-23,21.72,22.15,21.70,22.10,1366100,22.10
2013-12-20,21.62,21.96,21.41,21.65,4623300,21.65
2013-12-19,21.95,22.08,21.49,21.49,1028500,21.49
2013-12-18,21.74,22.02,21.35,22.02,1424300,22.02
2013-12-17,21.94,21.94,21.49,21.67,1515400,21.67
2013-12-16,22.07,22.27,21.76,22.01,1358000,22.01
2013-12-13,22.15,22.30,21.79,21.91,1005300,21.91
2013-12-12,21.85,22.34,21.75,22.17,1231400,22.17
2013-12-11,22.42,22.55,21.80,21.88,1237400,21.88
2013-12-10,22.87,22.98,22.40,22.45,981300,22.45
2013-12-09,23.15,23.40,22.94,22.97,689100,22.97
2013-12-06,22.85,23.21,22.84,23.13,796100,23.13
2013-12-05,22.36,22.58,22.32,22.56,637800,22.56
2013-12-04,22.37,22.75,22.23,22.42,858500,22.42
2013-12-03,22.71,22.89,22.28,22.48,684900,22.48
2013-12-02,22.99,23.20,22.77,22.79,667900,22.79
2013-11-29,23.17,23.25,22.94,22.96,345500,22.96
2013-11-27,23.09,23.12,22.90,23.03,585600,23.03
2013-11-26,23.29,23.42,23.04,23.28,629200,23.12
2013-11-25,23.25,23.51,23.17,23.23,798100,23.07
2013-11-22,22.65,23.18,22.65,23.13,792500,22.97
2013-11-21,22.38,23.00,22.29,22.97,1071700,22.81
2013-11-20,22.14,22.48,22.02,22.31,763200,22.16
2013-11-19,22.31,22.50,22.00,22.03,789100,21.88
2013-11-18,22.22,22.59,22.17,22.28,643100,22.13
2013-11-15,22.45,22.45,22.17,22.20,763200,22.05
2013-11-14,22.38,22.55,22.24,22.49,682200,22.34
2013-11-13,22.23,22.44,22.11,22.43,627700,22.28
2013-11-12,22.35,22.49,22.26,22.40,906200,22.25
2013-11-11,22.36,22.54,22.27,22.42,654700,22.27
2013-11-08,21.87,22.63,21.85,22.44,1028200,22.29
2013-11-07,22.22,22.29,21.78,21.87,1035600,21.72
2013-11-06,22.17,22.24,21.88,22.06,601200,21.91
2013-11-05,22.18,22.24,21.96,21.98,806600,21.83
2013-11-04,22.31,22.34,22.00,22.25,949900,22.10
2013-11-01,22.42,22.57,22.17,22.29,1077300,22.14
2013-10-31,22.75,22.85,22.44,22.45,1021300,22.30
2013-10-30,23.09,23.09,22.80,22.80,881600,22.64
2013-10-29,23.17,23.29,22.86,23.08,728200,22.92
2013-10-28,23.12,23.22,23.05,23.12,985700,22.96
2013-10-25,23.30,23.43,22.97,23.13,950500,22.97
2013-10-24,23.24,23.37,22.98,23.27,981400,23.11
2013-10-23,23.09,23.50,22.90,23.22,1254300,23.06
2013-10-22,22.00,23.31,22.00,23.12,1471900,22.96
2013-10-21,23.32,23.43,23.18,23.27,1068600,23.11
2013-10-18,23.33,23.50,23.03,23.36,1127900,23.20
2013-10-17,22.82,23.19,22.74,23.16,745400,23.00
2013-10-16,22.72,23.13,22.60,22.97,715700,22.81
2013-10-15,22.87,22.94,22.46,22.55,1270900,22.40
2013-10-14,22.73,22.90,22.63,22.88,673900,22.72
2013-10-11,22.21,22.81,22.07,22.81,934600,22.65
2013-10-10,21.79,22.38,21.73,22.37,924900,22.22
2013-10-09,21.66,21.74,21.50,21.58,1264800,21.43
2013-10-08,21.69,21.98,21.57,21.62,1155100,21.47
2013-10-07,22.02,22.08,21.74,21.74,844200,21.59
2013-10-04,21.86,22.39,21.84,22.23,844000,22.08
2013-10-03,21.89,21.93,21.52,21.91,1097600,21.76
2013-10-02,22.14,22.18,21.82,21.88,1218100,21.73
2013-10-01,21.79,22.28,21.72,22.23,2054000,22.08
2013-09-30,21.21,21.75,21.15,21.72,1207300,21.57
2013-09-27,21.21,21.68,21.11,21.48,1011200,21.33
2013-09-26,21.48,21.66,21.26,21.39,682100,21.24
2013-09-25,21.28,21.70,21.04,21.50,1051900,21.35
2013-09-24,20.93,21.48,20.80,21.23,1599900,21.08
2013-09-23,20.81,21.00,20.60,20.94,1211100,20.80
2013-09-20,20.75,21.14,20.70,20.87,2934600,20.73
2013-09-19,21.26,21.31,20.57,20.65,1542700,20.51
2013-09-18,21.40,21.73,21.22,21.27,1174000,21.12
2013-09-17,20.94,21.35,20.83,21.34,1000200,21.19
2013-09-16,21.03,21.23,20.77,20.98,941800,20.84
2013-09-13,20.79,20.93,20.60,20.84,665500,20.70
2013-09-12,21.14,21.28,20.77,20.81,1280900,20.67
2013-09-11,21.20,21.35,21.03,21.07,977000,20.93
2013-09-10,21.30,21.32,20.91,21.31,970900,21.16
2013-09-09,21.14,21.23,20.98,21.22,810600,21.07
2013-09-06,21.28,21.30,20.61,21.10,1020400,20.95
2013-09-05,21.04,21.27,20.86,21.13,1182800,20.98
2013-09-04,20.94,21.16,20.80,20.98,2095900,20.84
2013-09-03,21.37,21.79,20.61,20.96,2384500,20.82
2013-08-30,21.73,21.76,21.14,21.16,1115400,21.01
2013-08-29,21.71,21.95,21.51,21.77,1049900,21.62
2013-08-28,21.61,21.89,21.31,21.69,731700,21.54
2013-08-27,22.15,22.15,21.65,21.65,1235200,21.50
2013-08-26,22.81,22.82,22.39,22.40,1197000,22.25
2013-08-23,23.25,23.35,22.77,22.78,840900,22.62
2013-08-22,22.88,23.28,22.84,23.24,619500,23.08
2013-08-21,22.97,23.24,22.68,22.97,1282000,22.65
2013-08-20,22.70,23.13,22.64,22.98,1115600,22.66
2013-08-19,22.63,22.80,22.54,22.67,918300,22.36
2013-08-16,22.54,23.10,22.54,22.73,1146800,22.42
2013-08-15,22.54,22.84,22.37,22.69,1259400,22.38
2013-08-14,22.82,22.94,22.71,22.73,643100,22.42
2013-08-13,22.61,22.82,22.39,22.75,830700,22.44
2013-08-12,22.25,22.56,22.25,22.53,552000,22.22
2013-08-09,22.38,22.60,22.27,22.34,560100,22.03
2013-08-08,22.57,22.71,22.22,22.48,958600,22.17
2013-08-07,22.65,22.66,22.24,22.38,848300,22.07
2013-08-06,22.82,22.98,22.48,22.61,641900,22.30
2013-08-05,22.80,23.07,22.72,22.93,592500,22.61
2013-08-02,22.83,23.00,22.67,22.88,885900,22.56
2013-08-01,22.68,23.27,22.40,22.99,1355700,22.67
2013-07-31,22.54,22.95,22.39,22.42,1176100,22.11
2013-07-30,22.22,22.60,22.22,22.41,961800,22.10
2013-07-29,22.43,22.60,22.02,22.19,920700,21.88
2013-07-26,22.37,22.59,22.34,22.43,941700,22.12
2013-07-25,22.52,22.83,22.35,22.54,1829500,22.23
2013-07-24,22.93,23.25,22.56,22.61,2599200,22.30
2013-07-23,21.81,22.49,21.68,22.30,2389300,21.99
2013-07-22,21.42,21.74,21.42,21.67,749700,21.37
2013-07-19,21.39,21.67,21.31,21.53,1176900,21.23
2013-07-18,21.00,21.39,20.92,21.38,697600,21.09
2013-07-17,20.80,21.14,20.80,20.97,749600,20.68
2013-07-16,21.11,21.21,20.63,20.90,1507000,20.61
2013-07-15,20.76,21.17,20.71,21.16,1233500,20.87
2013-07-12,20.68,20.93,20.63,20.85,1001000,20.56
2013-07-11,21.25,21.28,20.61,20.71,1804700,20.42
2013-07-10,20.94,21.01,20.68,21.01,1395500,20.72
2013-07-09,21.09,21.10,20.62,20.95,1958300,20.66
2013-07-08,21.31,21.45,20.92,20.94,1330700,20.65
2013-07-05,20.90,21.21,20.48,21.20,1116400,20.91
2013-07-03,20.18,20.57,20.06,20.57,992300,20.29
2013-07-02,20.52,20.80,20.19,20.35,2346100,20.07
2013-07-01,20.12,20.67,20.03,20.49,1478300,20.21
2013-06-28,20.36,20.40,20.03,20.03,2389700,19.75
2013-06-27,20.04,20.48,20.02,20.35,1815500,20.07
2013-06-26,20.00,20.15,19.81,19.98,1817400,19.70
2013-06-25,19.77,19.94,19.47,19.93,1817600,19.66
2013-06-24,19.51,19.98,19.39,19.71,2068100,19.44
2013-06-21,19.50,19.79,19.25,19.70,8056800,19.43
2013-06-20,19.16,19.47,18.98,19.35,1409000,19.08
2013-06-19,19.51,19.61,19.35,19.41,1236900,19.14
2013-06-18,19.18,19.56,19.07,19.56,1226700,19.29
2013-06-17,19.11,19.28,18.97,19.14,1051900,18.88
2013-06-14,18.93,19.04,18.71,18.77,504300,18.51
2013-06-13,18.71,19.03,18.61,19.01,724800,18.75
2013-06-12,19.04,19.14,18.73,18.77,595200,18.51
2013-06-11,19.00,19.15,18.79,18.97,843900,18.71
2013-06-10,19.00,19.17,18.80,19.17,723000,18.91
2013-06-07,18.93,18.95,18.65,18.92,993600,18.66
2013-06-06,18.59,18.87,18.49,18.77,892400,18.51
2013-06-05,18.77,18.90,18.62,18.64,893500,18.38
2013-06-04,18.93,19.14,18.68,18.86,1335500,18.60
2013-06-03,18.86,19.08,18.74,18.96,1846700,18.70
2013-05-31,18.91,19.12,18.86,18.87,1118300,18.61
2013-05-30,18.72,19.06,18.62,19.04,1195500,18.78
2013-05-29,18.47,18.73,18.28,18.67,1221200,18.41
2013-05-28,18.45,18.67,18.27,18.48,777400,18.23
2013-05-24,18.09,18.23,18.02,18.22,651400,17.97
2013-05-23,18.06,18.23,17.81,18.22,993000,17.97
2013-05-22,18.67,18.90,18.26,18.30,1312000,17.89
2013-05-21,18.43,18.62,18.32,18.58,916500,18.16
2013-05-20,18.28,18.49,18.22,18.44,1058100,18.03
2013-05-17,18.03,18.35,17.95,18.29,732000,17.88
2013-05-16,17.94,18.12,17.82,17.95,648900,17.55
2013-05-15,17.71,18.00,17.70,17.93,676700,17.53
2013-05-14,17.48,17.82,17.48,17.81,1342000,17.41
2013-05-13,17.40,17.58,17.33,17.51,1074900,17.12
2013-05-10,17.39,17.46,17.26,17.40,845700,17.01
2013-05-09,17.59,17.69,17.36,17.40,737700,17.01
2013-05-08,17.58,17.71,17.39,17.66,1207200,17.26
2013-05-07,17.34,17.66,17.28,17.66,1365400,17.26
2013-05-06,17.18,17.30,17.08,17.26,1330500,16.87
2013-05-03,16.97,17.24,16.91,17.18,1289800,16.79
2013-05-02,16.75,16.95,16.66,16.82,1221800,16.44
2013-05-01,16.99,17.07,16.70,16.70,1851800,16.33
2013-04-30,17.09,17.19,16.96,17.13,1853100,16.75
2013-04-29,16.83,17.40,16.78,17.04,1340800,16.66
2013-04-26,16.76,16.95,16.62,16.88,1454000,16.50
2013-04-25,16.79,17.13,16.70,16.87,1291700,16.49
2013-04-24,16.30,16.76,16.15,16.76,1377700,16.38
2013-04-23,16.03,16.34,15.98,16.28,1713000,15.92
2013-04-22,16.00,16.03,15.70,15.88,1618900,15.52
2013-04-19,15.65,16.04,15.55,15.94,1428500,15.58
2013-04-18,15.90,15.91,15.54,15.69,1674400,15.34
2013-04-17,15.92,15.95,15.67,15.86,2441000,15.50
2013-04-16,16.06,16.12,15.66,16.06,3087500,15.70
2013-04-15,16.50,16.63,16.01,16.03,3016000,15.67
2013-04-12,16.55,16.93,16.46,16.68,15970100,16.31
2013-04-11,16.70,16.78,16.58,16.61,1092000,16.24
2013-04-10,16.49,16.79,16.46,16.67,1358200,16.30
2013-04-09,16.63,16.74,16.50,16.50,1852300,16.13
2013-04-08,16.32,16.71,16.02,16.64,1856500,16.27
2013-04-05,15.98,16.33,15.95,16.31,1072300,15.94
2013-04-04,15.80,16.25,15.71,16.22,1296600,15.86
2013-04-03,16.36,16.38,15.67,15.80,1529100,15.45
2013-04-02,16.45,16.51,16.16,16.22,825500,15.86
2013-04-01,16.56,16.67,16.18,16.31,1108900,15.94
2013-03-28,16.61,16.61,16.44,16.54,871200,16.17
2013-03-27,16.47,16.55,16.29,16.54,804400,16.17
2013-03-26,16.54,16.54,16.40,16.52,885700,16.15
2013-03-25,16.46,16.53,16.31,16.42,1052300,16.05
2013-03-22,16.42,16.42,16.25,16.38,873700,16.01
2013-03-21,16.34,16.38,16.17,16.29,793500,15.92
2013-03-20,16.40,16.40,16.13,16.36,558700,15.99
2013-03-19,16.24,16.31,16.08,16.28,641300,15.92
2013-03-18,16.12,16.31,16.01,16.16,854100,15.80
2013-03-15,16.01,16.38,15.88,16.36,2476400,15.99
2013-03-14,15.71,15.95,15.68,15.95,848900,15.59
2013-03-13,15.49,15.63,15.39,15.61,1118400,15.26
