Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,29.88,30.26,29.65,29.78,1509200,29.78
2014-01-28,30.27,30.52,29.94,30.03,1761000,30.03
2014-01-27,30.13,30.43,29.84,30.22,2087700,30.22
2014-01-24,30.58,30.62,30.13,30.13,2499200,30.13
2014-01-23,30.57,30.78,30.39,30.70,1735700,30.70
2014-01-22,30.62,31.23,30.57,30.81,2173000,30.81
2014-01-21,31.72,32.00,30.26,30.52,6925100,30.52
2014-01-17,31.65,31.72,31.35,31.55,2898800,31.55
2014-01-16,30.98,31.73,30.94,31.67,3933600,31.67
2014-01-15,30.65,31.05,30.57,30.95,2230000,30.95
2014-01-14,31.02,31.13,30.52,30.59,3304800,30.59
2014-01-13,31.24,31.34,30.70,30.86,5135500,30.86
2014-01-10,31.34,31.74,31.20,31.26,3177400,31.26
2014-01-09,31.83,31.85,31.31,31.35,3097900,31.35
2014-01-08,32.07,32.07,31.62,31.71,2326800,31.71
2014-01-07,32.09,32.39,31.94,31.98,3524400,31.98
2014-01-06,32.50,32.64,31.79,31.95,3355700,31.95
2014-01-03,32.74,33.05,32.25,32.42,3911400,32.42
2014-01-02,32.33,32.77,32.10,32.25,4603200,32.25
2013-12-31,32.60,32.62,32.29,32.45,3132100,32.45
2013-12-30,32.54,32.76,32.35,32.54,2536100,32.54
2013-12-27,32.91,33.00,32.54,32.59,6414300,32.59
2013-12-26,33.00,33.80,32.85,32.90,3932600,32.90
2013-12-24,32.00,33.12,32.00,32.94,2955900,32.94
2013-12-23,31.60,32.07,31.28,32.00,2895600,32.00
2013-12-20,31.33,31.56,31.18,31.40,9574100,31.40
2013-12-19,31.26,31.55,31.17,31.38,3377600,31.38
2013-12-18,30.46,31.36,30.44,31.35,5021600,31.35
2013-12-17,30.24,30.50,30.16,30.39,3047000,30.39
2013-12-16,30.00,30.30,29.89,30.08,3371100,30.08
2013-12-13,29.84,30.04,29.65,29.95,2143600,29.95
2013-12-12,29.29,29.83,29.29,29.71,3856300,29.71
2013-12-11,30.31,30.40,29.78,29.79,6993900,29.61
2013-12-10,30.25,31.00,30.01,30.34,6403400,30.16
2013-12-09,28.95,29.82,28.91,29.54,3546700,29.36
2013-12-06,28.84,29.14,28.79,29.01,1522400,28.83
2013-12-05,28.50,28.77,28.39,28.56,2429400,28.39
2013-12-04,28.72,29.04,28.49,28.78,2248500,28.61
2013-12-03,28.79,28.93,28.60,28.74,1695300,28.57
2013-12-02,29.07,29.42,28.78,28.87,2621900,28.70
2013-11-29,28.82,29.33,28.82,29.07,1549700,28.89
2013-11-27,28.89,28.95,28.67,28.94,1623800,28.77
2013-11-26,28.54,28.87,28.46,28.81,2789600,28.64
2013-11-25,28.13,28.55,28.04,28.52,3822800,28.35
2013-11-22,27.90,28.16,27.80,28.09,2281800,27.92
2013-11-21,28.01,28.08,27.80,27.90,3319400,27.73
2013-11-20,28.16,28.37,27.87,28.01,2512600,27.84
2013-11-19,27.77,28.00,27.62,27.88,1998800,27.71
2013-11-18,27.88,28.08,27.82,27.84,2066500,27.67
2013-11-15,27.69,27.91,27.66,27.88,1528600,27.71
2013-11-14,27.51,27.79,27.43,27.75,2430500,27.58
2013-11-13,26.83,27.43,26.83,27.41,2408600,27.24
2013-11-12,27.11,27.21,26.94,27.09,3098700,26.93
2013-11-11,27.25,27.39,27.05,27.26,1395500,27.10
2013-11-08,26.98,27.30,26.85,27.14,2586400,26.98
2013-11-07,27.32,27.48,26.76,26.89,3660100,26.73
2013-11-06,27.30,27.45,27.11,27.36,3359800,27.19
2013-11-05,27.60,27.65,27.19,27.23,3173900,27.07
2013-11-04,28.03,28.03,27.56,27.71,2232400,27.54
2013-11-01,28.10,28.21,27.66,27.92,7043800,27.75
2013-10-31,28.30,28.96,27.88,28.15,8584800,27.98
2013-10-30,28.03,28.03,27.61,27.86,4219400,27.69
2013-10-29,27.82,28.09,27.61,28.06,4083800,27.89
2013-10-28,27.51,27.86,27.48,27.76,4860300,27.59
2013-10-25,27.50,27.96,27.11,27.58,18286400,27.41
2013-10-24,27.26,27.31,26.81,27.08,12238700,26.92
2013-10-23,26.74,26.86,26.43,26.52,6346100,26.36
2013-10-22,26.77,26.92,26.66,26.90,3309300,26.74
2013-10-21,26.32,26.68,26.25,26.64,3769000,26.48
2013-10-18,26.67,26.70,26.19,26.37,2579700,26.21
2013-10-17,26.35,26.72,26.27,26.69,1490800,26.53
2013-10-16,26.40,26.53,26.29,26.42,1406000,26.26
2013-10-15,26.19,26.46,26.00,26.29,1809600,26.13
2013-10-14,26.06,26.32,25.99,26.32,1030100,26.16
2013-10-11,26.06,26.30,25.81,26.20,1299900,26.04
2013-10-10,25.97,26.19,25.95,26.05,1901100,25.89
2013-10-09,25.75,25.79,25.50,25.75,2222100,25.59
2013-10-08,25.90,26.04,25.72,25.76,1493500,25.60
2013-10-07,26.01,26.12,25.78,25.90,1585200,25.74
2013-10-04,26.26,26.29,26.14,26.19,1545700,26.03
2013-10-03,26.39,26.45,26.15,26.31,1672700,26.15
2013-10-02,26.38,26.50,26.25,26.46,2016800,26.30
2013-10-01,26.68,27.00,26.48,26.55,3881700,26.39
2013-09-30,26.35,26.75,26.07,26.60,3381300,26.44
2013-09-27,26.63,26.66,26.27,26.51,2136400,26.35
2013-09-26,26.54,26.69,26.44,26.66,2725500,26.50
2013-09-25,26.25,26.70,25.99,26.54,3083300,26.38
2013-09-24,25.81,26.36,25.72,26.19,3847300,26.03
2013-09-23,25.86,25.98,25.61,25.86,2063700,25.70
2013-09-20,26.09,26.13,25.68,26.00,3629800,25.84
2013-09-19,26.10,26.23,25.88,26.09,3259900,25.93
2013-09-18,25.50,26.26,25.50,26.13,3808600,25.97
2013-09-17,24.85,25.63,24.80,25.52,4777700,25.37
2013-09-16,24.70,24.89,24.60,24.80,2764900,24.65
2013-09-13,24.24,24.52,24.23,24.45,2571500,24.30
2013-09-12,24.66,24.66,24.16,24.17,2520000,24.02
2013-09-11,24.84,24.88,24.63,24.76,1736500,24.45
2013-09-10,25.25,25.25,24.71,24.88,2769500,24.57
2013-09-09,24.83,25.20,24.74,25.19,2388600,24.88
2013-09-06,24.66,24.91,24.44,24.77,2297500,24.46
2013-09-05,24.59,24.76,24.42,24.52,2588600,24.21
2013-09-04,24.58,24.98,24.54,24.60,3061900,24.29
2013-09-03,24.34,24.67,24.04,24.55,4760900,24.24
2013-08-30,23.99,24.07,23.64,23.71,1828200,23.41
2013-08-29,24.00,24.29,23.88,24.03,1387900,23.73
2013-08-28,24.10,24.35,24.00,24.04,1214900,23.74
2013-08-27,24.27,24.42,23.97,24.12,2352100,23.82
2013-08-26,24.50,24.65,24.44,24.53,1051900,24.22
2013-08-23,24.29,24.50,24.08,24.47,1555500,24.16
2013-08-22,24.20,24.44,24.09,24.28,1380700,23.98
2013-08-21,24.10,24.44,23.95,24.20,2181200,23.90
2013-08-20,24.10,24.46,24.07,24.20,1774600,23.90
