Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,35.70,36.34,35.01,35.07,4778000,35.07
2014-01-28,37.29,37.58,35.80,36.05,4541300,36.05
2014-01-27,36.60,37.52,36.16,37.32,3868100,37.32
2014-01-24,37.93,37.93,36.38,36.52,5380600,36.52
2014-01-23,39.40,39.51,37.77,38.25,4987300,38.25
2014-01-22,38.12,39.39,38.00,39.25,3825800,39.25
2014-01-21,38.52,39.39,38.13,38.21,6210800,38.21
2014-01-17,37.88,38.40,36.98,37.65,6465800,37.65
2014-01-16,36.74,38.57,36.51,37.75,8615900,37.75
2014-01-15,36.74,37.03,36.25,36.97,8425600,36.97
2014-01-14,38.40,39.10,36.00,36.31,23506700,36.31
2014-01-13,45.47,45.84,45.09,45.32,4286500,45.32
2014-01-10,44.50,45.59,44.50,45.52,2217500,45.52
2014-01-09,45.36,45.41,44.30,44.97,3971800,44.97
2014-01-08,43.92,45.63,43.62,45.35,7475200,45.35
2014-01-07,48.45,49.08,43.60,44.14,15056000,44.14
2014-01-06,49.24,49.30,47.98,48.17,2898900,48.17
2014-01-03,49.71,50.00,49.07,49.24,1317800,49.24
2014-01-02,49.15,49.76,48.11,49.65,2834300,49.65
2013-12-31,49.44,49.79,49.12,49.26,1746100,49.26
2013-12-30,48.99,49.38,48.17,49.27,1972100,49.27
2013-12-27,50.33,50.61,48.91,49.04,2107200,49.04
2013-12-26,51.07,51.55,50.19,50.36,1518800,50.36
2013-12-24,50.36,51.21,50.36,50.97,1150800,50.97
2013-12-23,49.34,50.56,49.04,50.52,1844000,50.52
2013-12-20,49.91,50.15,49.17,49.25,2871000,49.25
2013-12-19,49.68,50.49,49.22,49.87,2319600,49.87
2013-12-18,49.01,50.15,48.54,49.93,3535500,49.93
2013-12-17,48.05,49.14,47.82,48.98,2898700,48.98
2013-12-16,47.38,48.50,47.38,48.11,3512900,48.11
2013-12-13,46.00,47.80,46.00,47.29,4803900,47.29
2013-12-12,45.13,46.47,45.09,45.61,2962900,45.61
2013-12-11,45.77,46.44,45.03,45.21,2867500,45.21
2013-12-10,45.49,45.92,45.18,45.77,3399500,45.77
2013-12-09,45.09,46.11,45.00,45.58,4411400,45.58
2013-12-06,45.69,46.54,44.87,45.08,3945200,45.08
2013-12-05,45.65,46.14,45.07,45.13,4346200,45.13
2013-12-04,46.04,46.69,45.65,45.77,4598400,45.77
2013-12-03,46.76,46.90,44.92,45.95,8215700,45.95
2013-12-02,48.50,48.59,46.78,46.97,4198500,46.97
2013-11-29,48.21,48.75,47.94,48.25,2295200,47.98
2013-11-27,48.30,48.59,47.68,47.77,3574700,47.50
2013-11-26,48.97,49.36,48.00,48.26,4534300,47.98
2013-11-25,50.71,50.72,48.76,48.90,5503500,48.62
2013-11-22,49.94,50.01,48.58,49.86,5238800,49.58
2013-11-21,50.19,50.25,46.66,48.80,14606000,48.52
2013-11-20,53.26,53.33,51.81,52.44,4136400,52.14
2013-11-19,55.28,55.33,52.99,53.19,3104800,52.89
2013-11-18,57.09,57.19,54.74,55.04,2642600,54.73
2013-11-15,57.50,57.55,55.62,56.53,2877400,56.21
2013-11-14,57.68,57.74,56.92,57.43,1704000,57.10
2013-11-13,56.54,57.61,56.54,57.59,1760400,57.26
2013-11-12,55.36,57.11,55.00,56.96,2349700,56.64
2013-11-11,55.19,55.78,54.04,55.38,1503500,55.06
2013-11-08,53.90,55.52,53.79,55.48,1497400,55.16
2013-11-07,55.95,56.32,53.64,53.82,2452900,53.51
2013-11-06,56.70,57.21,55.84,56.05,1736400,55.73
2013-11-05,55.36,56.75,54.55,56.56,2740700,56.24
2013-11-04,55.45,55.73,54.97,55.30,1427400,54.98
2013-11-01,55.09,55.37,54.73,55.05,2338900,54.74
2013-10-31,55.20,55.36,54.06,54.82,1757700,54.51
2013-10-30,55.83,56.00,54.90,55.22,1447000,54.91
2013-10-29,54.90,55.69,52.71,55.45,1904400,55.13
2013-10-28,54.88,55.03,54.19,54.41,1199900,54.10
2013-10-25,54.93,55.37,54.37,54.88,919100,54.57
2013-10-24,54.60,55.08,54.51,54.80,1149800,54.49
2013-10-23,54.57,54.84,53.58,54.47,1349000,54.16
2013-10-22,54.74,55.28,54.20,54.76,1886900,54.45
2013-10-21,54.28,54.83,53.37,54.65,1695900,54.34
2013-10-18,53.03,54.00,52.03,53.88,1676400,53.57
2013-10-17,51.66,52.70,51.41,52.67,1711800,52.37
2013-10-16,51.48,51.97,51.03,51.66,1885700,51.37
2013-10-15,51.79,52.08,51.00,51.30,1831100,51.01
2013-10-14,51.09,51.87,50.81,51.78,1240000,51.48
2013-10-11,51.54,52.15,51.25,51.56,1561000,51.27
2013-10-10,50.66,52.83,50.56,51.89,3179800,51.59
2013-10-09,49.50,50.23,48.51,50.02,1533200,49.73
2013-10-08,49.70,50.75,48.87,49.32,1784600,49.04
2013-10-07,50.22,50.81,49.57,49.58,1189000,49.30
2013-10-04,49.75,50.90,49.41,50.70,1276700,50.41
2013-10-03,50.19,50.68,47.73,49.82,1474800,49.54
2013-10-02,50.88,50.98,49.82,50.32,1489900,50.03
2013-10-01,49.59,51.22,49.56,51.21,2701100,50.92
2013-09-30,49.25,49.94,49.05,49.65,1872300,49.37
2013-09-27,50.08,50.52,49.55,49.65,1318800,49.37
2013-09-26,50.73,51.14,49.59,50.43,1253800,50.14
2013-09-25,51.27,51.70,50.12,50.80,1633000,50.51
2013-09-24,49.97,51.35,49.89,51.05,1915500,50.76
2013-09-23,49.50,50.03,48.65,49.81,2113100,49.53
2013-09-20,51.86,51.86,49.16,49.43,3692300,49.15
2013-09-19,52.07,52.25,51.58,51.84,1382300,51.54
2013-09-18,52.46,52.64,50.33,51.38,2210600,51.09
2013-09-17,52.55,53.14,51.86,52.62,2122100,52.32
2013-09-16,52.88,53.28,52.10,52.12,1762500,51.82
2013-09-13,49.62,52.54,49.56,52.45,2895000,52.15
2013-09-12,49.65,49.85,48.94,49.45,1195800,49.17
2013-09-11,50.23,50.49,49.23,49.56,1337500,49.28
2013-09-10,50.26,50.68,50.10,50.34,1126400,50.05
2013-09-09,50.06,50.81,49.72,50.10,1750900,49.81
2013-09-06,51.23,51.53,49.46,49.61,1826200,49.33
2013-09-05,49.66,51.48,49.66,51.20,1578300,50.91
2013-09-04,49.85,50.38,49.39,49.64,1752400,49.36
2013-09-03,50.77,51.20,49.93,49.97,1436300,49.69
2013-08-30,51.10,51.10,49.67,50.21,2029700,49.92
2013-08-29,49.86,51.47,49.70,50.66,1425500,50.37
2013-08-28,49.35,50.27,49.30,49.90,2247600,49.34
2013-08-27,52.06,52.08,49.34,49.37,2546300,48.82
2013-08-26,51.57,53.20,51.57,52.38,2279400,51.79
2013-08-23,52.60,52.82,50.80,51.62,2365300,51.04
2013-08-22,53.95,56.08,51.57,51.91,10136900,51.33
2013-08-21,48.00,48.65,47.31,47.62,1659000,47.09
2013-08-20,48.16,48.36,47.73,48.24,1956500,47.70
2013-08-19,47.72,48.22,47.57,47.70,1721400,47.17
2013-08-16,47.48,48.54,47.04,47.58,1574800,47.05
2013-08-15,48.21,48.46,47.35,47.69,1259700,47.16
2013-08-14,49.08,49.63,48.53,48.69,1277000,48.15
2013-08-13,49.60,49.66,48.75,49.24,1571900,48.69
2013-08-12,48.55,49.60,48.39,49.48,1404900,48.93
2013-08-09,48.23,49.44,48.11,48.97,1726500,48.42
2013-08-08,47.88,48.71,47.63,48.49,2783300,47.95
2013-08-07,48.61,48.90,47.18,47.88,3690400,47.34
2013-08-06,50.20,50.65,48.75,48.99,3646600,48.44
2013-08-05,50.32,51.14,49.85,50.29,2730100,49.73
2013-08-02,48.97,50.66,47.98,50.39,3925500,49.83
2013-08-01,49.52,51.36,49.26,49.98,4194100,49.42
2013-07-31,47.14,49.52,47.14,49.06,4706300,48.51
2013-07-30,45.45,47.25,45.44,46.91,2705700,46.39
2013-07-29,45.67,45.74,44.57,45.39,1942700,44.88
2013-07-26,44.06,45.85,43.87,45.80,2597900,45.29
2013-07-25,43.12,44.44,42.83,44.41,1858700,43.91
2013-07-24,42.76,44.42,42.72,43.24,2544900,42.76
2013-07-23,43.12,43.40,42.33,42.42,1888600,41.95
2013-07-22,43.50,43.80,42.98,43.02,1088000,42.54
2013-07-19,43.87,44.45,43.32,43.46,1675800,42.97
2013-07-18,43.50,44.00,43.49,43.63,938800,43.14
2013-07-17,43.91,44.14,43.34,43.48,1959200,42.99
2013-07-16,43.37,43.92,42.47,43.84,3543500,43.35
2013-07-15,43.17,43.51,42.97,43.48,1912700,42.99
2013-07-12,42.62,43.18,42.11,43.17,1868800,42.69
2013-07-11,42.99,43.24,42.24,42.60,2243000,42.12
2013-07-10,42.67,42.94,42.20,42.42,1793800,41.95
2013-07-09,42.72,43.24,42.25,42.69,1682200,42.21
2013-07-08,43.08,43.31,42.37,42.63,2346800,42.15
2013-07-05,42.61,43.01,41.66,42.99,1075600,42.51
2013-07-03,42.15,42.76,42.09,42.38,626000,41.91
2013-07-02,42.29,42.74,42.01,42.17,2722100,41.70
2013-07-01,42.00,42.34,41.66,42.21,1806100,41.74
2013-06-28,41.12,42.84,41.12,42.03,3492100,41.56
2013-06-27,40.50,41.07,40.39,40.87,2010600,40.41
2013-06-26,40.09,40.62,39.49,40.38,2673200,39.93
2013-06-25,40.16,40.43,39.46,40.06,3197500,39.61
2013-06-24,40.30,40.72,39.74,39.90,4180600,39.45
2013-06-21,41.41,41.53,40.44,40.78,6103700,40.32
2013-06-20,40.32,41.37,39.61,40.94,8606400,40.48
2013-06-19,38.28,39.05,38.11,38.53,1740000,38.10
2013-06-18,38.29,38.48,37.93,38.46,1691400,38.03
2013-06-17,39.02,39.37,38.03,38.50,2497900,38.07
2013-06-14,38.64,39.77,38.59,39.01,6065900,38.57
2013-06-13,36.66,38.20,36.20,37.53,3296500,37.11
2013-06-12,38.02,38.21,36.46,36.59,3717200,36.18
2013-06-11,36.61,38.68,36.43,37.72,8900700,37.30
2013-06-10,36.75,37.00,34.84,34.99,4376800,34.60
2013-06-07,35.60,37.47,35.54,36.75,7103300,36.34
2013-06-06,34.92,35.77,33.98,34.62,4123600,34.23
2013-06-05,35.33,35.77,34.24,34.86,4261900,34.47
2013-06-04,34.34,36.04,34.27,35.49,6630300,35.09
2013-06-03,33.18,34.64,33.16,34.40,4823400,34.02
2013-05-31,32.73,33.85,32.62,33.16,3398000,32.79
2013-05-30,31.63,33.71,31.63,33.50,4065900,32.85
2013-05-29,31.55,32.10,31.47,31.82,2223600,31.21
2013-05-28,32.81,33.57,31.51,31.72,4923700,31.11
2013-05-24,35.20,35.44,30.94,32.11,13867200,31.49
2013-05-23,35.98,36.80,34.80,36.01,8393200,35.32
2013-05-22,36.39,37.40,35.71,36.25,6499600,35.55
2013-05-21,39.08,39.27,35.75,36.78,8536200,36.07
2013-05-20,39.76,39.80,38.74,38.76,2747100,38.01
2013-05-17,38.40,39.87,38.30,39.76,3802300,38.99
2013-05-16,38.80,38.86,37.82,38.05,2418900,37.32
2013-05-15,38.60,39.26,38.43,38.99,1914400,38.24
2013-05-14,38.21,39.00,38.21,38.64,2437700,37.89
2013-05-13,38.26,38.61,38.18,38.27,2775200,37.53
2013-05-10,37.15,38.40,37.11,38.38,2332800,37.64
2013-05-09,37.11,37.51,36.58,37.09,3499600,36.37
2013-05-08,37.50,38.57,37.08,37.14,3146200,36.42
2013-05-07,37.70,37.70,36.91,37.29,3042500,36.57
2013-05-06,36.99,37.46,36.65,37.19,2062400,36.47
2013-05-03,36.57,37.23,36.45,37.15,2710100,36.43
2013-05-02,34.72,36.34,34.61,36.31,2140700,35.61
2013-05-01,34.95,35.16,34.33,34.74,1861300,34.07
2013-04-30,34.60,35.42,34.45,34.90,3191400,34.23
2013-04-29,34.66,35.30,34.35,34.57,2266500,33.90
2013-04-26,34.14,34.97,34.04,34.62,1809200,33.95
2013-04-25,34.24,34.57,33.82,34.24,2987800,33.58
2013-04-24,33.18,34.55,33.01,34.23,3060600,33.57
2013-04-23,32.74,33.22,32.51,33.19,2956000,32.55
2013-04-22,32.73,33.17,31.84,32.52,3159900,31.89
2013-04-19,32.63,33.08,32.27,32.73,3009500,32.10
2013-04-18,32.64,33.26,32.50,32.68,4692600,32.05
2013-04-17,31.95,32.82,31.57,32.77,4664100,32.14
2013-04-16,31.53,32.33,31.27,32.30,2806700,31.68
2013-04-15,32.00,32.17,31.33,31.38,2841700,30.77
2013-04-12,31.55,32.33,31.15,32.02,2861700,31.40
2013-04-11,30.00,31.75,29.92,31.68,6260500,31.07
2013-04-10,29.99,30.24,29.50,29.91,2900000,29.33
2013-04-09,30.20,30.38,29.84,29.88,2437000,29.30
2013-04-08,30.04,30.54,29.83,30.26,2898500,29.68
2013-04-05,29.64,30.07,29.31,29.96,2804300,29.38
2013-04-04,30.21,31.10,29.49,29.89,4498800,29.31
2013-04-03,30.27,30.61,30.00,30.25,4505100,29.67
2013-04-02,29.74,30.34,29.06,30.24,4087300,29.66
2013-04-01,28.00,30.07,27.93,29.76,7021500,29.19
2013-03-28,25.25,28.67,25.25,27.97,9843200,27.43
2013-03-27,26.28,26.67,26.14,26.45,3033800,25.94
2013-03-26,25.63,26.40,25.43,26.36,3546000,25.85
2013-03-25,25.81,26.17,25.21,25.38,2166900,24.89
2013-03-22,25.34,25.79,25.08,25.66,1203200,25.16
2013-03-21,25.35,25.67,25.01,25.24,1893000,24.75
2013-03-20,25.39,25.52,25.04,25.45,1829600,24.96
2013-03-19,25.78,25.78,24.89,25.24,1294300,24.75
2013-03-18,25.17,25.80,25.17,25.72,1454500,25.22
2013-03-15,25.33,25.48,24.96,25.45,2605700,24.96
2013-03-14,25.70,25.70,25.12,25.41,1624000,24.92
2013-03-13,25.43,25.86,25.41,25.65,1412100,25.16
2013-03-12,25.27,25.54,25.00,25.48,1615300,24.99
2013-03-11,24.66,25.27,24.36,25.26,2088900,24.77
2013-03-08,24.67,24.98,24.30,24.67,1440600,24.19
2013-03-07,24.37,24.76,24.18,24.54,1256900,24.07
2013-03-06,24.57,24.76,24.10,24.41,2174400,23.94
2013-03-05,23.78,24.36,23.67,24.30,3472000,23.83
2013-03-04,23.96,24.07,23.36,23.54,3299800,23.09
2013-03-01,24.64,24.85,23.95,24.05,3525900,23.59
2013-02-28,25.32,25.66,25.05,25.06,2698600,24.31
2013-02-27,24.71,25.39,24.63,25.24,3451800,24.48
2013-02-26,24.77,25.22,23.78,24.79,2680500,24.04
2013-02-25,25.09,25.20,24.61,24.61,1538700,23.87
2013-02-22,24.91,25.15,24.61,24.82,2541400,24.07
2013-02-21,25.71,25.85,24.10,24.73,4007200,23.99
2013-02-20,25.62,25.99,25.27,25.33,2305900,24.57
2013-02-19,25.24,25.54,24.56,25.50,3326300,24.73
2013-02-15,26.01,26.01,25.14,25.37,3084800,24.61
2013-02-14,25.91,26.14,25.71,25.75,1630700,24.98
2013-02-13,25.96,26.25,25.69,26.03,2614600,25.25
2013-02-12,26.29,26.30,25.40,25.85,3486700,25.07
2013-02-11,26.16,26.58,25.99,26.20,2867600,25.41
2013-02-08,25.56,26.25,25.54,26.06,3255200,25.28
2013-02-07,25.14,25.45,24.92,25.41,2764900,24.65
2013-02-06,24.96,25.23,23.75,25.20,9977800,24.44
2013-02-05,25.30,27.01,25.22,26.81,5776800,26.00
2013-02-04,24.60,25.70,24.33,25.25,4396600,24.49
2013-02-01,24.29,24.81,23.46,24.69,4406200,23.95
2013-01-31,23.66,23.70,22.57,23.20,5161000,22.50
2013-01-30,23.99,24.19,23.58,23.64,2228900,22.93
2013-01-29,23.65,24.22,23.45,24.02,2404100,23.30
2013-01-28,23.75,23.80,23.53,23.78,1643900,23.07
2013-01-25,23.59,23.78,23.40,23.71,2012600,23.00
2013-01-24,23.19,23.54,23.11,23.47,2299800,22.76
2013-01-23,23.33,23.49,22.99,23.15,1791200,22.45
2013-01-22,23.35,23.44,23.15,23.32,1907100,22.62
2013-01-18,23.53,23.54,23.19,23.28,2116500,22.58
2013-01-17,23.23,23.77,23.16,23.49,2599600,22.78
2013-01-16,23.13,23.32,22.98,23.07,2640000,22.38
2013-01-15,22.90,23.18,22.75,23.16,2857500,22.46
2013-01-14,23.19,23.36,22.85,23.01,3504700,22.32
2013-01-11,22.68,23.25,22.30,23.25,5267100,22.55
2013-01-10,22.81,22.88,22.40,22.79,3900300,22.10
2013-01-09,23.12,23.32,22.52,22.61,4331900,21.93
2013-01-08,22.93,23.96,22.66,23.19,11131200,22.49
2013-01-07,24.66,24.92,23.87,24.75,3983900,24.01
2013-01-04,24.42,25.17,24.36,24.80,4040000,24.05
2013-01-03,25.58,25.69,23.92,24.36,10642800,23.63
2013-01-02,25.58,25.87,24.99,25.66,4898100,24.89
2012-12-31,24.39,25.16,24.30,25.09,2098400,24.34
2012-12-28,24.50,24.73,24.32,24.53,1431500,23.79
2012-12-27,24.92,25.00,23.92,24.67,2426700,23.93
2012-12-26,25.68,26.13,24.62,24.89,2100600,24.14
2012-12-24,25.59,25.83,25.50,25.58,540400,24.81
2012-12-21,25.87,26.11,25.31,25.57,3709500,24.80
2012-12-20,27.38,27.46,25.89,26.13,4311600,25.34
2012-12-19,27.80,28.00,27.08,27.55,4291500,26.72
2012-12-18,27.83,27.84,27.41,27.72,3262600,26.89
2012-12-17,27.59,27.68,27.32,27.52,2368800,26.69
2012-12-14,27.08,27.88,27.08,27.51,2534500,26.68
2012-12-13,27.83,28.35,27.46,27.61,4447500,26.78
2012-12-12,27.81,28.19,27.73,27.83,2769500,26.99
2012-12-11,27.44,27.83,27.37,27.71,2496200,26.88
2012-12-10,27.34,27.55,26.99,27.44,2618900,26.62
2012-12-07,26.69,27.42,26.57,27.30,2509300,26.48
2012-12-06,26.01,26.92,25.99,26.64,2481700,25.84
2012-12-05,25.81,26.32,25.40,25.97,2785300,25.19
2012-12-04,25.83,26.24,25.58,25.88,3563300,25.10
2012-12-03,26.45,26.46,25.79,25.83,2423600,25.05
2012-11-30,26.32,26.57,26.07,26.25,2570500,25.46
2012-11-29,26.57,26.68,25.85,26.21,2730700,25.42
2012-11-28,26.65,26.75,26.24,26.44,3618900,25.65
2012-11-27,26.85,27.52,26.65,26.68,3147100,25.88
