Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,24.21,24.56,24.16,24.35,1065700,24.35
2014-01-28,24.16,24.38,24.09,24.38,761400,24.38
2014-01-27,24.05,24.28,23.93,24.12,1260700,24.12
2014-01-24,24.47,24.51,24.06,24.06,1283100,24.06
2014-01-23,24.60,24.64,24.42,24.53,944800,24.53
2014-01-22,24.72,24.86,24.68,24.71,593300,24.71
2014-01-21,24.64,24.73,24.55,24.73,879900,24.73
2014-01-17,24.24,24.49,24.18,24.48,925800,24.48
2014-01-16,24.28,24.32,24.14,24.22,952000,24.22
2014-01-15,24.33,24.39,24.19,24.25,1018700,24.25
2014-01-14,24.52,24.63,24.32,24.33,1600300,24.33
2014-01-13,24.77,24.84,24.42,24.49,1552600,24.49
2014-01-10,24.49,24.85,24.45,24.81,1076800,24.81
2014-01-09,24.27,24.50,24.14,24.49,1572500,24.49
2014-01-08,24.18,24.20,23.98,24.16,1171800,24.16
2014-01-07,23.89,24.25,23.89,24.17,1575800,24.17
2014-01-06,23.88,23.97,23.75,23.85,1530300,23.85
2014-01-03,23.99,24.13,23.81,23.89,753700,23.89
2014-01-02,24.19,24.33,23.87,23.98,1076000,23.98
2013-12-31,24.39,24.42,24.22,24.24,850200,24.24
2013-12-30,24.15,24.29,24.13,24.24,582200,24.24
2013-12-27,24.13,24.33,23.99,24.19,560800,24.19
2013-12-26,24.34,24.34,24.00,24.09,780700,24.09
2013-12-24,24.23,24.39,24.12,24.34,411900,24.34
2013-12-23,24.50,24.53,24.22,24.30,1074900,24.30
2013-12-20,24.04,24.47,24.04,24.43,2112500,24.43
2013-12-19,24.35,24.35,23.96,24.00,1346100,24.00
2013-12-18,24.17,24.41,23.82,24.40,1022300,24.40
2013-12-17,23.99,24.18,23.90,24.17,1319600,24.17
2013-12-16,24.08,24.25,23.96,24.02,1008700,24.02
2013-12-13,23.85,24.05,23.82,23.98,1073600,23.98
2013-12-12,23.58,23.93,23.58,23.81,1153200,23.81
2013-12-11,23.87,23.92,23.54,23.59,2015900,23.59
2013-12-10,23.97,24.11,23.86,23.91,993400,23.91
2013-12-09,24.25,24.28,23.98,24.08,658300,24.08
2013-12-06,23.96,24.24,23.93,24.23,695000,24.23
2013-12-05,23.91,23.95,23.74,23.78,794900,23.78
2013-12-04,23.65,23.96,23.60,23.93,1024800,23.93
2013-12-03,23.72,23.92,23.63,23.80,544700,23.80
2013-12-02,23.82,24.04,23.63,23.83,1097700,23.83
2013-11-29,23.74,23.96,23.73,23.74,383400,23.74
2013-11-27,23.83,23.90,23.70,23.77,703800,23.77
2013-11-26,24.17,24.24,23.87,23.88,1152300,23.88
2013-11-25,24.53,24.62,24.22,24.34,1225300,24.11
2013-11-22,24.50,24.70,24.38,24.58,852700,24.35
2013-11-21,24.34,24.64,24.31,24.53,924300,24.30
2013-11-20,24.75,24.84,24.37,24.38,1322300,24.15
2013-11-19,24.85,24.88,24.60,24.76,3257900,24.53
2013-11-18,24.54,24.58,24.24,24.35,1735300,24.12
2013-11-15,24.48,24.58,24.22,24.53,841600,24.30
2013-11-14,24.24,24.59,24.13,24.51,962200,24.28
2013-11-13,23.79,24.21,23.64,24.20,901700,23.97
2013-11-12,23.98,24.06,23.85,23.90,1379100,23.67
2013-11-11,23.73,24.09,23.57,24.04,1335000,23.81
2013-11-08,23.37,23.85,23.04,23.73,1539400,23.51
2013-11-07,23.67,23.76,23.40,23.42,987600,23.20
2013-11-06,23.53,23.68,23.45,23.59,596500,23.37
2013-11-05,23.57,23.68,23.40,23.41,759500,23.19
2013-11-04,23.62,23.66,23.31,23.62,510200,23.40
2013-11-01,23.49,23.68,23.42,23.54,699200,23.32
2013-10-31,23.66,23.66,23.22,23.44,807100,23.22
2013-10-30,23.78,23.94,23.61,23.68,721400,23.46
2013-10-29,23.82,23.84,23.55,23.77,952800,23.55
2013-10-28,23.64,23.83,23.55,23.77,952900,23.55
2013-10-25,23.40,23.72,23.34,23.69,296800,23.47
2013-10-24,23.38,23.53,23.26,23.41,647400,23.19
2013-10-23,23.49,23.71,23.33,23.36,735000,23.14
2013-10-22,23.25,23.53,23.12,23.52,572600,23.30
2013-10-21,23.14,23.19,23.03,23.13,536600,22.91
2013-10-18,22.97,23.16,22.89,23.15,642000,22.93
2013-10-17,22.41,22.97,22.35,22.92,792800,22.70
2013-10-16,22.31,22.52,22.30,22.52,533300,22.31
2013-10-15,22.48,22.50,22.20,22.20,727600,21.99
2013-10-14,22.70,22.72,22.24,22.57,779800,22.36
2013-10-11,22.59,22.79,22.51,22.79,701500,22.57
2013-10-10,22.26,22.60,22.11,22.59,808300,22.38
2013-10-09,22.03,22.40,22.01,22.09,746700,21.88
2013-10-08,21.83,22.16,21.81,22.02,609300,21.81
2013-10-07,21.90,22.09,21.79,21.86,425700,21.65
2013-10-04,21.97,22.09,21.92,21.98,586000,21.77
2013-10-03,22.15,22.15,21.91,21.97,997700,21.76
2013-10-02,22.28,22.37,22.12,22.23,792500,22.02
2013-10-01,22.25,22.51,22.24,22.34,1192200,22.13
2013-09-30,22.13,22.32,22.10,22.20,804500,21.99
2013-09-27,22.39,22.47,22.22,22.28,883700,22.07
2013-09-26,22.44,22.63,22.39,22.49,698600,22.28
2013-09-25,22.52,22.68,22.39,22.46,931500,22.25
2013-09-24,22.61,22.66,22.46,22.53,852400,22.32
2013-09-23,22.22,22.71,22.10,22.63,704800,22.42
2013-09-20,22.43,22.50,22.23,22.23,1431000,22.02
2013-09-19,22.57,22.67,22.36,22.39,582600,22.18
2013-09-18,21.93,22.57,21.82,22.54,1024300,22.33
2013-09-17,21.76,21.95,21.76,21.95,740500,21.74
2013-09-16,21.96,22.11,21.71,21.74,807000,21.53
2013-09-13,21.61,21.76,21.57,21.67,534100,21.47
2013-09-12,21.71,21.84,21.56,21.58,737600,21.38
2013-09-11,21.78,21.87,21.55,21.65,817700,21.45
2013-09-10,21.78,21.84,21.66,21.77,551500,21.56
2013-09-09,21.56,21.74,21.46,21.71,508800,21.50
2013-09-06,21.81,21.90,21.52,21.54,841000,21.34
2013-09-05,21.62,21.66,21.46,21.49,829900,21.29
2013-09-04,21.67,21.78,21.54,21.64,1206300,21.44
2013-09-03,22.05,22.23,21.60,21.69,1697600,21.49
2013-08-30,22.15,22.28,21.87,21.92,899100,21.71
2013-08-29,22.24,22.35,22.09,22.14,922300,21.93
2013-08-28,22.21,22.45,22.12,22.28,617100,22.07
2013-08-27,22.10,22.36,22.02,22.20,705800,21.99
2013-08-26,22.61,22.64,22.36,22.44,552800,22.01
2013-08-23,22.44,22.64,22.29,22.60,613600,22.17
2013-08-22,22.40,22.55,22.30,22.40,469700,21.97
2013-08-21,22.62,22.63,22.33,22.36,842300,21.93
2013-08-20,22.44,22.85,22.33,22.72,778500,22.29
2013-08-19,22.71,22.79,22.32,22.46,853100,22.03
2013-08-16,23.05,23.09,22.66,22.75,579800,22.32
2013-08-15,23.37,23.42,23.02,23.11,581700,22.67
2013-08-14,23.68,23.75,23.50,23.60,602100,23.15
2013-08-13,23.93,23.93,23.70,23.74,670600,23.29
2013-08-12,23.88,23.97,23.72,23.91,1094700,23.46
2013-08-09,24.02,24.35,23.82,23.93,1036800,23.47
2013-08-08,24.04,24.06,23.75,23.83,1984800,23.38
2013-08-07,24.07,24.17,23.99,23.99,1020300,23.53
2013-08-06,24.41,24.44,24.10,24.15,479100,23.69
2013-08-05,24.50,24.53,24.34,24.43,426800,23.97
2013-08-02,24.52,24.61,24.34,24.60,629900,24.13
2013-08-01,24.36,24.64,24.28,24.54,1246800,24.07
2013-07-31,24.26,24.38,24.01,24.19,726600,23.73
2013-07-30,24.32,24.54,24.20,24.27,440200,23.81
2013-07-29,24.07,24.34,23.97,24.23,689100,23.77
2013-07-26,24.09,24.20,23.85,24.10,1175600,23.64
2013-07-25,24.07,24.25,23.98,24.19,681700,23.73
2013-07-24,24.50,24.54,24.06,24.17,522600,23.71
2013-07-23,24.64,24.65,24.45,24.53,674200,24.06
2013-07-22,24.46,24.63,24.46,24.53,717200,24.06
2013-07-19,24.52,24.54,24.36,24.50,429100,24.03
2013-07-18,24.15,24.54,24.15,24.52,585600,24.05
2013-07-17,24.17,24.24,24.00,24.14,705000,23.68
2013-07-16,24.18,24.22,23.94,24.06,884800,23.60
2013-07-15,23.82,24.25,23.80,24.16,1012900,23.70
2013-07-12,23.80,23.89,23.48,23.83,891900,23.38
2013-07-11,23.64,23.87,23.62,23.85,912200,23.40
2013-07-10,23.26,23.46,23.18,23.45,992600,23.00
2013-07-09,23.17,23.31,23.02,23.26,720300,22.82
2013-07-08,22.72,23.10,22.72,23.04,1191900,22.60
2013-07-05,22.65,22.72,22.24,22.70,916600,22.27
2013-07-03,22.51,22.64,22.43,22.63,394600,22.20
2013-07-02,22.43,22.79,22.41,22.63,1318900,22.20
2013-07-01,22.77,22.77,22.41,22.43,1449200,22.00
2013-06-28,22.49,22.73,22.29,22.54,1607300,22.11
2013-06-27,22.54,22.79,22.42,22.44,1139400,22.01
2013-06-26,22.41,22.57,22.24,22.43,800000,22.00
2013-06-25,22.28,22.36,21.94,22.27,3463100,21.85
2013-06-24,22.05,22.28,21.73,22.17,1134200,21.75
2013-06-21,21.99,22.35,21.79,22.26,1414700,21.84
2013-06-20,22.42,22.43,21.91,21.94,1290100,21.52
2013-06-19,23.11,23.17,22.58,22.61,620600,22.18
2013-06-18,22.93,23.13,22.77,23.11,449200,22.67
2013-06-17,23.07,23.21,22.81,22.92,960200,22.48
2013-06-14,22.76,23.05,22.69,22.97,1156100,22.53
2013-06-13,22.31,22.80,22.24,22.74,1072800,22.31
2013-06-12,22.73,22.80,22.25,22.32,643000,21.90
2013-06-11,22.72,22.92,22.57,22.58,711400,22.15
2013-06-10,22.92,22.92,22.79,22.88,962600,22.44
2013-06-07,22.72,23.01,22.67,22.84,1334200,22.41
2013-06-06,22.32,22.61,22.26,22.61,1000300,22.18
2013-06-05,22.35,22.44,22.26,22.35,1025900,21.92
2013-06-04,22.55,22.62,22.33,22.49,1373600,22.06
2013-06-03,22.57,22.74,22.34,22.56,1003400,22.13
2013-05-31,22.63,22.97,22.56,22.57,749300,22.14
2013-05-30,22.70,23.33,22.55,22.64,1846500,22.21
2013-05-29,22.65,22.65,22.08,22.45,1299000,22.02
2013-05-28,23.21,23.21,22.64,22.80,1165800,22.37
2013-05-24,23.53,23.57,23.11,23.23,911600,22.58
2013-05-23,23.61,23.73,23.13,23.58,1504900,22.92
2013-05-22,24.24,24.43,23.84,23.86,1956300,23.19
2013-05-21,24.26,24.34,24.06,24.27,741000,23.59
2013-05-20,24.27,24.41,24.16,24.23,1160600,23.55
2013-05-17,24.08,24.34,24.02,24.33,977400,23.64
2013-05-16,24.13,24.43,23.99,24.06,1477600,23.38
2013-05-15,24.08,24.44,24.04,24.41,1532400,23.72
2013-05-14,23.80,24.11,23.78,24.09,1328000,23.41
2013-05-13,23.88,24.08,23.58,23.79,1492600,23.12
2013-05-10,23.60,23.99,22.15,23.88,1080200,23.21
2013-05-09,24.00,24.11,23.52,23.56,1202700,22.90
2013-05-08,24.14,24.20,23.90,24.02,551500,23.34
2013-05-07,23.76,24.22,23.72,24.17,835600,23.49
2013-05-06,23.88,23.96,23.65,23.75,643600,23.08
2013-05-03,23.94,24.14,23.82,23.95,479200,23.27
2013-05-02,23.87,23.97,23.75,23.82,662300,23.15
2013-05-01,24.03,24.18,23.81,23.82,727700,23.15
2013-04-30,23.95,24.14,23.89,24.13,808700,23.45
2013-04-29,23.78,24.00,23.64,23.95,474200,23.27
2013-04-26,23.81,23.94,23.63,23.74,691800,23.07
2013-04-25,23.71,23.89,23.66,23.79,494600,23.12
2013-04-24,23.71,23.81,23.56,23.70,600900,23.03
2013-04-23,23.64,23.69,23.41,23.67,598100,23.00
2013-04-22,23.51,23.67,23.38,23.53,457000,22.87
2013-04-19,23.33,23.59,23.18,23.52,740400,22.86
2013-04-18,23.19,23.32,23.09,23.24,838300,22.58
2013-04-17,23.43,23.43,23.05,23.19,771400,22.54
2013-04-16,23.30,23.51,23.09,23.49,601400,22.83
2013-04-15,23.64,23.64,23.16,23.18,1236900,22.53
2013-04-12,23.57,23.68,23.51,23.65,677800,22.98
2013-04-11,23.51,23.65,23.49,23.63,694100,22.96
2013-04-10,23.25,23.55,23.23,23.50,1076400,22.84
2013-04-09,23.45,23.45,23.26,23.26,663100,22.60
2013-04-08,23.22,23.43,23.11,23.42,685900,22.76
2013-04-05,22.77,23.24,22.73,23.19,968200,22.54
2013-04-04,22.75,22.96,22.75,22.94,723200,22.29
2013-04-03,22.84,23.06,22.67,22.72,1594700,22.08
2013-04-02,23.13,23.21,23.01,23.09,1094700,22.44
2013-04-01,23.20,23.25,22.95,23.01,809900,22.36
2013-03-28,22.89,23.20,22.83,23.19,938000,22.54
2013-03-27,22.70,22.92,22.64,22.90,469800,22.25
2013-03-26,22.75,22.86,22.63,22.77,847300,22.13
2013-03-25,22.82,22.96,22.55,22.64,1145400,22.00
2013-03-22,22.78,22.83,22.70,22.73,716000,22.09
