Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,46.33,48.77,46.05,47.80,5181300,47.80
2014-01-28,46.74,46.94,46.03,46.48,1823300,46.48
2014-01-27,46.78,47.30,46.18,46.71,2202400,46.71
2014-01-24,47.33,47.68,46.44,46.69,2435700,46.69
2014-01-23,47.54,48.47,47.08,47.77,2340300,47.77
2014-01-22,48.87,49.29,47.75,48.17,2203400,48.17
2014-01-21,48.29,49.21,48.29,48.78,2470600,48.78
2014-01-17,47.36,48.34,47.16,48.00,2710300,48.00
2014-01-16,48.06,48.16,47.16,47.49,2611500,47.49
2014-01-15,48.61,48.66,47.65,48.25,2946000,48.25
2014-01-14,49.01,49.27,47.92,48.67,2790800,48.67
2014-01-13,49.41,49.89,48.42,48.73,2955300,48.73
2014-01-10,50.12,50.74,49.26,49.79,2379600,49.79
2014-01-09,49.00,50.26,48.80,50.21,4695000,50.21
2014-01-08,49.18,49.28,48.47,48.86,2903100,48.86
2014-01-07,49.77,49.77,48.40,48.99,3373000,48.99
2014-01-06,49.01,49.73,48.83,49.52,2988700,49.52
2014-01-03,49.73,50.28,49.10,49.36,2103300,49.36
2014-01-02,49.17,49.89,48.78,49.75,2451300,49.75
2013-12-31,48.88,49.93,48.88,49.69,2165600,49.69
2013-12-30,49.34,49.54,48.02,48.73,2246000,48.73
2013-12-27,49.71,49.85,49.00,49.30,1655000,49.30
2013-12-26,49.26,49.90,49.26,49.63,1619200,49.63
2013-12-24,49.28,49.67,49.05,49.34,972000,49.34
2013-12-23,48.60,49.45,48.54,49.40,2944800,49.40
2013-12-20,47.44,48.56,47.44,48.39,8950400,48.39
2013-12-19,48.27,48.84,46.85,47.31,3151200,47.31
2013-12-18,47.71,48.34,47.11,48.23,3741700,48.23
2013-12-17,47.48,47.94,46.73,47.63,3515300,47.63
2013-12-16,45.97,47.80,45.97,47.70,5775100,47.70
2013-12-13,45.99,46.10,44.77,45.32,2524800,45.32
2013-12-12,45.78,46.36,45.60,45.86,1757600,45.86
2013-12-11,46.35,46.35,45.29,45.92,3353200,45.92
2013-12-10,46.20,46.84,45.21,46.57,3544800,46.57
2013-12-09,47.60,48.34,46.32,46.37,4611100,46.37
2013-12-06,45.99,47.42,45.94,46.91,3879700,46.91
2013-12-05,46.09,47.03,45.21,45.63,6018000,45.63
2013-12-04,47.20,47.50,45.62,45.80,5701500,45.80
