Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,29.09,29.43,28.96,29.13,2813900,29.13
2014-01-28,29.27,29.44,29.01,29.31,2703100,29.31
2014-01-27,28.19,29.50,28.19,29.27,4683600,29.27
2014-01-24,28.87,28.94,27.93,28.08,2884800,28.08
2014-01-23,29.15,29.30,28.78,29.00,2850300,29.00
2014-01-22,28.83,29.34,28.65,29.34,1971700,29.34
2014-01-21,29.36,29.36,28.60,28.78,1844500,28.78
2014-01-17,28.82,29.26,28.66,29.03,2988700,29.03
2014-01-16,29.25,29.31,28.52,28.81,3619700,28.81
2014-01-15,29.65,29.74,29.20,29.32,2079800,29.32
2014-01-14,29.51,29.75,29.30,29.61,2291000,29.61
2014-01-13,30.15,30.17,29.37,29.41,3118600,29.41
2014-01-10,30.28,30.47,29.94,30.30,2382100,30.30
2014-01-09,30.23,30.50,29.79,30.03,5053300,30.03
2014-01-08,28.48,29.89,28.04,29.74,7809400,29.74
2014-01-07,28.48,28.84,28.46,28.47,3405400,28.47
2014-01-06,29.30,29.41,28.44,28.48,4010900,28.48
2014-01-03,29.50,29.65,29.11,29.28,1653400,29.28
2014-01-02,28.99,29.41,28.95,29.38,1835400,29.38
2013-12-31,29.09,29.16,28.88,29.04,1247600,29.04
2013-12-30,28.52,29.20,28.37,29.09,1934900,29.09
2013-12-27,28.96,28.97,28.41,28.52,1069800,28.52
2013-12-26,28.84,28.96,28.74,28.94,780400,28.94
2013-12-24,28.90,28.98,28.58,28.74,413700,28.74
2013-12-23,28.91,28.95,28.40,28.83,1368300,28.83
2013-12-20,28.51,28.79,28.40,28.54,3003200,28.54
2013-12-19,28.32,28.59,28.16,28.48,1909000,28.48
2013-12-18,27.97,28.28,27.52,28.27,3092400,28.27
2013-12-17,28.19,28.37,27.95,27.98,2521200,27.98
2013-12-16,28.19,28.63,28.11,28.21,2498100,28.21
2013-12-13,28.13,28.44,27.86,28.04,1950000,28.04
2013-12-12,27.94,28.33,27.79,28.15,3484500,28.15
2013-12-11,28.36,29.70,27.19,28.01,8845900,28.01
2013-12-10,28.94,29.19,28.73,28.80,2616700,28.80
2013-12-09,28.99,29.05,28.80,29.02,1886400,29.02
2013-12-06,28.78,29.12,28.69,29.01,1928900,29.01
2013-12-05,28.20,28.65,28.13,28.54,1710300,28.54
2013-12-04,28.35,28.54,28.08,28.49,1943500,28.29
2013-12-03,28.31,28.75,28.28,28.47,2186100,28.27
2013-12-02,27.92,28.60,27.82,28.43,1886200,28.23
2013-11-29,28.10,28.21,27.85,27.89,775400,27.69
2013-11-27,28.01,28.29,27.88,28.11,919500,27.91
2013-11-26,28.24,28.51,27.94,28.00,1642300,27.80
2013-11-25,28.81,28.90,28.21,28.26,1399400,28.06
2013-11-22,28.90,28.94,28.64,28.71,1236800,28.51
2013-11-21,28.41,28.98,28.40,28.90,960200,28.70
2013-11-20,28.44,28.72,28.28,28.37,807400,28.17
2013-11-19,28.23,28.65,28.06,28.35,1105200,28.15
2013-11-18,28.60,28.66,28.21,28.31,1254200,28.11
2013-11-15,28.12,28.53,27.91,28.50,2411300,28.30
2013-11-14,28.08,28.25,27.93,28.17,1207300,27.97
2013-11-13,27.20,28.11,27.13,28.08,1659100,27.88
2013-11-12,27.81,27.89,27.37,27.40,1639500,27.21
2013-11-11,27.93,28.18,27.70,27.80,1085100,27.60
2013-11-08,27.36,27.86,27.30,27.85,1357700,27.65
2013-11-07,28.71,28.79,27.23,27.36,3368400,27.17
2013-11-06,29.67,29.67,28.56,28.64,3886800,28.44
2013-11-05,29.27,29.73,29.11,29.62,1803400,29.41
2013-11-04,28.91,29.51,28.90,29.43,1528000,29.22
