Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,89.47,89.71,88.53,88.90,11160100,88.90
2014-01-28,90.58,90.60,89.79,90.10,8254400,90.10
2014-01-27,90.30,90.76,89.85,89.94,8685200,89.94
2014-01-24,92.12,92.61,90.61,90.61,10604200,90.61
2014-01-23,93.74,93.80,92.41,92.74,9322300,92.74
2014-01-22,93.99,94.55,93.54,94.32,8875500,94.32
2014-01-21,94.93,95.10,92.62,94.03,16368400,94.03
2014-01-17,94.72,95.17,94.38,95.06,13714400,95.06
2014-01-16,94.60,95.09,94.23,94.64,8401100,94.64
2014-01-15,94.65,95.27,94.51,94.80,7390700,94.80
2014-01-14,94.60,94.90,94.32,94.72,7567300,94.72
2014-01-13,94.37,94.99,94.06,94.50,9589200,94.50
2014-01-10,94.64,94.98,94.14,94.74,6697400,94.74
2014-01-09,94.94,95.38,94.09,94.73,7944700,94.73
2014-01-08,94.17,94.60,93.88,94.16,9096700,94.16
2014-01-07,93.04,94.62,92.99,94.29,11063300,94.29
2014-01-06,91.93,92.75,91.87,92.33,7443500,92.33
2014-01-03,91.29,92.22,91.26,91.85,5637600,91.85
2014-01-02,91.14,91.73,91.01,91.03,5919600,91.03
2013-12-31,92.17,92.22,91.15,91.59,6348200,91.59
2013-12-30,92.16,92.30,91.73,92.30,4370100,92.30
2013-12-27,92.77,92.96,92.18,92.35,3511300,92.35
2013-12-26,91.99,92.54,91.77,92.54,3459100,92.54
2013-12-24,92.18,92.39,91.85,92.06,3147300,92.06
2013-12-23,92.56,92.68,91.76,92.03,5312200,92.03
2013-12-20,91.95,92.75,91.95,92.09,11253500,92.09
2013-12-19,92.40,92.40,91.42,91.98,7341000,91.98
2013-12-18,90.95,92.66,89.77,92.64,9691100,92.64
2013-12-17,91.30,91.33,90.50,90.66,8747100,90.66
2013-12-16,91.42,92.32,91.16,91.37,6610600,91.37
2013-12-13,91.46,91.86,91.08,91.35,7909000,91.35
2013-12-12,92.84,92.86,91.07,91.16,12285700,91.16
2013-12-11,94.40,94.45,93.03,93.11,9341500,93.11
2013-12-10,94.58,94.79,93.96,94.14,7576600,94.14
2013-12-09,94.30,94.48,93.70,94.44,6974500,94.44
2013-12-06,93.60,94.48,93.42,94.44,7280400,94.44
2013-12-05,93.42,93.63,92.66,92.97,8666200,92.97
2013-12-04,93.76,94.25,93.13,93.63,6201800,93.63
2013-12-03,94.20,94.56,93.51,93.97,9061100,93.97
2013-12-02,94.41,94.66,93.97,94.28,5827400,94.28
2013-11-29,95.23,95.50,94.43,94.66,4106800,94.66
2013-11-27,95.34,95.37,94.61,94.98,4603800,94.98
2013-11-26,95.58,95.87,94.97,95.06,7267600,95.06
2013-11-25,95.49,95.99,95.08,95.63,6374600,95.63
2013-11-22,94.39,95.58,94.39,95.25,6462100,95.25
2013-11-21,95.46,95.75,95.05,95.20,6896200,94.54
2013-11-20,94.94,95.47,94.66,95.15,7076500,94.49
2013-11-19,94.27,94.92,94.00,94.86,6624200,94.20
2013-11-18,94.36,94.60,94.01,94.30,8492000,93.65
2013-11-15,93.63,94.40,93.55,94.39,7063000,93.74
2013-11-14,93.40,94.14,93.40,93.92,7045700,93.27
2013-11-13,93.36,93.45,92.32,93.34,8954300,92.69
2013-11-12,93.98,94.09,93.00,93.56,7639600,92.91
2013-11-11,93.97,94.64,93.94,94.29,4723100,93.64
2013-11-08,92.63,94.10,92.56,94.05,7229500,93.40
2013-11-07,93.19,93.35,92.69,92.69,6116900,92.05
2013-11-06,93.03,93.20,92.72,93.04,5301300,92.39
2013-11-05,92.54,92.95,92.28,92.81,5350600,92.17
2013-11-04,93.46,93.50,92.43,93.03,6862500,92.39
2013-11-01,92.38,93.58,92.38,93.37,6835900,92.72
2013-10-31,92.85,93.35,92.32,92.61,7773900,91.97
2013-10-30,93.27,93.45,92.65,92.79,6295400,92.15
2013-10-29,92.80,93.18,92.58,93.14,6096700,92.49
2013-10-28,91.96,92.80,91.92,92.39,6551000,91.75
2013-10-25,92.04,92.27,91.78,92.09,6076000,91.45
2013-10-24,92.65,92.99,92.14,92.35,5251000,91.71
2013-10-23,92.07,92.43,91.52,92.10,6449600,91.46
2013-10-22,91.53,92.56,91.50,92.36,9635500,91.72
2013-10-21,91.63,91.63,90.77,91.20,6940500,90.57
2013-10-18,91.75,92.05,91.14,91.63,9082600,90.99
2013-10-17,90.87,92.00,90.77,91.97,8569600,91.33
2013-10-16,90.42,91.17,90.16,91.11,8116000,90.48
2013-10-15,90.33,91.46,89.93,89.93,11024000,89.31
2013-10-14,88.83,89.89,88.63,89.80,9198600,89.18
2013-10-11,88.62,89.48,88.02,89.45,8449800,88.83
2013-10-10,86.72,87.78,86.70,87.78,8647900,87.17
2013-10-09,85.93,86.23,85.50,85.96,8014200,85.36
2013-10-08,86.62,86.74,85.57,85.61,8669800,85.02
2013-10-07,86.70,86.98,86.29,86.59,5705200,85.99
2013-10-04,86.82,87.42,86.56,87.31,6050000,86.70
2013-10-03,87.19,87.40,86.28,86.58,7724600,85.98
2013-10-02,87.13,87.29,86.44,87.29,6383400,86.68
2013-10-01,86.59,87.49,86.26,87.47,6318700,86.86
2013-09-30,86.33,86.95,86.15,86.69,7962300,86.09
2013-09-27,86.81,86.94,86.44,86.73,5461100,86.13
2013-09-26,87.28,87.70,86.72,87.07,6400600,86.47
2013-09-25,88.42,88.47,87.07,87.08,7493200,86.48
2013-09-24,89.02,89.20,88.15,88.22,7797500,87.61
2013-09-23,89.43,89.75,88.81,89.09,7376200,88.47
2013-09-20,90.20,90.72,89.68,89.68,14708600,89.06
2013-09-19,90.05,90.20,89.79,90.07,6721000,89.45
2013-09-18,88.91,89.91,88.30,89.91,10115500,89.29
2013-09-17,89.05,89.22,88.58,89.06,6291100,88.44
2013-09-16,89.43,89.57,88.83,89.03,7563700,88.41
2013-09-13,89.13,89.25,88.20,88.57,7738600,87.96
2013-09-12,89.30,89.57,88.88,89.01,7938500,88.39
2013-09-11,88.63,89.27,88.14,89.23,8098100,88.61
2013-09-10,88.14,88.58,87.85,88.53,8658700,87.92
2013-09-09,87.39,87.60,87.01,87.56,6819700,86.95
2013-09-06,87.22,87.92,86.00,87.16,10034900,86.56
2013-09-05,87.00,87.17,86.62,87.04,5647900,86.44
2013-09-04,86.46,87.25,86.25,86.90,8458800,86.30
2013-09-03,86.89,87.30,86.03,86.42,7590500,85.82
2013-08-30,86.78,86.78,85.85,86.41,7471300,85.81
2013-08-29,86.41,87.14,85.99,86.57,5768800,85.97
2013-08-28,86.36,86.91,85.88,86.53,8829200,85.93
2013-08-27,86.97,87.08,85.96,86.17,9941200,85.57
2013-08-26,88.36,88.48,87.39,87.53,6724500,86.92
2013-08-23,87.93,88.44,87.21,88.41,7714900,87.80
2013-08-22,88.76,89.03,88.12,88.26,7191900,86.99
2013-08-21,89.47,89.63,88.68,88.80,7940700,87.52
2013-08-20,90.55,91.65,89.73,89.73,8559200,88.44
2013-08-19,89.47,91.25,89.35,90.45,8687000,89.15
2013-08-16,89.13,89.80,88.77,89.37,14100700,88.09
2013-08-15,90.32,90.41,89.09,89.55,12010700,88.26
2013-08-14,92.79,92.95,90.51,90.70,12716800,89.40
2013-08-13,91.89,93.35,91.76,93.01,10099800,91.67
2013-08-12,92.08,92.77,91.75,92.00,11012300,90.68
2013-08-09,93.39,93.39,91.78,92.36,12135800,91.03
2013-08-08,94.27,94.37,92.71,93.34,11090000,92.00
2013-08-07,93.60,94.03,93.47,93.66,9056900,92.32
2013-08-06,93.88,93.94,93.50,93.81,6415000,92.46
2013-08-05,94.05,94.30,93.43,93.80,7192400,92.45
2013-08-02,93.56,94.39,93.45,94.39,8503100,93.03
2013-08-01,94.16,94.40,93.70,93.77,11098600,92.42
2013-07-31,93.23,94.42,93.19,93.50,11365700,92.16
2013-07-30,93.47,93.97,93.02,93.17,8863000,91.83
2013-07-29,92.63,93.39,92.61,93.21,7925000,91.87
2013-07-26,92.32,92.93,91.65,92.83,8663700,91.50
2013-07-25,92.00,92.75,91.75,92.57,7368000,91.24
2013-07-24,92.65,92.66,91.75,92.36,6846300,91.03
2013-07-23,92.39,92.86,92.11,92.42,8467700,91.09
2013-07-22,92.08,92.56,91.61,92.28,9916200,90.95
2013-07-19,90.24,92.27,90.05,92.23,12506300,90.91
2013-07-18,90.33,90.95,90.06,90.17,8329300,88.88
