Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,12.05,12.32,12.04,12.05,800300,12.05
2014-01-28,11.96,12.51,11.86,12.23,917000,12.23
2014-01-27,12.40,12.49,11.91,12.13,1808500,12.13
2014-01-24,12.96,12.99,12.24,12.40,1470000,12.40
2014-01-23,13.27,13.28,12.95,13.05,617300,13.05
2014-01-22,13.23,13.38,13.22,13.33,776600,13.33
2014-01-21,12.96,13.25,12.93,13.25,1023300,13.25
2014-01-17,12.97,13.03,12.94,13.00,985400,13.00
2014-01-16,12.92,13.04,12.92,13.04,864500,13.04
2014-01-15,12.94,13.00,12.91,12.98,937100,12.98
2014-01-14,12.81,12.95,12.80,12.94,1045800,12.94
2014-01-13,13.01,13.15,12.74,12.80,1645900,12.80
2014-01-10,12.97,13.15,12.94,13.08,1635000,13.08
2014-01-09,12.96,13.00,12.81,13.00,2098800,13.00
2014-01-08,12.72,12.98,12.67,12.97,1980400,12.97
2014-01-07,12.63,12.90,12.63,12.90,1502400,12.90
2014-01-06,12.60,12.80,12.54,12.73,1648800,12.73
2014-01-03,12.41,12.73,12.39,12.60,3386600,12.60
2014-01-02,12.10,12.43,12.07,12.36,3797500,12.36
2013-12-31,12.15,12.26,12.08,12.19,1682000,12.19
2013-12-30,12.15,12.21,12.09,12.09,1520500,12.09
2013-12-27,12.21,12.25,12.10,12.17,614800,12.17
2013-12-26,12.20,12.26,12.14,12.23,1464600,12.23
2013-12-24,12.15,12.22,12.12,12.17,608900,12.17
2013-12-23,12.30,12.35,12.11,12.18,1725400,12.18
2013-12-20,12.02,12.32,12.02,12.24,3657300,12.24
2013-12-19,12.10,12.20,11.92,12.01,4481000,12.01
2013-12-18,12.16,12.39,11.94,12.23,10752600,12.23
2013-12-17,11.73,12.39,11.62,12.34,42860400,12.34
2013-12-16,9.59,9.69,9.43,9.45,1684700,9.45
2013-12-13,9.19,9.55,9.16,9.53,1806300,9.53
2013-12-12,9.20,9.20,9.11,9.19,842900,9.19
2013-12-11,9.08,9.23,9.03,9.16,1986500,9.16
2013-12-10,9.31,9.31,8.91,9.11,3174600,9.11
2013-12-09,9.37,9.39,9.30,9.31,1223700,9.31
2013-12-06,9.37,9.44,9.36,9.39,995200,9.39
2013-12-05,9.46,9.49,9.35,9.36,3676300,9.36
2013-12-04,9.57,9.68,9.46,9.46,738700,9.46
2013-12-03,9.60,9.66,9.55,9.63,470000,9.63
2013-12-02,9.57,9.66,9.50,9.59,926900,9.59
2013-11-29,9.50,9.68,9.48,9.58,321200,9.58
2013-11-27,9.47,9.58,9.45,9.47,642000,9.47
2013-11-26,9.58,9.59,9.36,9.49,1328200,9.49
2013-11-25,9.64,9.74,9.58,9.58,554200,9.58
2013-11-22,9.65,9.74,9.59,9.64,817400,9.64
2013-11-21,9.80,9.88,9.67,9.68,659800,9.68
2013-11-20,9.75,9.85,9.61,9.75,801700,9.75
2013-11-19,9.56,9.64,9.50,9.57,1062600,9.57
2013-11-18,9.62,9.66,9.49,9.57,1045600,9.57
2013-11-15,9.61,9.75,9.60,9.60,1075000,9.60
2013-11-14,9.61,9.72,9.60,9.62,1235200,9.62
2013-11-13,9.42,9.65,9.40,9.60,1961200,9.60
2013-11-12,9.47,9.51,9.40,9.42,1011000,9.42
