Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,38.57,38.57,37.82,37.90,23776100,37.90
2014-01-28,38.77,39.08,38.62,38.87,8915500,38.87
2014-01-27,38.82,38.98,38.71,38.73,14601900,38.73
2014-01-24,39.08,39.25,38.82,38.84,16507500,38.84
2014-01-23,39.61,39.64,39.12,39.24,14828100,39.24
2014-01-22,39.99,40.09,39.75,39.90,9841700,39.90
2014-01-21,39.64,39.92,39.53,39.92,17579000,39.92
2014-01-17,39.72,39.75,39.28,39.28,13992700,39.28
2014-01-16,39.78,39.82,39.58,39.71,11063100,39.71
2014-01-15,39.83,39.94,39.58,39.76,12844900,39.76
2014-01-14,39.64,39.92,39.58,39.69,12801100,39.69
2014-01-13,40.00,40.13,39.50,39.53,14091900,39.53
2014-01-10,39.96,40.29,39.90,40.13,13290000,40.13
2014-01-09,39.95,40.00,39.52,39.73,14070200,39.73
2014-01-08,40.44,40.44,39.83,39.94,15339600,39.94
2014-01-07,40.48,40.72,40.29,40.39,11872300,40.39
2014-01-06,40.48,40.59,40.16,40.27,11036300,40.27
2014-01-03,40.68,40.73,40.35,40.46,10403400,40.46
2014-01-02,41.12,41.23,40.51,40.66,12698600,40.66
2013-12-31,41.13,41.39,40.98,41.31,11729200,41.31
2013-12-30,40.77,41.14,40.76,41.09,10927500,41.09
2013-12-27,40.69,40.79,40.53,40.66,6762200,40.66
2013-12-26,40.22,40.54,40.14,40.49,8588300,40.49
2013-12-24,40.17,40.31,40.10,40.19,4783800,40.19
2013-12-23,40.10,40.24,39.87,40.16,10943200,40.16
2013-12-20,39.92,40.19,39.85,40.04,22237200,40.04
2013-12-19,39.97,40.10,39.56,39.86,14791800,39.86
2013-12-18,39.26,40.08,39.00,40.02,23884500,40.02
2013-12-17,39.12,39.25,38.87,39.10,17655700,39.10
2013-12-16,39.46,39.57,39.20,39.27,14547600,39.27
2013-12-13,39.47,39.64,39.21,39.23,14025100,39.23
2013-12-12,39.99,40.21,39.18,39.21,19777300,39.21
2013-12-11,39.95,40.34,39.89,40.13,14878300,40.13
2013-12-10,40.26,40.29,39.75,39.85,15950500,39.85
2013-12-09,40.40,40.50,40.20,40.40,12237100,40.40
2013-12-06,40.05,40.50,40.05,40.46,12557100,40.46
2013-12-05,40.28,40.40,39.80,39.83,18146200,39.83
2013-12-04,40.20,40.47,39.94,40.37,13166900,40.37
2013-12-03,40.05,40.39,40.01,40.35,16592300,40.35
2013-12-02,40.10,40.20,39.75,40.08,16738800,40.08
2013-11-29,40.27,40.48,40.11,40.19,8641100,40.19
2013-11-27,40.09,40.38,39.69,40.19,9909100,40.19
2013-11-26,40.49,40.60,40.24,40.25,14240400,39.97
2013-11-25,40.48,40.88,40.33,40.37,14059100,40.09
2013-11-22,40.34,40.46,40.09,40.43,26396500,40.15
2013-11-21,40.20,40.49,40.10,40.43,26364300,40.15
2013-11-20,40.05,40.45,39.94,40.06,14422500,39.78
2013-11-19,40.14,40.23,39.92,40.14,11014800,39.86
2013-11-18,40.24,40.24,40.00,40.17,9553900,39.89
2013-11-15,40.16,40.32,39.96,40.22,12021500,39.94
2013-11-14,40.09,40.44,40.03,40.21,10887200,39.93
2013-11-13,39.82,40.12,39.65,40.12,11770500,39.84
2013-11-12,39.91,39.99,39.62,39.88,10509200,39.60
2013-11-11,40.01,40.05,39.77,39.87,9567800,39.59
2013-11-08,39.74,40.05,39.49,40.05,11903600,39.77
2013-11-07,40.08,40.25,39.76,39.83,16233200,39.55
2013-11-06,39.62,40.22,39.42,40.05,17198000,39.77
2013-11-05,39.36,39.64,39.22,39.50,10575000,39.23
2013-11-04,39.71,39.81,39.30,39.51,10252100,39.24
2013-11-01,39.57,39.72,39.33,39.61,12430400,39.33
2013-10-31,39.51,39.86,39.51,39.57,14853500,39.29
2013-10-30,39.88,39.89,39.51,39.62,12360000,39.34
2013-10-29,39.57,39.96,39.35,39.80,14199600,39.52
2013-10-28,39.02,39.74,38.99,39.61,16552100,39.33
2013-10-25,38.84,39.13,38.63,39.03,14383400,38.76
2013-10-24,39.15,39.37,38.76,38.80,17143800,38.53
2013-10-23,39.08,39.25,38.80,39.09,12591800,38.82
2013-10-22,38.86,39.25,38.69,39.09,17110200,38.82
2013-10-21,38.95,38.95,38.60,38.82,12977500,38.55
2013-10-18,38.58,38.78,38.42,38.78,18896600,38.51
2013-10-17,38.06,38.56,38.01,38.55,15900200,38.28
2013-10-16,38.01,38.24,37.78,38.00,17995100,37.74
2013-10-15,38.18,38.37,37.60,37.66,21676600,37.40
2013-10-14,37.56,37.95,37.51,37.91,14202900,37.65
2013-10-11,37.92,37.92,37.52,37.77,14266900,37.51
2013-10-10,37.77,37.86,37.45,37.78,17174400,37.52
2013-10-09,37.38,37.42,37.01,37.08,18998900,36.82
2013-10-08,37.10,37.41,36.90,37.28,20471300,37.02
2013-10-07,37.08,37.38,36.83,37.05,16708600,36.79
2013-10-04,37.25,37.27,36.91,37.20,17217500,36.94
2013-10-03,37.46,37.46,37.13,37.16,14437900,36.90
2013-10-02,37.81,37.81,37.21,37.43,25664200,37.17
2013-10-01,38.00,38.09,37.62,37.95,13196000,37.69
2013-09-30,38.19,38.30,37.75,37.88,18101500,37.62
2013-09-27,38.57,38.58,38.15,38.40,12609600,38.13
2013-09-26,38.49,38.74,38.39,38.74,10941100,38.47
2013-09-25,38.65,38.68,38.30,38.33,11446100,38.06
2013-09-24,38.72,38.87,38.52,38.53,15083300,38.26
2013-09-23,39.16,39.19,38.44,38.63,19016200,38.36
2013-09-20,39.33,39.40,38.78,39.40,30675300,39.13
2013-09-19,39.64,39.67,39.15,39.31,14251700,39.04
2013-09-18,38.81,39.60,38.58,39.59,18030500,39.31
2013-09-17,38.81,39.09,38.79,38.79,12881700,38.52
2013-09-16,39.03,39.20,38.74,38.86,13351500,38.59
2013-09-13,38.56,38.74,38.42,38.69,11623600,38.42
2013-09-12,38.59,38.61,38.28,38.44,12114100,38.17
2013-09-11,38.68,38.78,38.53,38.78,11996500,38.23
2013-09-10,38.77,38.78,38.51,38.63,11757300,38.08
2013-09-09,38.52,38.55,38.27,38.52,10605500,37.98
2013-09-06,38.38,38.62,38.10,38.35,13976900,37.81
2013-09-05,38.63,38.69,38.06,38.24,14290500,37.70
2013-09-04,37.88,38.73,37.81,38.54,19138600,38.00
2013-09-03,38.27,38.40,37.80,37.90,19068500,37.36
2013-08-30,38.16,38.28,38.00,38.18,14296600,37.64
2013-08-29,38.47,38.47,38.10,38.10,14215700,37.56
2013-08-28,38.06,38.53,38.05,38.35,19245200,37.81
2013-08-27,37.98,38.24,37.80,38.15,16742500,37.61
2013-08-26,38.60,38.60,38.11,38.12,12740600,37.58
2013-08-23,38.61,38.61,38.37,38.52,11302800,37.98
2013-08-22,38.32,38.52,38.10,38.31,10307900,37.77
2013-08-21,38.63,38.70,38.25,38.28,15799000,37.74
2013-08-20,38.85,39.14,38.65,38.65,10238200,38.10
2013-08-19,39.05,39.09,38.69,38.78,11913000,38.23
2013-08-16,39.03,39.18,38.71,39.05,20565200,38.50
2013-08-15,39.30,39.40,39.02,39.09,14227800,38.54
2013-08-14,39.59,39.68,39.35,39.53,13787100,38.97
2013-08-13,39.93,40.05,39.50,39.65,13548700,39.09
2013-08-12,40.04,40.10,39.71,39.83,13970000,39.27
2013-08-09,40.25,40.32,40.05,40.16,9021600,39.59
2013-08-08,40.30,40.36,40.02,40.20,9481100,39.63
2013-08-07,40.31,40.33,40.06,40.15,9301800,39.58
2013-08-06,40.23,40.43,40.06,40.37,8645600,39.80
2013-08-05,40.18,40.47,40.18,40.29,9933200,39.72
2013-08-02,40.03,40.41,39.91,40.22,25516600,39.65
2013-08-01,40.40,40.75,40.40,40.57,12001100,40.00
2013-07-31,40.41,40.58,40.06,40.08,13557100,39.51
2013-07-30,40.42,40.73,40.25,40.32,10769400,39.75
2013-07-29,40.61,40.68,40.26,40.28,10132000,39.71
2013-07-26,40.65,40.65,40.01,40.64,12279600,40.07
2013-07-25,40.81,40.88,40.48,40.84,9147300,40.26
2013-07-24,41.12,41.13,40.75,40.86,10511000,40.28
2013-07-23,40.95,41.13,40.79,40.96,9400900,40.38
2013-07-22,41.08,41.14,40.76,40.84,9425100,40.26
2013-07-19,40.88,41.10,40.79,41.09,11401100,40.51
2013-07-18,40.86,41.07,40.74,40.81,9708800,40.23
2013-07-17,40.55,40.98,40.31,40.84,18513100,40.26
2013-07-16,39.78,40.50,39.50,40.23,33575600,39.66
2013-07-15,41.05,41.25,40.93,41.01,11418400,40.43
2013-07-12,41.03,41.13,40.73,41.03,10686400,40.45
2013-07-11,41.00,41.15,40.74,41.03,13489600,40.45
2013-07-10,40.92,40.96,40.53,40.68,9539300,40.11
2013-07-09,40.86,41.07,40.72,40.83,8760500,40.25
2013-07-08,40.65,40.76,40.42,40.54,9936300,39.97
2013-07-05,40.72,40.80,40.15,40.52,10402200,39.95
2013-07-03,40.24,40.56,40.03,40.49,5264800,39.92
2013-07-02,40.47,40.74,40.18,40.37,12248300,39.80
2013-07-01,40.50,40.92,40.36,40.46,10754300,39.89
2013-06-28,40.25,40.44,40.10,40.11,16316000,39.54
2013-06-27,40.65,40.88,40.24,40.26,11459100,39.69
2013-06-26,40.08,40.48,40.06,40.33,13855600,39.76
2013-06-25,39.82,39.93,39.44,39.72,12942100,39.16
2013-06-24,39.45,40.01,39.13,39.53,16433700,38.97
2013-06-21,39.63,39.97,39.30,39.76,21938300,39.20
2013-06-20,40.27,40.35,38.97,39.13,24899700,38.58
2013-06-19,41.01,41.44,40.41,40.41,16936100,39.84
2013-06-18,40.70,40.99,40.57,40.93,9893100,40.35
2013-06-17,40.54,40.91,40.40,40.68,12409200,40.11
2013-06-14,40.38,40.79,40.26,40.34,13635100,39.77
2013-06-13,40.31,40.48,39.68,40.41,17861200,39.84
2013-06-12,40.79,40.94,40.28,40.39,11611100,39.82
2013-06-11,40.88,40.98,40.40,40.79,16491600,39.94
2013-06-10,41.50,41.52,41.04,41.18,11247400,40.32
2013-06-07,41.20,41.73,40.98,41.41,14459600,40.54
2013-06-06,40.55,40.79,40.31,40.79,11171600,39.94
2013-06-05,41.40,41.40,40.60,40.65,16429300,39.80
2013-06-04,41.59,41.72,40.95,41.42,19241000,40.55
2013-06-03,39.95,40.84,39.63,40.81,16577200,39.96
2013-05-31,40.65,40.77,39.99,39.99,26184400,39.15
2013-05-30,41.49,41.60,40.75,40.77,20874500,39.92
2013-05-29,42.34,42.43,41.31,41.40,16986600,40.53
2013-05-28,42.60,43.05,42.40,42.55,14412100,41.66
2013-05-24,41.54,42.37,41.50,42.24,11542100,41.36
2013-05-23,41.93,42.07,41.56,41.93,10934200,41.05
2013-05-22,42.28,42.86,42.04,42.25,13615600,41.37
2013-05-21,42.48,42.56,42.07,42.34,9148800,41.46
2013-05-20,42.95,42.95,42.30,42.38,9966000,41.49
2013-05-17,43.05,43.13,42.56,42.97,12611200,42.07
2013-05-16,42.91,43.43,42.79,43.09,12330000,42.19
2013-05-15,42.50,43.10,42.39,42.92,12306200,42.02
2013-05-14,42.18,42.67,42.01,42.52,13023900,41.63
2013-05-13,42.14,42.44,42.00,42.19,9291000,41.31
2013-05-10,42.11,42.24,41.85,42.15,9927000,41.27
2013-05-09,42.51,42.56,42.00,42.12,10113700,41.24
2013-05-08,42.54,42.68,42.16,42.46,12636300,41.57
2013-05-07,42.21,42.71,42.15,42.70,13785300,41.81
2013-05-06,42.29,42.29,41.87,42.08,9356100,41.20
2013-05-03,42.17,42.42,41.96,42.24,11757800,41.36
2013-05-02,41.66,42.16,41.49,41.96,18709600,41.08
2013-05-01,42.15,42.56,42.14,42.21,8710600,41.33
2013-04-30,42.15,42.39,41.88,42.33,13432200,41.45
2013-04-29,42.24,42.29,41.92,42.24,11311100,41.36
2013-04-26,42.18,42.43,42.09,42.10,15159800,41.22
2013-04-25,42.26,42.54,42.08,42.35,10197100,41.47
2013-04-24,42.64,42.90,42.10,42.15,11368200,41.27
2013-04-23,42.78,42.96,42.26,42.70,11216200,41.81
2013-04-22,42.52,42.85,42.40,42.72,10544100,41.83
2013-04-19,42.28,42.77,42.20,42.66,13875800,41.77
2013-04-18,42.48,42.65,42.09,42.10,16034200,41.22
2013-04-17,42.14,42.70,42.03,42.55,24208000,41.66
2013-04-16,41.40,42.48,41.25,42.37,32135700,41.48
2013-04-15,40.85,40.99,40.05,40.09,16050600,39.25
2013-04-12,40.91,41.11,40.68,41.08,10394700,40.22
2013-04-11,41.13,41.41,41.06,41.18,10962500,40.32
2013-04-10,40.78,41.17,40.71,41.07,9703700,40.21
2013-04-09,40.81,41.13,40.51,40.71,21056100,39.86
2013-04-08,40.06,40.87,39.77,40.86,22757900,40.01
2013-04-05,40.21,40.36,40.01,40.08,10729500,39.24
2013-04-04,40.27,40.59,40.20,40.54,11435900,39.69
2013-04-03,40.78,40.82,40.08,40.17,13639200,39.33
2013-04-02,40.43,40.90,40.42,40.72,13359200,39.87
2013-04-01,40.39,40.49,40.17,40.45,8200500,39.60
2013-03-28,40.38,40.60,40.02,40.44,14227200,39.60
2013-03-27,40.45,40.54,40.06,40.22,14559900,39.38
2013-03-26,40.13,40.70,40.13,40.69,13666500,39.84
2013-03-25,40.11,40.25,39.96,40.12,15718400,39.28
